A,B,C,D,E
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
4.0,0.0,1.0,1.0,2.0
10.0,0.0,0.0,1.0,9.0
16.0,1.0,1.0,3.0,11.0
35.0,4.0,8.0,5.0,18.0
58.0,12.0,8.0,10.0,28.0
70.0,16.0,18.0,14.0,22.0
45.0,16.0,10.0,10.0,9.0
37.0,0.0,14.0,11.0,12.0
40.0,0.0,9.0,16.0,15.0
75.0,12.0,10.0,21.0,32.0
51.0,0.0,18.0,19.0,14.0
76.0,12.0,17.0,24.0,23.0
77.0,17.0,16.0,27.0,17.0
49.0,3.0,4.0,37.0,5.0
29.0,2.0,0.0,23.0,4.0
4.0,0.0,0.0,3.0,1.0
10.0,0.0,4.0,5.0,1.0
4.0,0.0,0.0,4.0,0.0
3.0,0.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0
4.0,0.0,0.0,1.0,3.0
10.0,0.0,3.0,0.0,7.0
11.0,0.0,1.0,2.0,8.0
26.0,8.0,5.0,2.0,11.0
34.0,0.0,7.0,10.0,17.0
36.0,0.0,13.0,6.0,17.0
41.0,13.0,11.0,9.0,8.0
39.0,0.0,11.0,16.0,12.0
56.0,12.0,13.0,14.0,17.0
52.0,10.0,9.0,18.0,15.0
80.0,11.0,16.0,26.0,27.0
54.0,0.0,9.0,27.0,18.0
67.0,15.0,10.0,31.0,11.0
37.0,1.0,0.0,23.0,13.0
18.0,0.0,2.0,13.0,3.0
13.0,3.0,2.0,7.0,1.0
3.0,1.0,0.0,1.0,1.0
2.0,0.0,0.0,2.0,0.0
5.0,0.0,1.0,1.0,3.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
4.0,2.0,0.0,2.0,0.0
5.0,0.0,0.0,2.0,3.0
1.0,0.0,0.0,0.0,1.0
10.0,0.0,2.0,2.0,6.0
23.0,4.0,3.0,5.0,11.0
27.0,4.0,10.0,4.0,9.0
42.0,13.0,10.0,8.0,11.0
34.0,0.0,16.0,9.0,9.0
64.0,18.0,14.0,18.0,14.0
67.0,14.0,19.0,17.0,17.0
56.0,12.0,11.0,21.0,12.0
76.0,13.0,16.0,21.0,26.0
73.0,0.0,19.0,26.0,28.0
53.0,16.0,3.0,14.0,20.0
29.0,4.0,5.0,18.0,2.0
16.0,0.0,2.0,9.0,5.0
7.0,1.0,0.0,6.0,0.0
2.0,0.0,0.0,2.0,0.0
1.0,0.0,0.0,1.0,0.0
4.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
6.0,3.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0
7.0,1.0,3.0,1.0,2.0
12.0,4.0,3.0,1.0,4.0
19.0,0.0,7.0,9.0,3.0
70.0,17.0,19.0,20.0,14.0
119.0,20.0,22.0,57.0,20.0
108.0,22.0,27.0,27.0,32.0
151.0,35.0,19.0,52.0,45.0
77.0,0.0,14.0,29.0,34.0
114.0,13.0,12.0,21.0,68.0
66.0,13.0,12.0,15.0,26.0
19.0,2.0,2.0,2.0,13.0
8.0,2.0,3.0,2.0,1.0
2.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
