A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
0.010893151,0.50676656,0.06364973,0.13790086,-0.057968102,0.047805086,-0.08647719,0.0600598,0.15489253,0.33708596,0.14404732,0.34982848,0.55794096,0.57530415,0.06964411,0.276721
-0.055887066,0.4674383,0.11464092,0.021470577,-0.0045128465,-0.032351397,-0.13821656,-0.07192531,0.18807667,0.625794,-0.037450306,0.13436638,0.6209952,0.4445485,0.05988832,0.16476475
0.050832257,0.4944852,-0.03725767,0.06844279,0.056469947,0.13943923,0.02847512,-0.0077502728,0.17074622,0.4156379,0.132745,0.3505833,0.581841,0.52524686,-0.007982686,0.13841188
-0.14050677,0.3121689,0.13125229,-0.0019016713,0.098905,0.071485326,0.036695853,-0.035121292,0.0034676045,0.5837343,-0.14625144,0.30137238,0.66135776,0.4527675,0.038221925,0.28275347
0.041613907,0.56993794,-0.014636621,0.016247451,-0.13129097,0.10440588,0.032337368,-0.0904344,0.34293768,-0.048491724,0.025234342,0.4053713,0.7147443,0.48048183,-0.113129646,0.31642812
-0.08670965,0.43112743,0.12023714,0.041203782,0.08189228,-0.06473617,0.01777935,0.12838057,0.20357768,0.7394079,-0.02125004,0.18369932,0.8069992,0.60159063,-0.14255571,0.40479943
-0.082972944,0.6438333,0.12030998,-0.114417784,0.074401975,-0.11199857,-0.11354506,0.016758949,0.46914768,0.37435883,0.05347158,0.4523879,0.900614,0.7507792,0.02797407,0.34821296
-0.010225907,0.73765206,0.13922504,-0.101016715,-0.11979427,0.1374793,-0.03552098,-0.13512918,0.30588874,0.67499435,0.10733086,0.28329185,0.95577294,0.5791362,0.06907503,0.19093093
-0.113422886,0.36172706,0.013512239,0.05012679,0.13452801,0.03178832,0.008608565,0.10587332,0.3891486,0.34327668,-0.028135948,0.3870809,0.7037325,0.32318774,0.042793766,0.4087084
-0.004560381,0.5443471,-0.020867944,-0.14163503,0.079397544,-0.04755099,-0.018807769,-0.12063688,0.24753954,0.7788913,-0.037942223,0.18165141,0.5935507,0.6565564,-0.04413373,0.45816022
