A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q
-0.029883206,-0.027679041,-0.02173677,-0.07691938,0.087933466,-0.10137644,0.035253465,0.13021135,-0.07490098,-0.1056888,-0.059652403,0.115389824,0.06566179,0.13103133,-0.24084835,-0.12746723,0.016512379
-0.13747783,0.21957542,0.09469147,0.0029937327,-0.035747074,-0.07618246,-0.07906732,0.023620054,-0.06858739,-0.0036237985,0.14720356,0.031580687,-0.035375975,0.13153028,0.20395844,-0.018084615,-0.12067567
-0.100740574,-0.082599364,0.032889456,0.054277763,-0.14895369,-0.010875374,0.080639526,0.07241772,-0.065127775,-0.07753521,0.14558747,0.12983072,-0.032295838,-0.083880186,-0.053445958,0.101385355,-0.14270253
0.13059643,-0.19904795,-0.12098324,0.0784332,-0.12135612,-0.12343993,0.08594178,0.05419144,-0.08282154,0.10756691,-0.14577948,-0.045101546,0.038359895,0.074947506,-0.24055049,-0.02943188,0.1089268
-0.01713574,-0.042611115,0.09537916,-0.08144811,0.12187594,-0.13596205,0.030171812,0.09876667,0.14155424,-0.012497529,0.13468575,0.14694768,0.045329377,0.01151824,-0.17203774,0.07269859,-0.0761281
-0.101421714,0.16325676,0.13883063,0.071290135,-0.03991159,-0.06679758,0.03593269,-0.091067955,-0.032233804,-0.11918971,0.067918986,0.11897972,-0.084133856,-0.061477482,0.01927352,0.10652053,0.14989266
-0.024740905,-0.18969405,0.121806175,-0.086925246,-0.0994688,-0.09312455,-0.047959097,0.02040936,0.12335023,0.03282042,-0.08317126,0.12064919,-0.061241,-0.12810495,-0.027091943,-0.13652298,0.14145908
0.017264158,-0.15082468,0.017892718,0.11333263,-0.042683013,0.08902635,0.062761545,0.0045934618,-0.023937806,0.02951052,-0.068735704,-0.121564925,0.10235399,0.07615326,0.039027333,0.13296175,0.0717984
0.14069417,-0.013539709,0.010835782,0.024491891,-0.08403504,0.074090034,-0.06378454,0.14949438,0.109558046,-0.002725184,0.040087804,-0.033205085,-0.060158104,0.03151858,0.011743538,0.13941318,0.043986574
0.119178444,-0.018737778,0.13619307,0.051662564,-0.02049321,0.064616084,0.12281528,-0.06523699,-0.03863295,-0.13516955,-0.060004346,0.0014229119,0.09648459,0.07608318,0.04826644,0.14946228,-0.11592284
0.016365305,-0.0979587,-0.059333935,-0.0954428,-0.09981966,-0.05199761,-0.09016534,0.07425706,-0.05100707,0.04256852,-0.11238052,0.0076719522,-0.02747748,0.0844046,-0.060985558,-0.074915834,-0.025620766
0.09518938,-0.061443165,-0.007628888,-0.05990351,0.008805662,0.10918227,0.1313175,0.0032529086,0.14821827,-0.07869484,0.03445661,0.105303854,0.147923,-0.098461986,-0.20883031,0.056257054,-0.008210257
0.14216602,0.114459515,-0.09614225,-0.14938428,-0.12432931,0.043472543,-0.0080922395,0.09189631,-0.018697217,0.21869193,0.0025488138,0.08966829,0.1266585,0.010184377,0.02440916,-0.04061181,0.12172359
0.07064395,-0.23391666,0.10796651,0.13530773,0.02222307,-0.05990337,0.057168305,-0.021781504,0.007212311,0.016019657,-0.13446549,-0.026406169,0.09233035,0.08752395,-0.19380942,-0.029956788,0.012721375
0.109606564,-0.044743195,-0.027971618,-0.020029187,0.048626915,0.10648394,0.11423439,-0.04539918,0.09254271,0.063199595,0.022007167,0.024823993,-0.046348646,0.062236965,-0.11562106,0.023035541,0.061312586
0.008114234,0.086355835,-0.13489781,0.028055206,-0.017929763,-0.08033451,0.13364035,-0.0065820664,0.027161092,0.14807266,-0.009283766,0.10005501,0.059485808,0.0019474924,0.014395453,-0.05018989,0.096989974
-0.10196062,-0.053693034,-0.0064178705,0.05337663,-0.064751476,0.05882837,0.09682317,0.10150567,-0.021023124,-0.0067178607,0.040539443,-0.045630276,-0.046379887,0.09577103,0.089161366,-0.1240399,0.09520678
0.1336388,-0.052970737,-0.111545116,0.037699163,-0.07788634,-0.039071076,-0.1465411,-0.047484778,0.03552869,0.05017832,0.14896214,0.027693018,-0.1198928,-0.11344312,-0.06616758,-0.03881602,0.14760828
0.117284864,-0.0068763793,-0.0766779,-0.12553985,-0.1489918,0.07227336,0.11118072,0.14978409,-0.10805158,-0.106596306,-0.023432568,0.028125465,0.07486476,-0.00082682073,0.050556153,-0.13892017,-0.09875284
0.066324756,-0.27070853,-0.030442022,-0.09832855,-0.013878375,-0.05875662,0.022727191,-0.10495743,-0.079380125,0.08128153,-0.040027253,0.14593339,-0.07782552,-0.09805606,-0.18559459,0.07881056,-0.056550823
