A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S
0.034397006,-0.009988636,-0.10730702,-0.026123077,-0.041164845,0.17883147,-0.023467526,0.12434667,0.00914979,-0.11371018,0.13540748,0.043271556,-0.13410187,0.039727524,-0.059341744,-0.26419175,0.15812975,0.025692463,-0.07474914
0.13944295,-0.043237336,-0.08968645,0.010068782,0.1273661,0.10804823,0.038085192,0.08727194,-0.13476926,0.08395107,-0.16121665,-0.0526641,0.043851838,0.056425825,-0.24968028,0.03842356,-0.19771905,0.13761732,-0.046173856
-0.003013581,0.113716274,-0.14971446,0.03361292,-0.09763592,-0.07799685,-0.07515865,0.25462824,-0.11593502,0.03433177,-0.18492629,0.08900355,0.06081359,0.09748927,-0.17912656,-0.219026,-0.2006489,0.044205904,-0.12168961
-0.12480244,-0.041701518,0.04544708,0.16943163,-0.10112109,0.16510808,0.078671664,-0.07213159,0.044716343,-0.07423838,-0.12650472,-0.11327414,-0.025885627,-0.08614534,-0.0069652274,-0.3314492,-0.20778099,-0.038183287,0.13482887
-0.09741533,0.13559681,-0.01098679,0.033760965,0.095677614,-0.029254407,-0.03045284,-0.07769443,0.017426401,-0.024907708,0.24864852,-0.01768212,0.031056032,0.20328191,0.009376533,-0.1484879,0.00169909,-0.13567488,0.061702803
-0.015569508,0.017706126,-0.0066296905,0.307594,-0.1413381,0.12994586,0.13079998,-0.09732567,0.14174002,0.056610852,-0.0362295,-0.10617699,0.019133955,0.19160095,0.08238579,0.016620934,-0.0036375374,-0.06652737,0.13626105
0.13404652,-0.05351969,-0.11403483,0.31289878,0.0700687,-0.030249193,0.0014972985,0.084423974,-0.04572022,-0.065835916,0.1550085,-0.072550915,-0.046022594,-0.10339181,0.33584037,-0.059789583,-0.07289769,0.08827831,0.039621964
-0.0031503737,-0.012625545,0.020537853,-0.1998879,-0.103077784,0.05668763,-0.1106631,0.12566178,0.147143,-0.11180286,0.03525193,-0.14106245,0.13480693,0.13022327,-0.090133585,-0.17109397,0.030382574,-0.09689625,-0.031932347
0.1140185,-0.02356273,0.120860934,0.13716553,-0.049982034,-0.28805065,0.11818358,-0.012147307,-0.14145099,0.009638593,0.012637086,-0.019742206,-0.114440784,-0.08446402,0.16437255,0.07715741,-0.017920822,-0.062744886,-0.03667558
0.03291069,0.038374975,0.019439682,0.053975277,-0.032679766,-0.12036076,0.031877846,0.075520165,-0.113482,-0.017915994,-0.17621866,0.083486855,0.13675377,-0.45414758,-0.07028864,-0.15095264,0.20675732,-0.06708148,0.03189388
