A,B,C,D,E,F,G,H,I,J
-1.008314,0.00841257,-8.278602,-0.0031269342,-0.21523002,-8.038754,-0.009802997,-1.0646868,0.17611219,-0.5788598
-0.08818717,-0.6386027,-9.21963,-0.1029076,-0.99979925,-9.170759,-0.14382316,-0.03302511,-0.1584967,-0.9486902
-0.6167726,-0.8679726,-9.132201,0.025877714,-0.1611735,-9.246013,-0.026673928,-0.55925256,-1.0615625,0.09993417
-0.8803954,0.11436779,-9.555784,0.10520935,-0.6221692,-9.80057,0.021959752,-0.88923395,-0.2869391,-0.529258
0.22282934,-0.5795858,-10.44811,0.03482431,-1.0284262,-10.553748,-0.12212388,0.15747228,-0.5565002,-0.9347283
-0.43370152,-0.8320147,-10.39914,0.13052589,0.17503715,-10.500714,0.053416297,-0.58426696,-0.8830784,0.26462445
-0.9685539,0.25334018,-11.070089,-0.027732097,-0.5027095,-10.990604,0.052458107,-0.9160109,0.27653244,-0.6007999
0.23027097,-0.5946251,-12.090848,0.080124214,-0.928324,-11.823855,-0.05796238,0.19413778,-0.64126724,-0.94156677
-0.5486957,-0.9790354,-11.890524,0.03958556,0.27447277,-11.451118,0.12923777,-0.72576016,-0.83817697,0.13179387
-1.1227629,0.14040731,-12.69121,0.10455307,-0.68443,-12.194335,0.0039772987,-1.0706061,0.2699661,-0.7201632
0.14426666,-0.78434837,-13.857723,-0.015096515,-0.98256433,-13.014966,-0.11237385,0.19466971,-0.59923214,-1.0171235
-0.8843529,-1.0234721,-13.798823,-0.016143978,0.15609299,-12.738533,0.015251517,-0.72351867,-0.95699567,0.08417821
-1.0671391,0.17623849,-14.536526,-0.112201855,-0.94422805,-13.513987,-0.14403014,-1.0855678,0.16307364,-0.6944178
0.1857731,-0.5864903,-15.540302,-0.1252774,-1.0397439,-14.801195,0.006147802,0.24616241,-0.8507651,-1.016612
-0.48135775,-0.8731978,-15.443487,-0.03184478,0.041315943,-14.640195,-0.037260048,-0.45854014,-1.005419,0.38259533
-0.7352748,0.49659288,-15.766833,0.08109178,-0.33958986,-15.195037,0.034972057,-0.85422754,0.01854685,-0.5491799
0.4276946,-0.4616322,-16.474224,-0.13633408,-0.6995716,-16.022034,0.053445578,0.46162382,-0.3337204,-0.9092657
-0.34046865,-0.9252779,-15.890597,0.13383967,0.38924858,-15.822211,0.08328156,-0.37978995,-0.807575,0.56844807
-0.9227365,0.47238547,-16.160038,-0.111052394,-0.33800858,-16.014816,0.104830414,-1.0089309,0.42045766,-0.41715488
