A,B,C,D,E,F,G,H,I,J,K,L
1.0436344,0.05439502,0.9785776,0.043018937,-0.11092546,0.12147352,0.2006851,1.2439653,0.8973566,1.5544918,0.23666196,-0.13107142
1.0126053,-0.03727904,0.88980925,0.045051187,0.078592,0.1373924,0.23483808,1.0325029,0.9100106,1.3713784,0.30863562,0.09311347
1.0973201,-0.08867794,0.9463206,0.0003323853,-0.09635778,0.049223363,0.21025096,0.98914623,1.0153646,1.3549657,0.3533246,0.086308
0.8637252,0.13514891,0.95217407,-0.13161704,-0.09526192,0.13169271,0.3930822,1.0668635,0.9617886,1.5293665,0.20324504,0.12903875
0.9126886,0.12239,0.95486957,-0.10386499,0.102617115,0.12728855,0.29187852,1.0514839,1.0944505,1.2753372,0.4356217,0.1306651
1.1279484,-0.094981045,1.1955683,-0.14155659,0.10362223,0.05065365,0.21658294,0.8307401,0.89420563,1.3667397,0.2989288,-0.05904735
0.82639,0.116930425,1.0025531,-0.0028877556,-0.1117385,-0.13287865,0.37062415,1.1562259,0.97737384,1.3624203,0.36995822,0.047900826
0.96251315,0.028586358,0.8539461,0.08756788,0.013419837,-0.120260134,0.35006517,0.7633673,0.9183201,1.367653,0.4730986,-0.109471366
0.91876626,0.020481005,1.0696917,0.037304893,-0.0051601827,0.013024181,0.274521,1.0056694,1.0421867,1.2471079,0.24144551,0.049397707
0.97405076,-0.1374867,1.1564634,0.02097024,-0.14783405,-0.13171196,0.10050245,0.93623614,1.1758957,1.4157073,-0.04427649,0.102161735
1.1152141,-0.071619205,1.1591672,-0.14223552,0.106532305,-0.14040154,0.30263406,0.85303533,1.1372898,1.2651998,0.4630437,-0.08740181
0.8846898,-0.02748499,1.1090406,-0.09739046,0.148114,-0.04937022,0.17479168,1.1214101,1.1369549,1.4265696,0.35334307,-0.05102688
0.96982914,-0.11643608,1.1474721,-0.086074345,-0.13822538,0.13596326,0.37109935,1.0178373,0.9294035,1.4723462,0.43526945,0.07635467
