A,B,C,D,E,F,G,H,I,J,K,L
-0.13247958,-0.06137216,-0.119680636,-0.13574553,-0.036678083,-0.08231234,0.0401918,-0.07119475,-0.06887525,-0.035009302,0.23199008,0.18342042
-0.14450677,-0.1444742,0.14232436,0.029180273,-0.05062732,-0.26994386,0.13317105,-0.024984404,0.016563103,-0.14936781,-0.18251753,0.23597361
0.10092783,-0.08377762,0.066214696,0.1481972,0.036361113,-0.048575,0.0060732067,-0.037672378,0.025261521,0.11437118,-0.29553896,0.29345766
-0.077365994,0.11719966,-0.10537626,-0.14399073,0.07724513,0.056670308,-0.049259663,0.0013681203,-0.017180324,0.014649704,0.13986515,0.22462824
0.097228006,0.05990334,-0.086490855,-0.030711472,-0.00024983287,-0.18395036,-0.0028406978,0.11757922,-0.05684592,0.072309315,0.015049264,0.12762359
-0.026443146,0.053014144,-0.03386999,0.12422016,-0.031410508,0.04334064,0.078657,-0.01337643,-0.10875979,0.037785903,0.14932205,0.0790895
-0.11107823,0.13413298,-0.14878756,0.022997826,0.14499867,0.074370064,-0.09739904,-0.14665261,0.1047703,0.017865807,0.069673404,0.08240483
0.052927896,-0.14851579,0.06415041,-0.06063261,-0.09207362,-0.2365526,0.040732443,0.0049672574,0.12815145,-0.0856287,0.034095258,0.09590795
-0.079292394,-0.05417955,0.12004316,0.1227448,-0.07142329,0.09739362,-0.03962508,-0.044310503,-0.059477955,-0.00932093,-0.16906726,0.068874374
-0.13687074,0.094140336,-0.039162613,-0.097287014,0.14247036,-0.15937322,0.051114365,0.08219834,0.10185191,0.049499318,-0.14849861,0.0107251555
-0.042599633,-0.02989649,0.0841379,-0.14190927,0.076487094,-0.23534697,0.08242138,0.014002845,-0.029990248,0.08419299,0.03856826,0.05819574
0.035018384,0.0067498386,0.036657423,-0.1208055,0.08677921,-0.037414923,-0.11651903,0.057294086,-0.02001609,-0.068159476,0.04973653,0.19435936
0.12481278,0.057355717,-0.0063825995,0.12084085,-0.12918341,0.04735276,0.13552359,0.06421466,0.101792276,0.13800031,-0.026018426,0.27115357
-0.1015898,0.1468941,-0.008774668,0.05401884,-0.09752738,0.17546807,0.13289568,0.02825065,-0.11640005,0.102274776,0.21102743,0.25706154
0.026815623,-0.102022044,0.12971216,0.106515795,-0.009448171,-0.19810855,-0.13128741,-0.10105654,-0.07318867,0.09887962,0.030192174,0.19466865
-0.11893194,0.057894558,0.050174132,-0.12966761,0.10985863,0.072326005,0.005914882,-0.08946061,0.009425923,0.032736003,0.012680985,0.34249166
0.11778593,0.13327092,-0.0072867274,-0.0021032244,-0.11559658,-0.21642517,0.13927904,-0.023585305,-0.038266614,-0.039191276,-0.09179428,0.33745557
-0.1234915,-0.07855554,0.09635094,0.058313534,-0.11018853,0.17843835,-0.025186516,-0.06234377,0.051331535,-0.0127635,-0.0016731471,0.3693199
0.09896609,0.055195644,-0.14747997,0.1297512,-0.11989321,-0.14073777,0.08879356,-0.013608754,0.07285157,-0.058789946,-0.052408874,0.5078414
-0.08852586,0.09293546,-0.12856682,0.049219966,-0.12580031,-0.021669284,-0.0826039,0.08065313,0.09552409,-0.021073967,-0.1746327,0.5363927
0.0857081,0.05924444,-0.14630304,-0.06991341,0.060281843,-0.13816464,0.10556039,0.075359955,-0.03523182,-0.018875405,-0.07380953,0.5093894
0.048695654,-0.0057887137,0.034417108,-0.014780238,0.08031528,0.08537167,-0.05823995,0.016539216,-0.007369533,-0.10272081,0.013393879,0.53529775
0.03321798,-0.07492946,-0.11350167,0.051897496,0.011986539,-0.07763718,-0.06779616,0.14942953,0.05807428,0.12555343,-0.066100165,0.39520657
-0.08672934,0.037255988,0.061234295,0.056940973,0.075089574,0.056337357,-0.083016016,-0.05405858,-0.023127943,0.02054812,0.052080445,0.5088641
-0.14382477,0.08275215,-0.14199694,-0.14923058,-0.0011383295,-0.034810893,0.13504878,-0.009895444,-0.008987263,0.11106363,0.14999159,0.62116426
-0.049915448,0.051804528,-0.10329795,0.12275636,-0.050159506,-0.014420971,0.11882877,-0.09559558,0.039654836,0.011778489,0.22736755,0.5226235
-0.09760609,-0.07525784,-0.099412814,0.016331062,-0.049716227,0.011767402,0.029457688,0.12319985,-0.09592222,-0.12974438,-0.106537595,0.38781518
-0.11128139,0.041637182,-0.1467327,0.016874433,0.14779916,-0.027992755,0.011808604,0.10248965,0.11360657,-0.12082313,-0.05734016,0.41950703
-0.13794188,0.124448866,-0.110859945,0.11131659,-0.13255015,-0.1882245,0.010152683,0.12457073,-0.017135471,-0.13622418,0.0022847503,0.40566432
0.09474833,0.018214792,0.11373773,-0.038895555,0.108543694,0.0059768707,0.00060266256,0.09134564,0.015507817,0.12740308,-0.27611673,0.4661041
0.036536515,-0.013456404,0.058168158,0.116639376,-0.05518747,0.23689835,0.14615875,0.090323225,0.070000306,-0.103528395,0.23582345,0.46234637
-0.119792864,-0.03213551,0.10083717,-0.10475606,0.044148177,-0.047394723,-0.09772946,-0.03219434,0.05244626,0.07767002,-0.20838334,0.47602728
-0.012682587,-0.113437995,-0.04940749,-0.13699907,0.008985609,-0.18862543,0.090289205,-0.03833413,0.016115516,0.040628284,0.19678213,0.48709828
0.08619444,-0.09693168,0.028555185,-0.13578963,-0.028008752,-0.07776137,0.039032012,-0.10293332,-0.10719433,-0.10672285,0.13456306,0.5280874
-0.077166975,0.0208579,-0.114321366,-0.107628286,-0.033338554,0.014301114,-0.060601063,0.009775221,0.034186184,-0.12920432,-0.16924658,0.41865194
0.05744806,0.00723207,-0.022758365,-0.059778698,0.14970553,-0.18449195,-0.1300171,-0.08054869,-0.13566613,0.05246827,-0.108471915,0.34375998
-0.12936857,-0.13663615,-0.059629656,0.050661758,-0.10032483,-0.048225187,-0.011101648,0.0076891184,0.033333406,-0.07799437,0.11779623,0.3754977
-0.0020185113,0.07854551,0.10378873,0.05833997,0.046368375,-0.19815823,-0.079455726,0.11899659,-0.02690079,0.12548646,-0.20233282,0.2671967
0.0008125007,0.003572464,0.007785663,0.14233565,-0.12885489,0.01646915,0.012144983,0.14888427,-0.0072559267,-0.121560365,-0.0041668117,0.17885013
-0.08051144,0.123722136,0.06438586,-0.06805188,0.078221664,0.07887001,-0.108492695,-0.11105989,0.0018615127,-0.038418338,-0.036683947,0.32536733
-0.04365821,0.12397957,-0.012753129,-0.09637298,-0.03519371,0.053689964,0.02058819,0.08652116,0.12350842,-0.11559078,0.042719632,0.33220184
-0.1443105,0.014009014,0.021397024,-0.07294285,-0.08072385,0.0619985,-0.11916547,-0.006415233,0.017200261,0.13021296,-0.1633445,0.3553499
0.13675395,0.08621384,0.011803523,0.096914366,-0.096976876,-0.28264707,0.021925524,0.005608663,0.109767795,-0.02867657,0.10601908,0.3441869
0.03128633,-0.14727136,-0.10146482,0.07931976,0.11586532,0.124609426,0.0240632,0.013150215,0.14595345,-0.13775055,0.11449161,0.48140702
-0.03466838,0.008688688,-0.119210966,0.010254502,0.06300087,-0.08754392,0.023725554,-0.05765841,-0.14412151,0.009540409,-0.09992397,0.35754573
0.097561955,-0.13486384,0.02810356,0.060107306,0.12861624,0.061875574,0.13664204,-0.003902167,0.09932479,-0.027127184,0.13081953,0.29286447
0.065386266,-0.04463078,0.072893724,0.13473576,-0.1454302,0.16647388,-0.099526286,-0.13190751,-0.110866,0.10272446,-0.117185555,0.34519362
0.11723283,-0.09861165,0.0635954,-0.06872404,0.030166611,-0.006399542,-0.1352512,-0.06908185,0.033598036,-0.1110414,0.17824686,0.2621142
0.11472362,0.037489966,0.059086815,0.06734495,-0.05247724,0.16194141,-0.123551264,-0.1237221,-0.121552,-0.073261164,-0.22435868,0.16056526
0.05064617,-0.026393153,0.06887744,0.025353074,-0.002685532,0.16170117,-0.12088643,0.057411045,0.041131422,-0.08180514,0.048791982,0.16509864
0.021965519,-0.0044395328,0.028173462,-0.083215594,0.0410572,0.18994929,-0.10015728,-0.11643046,0.12774557,0.113583446,-0.16974944,0.29422456
-0.12834665,-0.07715198,0.026614293,0.0898253,-0.14636256,0.16570787,0.10898304,0.014447629,0.05424981,-0.0037959218,0.11793533,0.31322107
-0.049598604,-0.07811183,0.098951936,-0.047771648,-0.037218265,-0.0024306476,0.04527928,-0.12923995,0.07734996,0.09906182,0.0033958554,0.22574297
0.107485086,0.08923246,0.14074963,-0.12070061,-0.08900067,0.010199189,-0.14356484,-0.10440156,0.12179351,-0.14477208,0.07450244,0.36120886
0.14415562,0.034650385,-0.058642745,0.08231528,0.073368445,0.028569557,-0.044224963,-0.13015641,0.018522292,-0.048596032,-0.12245047,0.47289303
-0.14512402,0.082917616,-0.017484948,-0.0114765465,0.13712907,0.03298921,0.0055280924,-0.06635383,-0.037289537,-0.035763346,-0.15476906,0.5359312
-0.1300517,-0.038150795,0.104533285,-0.013825074,-0.04233148,-0.16358623,-0.047084823,-0.036239937,-0.10737719,-0.1341003,-0.0044241324,0.6391286
-0.01786685,-0.095584095,0.066951245,-0.14037223,0.03731148,-0.1882292,0.077910036,-0.022998005,0.078039214,-0.12680262,-0.06283328,0.78521067
0.10993233,0.038714886,-0.13160527,-0.035434663,-0.11615112,-0.14858037,-0.10977014,-0.053552113,-0.04292869,0.12508565,-0.03423421,0.84229374
-0.10425772,-0.018515095,-0.09881394,0.027384877,0.04049103,0.104792535,-0.07871896,0.11808479,-0.083366334,-0.024511963,0.020666093,0.81396765
