A,B,C,D,E,F,G
-0.20088774,0.05608879,-0.23613602,-0.0065455586,0.13083473,0.757079,0.4711516
0.4113014,0.09179804,0.69330084,0.028028913,0.09213656,-0.31995448,-0.19623001
-0.25138283,0.031424418,-0.20486,0.15321174,-0.014570907,0.60360146,0.5886312
0.52021164,0.119522125,0.66685706,0.10800409,0.051093742,-0.17847016,0.009626567
-0.035788596,-0.034772515,-0.24337102,-0.02931182,0.05362639,0.7043853,0.49065882
0.4612341,0.113268614,0.5963381,0.03703223,0.052325338,-0.17613956,-0.044272363
0.0665589,-0.07501125,-0.21173684,0.19230142,-0.09148027,0.61268294,0.482864
0.35602093,-0.113600895,0.4862983,-0.14966887,-0.03332089,-0.19420546,0.112881064
0.21573552,-0.04227072,-0.15448163,-0.23553291,-0.116491064,0.38668478,0.1451301
0.053308964,-0.05719187,0.37106684,0.03911917,-0.133937,-0.29840016,-0.0360474
-0.03446105,-0.1004446,-0.3100447,-0.0712161,-0.021928415,0.4618124,0.18791638
0.04821238,0.008995414,0.45675015,-0.13516471,0.13782534,-0.28049374,-0.07814299
-0.028912492,-0.13320346,-0.27366507,0.09799869,0.1321074,0.37505004,-0.06066069
-0.16203262,0.064383134,0.34362113,-0.020282999,0.067931995,-0.22780871,0.12702575
0.061236866,-0.09980334,-0.27115643,0.08781193,-0.043978177,0.4488784,-0.06843084
0.008947134,-0.11327636,0.48249876,-0.14124802,-0.11941365,-0.17265673,0.2408037
0.25947356,0.06526606,-0.17091687,-0.06792687,0.14040026,0.5350813,-0.21836826
-0.16306315,-0.017515808,0.57328206,0.08160056,-0.070861496,-0.18459246,0.12917557
0.22080615,-0.0819006,-0.27323177,-0.030432433,-0.07726699,0.44699967,-0.12377133
-0.22281617,-0.052423023,0.39221054,-0.20223159,0.006616175,-0.12519172,0.3036473
0.44248232,0.07656567,-0.18688709,-0.013856269,-0.086696275,0.48001063,-0.32121086
-0.37994596,0.08747928,0.33066142,0.09576397,-0.0017662644,-0.13380285,0.39018646
0.4424672,-0.047341384,-0.14961527,-0.015810892,0.06350483,0.30191958,-0.31925207
-0.46514636,-0.1402794,0.3658678,-0.10439469,0.13694918,-0.1690541,0.39976662
0.36993194,0.11084369,-0.041904822,-0.2834739,0.026311144,0.356029,-0.60111237
-0.7360561,0.08861844,0.3291236,0.00444144,0.0029890537,-0.08446701,0.0155792385
0.02659534,-0.13131028,-0.18757042,0.13538355,0.01713349,0.30997452,-0.6990498
-0.700328,-0.0958378,0.35451752,-0.056870714,-0.042174324,-0.25130332,0.2168648
0.35577562,-0.053776972,-0.1323517,0.020167768,-0.085220255,0.3346446,-0.8038738
-0.8362132,0.016795471,0.4035922,-0.0072870627,0.06665036,-0.05241123,0.4694837
0.38606167,0.14533776,0.0039705485,0.0046179593,-0.073094204,0.4474932,-0.87797886
-0.9976778,-0.115533456,0.38188288,0.017746076,0.07816656,-0.13598797,0.5291937
0.6635622,0.10066983,-0.2644788,-0.20541282,0.0036668181,0.35456222,-1.0577657
-1.1292219,-0.056700237,0.21961462,-0.0019798875,-0.05460316,-0.1890688,0.44891757
0.5880662,-0.0514211,-0.11266886,-7.878989e-05,-0.03236586,0.19690466,-1.0169835
-1.032824,0.14749968,0.30214506,-0.10871603,-0.050196722,0.03116338,0.45357382
0.44536746,-0.13933656,0.03129269,0.15856081,0.009271756,0.3454206,-1.2404424
-1.3585714,-0.022706568,0.32399508,-0.10165487,-0.051142737,0.1710466,0.58462846
0.63962173,0.13561162,0.21186796,-0.08788273,-0.02367282,0.2805261,-1.3583019
-1.2606223,-0.13654926,0.14674047,0.22536108,-0.13622665,0.23366424,0.6599867
0.787923,0.0567701,0.16379815,-0.10168618,-0.09360963,0.15424925,-0.8882785
-0.9710784,0.06869416,0.0926097,0.14687316,-0.12344335,0.19755723,0.5546002
0.42401195,0.05790934,0.31561738,0.1254902,-0.03357634,0.05710069,-0.7385218
-0.6381856,-0.0071767867,0.15923092,0.16086459,0.07105312,0.409405,0.57361746
0.5479383,0.0216382,0.45668292,-0.050863624,0.14113536,0.063458264,-0.505934
-0.46814722,0.10949695,0.14879276,0.0039922893,-0.04435251,0.5312669,0.5203971
0.5852219,0.06920797,0.53073514,0.16785489,0.12429288,0.16425593,-0.48984522
-0.53558767,0.029081509,0.30765504,0.022638842,-0.1362065,0.47888407,0.69721556
0.557253,-0.05689168,0.44275692,0.0923982,-0.113539755,0.21726143,-0.45355007
-0.384605,0.13341174,0.29153252,-0.0641104,-0.0046227276,0.53463286,0.68980426
0.7480289,-0.12347852,0.65850973,0.093693264,0.11803725,0.19203606,-0.3722214
-0.5044664,0.1490897,0.33695272,-0.18142277,0.051440388,0.67959875,0.87552494
0.88699245,0.037754595,0.6901062,0.15853435,0.044151485,0.2806087,-0.80858064
-0.9186107,0.10842231,0.2756818,0.08533184,0.010502189,0.7723428,1.1598394
1.2019432,0.11616522,0.75880414,0.19105837,0.076878175,0.2470389,-0.8974713
-0.99162817,-0.067315385,0.15040657,0.26098478,5.6266785e-05,0.79823434,1.4992316
1.5820255,-0.012991622,0.92771065,0.014983594,-0.008777559,0.101229176,-0.77746916
-0.73195386,-0.043014854,0.11833255,0.036190346,0.10636285,0.7802679,1.5017964
1.4110445,-0.05473838,0.68437207,-0.03063795,-0.122698195,0.12591097,-0.8337825
-0.719235,-0.09068467,0.2236612,-0.09003051,0.06219533,0.8337959,1.3612547
1.2908803,-0.11625456,0.94368196,0.01341407,-0.04766348,0.18257937,-0.76984113
-0.7702889,0.026175976,0.2252165,-0.17026149,0.08977434,0.8651209,1.2285006
1.3319805,0.117991835,0.74731135,0.004437536,-0.07592907,0.36328107,-1.0340676
-0.9606231,-0.07096276,0.2422076,0.033112884,-0.09805839,0.828114,1.476808
1.4804604,-0.13375781,0.78266805,-0.14768487,0.054469183,0.38508546,-0.9625667
-1.0362837,0.13467735,0.2810527,-0.08562887,0.0803359,0.74683994,1.4430649
1.4800624,-0.022378474,0.8636247,-0.007612452,-0.09763247,0.15212505,-1.2135837
-1.0747985,0.09151031,0.0326859,-0.03876841,0.01797016,0.8417878,1.5355376
1.407755,-0.07969739,0.69298255,0.17216438,0.097033635,0.02369263,-1.0427209
-1.1839309,0.089871526,-0.115044005,-0.14884731,0.07481253,0.81201077,1.7110385
1.5644358,0.13228261,0.86646426,0.179071,0.007622391,-0.1098446,-1.4064282
-1.441851,-0.101114295,0.029678367,0.2121404,0.12930676,0.8884183,1.8680391
1.779038,-0.13631646,0.81026185,-0.0073477402,0.043774158,-0.10160679,-1.30512
-1.3389549,-0.1152284,-0.0002907887,-0.1462556,0.027462602,0.9191291,1.6896071
1.8176196,-0.034160867,0.85076994,-0.00034071505,0.089751706,0.14387774,-1.3407068
-1.3105131,0.10506579,0.2346082,0.11071123,0.08334692,0.73005384,1.953382
1.8309872,0.0066087097,0.8258401,0.17694275,-0.09914573,0.25929147,-1.1489189
-1.1933386,-0.016105935,0.12758243,-0.08329851,0.068627685,0.9461464,2.0353525
2.0308573,-0.037216634,0.9794228,0.09391095,-0.1028965,0.08964196,-1.2901397
-1.395358,0.14428103,-0.020329885,0.10896519,-0.057385348,1.0804036,2.0544243
1.9805793,0.10791433,1.0001311,0.04515908,-0.14938445,-0.14728847,-1.2078015
-1.3058816,-0.11370911,-0.0021370947,0.19359039,-0.07723859,0.90036964,1.9681622
1.9478168,0.005135089,0.7716334,-0.13344347,0.09034796,0.035738617,-1.1195762
-1.1082458,-0.058677882,-0.08584653,0.06915553,0.08657563,0.6348983,1.9072032
1.9482789,-0.12015194,0.65055555,0.070826024,0.021610916,-0.13982612,-1.087535
-1.0051389,0.020783544,-0.24912529,0.012211531,-0.0017199516,0.748378,2.1660888
2.29337,-0.054201007,0.77737814,0.11908077,-0.075601675,-0.20095706,-0.89287853
-0.8959084,0.021177739,-0.23331378,-0.03379886,-0.11375921,0.64824814,2.4417727
2.375161,-0.10764762,0.7715099,-0.058315754,-0.021307394,-0.34806234,-1.0522823
-1.1338588,-0.0049375147,-0.22062862,-0.25554457,-0.07462585,0.66526955,2.434598
2.3595047,-0.053507105,0.7940295,-0.106758125,-0.033550523,-0.24031807,-1.338345
-1.2403781,0.0028449446,-0.1291094,-0.18402837,-0.08083091,0.7365675,2.1620572
2.3116858,-0.034237772,0.63763016,-0.045603298,0.11967367,-0.16670683,-1.2807646
-1.168369,-0.06488248,-0.03783211,-0.1555118,-0.06873801,0.67239946,2.242424
2.2348905,-0.086991355,0.6438288,-0.008787431,-0.11480733,-0.049272686,-1.2303157
-1.1824269,0.13340747,0.050952077,-0.19672194,-0.032066777,0.6711305,2.1628788
2.2123241,0.020002022,0.59955376,0.03430088,0.12513739,0.19568104,-1.2776357
-1.3498232,-0.14113927,0.22004989,0.13840161,0.016115159,0.6678061,2.1760888
2.0321875,-0.13407181,0.7079764,-0.05317229,0.069552615,0.3564563,-1.0639851
-1.2127699,0.014236897,0.35996598,-0.06772068,-0.076301605,0.68872887,1.8901516
1.9396874,-0.079075366,0.54685444,0.05982901,0.14246637,0.47551867,-1.2797594
-1.2598406,-0.013975471,0.42314914,-0.057907403,-0.041769437,0.55465454,2.0664434
2.2118168,-0.03943643,0.4841468,-0.106449634,0.13853627,0.49925163,-1.3019865
-1.2960109,0.0016778857,0.48106474,0.006442845,-0.124593064,0.6076845,2.1822786
2.117874,-0.0519246,0.58045214,0.0666583,-0.050016634,0.3540242,-1.3505893
-1.4194295,-0.0028683245,0.3378181,-0.14007032,-0.054956548,0.60186064,2.210809
2.1396523,0.12782374,0.7412653,-0.034305282,0.036420107,0.40882313,-1.6030277
-1.4647716,-0.061040074,0.28828248,0.17266782,-0.13615194,0.6421221,2.1630595
2.1469133,0.08936316,0.7831131,-0.11971871,0.014490902,0.21439576,-1.3004019
-1.334091,0.0033855736,0.21701872,0.18943402,-0.13190602,0.75155807,2.1455355
