A,B,C
-11.148303,-0.6611929,0.08823614
-11.709802,-0.61042476,0.07433228
-12.304544,-0.5509453,-0.032873563
-12.777576,-0.6556551,-0.05471524
-13.56112,-0.6518305,-0.124605335
-14.334137,-0.69224346,-0.07937914
-15.021814,-0.87873644,0.13161099
-15.843027,-0.6074681,-0.0068197995
-16.50125,-0.47043177,0.13219392
-17.079527,-0.45080656,-0.056347422
-17.503088,-0.50032455,-0.002178818
-17.953712,-0.37728295,-0.10449245
-18.247053,-0.43526852,0.12294757
-18.603014,-0.43593797,0.06649025
-18.921843,-0.5189251,-0.020484269
-19.395878,-0.5412859,0.014380485
-19.827665,-0.62299275,0.037967518
-20.426874,-0.43610504,0.11121631
-20.890543,-0.39745152,0.14848945
-21.337507,-0.38750476,-0.12350802
-21.59901,-0.50380015,0.038564608
-22.24033,-0.44992554,-0.079150975
-22.792967,-0.61005294,-0.0065056384
-23.282555,-0.70745873,0.037159503
-23.997982,-0.6665944,-0.11748341
-24.731327,-0.9338783,0.13458037
-25.812836,-0.7859393,0.07409504
-26.610094,-0.6399541,0.033897206
-27.15209,-0.55480796,0.09111796
-27.707785,-0.4856397,-0.0044815093
-28.3321,-0.47662252,-0.047770895
-28.846575,-0.43686208,0.011088431
-29.408957,-0.54477096,0.06902273
-29.867676,-0.5686926,-0.018892586
-30.332348,-0.6089102,-0.10772027
-30.818422,-0.7886075,0.11885175
-31.64902,-0.7396481,0.065809876
-32.472107,-0.8024494,0.05179532
-33.21179,-0.6715528,-0.108047426
-33.92944,-0.7288561,0.01932612
-34.799156,-0.682818,0.1384404
-35.571228,-0.63038623,-0.12711474
-36.174236,-0.7098448,0.103185385
-36.981316,-0.5932765,0.007132873
-37.53666,-0.6434688,-0.039975606
-38.28092,-0.8004667,0.070918754
-39.230976,-0.78452903,0.0018720329
-40.033207,-0.8577262,0.050836265
-40.74191,-0.9446406,-0.12912948
-41.601894,-1.1828265,-0.13664204
-42.89334,-1.4547315,-0.015850335
-44.21549,-1.5341537,-0.074171685
-45.86948,-1.646093,0.09617655
-47.416203,-1.4676924,0.07604371
-48.983246,-1.3492426,-0.0031287968
-50.39588,-1.4734358,-0.06296811
-51.8075,-1.4711275,0.06451945
-53.221386,-1.5027901,0.14617825
-54.72111,-1.4834728,-0.027337968
-56.09767,-1.4717189,0.1367906
-57.442516,-1.4770238,-0.06779178
-58.96172,-1.589586,-0.0002604276
-60.519135,-1.4650128,-0.05857362
-62.12739,-1.4912131,0.052161515
-63.65038,-1.5759162,0.04006104
-65.13055,-1.4980557,-0.08367285
-66.73566,-1.6842024,-0.10464296
-68.35307,-1.6528869,-0.11606571
-70.11546,-1.7642839,-0.099237174
-71.99325,-1.9788259,0.049794003
-73.95721,-1.8178136,-0.009698585
-75.67481,-1.942727,-0.13057609
-77.514015,-2.151115,0.10055861
-79.61738,-2.0568743,-0.1412442
-81.65641,-2.0579522,-0.067438
-83.596695,-2.2347105,-0.08152822
-85.689445,-2.1894011,-0.07297878
-87.85072,-2.3394773,-0.039582953
-90.12093,-2.4560757,-0.12513742
-92.53259,-2.51806,0.028533101
-95.0287,-2.6370294,-0.14963815
-97.52471,-2.8104036,-0.119289175
-100.34287,-3.0796,-0.09874338
-103.44623,-3.1545582,-0.13231505
-106.58586,-3.2873738,-0.12731579
-110.01387,-3.3339434,-0.14571793
-113.445854,-3.60181,0.054829314
-117.125275,-3.5917122,-0.08509943
-120.604675,-3.5370874,0.107868314
-124.132454,-3.539224,0.06296128
-127.77866,-3.3727639,-0.0062682927
-131.17009,-3.3976712,-0.13408685
-134.64594,-3.6542127,0.09573574
-138.30945,-3.5079663,-0.036657713
-141.81773,-3.4788613,0.03927453
-145.32994,-3.2939649,0.05280246
-148.5601,-3.1896954,-0.101297885
-151.83975,-3.3178675,0.12388119
-155.2898,-3.2246082,-0.10159108
-158.46028,-3.3543544,0.0768023
-161.85178,-3.3045633,-0.058384985
-165.0575,-3.2421484,-0.017917722
-168.17943,-3.187424,0.02126874
-171.4941,-3.182346,-0.055768095
-174.72565,-3.2158701,-0.098539874
-177.95197,-3.2238533,-0.008997813
-181.32278,-3.1625483,-0.050103754
-184.46977,-3.162413,0.031619594
-187.78206,-2.995165,0.11904174
-190.71814,-2.794309,-0.08701128
-193.61908,-2.9423525,0.07360755
-196.46648,-2.9269857,-0.118135124
-199.39067,-3.0417836,-0.119693406
-202.57167,-3.071565,-0.008223414
