A,B,C,D,E,F,G,H,I,J
0.03225489,-0.028447561,0.04261799,-0.0779534,-0.011752009,-0.096377306,-0.0034801066,0.047934607,-0.16851759,-0.11016931
0.10636675,-0.052418396,-0.04155112,0.09540351,0.09469433,-0.15463051,0.009584546,0.0100129545,0.18103786,-0.050697505
-0.0021768212,-0.0064060986,-0.0022532344,-0.06337227,0.14018497,0.1493265,-0.08368584,-0.038172968,-0.1378665,-0.06622975
0.13635135,0.084857464,-0.003206566,-0.0230778,0.04300411,0.010191053,-0.08361837,-0.032015346,-0.06740138,0.09011257
0.0862211,-0.07916311,0.036703646,0.08533265,0.110816,-0.07280752,-0.03659302,0.08923997,-0.08015396,-0.13682713
0.07342668,-0.077847384,-0.10335374,0.019789964,0.082563266,-0.066575974,-0.1313871,-0.012961343,0.11388843,0.09712511
-0.0804539,-0.14607656,-0.11692306,0.049216166,0.021416605,0.22507022,-0.05672726,-0.1469119,-0.05781491,-0.028895244
-0.094512984,0.016819209,-0.12811479,0.122156024,-0.055472337,-0.03885071,0.100342184,0.074199304,-0.2011954,0.047940463
-0.08351114,0.13789725,0.10189146,-0.034615926,0.0770888,-0.18892975,-0.13393795,0.08698556,-0.17090875,-0.0022844076
-0.076070935,0.09421389,0.10353291,0.13613588,0.08417083,-0.23288676,0.13115397,0.14877489,0.22511625,0.12636253
0.027321622,0.12890756,-0.059851408,-0.025548562,0.08512989,0.13531645,0.048389986,0.04136412,0.19602294,-0.10179189
0.050664976,-0.0055443794,0.02653423,-0.05249074,-0.034288287,0.30526507,0.047886357,0.07480276,-0.14215153,0.05835691
0.09757152,0.04933253,-0.04614576,0.0016055107,-0.098945215,-0.022843808,-0.0832515,-0.03702884,-0.085142285,-0.03465291
-0.1179875,-0.046940945,0.01710309,-0.044226497,0.024032027,0.015918255,-0.14893553,0.09063189,-0.17841601,-0.008568794
0.09003399,0.014631927,-0.059610702,-0.018981442,0.12792054,-0.25265515,0.02587989,0.11762747,-0.044544607,-0.0772557
-0.12423059,-0.108418256,-0.104085825,-0.055558257,0.14505923,0.01964879,-0.005033955,-0.12122618,0.06257232,0.038362786
-0.05931428,-0.12769951,-0.013588637,0.063531,-0.09011348,-0.06551082,-0.012004569,-0.053597778,-0.16730008,-0.13218431
-0.048015527,0.06698249,0.10154542,-0.13197277,-0.040344052,-0.024864107,0.13674724,-0.08806825,0.076481864,0.101667136
0.12065077,-0.06228347,-0.008728072,0.03412679,-0.014292523,0.10512036,0.043894082,0.046642363,0.1845859,-0.12851468
-0.037718818,-0.07929602,-0.14771724,0.008724302,0.0005175024,0.18017101,0.061492026,-0.016098589,-0.003301248,0.078685716
0.11403397,0.08860284,0.0074956715,0.11449045,-0.13805123,-0.06975069,0.118193924,-0.12375502,-0.035092622,0.016878441
-0.122885145,-0.042958222,-0.06265335,0.06895508,-0.061853014,-0.1015833,-0.1313143,0.0436569,-0.13401203,-0.0015649498
0.08719823,-0.13666569,-0.12224465,0.022541195,0.05816491,-0.059632868,0.11538744,-0.10927881,-0.012421846,0.08698891
-0.095542006,-0.043100648,-0.005928576,0.07238281,-0.09000948,-0.12713711,-0.09679015,-0.13901709,-0.0361085,0.14664334
-0.011012152,-0.14419669,0.051213756,-0.035002433,-0.008128718,-0.10645376,0.07970387,-0.04056575,0.027754769,0.03904815
-0.079552084,0.06267229,-0.055722,-0.11501014,-0.05482775,0.023364112,0.12809566,0.08429213,0.14876479,0.08864136
-0.0868176,-0.06757368,-0.05111427,-0.03574387,0.07571535,0.24704857,-0.07334311,-0.110364966,-0.15919653,-0.09350385
0.12815142,-0.14893393,-0.048903808,-0.050450563,-0.11361938,-0.010732412,-0.10212524,-0.05635021,-0.1358042,-0.101961896
-0.07654497,-0.10204765,0.04577516,-0.07697586,-0.024197802,-0.13023072,-0.14370522,0.036502615,-0.17303632,-0.013638422
0.09044482,-0.011962324,0.06314142,-0.07143231,-0.08077627,-0.26613864,-0.10276218,-0.080573864,0.16054659,-0.0053887516
0.084533855,0.08457595,0.041143388,0.07657872,-0.053213976,0.1716329,-0.12230103,0.07804842,0.16654871,0.13106605
0.12440577,0.01029782,0.0280575,-0.11555697,-0.13954756,0.28168064,-0.07198908,0.009361684,-0.06940093,0.06409304
0.07943863,-0.0019343942,0.10240561,0.012800947,0.048301905,-0.21562168,-0.08052617,-0.117790505,0.027471274,-0.14275315
-0.09365037,-0.11525819,0.013180137,-0.0039052665,-0.09416648,0.05938363,-0.04676369,-0.07496539,0.012669638,0.041036516
0.03947717,0.1389994,0.025987908,0.11499596,-0.13251391,-0.059663087,-0.019598901,-0.043490164,0.06323992,-0.014862418
-0.116226934,-0.08523968,-0.00805074,-0.0061722696,-0.13513407,0.076440305,0.14896175,0.09936388,0.16492565,-0.10073276
-0.00085666776,-0.12730066,0.033984482,-0.14730726,-0.079733744,0.29730576,0.048972353,0.09443107,-0.1572786,-0.062224567
0.060727134,0.13624316,0.13865304,-0.027890466,0.14889911,-0.2958786,-0.04308694,-0.06994672,0.07695536,0.12513924
-0.01691845,-0.10751319,-0.05885484,0.020016074,-0.09995406,0.13608074,-0.14591256,0.087045684,0.08506966,-0.056925543
-0.05957605,0.1380324,-0.1405335,-0.089512646,0.11318156,-0.04723552,-0.13048142,-0.008566722,-0.14480683,0.14915168
-0.06621961,0.06469172,-0.08866021,-0.13975541,-0.032705747,-0.25652635,0.07454501,0.018498182,-0.19284463,0.08795895
0.14219105,0.06909487,-0.09925155,0.02998282,-0.023141757,-0.337128,-0.034270532,0.12168327,-0.0002258569,-0.031199545
0.13496348,-0.027773902,-0.015199259,0.113158256,0.03332092,-0.14550081,0.041964546,-0.05024974,-0.017991304,-0.10424191
-0.06441486,0.1019184,0.014189035,-0.03807757,-0.09411037,0.06460722,0.043741807,-0.07539268,-0.14818224,-0.13046768
-0.09897032,0.1310026,-0.13630182,-0.009691238,-0.08200776,-0.08440669,-0.11067419,0.039367154,0.047043398,0.14860255
-0.12750202,0.0766453,0.13898665,-0.0063146204,-0.040878654,-0.05165405,-0.10093271,-0.09810396,-0.057442755,0.05353017
0.022844806,0.0741822,0.0579731,0.003492266,-0.10671522,0.044792086,0.12625349,0.04433994,0.12315957,0.09287298
0.12085378,-0.09891206,0.03670667,0.064327925,0.13928092,0.18721965,0.10711071,-0.11639641,0.019416168,-0.1348464
-0.07836095,-0.106556475,-0.050631307,-0.039873503,0.024011165,0.168153,-0.03144023,-0.021151274,0.09993574,-0.044292375
