A,B,C,D,E,F,G,H,I,J,K
-0.03675919,0.110654294,-0.0554265,0.062723294,0.070752665,0.3489885,-0.07524274,0.04407996,0.5330029,0.6630266,0.29177976
0.0026987493,0.14673579,0.3998219,0.10790712,0.0004016906,0.20597923,0.109565794,0.117352426,0.33653715,0.54963666,0.14689153
0.12630534,-0.09386845,0.23303628,-0.071982086,0.08746807,0.077888854,0.14909062,-0.1273004,0.71937263,0.54487294,0.37558132
0.0034956485,0.14220458,0.19901818,0.0033787042,-0.0050000697,0.2511535,-0.031994894,0.14165115,0.57911694,0.42754853,0.46390468
0.007020265,-0.1442985,-0.025974907,-0.13880506,0.060346395,0.19198808,0.13653594,-0.08826421,0.34611246,0.5864302,0.3817475
-0.14285135,-0.052047357,0.25205457,0.055849984,0.13754311,0.35231414,-0.0696398,-0.0019687563,0.29259658,0.38592964,0.34287882
0.075448796,-0.1342018,0.33205003,0.13016236,-0.06930639,0.33085114,-0.005326703,0.134009,0.4481979,0.52349687,0.1942798
0.09536143,0.13576609,0.40319973,-0.13279696,0.06814292,0.38805512,0.018298373,0.12382269,0.67142653,0.70937794,0.29775578
-0.06242171,-0.03416484,0.23769382,-0.059029646,0.08874364,0.22738405,0.06616846,0.116348416,0.54799813,0.6732172,0.48364633
0.13697603,0.11120647,0.20382272,-0.05246503,-0.01720719,0.36580294,0.03895119,0.09434286,0.35508245,0.45384026,0.4328935
0.029420853,-0.040344648,0.08062023,-0.031396113,-0.1350433,0.04965563,0.05215788,-0.044265516,0.54032123,0.66093737,0.42968056
-0.045210637,0.020466775,0.26894248,0.038948596,0.08173576,0.51549435,0.03246422,0.018832296,0.17512618,0.30574465,0.3215475
-0.092642,0.096349925,0.09834483,-0.14835396,-0.066192806,0.37418905,-0.07313149,0.13418883,0.4415928,0.576999,0.113931835
-0.11883985,-0.07622949,0.3671339,0.080354854,-0.1498323,0.1863606,-0.013947219,0.13013795,0.25695318,0.6691222,0.34593028
0.14942494,-0.03570707,0.26707768,-0.13467175,-0.08724979,0.4690959,0.04575418,0.06345989,0.64416164,0.40080053,0.49884
-0.03429258,-0.12763634,0.40332615,-0.016856149,0.091982305,0.1986043,0.014118239,-0.040172897,0.46572447,0.58730245,0.1545095
-0.13850668,-0.058259763,0.039791465,-0.11068456,-0.07805321,0.21543662,0.040183887,0.10504961,0.6434881,0.356503,0.08706133
-0.0015707016,0.029947951,0.45068723,0.029332101,-0.04141683,0.30076605,-0.023826256,-0.106954336,0.17625374,0.36136523,0.31962633
0.11829117,0.098388776,0.055570245,-0.06494524,-0.092044175,0.33481604,-0.1329502,0.031297,0.53712785,0.6265588,0.23773798
0.018240422,-0.12388527,0.1663594,0.14731514,0.11960077,0.2586282,0.03570953,-0.08356205,0.1919469,0.7151153,0.059255287
0.123906076,-0.018165022,0.3551947,-0.10880019,-0.08421665,0.40899312,-0.07679721,-0.081887096,0.343416,0.46778768,0.24555941
0.060378328,0.01308389,0.35763326,0.03404714,-0.027510844,0.37255841,0.11984992,0.00086066127,0.7364507,0.75811195,0.23055953
-0.054511093,-0.07715435,0.21956079,-0.1427467,0.06646623,0.18925062,0.040312096,0.026289761,0.646048,0.57502323,0.11993506
0.14055732,-0.11660229,0.49784312,-0.07862733,-0.066818066,0.25635272,-0.020011753,-0.088532805,0.5119334,0.33786434,0.2387436
-0.0841544,0.12392753,0.27446494,-0.09568282,-0.120988734,0.2765525,0.13690165,0.024119288,0.57613707,0.4400189,0.18465622
-0.043748565,0.050431535,0.18763004,-0.07142034,-0.09064472,0.3302757,-0.10958263,-0.027874485,0.3772248,0.64772725,0.14532836
0.020844162,-0.08384502,0.2800305,0.09970568,-0.09966378,0.43580332,-0.017095134,0.047690257,0.41567934,0.42664194,0.29378062
0.09250568,-0.025018789,0.40853125,-0.030735634,-0.026451677,0.25646695,-0.08798486,-0.13540493,0.43658096,0.7835567,0.272138
-0.06785002,0.08466205,0.28928822,-0.053287573,0.08334006,0.11669876,0.060677007,0.14970168,0.67031807,0.43789285,0.4736631
0.14304116,-0.108150266,0.2657284,0.047406957,-0.022830814,0.16117913,0.011404455,0.124586254,0.49128187,0.42543772,0.4201768
-0.094218425,-0.025603868,0.26744086,-0.074466854,-0.031968825,0.049108967,0.116883606,0.103627235,0.5859689,0.4447707,0.33699682
-0.06685267,-0.12792729,0.328173,0.14149484,-0.061621286,0.18735486,0.05711654,-0.018219829,0.59271276,0.21942268,0.44557312
0.028888494,0.02066344,0.26019377,0.09958108,0.052380756,0.35952622,-0.11105603,-0.14415021,0.61582965,0.54408574,0.0041686147
0.0659554,0.028113604,0.34655982,0.002763927,0.091180146,0.24707466,0.12299305,-0.046067834,0.38076806,0.58780295,0.25750113
0.11914012,-0.030842148,-0.07785434,-0.007858545,0.14811045,0.1798391,0.026833445,0.069659665,0.6668078,0.56497014,0.078241006
0.112517595,-0.034127407,-0.046423487,0.09535995,0.14518958,0.31442243,-0.11777362,0.016189516,0.22674786,0.363262,0.35582155
0.04497212,0.07296406,0.42547706,0.066444755,0.041413724,0.41440088,0.055162355,-0.058783382,0.18192336,0.56220615,0.08385427
0.027600408,0.13048717,0.36674285,-0.12146531,-0.12808594,0.29444873,-0.06285487,0.0031786263,0.7862895,0.6965245,0.13227949
0.14009467,0.127419,0.3376813,0.14964703,0.08467917,0.21764551,-0.027816318,0.04791753,0.6143567,0.66483855,0.08205061
-0.000668332,0.013580948,0.24217345,0.0989338,0.09866516,0.2039744,0.00666824,-0.1366138,0.6536466,0.40569317,0.3442607
0.0014913678,0.026941702,0.1988741,-0.1098004,-0.08098471,0.25352684,0.053987116,0.013157934,0.6348398,0.55971885,0.36814952
-0.11256319,0.015250832,0.27974167,-0.024502069,-0.022327304,0.3734898,-0.039661847,0.08209577,0.32295117,0.63821685,0.08867854
-0.03707421,-0.14241728,0.29660848,-0.14857341,-0.1286574,0.05235,-0.051609136,0.070868835,0.5689597,0.61163056,0.2006321
-0.089334145,-0.13551998,0.5069642,-0.10357498,0.13007805,0.21986839,-0.11344117,-0.09318801,0.5142221,0.14476597,0.1323835
0.06794107,0.09536435,0.2843194,0.110608876,-0.14892334,0.5052993,0.14505875,-0.032765955,0.77899504,0.5274796,0.31945243
-0.011847749,0.09050481,0.4001487,0.11895728,-0.1451496,0.39315343,-0.13491337,0.0012947619,0.57342184,0.70627767,0.17061476
0.13870707,0.08442505,0.24196593,-0.0042156875,-0.10424372,0.4808993,0.059065953,-0.13266829,0.57438344,0.6614866,-0.05614661
0.11160618,-0.09811042,0.09735516,0.007985294,0.10453805,0.2339171,-0.055234767,-0.14815043,0.6333105,0.70043707,0.46442765
-0.08531426,-0.13765593,0.054652967,-0.09087487,0.021558508,0.25579584,0.056895286,-0.004989147,0.42348012,0.37943286,0.5096466
0.015558526,-0.14654694,0.21430975,0.059144378,-0.030963205,0.2551505,-0.07477622,0.003859505,0.09423339,0.44109,0.15527222
-0.12364905,-0.11983265,0.24519981,0.011033192,-0.07147286,0.28464085,-0.07411108,0.122392744,0.4160369,0.4588573,0.2012479
0.14316025,0.00704962,0.21907777,-0.13590571,0.09866838,0.15689708,0.06274767,0.14066035,0.56397283,0.48372227,0.23238026
-0.13811557,-0.14935306,0.2840503,0.1460756,-0.061541587,0.22000235,0.004177615,0.11931035,0.40191853,0.47501346,0.2414499
-0.094739825,-0.12263681,0.2884883,-0.056349963,-0.053898476,0.36850518,-0.089242905,-0.06450614,0.6635705,0.52530366,0.23588808
0.0066420585,0.10936043,0.28517944,0.010408223,-0.06809217,0.15560818,-0.123539925,-0.1275968,0.58422714,0.5112647,0.37396345
-0.124945365,0.14232779,0.19329341,0.06661531,-0.12438232,0.1266365,0.047176972,0.03573276,0.5860527,0.4580842,0.2813187
-0.13538894,-0.09548454,0.2861176,-0.015926689,0.06773405,0.2038199,0.14897323,-0.0014331639,0.35193422,0.46310964,0.1942633
0.11524901,-0.07193942,0.18303543,-0.07563138,-0.04769665,0.40322703,0.05661525,-0.11002804,0.5001364,0.40311268,0.019695856
0.011359096,-0.084820464,0.41780946,-0.09760447,-0.08162874,0.24620247,0.08375104,-0.08587688,0.45719516,0.6706608,0.26716226
0.046359584,0.11777574,0.35869157,0.14826414,-0.09602064,0.41494623,0.073297754,-0.1267027,0.6976924,0.48013574,0.32942468
0.017236859,-0.040156372,0.47630948,-0.08237585,-0.08577653,0.36613202,-0.09620067,0.03415899,0.6152063,0.55872893,0.26309094
0.01937741,0.041337684,0.3344223,0.040987164,-0.13081262,0.38925952,-0.026190035,-0.14909828,0.7450476,0.71033645,0.20760965
0.13959512,-0.06346822,0.109651655,0.061762333,0.061921805,0.29104835,0.121486634,0.051409915,0.6576184,0.72898746,0.37171063
-0.08947621,0.012619555,0.20051694,0.12931964,-0.049303368,0.21743898,-0.07019445,0.03782271,0.19488609,0.65767235,0.20604384
0.096163675,0.13507053,0.26970762,-0.01343216,-0.14521386,0.358566,-0.06342409,0.04411362,0.5619918,0.44798112,0.052807897
-0.074086405,-0.06573819,0.07528651,-0.00028571486,-0.1408018,0.48180905,0.010127932,0.02752529,0.63902104,0.6528419,0.21483532
0.13064668,-0.12651777,0.056850195,0.035423562,-0.13547155,0.45376948,0.14388445,-0.05984252,0.2877441,0.7253221,0.10889605
-0.10297859,0.14058435,0.31738454,0.00984104,0.017862558,0.30041087,-0.08832277,0.114614666,0.31389657,0.7418437,0.36123288
0.06990732,-0.12026118,0.24173585,0.12169176,-0.12968774,0.027571395,0.03922923,-0.09469845,0.44615793,0.5570837,0.31901342
0.1186935,-0.015661955,0.44202733,-0.0063634217,-0.022017896,0.37723935,0.14198235,0.052358642,0.54256123,0.11161833,0.18625142
-0.14241639,-0.048428,-0.055365592,0.09434962,0.14818913,-0.00038392842,0.07940538,-0.14901358,0.7356078,0.47383672,0.27552867
0.112874776,0.092231646,0.26585004,0.039697453,0.13803971,0.47351027,-0.0020292848,-0.049087845,0.17109956,0.05672509,0.25426173
0.059252754,0.030814633,0.102164544,-0.08618226,0.112285435,0.30010593,0.0041799545,-0.101747274,0.43523747,0.75008714,0.2754587
0.004477173,-0.0588879,0.371593,0.09717795,0.024690434,0.46338895,0.0017415285,0.099094346,0.44690058,0.43707967,0.25673625
0.07303934,-0.03910064,0.30649757,-0.14496446,0.13341025,0.035084903,-0.07448069,0.063923344,0.5933558,0.69060147,0.2927367
0.033769846,0.07961638,0.36420068,0.06813218,0.06398277,0.29760706,-0.13227649,0.13322118,0.5754222,0.22942092,0.2514218
0.13672751,-0.01526399,0.1703388,-0.14579356,0.08260727,0.3083213,-0.05592209,0.11408168,0.73269546,0.6376596,0.32128823
