A,B,C,D,E,F,G,H,I,J,K,L,M
0.14265925,0.044653192,-0.14170861,0.08710821,0.059188977,0.08570477,0.070775785,0.024839789,-0.0028358847,-0.11232144,0.14056155,0.11829535,-0.015993759
-0.14221582,-0.14343387,0.20297445,-0.1423803,0.07978961,-0.1053078,-0.12671989,0.09115988,0.0709309,-0.058163494,0.14918941,0.10454242,-0.11690487
0.31459528,0.12811807,0.15187477,0.02145937,0.10268402,0.060805693,0.10387379,0.0369737,-0.03445158,-0.09636196,-0.029554598,-0.07657108,0.14805222
0.2682712,-0.027595572,0.036101133,-0.028076276,-0.01823029,0.024496824,0.073223494,-0.0656448,-0.14357029,0.13695523,-0.04251069,0.086274736,-0.13542415
0.04127541,0.11306575,0.025432393,-0.021699637,-0.006971061,0.05077015,-0.008079484,0.023945883,-0.1206442,0.08057542,-0.12442407,-0.12106398,-0.018379122
-0.022972666,-0.07308893,0.054688796,-0.1404957,-0.015418783,0.1271387,-0.1893588,-0.11684057,0.107269675,0.09136227,-0.06274134,0.019129291,0.05341798
0.1996225,-0.07590503,-0.04728681,-0.018146068,-0.07207581,0.026605725,0.061868563,-0.14224537,0.13542524,0.09799531,0.06838709,-0.0019174963,-0.06262189
-0.122778654,-0.032428555,-0.12015494,-0.08306206,0.0075330883,0.013877094,0.19423944,-0.07972931,-0.030951887,0.015022531,0.017185926,0.060552716,0.13365439
-0.26718283,0.04738705,-0.0113386065,-0.06398011,0.033207253,0.003038928,-0.06330049,0.080575004,0.082307786,0.12422687,-0.024793684,-0.024566174,0.027960092
-0.04957135,0.11165333,-0.06476928,-0.07240316,0.04028313,-0.046871208,0.034467705,-0.06582275,-0.138698,-0.024654433,-0.039404713,0.21527284,0.06741364
0.036734775,-0.009874493,0.006150767,-0.050000973,-0.11503275,-0.035371117,-0.057829678,0.12498039,-0.10443312,0.005780235,0.039500102,-0.243346,0.0055493265
0.13616873,-0.052229963,-0.112624556,-0.106395006,0.121421635,-0.05300106,-0.20590785,0.048110962,0.08054443,0.100238174,-0.07471989,-0.13810498,0.06431317
-0.06382187,0.03404036,0.16820481,0.038781926,0.12971586,-0.042656817,0.12287891,-0.1365985,-0.11470617,-0.088567585,-0.09497416,-0.044280738,-0.06856034
0.27168527,0.03918256,0.18177985,0.077565104,0.08439238,0.06814115,-0.08035478,-0.059067845,-0.11107048,0.012796998,-0.07012078,-0.10179879,0.14386833
0.30155873,-0.0024181008,-0.06042911,0.019506276,0.12238404,-0.05787599,-0.122780465,0.035315737,-0.108738564,0.13528731,0.07094158,-0.21535686,-0.0708839
0.020391047,-0.13250104,0.06993673,-0.013753504,-0.05292301,0.0873657,-0.22165897,0.07829331,0.054256573,0.09575142,0.09309903,-0.057223745,0.09566407
-0.06812545,-0.1365579,-0.16627796,0.06482002,-0.07581529,-0.036471948,0.09154472,0.024204358,0.049748406,0.1480718,-0.049718626,0.14808777,0.028727278
-0.0892593,0.014971077,0.043055326,0.05893843,0.034654647,-0.10876764,-0.083741814,-0.08483219,0.0065681636,0.10364005,0.051120058,-0.0052620918,-0.11834395
-0.026464298,0.09548037,-0.06262502,-0.11857812,0.1075668,0.010052532,0.045155942,0.037054345,0.12972894,-0.04468804,-0.081404544,-0.13898295,0.006680548
-0.05886446,0.14557448,0.2389904,0.10041666,0.0639711,0.004441038,0.019469082,-0.12510617,-0.12655555,-0.13297302,0.017637998,0.15243922,-0.10802674
0.3784424,-0.04992743,0.108988404,0.10996762,0.073934436,-0.07215044,-0.035956964,0.09305279,0.11255604,0.05042769,0.0026549995,-0.10389359,0.0022295415
0.21177095,0.10811922,-0.060334787,0.033606842,0.13570493,0.035685778,0.20937766,-0.09026156,0.14436957,-0.011086538,0.12383574,0.12811565,-0.110933885
-0.14760813,0.025952443,0.12274666,0.052962437,0.10176465,0.07277644,0.12203115,0.030013844,-0.009525478,0.096002206,0.025151983,0.034041315,-0.07049214
0.17557803,-0.1407757,0.025279671,-0.038731582,0.03706561,0.0884839,0.0011625737,0.04202263,0.028380066,0.05946575,-0.123284414,0.116922885,0.052929416
0.17275447,-0.10124503,-0.100057796,-0.09052722,-0.045621604,0.09253834,-0.013864711,0.101278216,0.13062668,-0.14823557,-0.1466605,-0.11239044,-0.015174121
-0.03544016,0.031317502,-0.17602871,0.088475436,-0.072047174,-0.12095775,0.039981112,0.11767998,-0.015261069,-0.11573058,-0.104944006,0.26667035,-0.0031644702
-0.28391784,-0.03880801,-0.044913962,-0.08351087,0.0028622895,0.097136885,0.13143806,0.010168761,-0.07258945,0.14393288,-0.09125521,-0.058355086,-0.09913489
-0.1453811,0.04794234,0.048254564,-0.08230557,-0.09157695,0.10552949,-0.098372295,0.11408082,0.070622355,-0.07003397,-0.07798308,-0.027086057,0.014427483
0.15144594,-0.08380521,-0.19857158,-0.047274433,-0.057264432,0.010823935,0.06202537,-0.041805662,0.13634875,-0.11800054,0.041563198,0.012727439,0.057276443
-0.18722834,0.03404066,-0.17543013,0.1089541,-0.11646545,0.10306382,0.13684532,-0.094974324,0.06660783,-0.03652917,0.046647444,0.032947555,-0.0900051
-0.20343873,0.12508288,-0.17790487,0.024751186,-0.035942964,0.1224632,0.20844546,-0.05343976,-0.07489756,-0.0855801,-0.08717668,-0.06120348,0.026635438
-0.31389555,-0.1049497,0.10222531,-0.13765314,0.059974387,0.11303508,-0.003467828,0.013143599,-0.07627071,0.13556841,-0.037479475,-0.14722595,0.11776793
0.23519072,0.040711805,-0.028213292,-0.060116373,-0.05320421,0.06473428,-0.07591566,0.14956099,0.019453362,0.07820381,0.137846,-0.18784833,0.0847791
-0.090281665,-0.095861256,0.073006004,-0.08253041,-0.085104614,-0.085413285,0.007480964,-0.015815526,0.09831303,-0.0040203035,-0.11165672,-0.08036384,-0.0416404
0.12179513,-0.05608549,-0.019903451,0.03838344,-0.08774604,0.094522014,0.24092531,0.14017823,-0.10142781,0.08890365,-0.102976516,0.06730605,-0.11511319
0.020917341,-0.119707726,-0.09414552,-0.016100556,0.00822176,-0.11500944,-0.022682875,-0.025351793,0.039484844,-0.030048557,0.12587085,-0.21376413,-0.016774565
-0.21781912,0.14574721,0.133171,0.0020542443,0.118503064,0.07763906,-0.08998838,-0.14370224,0.049027607,0.12278405,-0.02734249,0.022989094,-0.117207035
0.13007021,0.07275005,0.22484657,-0.023845538,-0.0024561584,0.010179356,0.10468528,0.093024805,-0.083193526,0.030471787,0.12571928,-0.07242551,-0.014880151
0.29810488,0.0034735352,0.14371341,-0.03708764,-0.029931895,-0.08685769,-0.07255176,-0.026293196,-0.024268076,0.108338326,0.14589038,-0.05544187,0.11303258
0.040282086,0.08859886,-0.0082763955,0.13004047,0.04222019,0.13651893,0.12445684,-0.042232864,0.14976695,-0.117669426,0.12575734,-0.089679524,0.07087387
-0.11611333,0.13138086,-0.10595499,0.13880932,0.0005994886,-0.037509263,0.013907522,-0.08557773,0.016244814,0.07841362,-0.1196408,0.15311676,-0.09694627
-0.02231203,-0.08856678,0.092732444,-0.094464116,-0.08803743,-0.086112894,0.13049592,0.11924636,0.029414102,0.09451394,0.09033856,0.1569147,-0.08422403
-0.05373323,0.09932989,0.014486402,0.14407936,0.09729116,0.03570819,0.09077701,0.14999291,-0.016200304,-0.090332046,0.014953211,0.016672418,-0.1359203
-0.060585767,0.13779557,0.08180733,-0.12355337,0.015275702,-0.124099344,-0.08032778,0.11537996,-0.033428244,0.09662479,-0.10417493,-0.06530054,-0.01052627
0.21957241,0.12883323,-0.10754235,-0.010207579,-0.094386816,0.0626301,0.066819705,-0.064653434,-0.08684092,-0.05414819,0.04232809,-0.1809651,-0.11725052
0.021832839,-0.032541476,0.04269123,-0.12083881,0.028352663,0.00898087,-0.15349674,0.010008872,-0.12883748,0.14633936,0.14180708,-0.09454002,0.13072795
-0.056453213,-0.04036875,0.11151044,-0.12997851,0.057383806,-0.13490477,-0.17425558,0.13946086,0.05268544,-0.02693247,-0.13179454,-0.24908847,-0.073631845
0.16897213,-0.016912416,0.19453731,0.07029064,-0.12650268,0.13461357,-0.0058189034,-0.048518263,-0.10003932,-0.03345845,-0.058069527,-0.04377973,-0.06840601
0.051498413,-0.08221996,-0.25135067,0.018478364,-0.12876895,0.11136085,-0.18424705,0.093982115,-0.008373976,0.019373804,0.03949751,-0.018264264,0.07578705
-0.17010911,-0.018441617,-0.16354403,0.13668764,0.015269741,0.030223504,-0.007118374,-0.06733214,-0.007358253,0.050659165,-0.00561288,0.015013933,0.1241194
-0.18179223,-0.06465583,-0.03991866,-0.05998805,-0.13251202,0.08287971,-0.07015381,-0.14224127,-0.035177015,-0.019363701,0.12955457,-0.0032615662,0.032303616
-0.13637106,0.12008342,-0.27456373,-0.06419773,-0.009718537,-0.06893465,-0.056962885,0.11797926,-0.047639035,0.0825692,0.1153889,-0.085068874,0.06727454
-0.20965883,-0.0042568594,-0.06755321,0.06025189,-0.123961695,0.036974534,0.03201673,-0.12663288,-0.10363613,-0.061812013,-0.004206717,-0.13352963,0.028424516
-0.21487124,0.102645785,-0.05137048,0.021840602,0.12219074,-0.06822893,-0.13156347,0.016732052,-0.09859123,0.08846475,-0.05389867,-0.16447012,-0.052281708
-0.06694568,-0.085616134,0.23401812,-0.08444608,0.12539384,0.06869723,-0.14083558,0.111112654,0.08872542,0.09368731,0.122561395,-0.08477601,0.10904685
0.2849825,0.062548146,0.12996149,-0.077343896,0.05682069,-0.015093237,0.18643917,0.041062653,0.006461501,-0.03560003,0.08263014,0.059906527,0.14242229
0.089771286,-0.14513437,0.067226306,0.14731044,0.13429776,0.0474851,-0.03645753,-0.016686633,0.049715564,0.028026924,-0.07227858,-0.0042274743,0.06778236
0.19819896,-0.07709536,-0.007619962,-0.047261328,-0.0050565153,0.07131933,0.18115626,0.14176896,-0.09775461,0.055705056,0.12321159,0.070521295,0.0057770163
