A,B,C,D,E,F,G,H
0.17264087,-0.13086462,-0.0712383,-0.07023862,-0.12056492,-0.10336737,1.101839,0.6519803
0.19868171,0.07549566,0.2786929,-0.048598483,0.034239262,-0.08042407,1.141657,0.3916545
0.12306204,0.0474118,0.23040578,0.06315473,0.109121025,-0.14174928,1.212899,0.59063154
0.24299558,-0.101654455,0.17438596,-0.09885289,0.14228663,-0.011140749,1.188529,0.44395626
0.508972,0.12624383,0.18099192,-0.03045731,-0.045098267,-0.0070277154,1.1661354,0.3884871
0.20704313,-0.016083539,0.24059154,0.12639001,-0.05353979,-0.06187755,1.2007774,0.5703025
0.26928318,0.11806014,0.2091471,-0.05122059,0.021216437,-0.08282599,0.9996912,0.38689774
0.2914527,0.09432122,0.08142246,0.039300367,-0.10595806,0.021697074,1.1307642,0.63586926
0.26716697,0.008244559,0.11329108,-0.07615398,0.068225786,0.07101908,0.96426123,0.4828639
0.3042297,0.031244487,0.3199317,0.06436141,-0.0029998124,0.12956196,0.9075684,0.47308895
-0.0857486,0.100046575,0.2615667,0.07672912,-0.017650917,-0.100663505,0.856637,0.52794826
-0.01482366,-0.024982661,0.14008518,-0.1405364,0.103768885,-0.027805462,0.8060187,0.2340103
0.20243813,-0.009313971,0.29816526,0.061858058,-0.00502494,-0.14353277,1.0155594,0.114905685
0.058110945,-0.13860716,0.22503188,-0.062808126,-0.10940838,0.02054061,1.1241125,0.3591789
0.27267957,0.01584649,0.32149082,-0.05446168,0.026218489,-0.11898403,0.96018636,0.17254154
0.1443166,-0.01978673,0.20111907,-0.11724465,-0.09663479,-0.04863002,0.9883615,0.3847503
0.19238132,-0.024266377,0.23439056,-0.1317257,0.07888462,0.13657159,1.139615,0.49642283
0.39379886,0.068995,0.45625716,-0.09475286,0.046975225,-0.004762113,1.050554,0.49708676
0.10783392,-0.13110162,0.1774148,0.025802568,-0.09136543,0.11910018,0.89725244,0.58470374
0.21411853,0.0081555545,0.13985397,-0.017184526,0.06156385,-0.13315728,0.94245934,0.29586163
0.22470932,0.06885426,0.14575703,0.077649385,-0.026950479,-0.0073125362,0.9079133,0.43934047
0.17527476,-0.110078685,0.19048607,0.12545407,0.10254231,-0.101918295,0.92260414,0.3410009
0.35850227,-0.009966567,0.45711714,-0.06827626,-0.1347941,0.14725026,0.98518807,0.42638698
0.28985536,-0.06851184,0.38149625,0.059886366,0.09620552,-0.008739188,0.979411,0.5002186
0.4462414,0.08526446,0.09620243,0.1474193,0.1413227,0.1233075,1.0411632,0.6684539
0.44546866,-0.09719326,0.39506525,0.03976591,-0.047422133,-0.010856494,0.9666955,0.6397533
0.11533936,0.056833014,0.24091788,-0.07588733,0.099697486,-0.13932025,0.98689765,0.7527007
0.17470263,0.064170495,0.22414587,0.007331535,0.022887677,0.10961124,1.0902145,0.22236533
0.06726192,0.07168335,0.12030549,0.099670395,0.048200056,-0.09826012,0.9772053,0.47695124
0.075544074,0.04306589,0.41564807,0.02716291,0.13579819,-0.14466152,0.9381798,0.116285205
0.4559245,-0.050112784,0.118828915,0.11412227,-0.021140993,0.07323049,1.0464652,0.32114533
0.16627048,-0.095860295,0.31941456,-0.030234717,0.09098303,0.058339268,0.9173325,0.62099713
0.17798762,0.097247764,0.15536407,-0.0081266165,-0.08991271,0.01991281,0.9516316,0.2659492
0.35825753,-0.1008625,-0.015944816,-0.10164657,-0.1042974,0.122318506,0.9115761,0.5320807
0.4118256,0.13095555,0.27669644,0.014662415,0.002001807,-0.11418477,0.96890587,0.5680013
0.04429673,0.051900253,0.0022281855,0.034986615,-0.03457301,-0.02407083,0.9754294,0.5294322
0.1991831,0.116128266,0.32410988,0.076312155,-0.015884817,0.10354099,1.0177457,0.2811796
0.24339545,0.022937968,0.3529358,-0.0849657,-0.14070189,-0.059614763,0.95982766,0.35298997
0.38541532,0.14771116,0.27714896,0.01625891,-0.12930955,-0.05305951,0.92170334,0.5377975
0.47993717,-0.101797454,0.27618903,0.06281592,-0.101229295,0.120948166,0.81300473,0.56579626
0.31540823,-0.030061468,0.3224251,-0.13855003,0.06739217,-0.060820147,0.78450865,0.7134222
0.16293764,-0.06574007,0.4599788,0.10525283,0.13116294,-0.03518565,0.77899134,0.7039901
0.4758085,0.1198186,0.2956877,0.06432827,-0.07067074,0.111457884,0.7933023,0.40795654
0.16886926,0.11722264,0.28133297,0.13070673,-0.13881311,0.13488445,0.8239436,0.6052661
0.48053893,-0.023362383,0.35531396,0.0049865246,-0.12173873,-0.052058496,0.83003676,0.5394361
0.29456,-0.14025234,-0.010492921,-0.039149635,0.12416425,0.014752924,0.8734724,0.6101885
0.44557154,-0.010314986,0.058472022,0.13993534,0.081948385,-0.04847812,0.9361346,0.66950727
0.27448237,0.033840448,0.46240503,-0.12191751,0.026993245,0.0924537,0.84069383,0.7698704
