A,B,C,D,E,F,G,H,I
-0.03758546,-0.050693624,-0.13634968,-0.07644165,0.8215662,0.05484748,-0.08838843,0.870023,0.11574054
0.02012837,-0.042976163,0.037141085,0.033021763,0.87961555,0.0890031,-0.010694489,0.9623474,0.051997915
0.057825938,0.08608632,0.050981358,0.022193432,1.111193,-0.1445885,0.13661456,0.9599164,0.14106926
-0.12484108,0.13501948,-0.039692134,-0.102593,0.9821111,0.006818682,-0.08921047,1.00315,-0.02454722
-0.076919764,-0.06242781,0.05659218,-0.05705393,0.94383633,-0.12749177,0.05574234,1.0031484,0.13369846
-0.11718345,0.02726771,-0.06983167,0.049248412,1.1315991,0.07892284,-0.14563978,0.99211705,-0.08264587
-0.107350305,-0.07163328,-0.110246,0.072972625,0.9552588,-0.012912586,0.13816586,0.9484853,0.13936019
0.102924526,0.067523405,-0.12345688,-0.12124971,0.97246933,-0.13422266,-0.10738984,0.92763036,-0.019143403
-0.10740443,-0.018594265,0.090031624,-0.14740798,0.8413372,-0.123309895,0.1237129,0.90241396,-0.06098546
0.096056655,-0.060844913,0.07796152,0.015186906,0.82152617,0.05556366,-0.08595799,1.009105,0.010253042
0.053288743,-0.021439642,-0.05955012,-0.11156441,1.090431,-0.08379858,0.044594064,1.0789487,0.05334048
-0.0978034,-0.00956817,-0.101410344,-0.061645538,1.1167289,0.11340776,-0.11018606,1.048041,-0.028216146
0.13543725,-0.07511604,-0.10897773,-0.0688772,1.0229844,0.021539241,0.030336246,0.93294746,-0.12958446
0.11708042,0.12003052,0.0811245,0.06822553,1.0184869,-0.03677734,-0.08164115,0.8986884,-0.02268365
0.034429923,0.0991627,-0.1340828,-0.10330364,0.86278075,0.043580443,0.13162327,0.89261967,-0.01548174
-0.031006657,0.0011282563,-0.028235294,-0.07920011,0.8970854,-0.039169624,0.14159852,1.0274464,-0.08684888
-0.12192632,-0.03724528,0.09023261,-0.051664747,0.8998474,-0.12681296,0.03870915,1.1343817,-0.0906341
-0.047861822,-0.09467775,-0.007287085,-0.10701156,1.1846964,-0.068883635,-0.10199186,1.157951,-0.100233346
-0.077356786,-0.12606712,0.043073162,0.035124063,1.1655798,-0.03553044,-0.05904898,1.1193776,0.11337426
-0.04548835,0.11056656,0.13157684,0.030217618,1.1655353,0.10479775,-0.09146362,0.9602852,-0.044077314
0.14734724,0.061166927,-0.14481676,0.022152364,0.9146198,0.06242834,-0.08430003,0.92753166,-0.060359575
-0.06087172,0.037952647,-0.048961133,0.04788743,0.91908187,-0.103536725,0.06633131,0.92960286,-0.084032826
0.018683821,-0.11144954,0.060441583,-0.11832583,0.9220339,-0.06798664,0.06321867,1.012729,-0.111058265
-0.102935016,-0.13011047,0.03145854,-0.12027435,0.89079124,0.00060252845,0.10778743,0.9440483,0.123726994
0.06075318,-0.119880214,0.023912415,-0.118795864,0.8867269,0.026638374,0.121304214,0.8366311,0.13839012
0.120064944,0.021019548,-0.09038006,-0.05156585,1.0090315,0.00927487,-0.122972116,0.8213083,0.065674484
-0.14079045,0.07878649,-0.037187845,0.058190748,0.92040193,-0.09358476,0.086022034,0.93196416,-0.08422573
0.022695154,-0.13824332,-0.12907447,-0.06591144,0.9141644,-0.13013716,0.030064374,0.8995826,-0.13106772
0.0031726062,-0.09905067,-0.061506256,0.086235926,0.90358067,0.12887472,0.13040066,1.0158036,-0.06081918
0.031605214,0.07966991,0.032173306,-0.06007079,0.8721776,0.120553225,-0.10748817,1.1524947,0.028811961
0.14267647,-0.040464185,0.061778888,0.11873868,1.1054543,-0.04686413,0.037565246,1.1987127,0.027398854
0.13946235,-0.107317924,-0.09640822,-0.036167942,1.1938106,0.04323861,0.048233226,0.96903896,-0.047641218
0.13582397,-0.035328917,0.10229489,-0.0721758,0.85736704,0.08817692,-0.06455076,0.9148706,-0.07019871
0.14085823,0.13768363,0.12834194,-0.10478177,0.95912135,-0.10194296,-0.037451953,0.8912375,0.091805115
0.122498095,0.0119770765,-0.09670246,-0.07088101,1.0492742,-0.01740864,-0.050776884,0.8652167,0.116984814
-0.0080937445,-0.04330997,0.057217687,0.06000258,0.874028,0.08695069,0.122976184,0.927012,0.08294912
