A,B,C,D,E,F
0.04690799,0.5560808,-0.14073718,0.29692551,0.34652144,0.0702443
0.029646173,0.6912333,0.078248784,0.24985524,0.248389,0.0034886599
-0.02005817,0.53261167,-0.11302441,0.30424917,0.17494775,-0.08783983
0.11299434,0.46136385,0.12813932,0.39674443,0.25057203,0.13395461
-0.05892247,0.6168054,-0.025589868,0.5586134,0.33117902,0.12686592
0.14675125,0.6139537,-0.06464812,0.2761409,0.37391764,-0.019618064
0.10073748,0.64222693,-0.12254817,0.366436,0.07246201,-0.09292837
0.12903294,0.4635495,0.13026875,-0.05565893,0.18175457,-0.009394497
-0.00898391,0.105713904,-0.11666065,0.4101577,0.05238951,0.121647835
-0.06328252,0.78451264,0.1123026,0.4272707,0.37016547,0.032099783
-0.13226406,0.5966342,-0.063746385,0.085805684,0.22859448,0.06708607
0.02976659,0.28926846,0.018344283,0.14449392,0.37505716,-0.08270381
0.024854973,0.24346279,0.081532314,0.3726954,0.35544407,0.13818473
0.1026513,0.59210217,-0.12937908,0.4145965,0.3501738,-0.02175863
0.009752616,0.53811884,0.07945508,0.14309663,0.14296596,-0.11754967
0.14708915,0.48504648,0.107136756,0.32729635,0.27558768,-0.06632837
-0.1280745,0.50995576,0.0052037686,0.2827099,0.3408132,0.050161943
0.08037858,0.42670476,0.14764848,0.24693513,0.33712497,-0.104656264
-0.10759859,0.6433923,0.01993221,0.23355223,0.3939882,-0.10319866
0.022613168,0.4531994,-0.096090786,0.5918169,0.3692423,-0.11455976
-0.12517983,0.78345233,0.13277131,0.30848923,0.3828202,-0.03408537
-0.009561077,0.67659026,0.13549808,0.3585428,0.12987912,-0.083221816
-0.036424845,0.47439694,-0.11171612,0.28782043,0.28808597,-0.14400208
0.14299297,0.51781565,-0.08705684,0.30118465,0.42727852,-0.073424295
-0.095789395,0.4056905,0.010980859,0.16287176,0.3943419,-0.080227196
0.09670697,0.3648555,-0.042232007,0.45828813,0.21180686,0.1049079
-0.08364462,0.6871894,-0.06601255,0.32633212,0.311535,0.052538216
0.12529093,0.6239666,-0.057156555,0.037979513,0.17115763,0.10849616
-0.0472494,0.14315894,-0.07940036,0.62948525,0.2003223,0.03855586
-0.0967735,0.8537156,0.024801865,-0.033093907,0.1335859,-0.080578566
0.12360793,0.053934574,0.07190713,0.35614485,0.28921542,0.0087649375
0.027947783,0.7432252,-0.047213137,0.34304965,0.20957235,-0.0757777
-0.03467022,0.54506624,-0.14354923,0.18660644,0.38182503,-0.09067172
0.14637524,0.45532963,0.14589125,0.4230604,0.44142666,-0.008234382
0.07692821,0.77284247,0.008276209,0.46370912,0.20831282,0.038390547
-0.12669903,0.5663401,0.10624689,0.38683033,0.23562557,-0.09946182
0.096369684,0.6724392,0.08918001,0.39098808,0.41352743,0.1003665
-0.11988424,0.6622851,0.0337874,0.5360922,0.31313884,-0.04748179
-0.103998184,0.6169144,0.003788352,0.5430224,0.27476653,-0.07646497
-0.03129296,0.8308588,-0.0737897,0.34765258,0.20340154,0.13607845
0.054723814,0.62472814,-0.13192207,0.23828706,0.34410876,0.05302438
-0.061490685,0.46600986,-0.00062307715,0.24105817,0.10743479,0.10266867
0.010133639,0.5146369,0.033840418,0.16122207,0.4194252,-0.010580778
-0.10955417,0.27551454,0.123910934,0.030868076,0.12327637,0.014478177
-0.12652776,0.035697788,0.019356966,0.22229436,0.18364677,0.06659593
-0.019681305,0.5123788,0.14925677,0.13986656,0.1388826,-0.09664728
0.08367224,0.4253756,0.042144448,0.47636634,0.18833166,-0.13167423
0.14684847,0.5483157,0.090032354,0.13584319,0.43479276,-0.0010074377
-0.035311945,0.43749,-0.096980095,0.3947351,0.16947022,0.001770854
-0.010759324,0.57195735,0.09946759,0.07145891,-0.09950985,0.14922461
0.033763215,0.3651961,-0.12622613,0.4166845,0.4095402,0.022547394
-0.12931965,0.5481041,0.0962466,0.3050722,0.16619599,0.07038246
-0.1061893,0.6388644,0.005874768,0.23662367,0.3880712,0.01182209
-0.0020347536,0.47857186,-0.0327928,0.4231681,0.15776685,0.005496949
-0.13219936,0.76421547,0.043089077,0.065792814,0.042405784,0.010779515
0.13040322,0.12133446,-0.061676934,0.337461,0.009501167,-0.11935221
-0.13954969,0.7177244,-0.06242577,0.21348192,0.3426057,0.014592007
0.087504044,0.4048859,-0.043775477,0.32445836,0.14319974,0.08567406
0.030883104,0.6381673,-0.048790544,0.27534258,0.28318763,0.060283765
-0.13776915,0.5608907,-0.052118883,0.28711584,0.26702636,-0.060889423
0.040918246,0.58516276,0.01895094,0.32101518,0.16768086,0.12687269
-0.09059499,0.5489594,-0.08563716,0.26340127,0.26393193,0.081149414
-0.007930055,0.60600257,-0.05414196,0.060622737,0.32000834,-0.087897174
0.04954137,0.22364792,0.02349335,0.18705553,0.3890649,-0.011944324
0.0632727,0.38621122,-0.11821684,0.09266257,0.06304622,-0.11813937
-0.10140916,0.3913472,0.059506416,0.101738155,0.26353568,0.038924813
-0.018208608,0.23742577,0.046471283,0.30706555,0.1338436,-0.009783551
-0.03727346,0.41858068,0.12678418,0.24838357,-0.0044507757,-0.02689194
0.13179022,0.45904565,-0.07639393,0.30563378,0.13071942,0.050896093
-0.08748399,0.43734062,-0.07308208,0.33473593,0.14351334,-0.049285717
0.13724375,0.70918214,-0.1131727,0.27044445,0.08889069,0.13449553
0.046719253,0.40346768,0.05719064,0.5027007,0.25296414,0.13427216
-0.082877524,0.8105696,-0.048991837,0.5119442,0.3819983,-0.07455762
-0.10296842,0.59743685,-0.07514114,0.25887766,0.4061683,0.048517764
-0.09811306,0.506123,-0.049188428,0.2607323,0.27751595,0.12759855
0.08570999,0.5097664,0.061477587,0.30024227,0.25943467,0.09265025
-0.055563785,0.478139,0.033105403,0.42237538,0.18679214,-0.059216976
0.08020279,0.6453553,-0.12415267,0.21177241,0.23421407,-0.11482777
-0.0045185685,0.44052458,0.14244589,0.14430453,0.47730324,0.123781264
-0.11914922,0.32121995,0.028055996,0.29684564,0.2302432,0.08626844
0.14524698,0.57021964,0.09325263,0.16292557,0.14974913,-0.09164828
0.10196552,0.27299178,-0.06618208,0.26126313,0.4339216,0.020964488
0.027109712,0.64624286,-0.14198,0.23266272,0.012626469,0.12751514
-0.12075479,0.5031602,-0.08613387,0.4322565,0.48254666,-0.101353124
0.10228023,0.5179924,0.053203747,0.5322174,0.35980433,0.08572109
0.09627472,0.60750794,0.14535332,0.5031277,0.30827606,-0.086245686
-0.008018792,0.5673588,0.14716336,0.21623315,0.23372121,-0.10479833
0.016082674,0.4541991,-0.057803966,0.2837801,0.34620786,-0.028333157
0.090534374,0.42413706,0.1306085,-0.009482183,0.20931065,-0.14927302
0.1387364,0.22221595,0.068138644,0.104320735,0.43025202,-0.12383305
0.14427719,0.33475944,-0.09856714,0.14281256,0.21695559,0.046082392
-0.10425305,0.40256447,-0.08204651,0.38804615,0.06477022,0.08344118
-0.08762996,0.75157356,0.0743162,0.23985781,0.20401204,-0.10615742
-0.071825355,0.3975899,-0.086806804,0.3687161,0.46334237,0.14947674
-0.06760517,0.74227875,-0.10219304,0.30223167,0.2550516,-0.098785244
0.07114807,0.4891977,-0.13561809,0.5328944,0.3716781,0.096845224
