A,B,C
-0.06474739,0.019413695,0.064869225
-0.20676205,-0.24235001,0.048724487
-0.06640118,0.044065207,0.09685035
-0.14288813,-0.2627091,-0.09131107
-0.038755387,-0.15774271,0.044071347
-0.16166204,-0.1160291,0.048462704
-0.06351948,-0.15927933,-0.012763724
-0.09992674,-0.12796944,-0.0007265806
-0.12315132,-0.0008905977,0.07675499
-0.05830811,-0.24630502,-0.07438597
-0.13211909,-0.19720833,0.012409151
0.06450437,0.058613166,-0.1393341
-0.1390456,-0.046453714,0.116384864
-0.04918389,0.09232758,0.08524513
-0.20073631,-0.013727576,-0.12805057
0.031058371,-0.18186772,-0.013919622
-0.31149727,-0.06162849,-0.007327676
0.065624475,-0.016313665,-0.056401424
-0.31507686,-0.18208843,-0.018374205
0.00862401,0.06989841,0.121617526
-0.4123837,-0.21514678,-0.042555913
-0.018905737,0.07122942,0.06531787
-0.33766514,-0.5503139,0.0916902
-0.12611142,-0.12369586,-0.061755307
-0.2451609,-0.3275277,0.05983962
0.019371212,-0.2592329,0.06307015
-0.10063417,-0.23974401,0.05994259
-0.016487941,0.08436954,-0.13338687
-0.1642929,-0.08438842,-0.018906295
0.012095407,-0.1268527,-0.016083613
-0.062294483,-0.1691239,-0.07019688
0.03232251,-0.04740835,-0.057011537
-0.10737207,-0.004271269,-0.075845756
0.12824233,0.16921158,0.0027998835
-0.086768396,-0.08934354,-0.11494611
0.074861936,0.05364673,-0.059607863
-0.12419253,-0.025822707,0.11455852
0.007947527,0.20937762,0.009201616
0.010188915,-0.16551618,0.11065751
-0.11238261,0.027552538,-0.07592077
0.13833806,0.060427062,-0.043647878
0.032269813,-0.25411767,0.010737479
0.2744117,0.115229145,-0.13012663
-0.04602825,-0.093461834,0.1113866
0.22443788,0.201343,-0.09708267
0.022599451,-0.17749742,0.068105385
0.13839568,0.12558582,-0.11313315
-0.026639827,0.007350497,0.12137875
0.27894294,0.2297375,0.13160038
-0.026916005,-0.12045109,0.045535207
0.409652,0.24829854,-0.12641007
-0.037991367,0.11949354,-0.04205627
0.44877565,0.49918294,-0.0038679242
-0.16048555,-0.023716353,-0.012286678
0.3035087,0.497237,0.008295089
-0.19276664,-0.043005303,0.007743001
0.29139084,0.29467407,0.02350524
-0.26107946,-0.21054947,0.11061835
0.15075137,0.32844082,0.015136063
-0.3737449,-0.38198227,0.11229837
0.14044383,0.22162668,0.04660979
-0.48696476,-0.33843488,-0.07898741
0.18250169,0.0008111745,0.042195424
-0.51906055,-0.56228536,0.1104683
0.112559065,0.07005295,-0.13674419
-0.57307583,-0.65296346,-0.09334673
0.13514748,0.18846162,0.104893744
-0.557219,-0.4817891,-0.08807337
0.11624324,0.19833489,0.04795137
-0.48366982,-0.53660786,-0.11373933
0.051659793,0.09068809,0.12841645
-0.4749962,-0.5699815,-0.052602343
0.17568463,0.12012154,0.11370531
-0.39456838,-0.41526735,-0.009773463
0.24522002,0.16203654,-0.14953065
-0.4119069,-0.43259892,-0.066202015
0.380935,0.22709456,0.08592819
-0.3488868,-0.31551325,-0.07724269
0.4146155,0.3887928,-0.1171554
-0.2950377,-0.23554593,-0.14839526
0.27908984,0.42428425,-0.106634796
-0.28658986,-0.2793675,-0.018775076
0.3788513,0.36113027,-0.09260236
-0.37988442,-0.41266143,-0.1412091
0.3591671,0.3246251,0.06823164
-0.36607674,-0.26840726,0.064028546
0.3001212,0.21879657,-0.13752949
-0.34014586,-0.3972125,0.07840808
0.38641903,0.17081794,0.0628531
-0.28428513,-0.22942173,-0.11099039
0.33444577,0.31407568,-0.07964564
-0.2271854,-0.37652206,0.08681844
0.22639075,0.28975743,0.08412558
-0.21030253,-0.14823413,-0.015288144
0.13889965,0.25608295,0.06404935
-0.24678588,-0.14819491,-0.12563507
0.250426,0.124629766,0.13543117
-0.16748673,-0.36684647,0.05350338
0.3033847,0.36885172,0.070904985
-0.03738302,-0.05655247,-0.121074274
0.17144823,0.4094761,-0.011636168
-0.11359653,0.08007234,0.10630095
0.16522682,0.18218726,-0.0059803426
-0.23960106,-0.048634186,0.034095466
0.022066355,0.23090006,0.07503514
-0.21458966,-0.24933355,-0.08254892
0.057227775,0.040455654,-0.035765074
-0.11675297,-0.35355145,0.017347202
0.10321364,0.022054143,0.12618887
-0.16260678,-0.21831384,-0.05037643
-0.037127987,0.04917331,-0.008648038
-0.050672263,-0.047949493,0.011437058
-0.14500321,-0.08160461,0.07968244
0.072341055,-0.09219315,0.01622738
-0.0023789853,-0.10678166,-0.13912044
0.065392986,0.071937636,-0.0025355816
0.032897145,-0.042226978,0.14323351
0.045235083,-0.069156006,0.12973183
0.12815936,0.06503987,-0.035522036
0.11629549,-0.0999262,-0.10887718
0.013924949,0.099058874,-0.12410691
0.1838403,-0.0049333423,0.1295633
0.14519486,0.004439138,-0.026955575
0.1190725,0.046411842,-0.03420786
0.26744202,0.2893281,0.05162789
0.17305729,0.23726934,0.08067699
0.22405824,0.16183135,0.006024316
