A,B,C,D,E,F,G
0.83318174,1.0620018,-0.14689487,0.09573157,0.021984637,0.84885424,-0.104266286
1.1358824,1.0797367,0.068589985,-0.12679048,0.11100593,0.79740065,0.06701602
1.051441,1.049507,-0.09814611,-0.03377275,-0.09776819,0.92693037,-0.013928339
0.8991186,1.0254678,0.050380275,0.016626999,-0.11930198,0.9048209,0.109758794
1.0198948,0.86535996,0.14017826,-0.13635267,-0.049881756,0.8952606,0.08258045
0.93451464,0.78587145,0.09456362,0.10190502,0.02469261,0.8833265,-0.048313186
0.8780015,0.88112164,-0.058063053,0.070902824,-0.08424619,0.88368547,0.12866265
0.81684357,1.0363011,-0.038991146,0.05166799,-0.08341288,1.0419245,0.1073693
1.0978332,1.007054,-0.14227897,0.119783014,0.07923217,1.0258838,0.04335098
1.0804428,1.0610309,0.022917852,-0.04792446,0.09278396,0.9596181,-0.05492156
0.8922727,1.0114515,0.021537393,-0.052857794,-0.05284719,1.0671041,-0.089400426
1.0639747,1.0239139,-0.06485614,-0.09086849,-0.10414131,1.0776925,-0.11199255
1.1356373,0.96869373,-0.10322487,-0.09744765,0.0511802,1.0220526,-0.0012843609
1.0783752,1.0450934,-0.111044794,0.050186798,0.088931665,1.0519307,-0.054474056
0.94754523,0.9268048,0.040619463,-0.022001177,-0.074339606,0.99694395,-0.06534593
0.9477483,1.0472546,-0.09608637,0.09549482,0.061050758,1.1455725,-0.11821912
0.89694417,0.91553247,-0.073073745,0.14650342,0.104670435,1.1466827,0.098621935
1.082216,0.9996275,-0.060513876,0.121508,-0.13650669,1.0214779,-0.070935525
0.85695124,1.143218,0.0017967075,0.093110904,0.105661124,1.0435236,-0.08473839
1.1226972,1.1684211,-0.010744318,0.12502423,-0.044857733,0.95243275,-0.03383194
1.1815097,1.1087873,-0.13390228,0.021556139,0.0719613,1.1215619,0.09635426
1.0536178,1.0844039,2.643466e-05,0.14397892,0.06548773,1.0781747,-0.021208197
1.1507123,1.0905263,-0.094445005,0.13145342,0.12299505,1.0330052,0.08237128
1.0838127,0.9710087,-0.13491473,-0.05700358,-0.10395087,1.0490651,0.025930852
0.88504773,1.0938674,0.068519086,0.00023472309,-0.116712525,1.0725272,-0.11587279
0.90480125,1.0133915,0.09489635,-0.032169007,0.11982381,0.9473795,0.100397736
1.1498641,1.1268175,0.14459673,-0.09226998,-0.06792773,0.87514067,-0.05872681
