A,B,C,D,E,F,G,H,I,J
1.3520768,-0.017800227,1.6976275,-0.080664665,0.014992386,-0.11166814,0.93587595,1.6288687,0.39242756,1.1641545
1.4252993,-0.030053973,1.6258869,-0.12633571,0.22639774,-0.07993373,0.93323404,1.6402286,0.1023692,1.1353749
1.3311789,0.12374881,1.5911098,0.12419981,0.10947999,0.058971062,0.8684832,1.5830687,0.5974031,0.93412954
1.208787,0.072763845,1.5934277,0.0889395,0.32242465,-0.14786217,0.8002861,1.5629892,0.36998314,0.9158095
1.3644058,0.06988394,1.4896657,0.06560378,0.37434426,-0.0089264065,0.87997425,1.6579158,0.44051298,0.84492713
1.2977687,0.020167992,1.5099853,-0.06421908,0.28823197,-0.10185376,0.82665277,1.6110214,0.63824654,1.0217876
1.2581565,-0.14117885,1.732713,0.11151293,0.2908416,-0.028566025,0.7650201,1.4300503,0.528551,1.0492196
1.2887812,0.11358076,1.7381065,0.14512527,0.28455728,0.04237953,0.9958124,1.6351259,0.46400663,1.1467736
1.402592,0.13556466,1.7435328,-0.071343936,0.26521227,-0.08527424,1.127801,1.7149448,0.50402117,1.0378854
1.4358662,-0.018433541,1.5440285,-0.07068576,0.46024954,-0.14348364,1.1122156,1.7256579,0.61132675,0.9388378
1.356769,0.13964903,1.7179041,0.13833037,0.09224466,0.1142295,1.0964352,1.6310377,0.64806527,0.8200066
1.231791,0.045524657,1.520197,-0.13835494,0.43716872,-0.07792711,0.9171542,1.683423,0.17241825,1.045714
1.2563822,0.13860032,1.5975977,-0.034480013,0.35561228,-0.04479473,1.0390474,1.7241683,0.6660284,0.90547836
1.2034643,0.028584152,1.7026561,-0.14613344,0.2263322,-0.0866098,1.0619948,1.523107,0.48302716,1.0898579
1.3898933,0.14538875,1.6179088,-0.05368132,0.29413757,0.011947185,0.9397128,1.5383768,0.49628603,0.9914009
1.4093585,0.11136034,1.5819288,-0.11839089,0.29369527,0.064073876,1.0143393,1.6159699,0.46903956,0.88222194
1.1147227,-0.0078264475,1.4944973,0.11743006,0.19063358,0.040492848,1.0375084,1.5771418,0.46785593,0.8227868
1.1385759,0.109014034,1.5403603,0.09563176,0.10733475,-0.13867086,1.1270255,1.5599574,0.36786577,0.81439054
