A,B,C,D,E
2.07358,2.4983943,0.07252438,1.5933214,1.7799845
2.2712371,2.2846045,-0.040153258,1.5311159,1.9481044
2.1969266,2.3140504,0.10691905,1.5512246,1.8554455
2.1943865,2.348146,0.1488727,1.660184,1.8725485
2.081174,2.5312016,0.04131341,1.6205298,2.04535
2.0680897,2.628542,0.10891181,1.6538728,2.0395408
2.2858138,2.4891853,-0.04681517,1.6571215,2.032935
2.1155148,2.633567,0.0043765604,1.710957,2.0290732
2.318826,2.5607355,-0.07846327,1.7671996,2.0360248
2.1505828,2.5855541,0.011599928,1.6604519,2.1473172
2.2779539,2.5962286,0.058250353,1.6362882,1.9989653
2.1068645,2.4504037,0.025956064,1.5504404,1.8563231
2.1416564,2.3836262,0.021583274,1.4297726,2.0109744
2.0623128,2.3700318,0.008879811,1.4768213,1.9906532
2.0587583,2.3818235,-0.07797456,1.5901128,2.0047576
2.0496416,2.365189,-0.08141953,1.4331734,1.8841801
2.0546556,2.4399395,-0.027456686,1.621646,1.7564601
2.0010889,2.3902283,-0.12724999,1.5868026,1.874086
2.1824577,2.5198011,-0.031155147,1.6596544,1.8719698
2.0857291,2.5288916,0.059442118,1.5049754,1.8022971
2.143852,2.3543143,0.05203727,1.5456761,1.9522786
2.0848844,2.298206,0.1372635,1.6039852,1.9458389
2.083027,2.5595348,0.03141561,1.5625267,1.8287725
2.2701807,2.4832077,-0.05666317,1.5101277,1.9762483
2.2004516,2.2970977,0.098870516,1.6363328,1.8872255
1.9766622,2.271831,0.011771396,1.4663169,1.9552083
1.9579184,2.5358856,-0.116628215,1.638888,1.8126075
2.2191672,2.4199104,0.09972745,1.6509744,1.8394346
2.2946973,2.549724,0.08231777,1.6126082,1.8559989
2.1401837,2.5597792,0.11942425,1.6612413,2.0484648
2.1963909,2.5715184,-0.04642278,1.7343893,2.101091
2.2364247,2.6361043,-0.08160691,1.6524204,2.0621004
2.2813275,2.556525,-0.048429914,1.5861472,1.9403331
2.0873883,2.3989832,-0.13233358,1.7389696,1.9502804
2.252863,2.4626787,-0.11847028,1.5916653,1.7970964
2.228683,2.431871,-0.027296,1.60896,1.9460194
2.2032375,2.3345666,-0.1386387,1.7000192,1.8839437
2.222243,2.3896701,-0.077690385,1.5037293,1.889964
2.014242,2.3487065,0.06899433,1.5277194,2.04766
1.9566904,2.3217988,-0.03791946,1.403011,1.8360993
2.2032282,2.2273784,-0.004417315,1.5015117,1.8230172
2.2097175,2.412444,-0.14938617,1.3920492,2.0291474
2.1879702,2.492853,-0.14695488,1.5739621,1.7843856
2.2490144,2.4623408,-0.053729706,1.705142,1.9011829
2.2521167,2.4205725,0.10142273,1.5455455,2.0561945
2.1625612,2.5815897,-0.03590872,1.5341597,1.9688696
2.1887927,2.5676987,-0.052514866,1.5028453,1.9500155
2.2149658,2.3920605,-0.006219253,1.490794,1.9736911
2.2275646,2.507192,-0.028804444,1.4414274,1.8704838
2.1157916,2.5012822,0.07830025,1.4810479,2.041728
2.2026634,2.3083837,-0.09408798,1.5064644,1.8717858
2.020079,2.4041529,0.11734772,1.6419588,1.916707
2.2008395,2.5575924,-0.0916433,1.4292984,2.0066044
2.245793,2.4100134,-0.11036559,1.6056556,1.7758857
2.1728387,2.4856777,0.08178583,1.6246603,2.0698545
2.2473655,2.6050472,0.04536912,1.708561,2.024075
2.3285067,2.5163262,-0.123128615,1.469886,2.0945456
2.1009693,2.3869915,0.017921329,1.5261084,2.061168
2.1266887,2.3591514,-0.12043463,1.5621835,1.8113266
2.2183096,2.5305004,0.12832281,1.4688233,2.0325875
2.0397432,2.5266216,-0.031404696,1.609071,1.8343713
1.9899487,2.4002733,-0.047031663,1.6273699,1.7761234
2.1035476,2.512196,0.11404142,1.410616,1.9371166
2.2522182,2.4677722,-0.016546726,1.6162765,1.9186527
2.3072479,2.4255903,-0.0062793493,1.5706882,1.9722763
2.1592307,2.3296168,-0.08982696,1.5995209,1.9549832
2.2287183,2.4538012,0.07642679,1.6089534,1.9895316
2.085722,2.3942804,-0.08302585,1.4489748,1.9439317
2.176723,2.3511078,-0.13888049,1.4548773,1.9265158
2.203407,2.2999299,-0.00023655593,1.4285392,1.8810625
2.1451893,2.499731,-0.042069487,1.641885,2.0512612
2.2791965,2.3717365,-0.0018596053,1.6783663,2.040924
2.117741,2.4070148,-0.011755332,1.4674915,2.134059
2.0489182,2.4530082,0.14782435,1.43966,1.8077284
2.1515656,2.5339897,-0.11561832,1.4302564,1.8794152
2.0963233,2.365673,-0.08083728,1.4604762,1.9519714
2.2013752,2.5093055,-0.031106256,1.6371737,1.840304
2.27174,2.5539358,-0.1080723,1.4921072,2.05959
2.3161607,2.4881914,0.12459317,1.6553943,1.9585944
2.1102731,2.5501902,0.14685532,1.5014083,2.021426
2.1593022,2.3953996,-0.09134873,1.6205347,1.9560483
1.9877707,2.3793206,0.11105266,1.544547,1.9507165
1.9830405,2.3026881,0.121757895,1.6888113,1.8130052
2.0080786,2.488494,-0.038680226,1.429882,2.0489078
2.1033115,2.4472148,-0.11202377,1.7041143,1.9276994
2.0959864,2.6080353,-0.106033325,1.4407829,1.9907073
2.1884336,2.368091,-0.065463446,1.727247,1.9849322
2.1525457,2.3505416,0.016795933,1.411496,2.0833275
2.090472,2.440032,-0.06678645,1.5362086,1.745894
2.0104754,2.2521894,-0.09827471,1.661576,1.7482442
1.976097,2.5234795,0.063467056,1.5402195,1.9320233
2.1890216,2.5130112,-0.017970592,1.5836257,1.8578376
2.2975426,2.5180433,0.110476255,1.6825473,1.9262518
2.204615,2.3869133,-0.0080611855,1.653407,1.9749812
2.2390957,2.366588,0.12041727,1.5204163,1.9127804
2.2175126,2.3172686,-0.12511583,1.4118534,2.0761108
2.2682426,2.260256,0.07624097,1.412031,1.982332
2.1306553,2.471907,-0.075753026,1.3613747,1.8093499
2.1559913,2.3154168,-0.06968939,1.7027248,1.7966046
1.9817778,2.3385854,-0.12709115,1.522216,1.9506512
2.0887234,2.3219945,-0.12815806,1.390215,1.8423197
2.227498,2.237046,0.019313887,1.4495924,1.86706
2.1479337,2.3939555,0.12383139,1.4215841,1.9275397
2.0471044,2.2580063,-0.060537927,1.5539968,1.9656218
2.1159577,2.3419316,-0.043443434,1.4273026,1.7350708
2.1196368,2.209099,-0.12006008,1.5319952,2.013403
1.9586546,2.2778292,0.054127425,1.4975185,1.936491
1.9707832,2.34151,0.045765996,1.448065,1.7263745
1.9709725,2.4035892,0.13365433,1.4332134,1.8338208
2.0956132,2.33055,-0.10431272,1.5516795,1.8353193
2.119581,2.4119706,-0.11933819,1.6663733,1.9766153
2.0174525,2.3385224,-0.099275514,1.6617826,1.7866414
2.051209,2.473479,0.10161036,1.4461977,1.9432597
2.1752007,2.3036692,0.123300076,1.5166752,1.881011
2.1067028,2.5013537,0.065080285,1.5468984,1.8208985
2.1430573,2.5223885,0.060229763,1.6436496,1.8787144
2.0202127,2.3561153,0.053588346,1.5353776,1.8802246
