A,B,C,D
-0.23426938,0.26184845,-0.068733096,-0.017466888
0.20704454,-0.0010762662,0.046423182,-0.033965297
-0.2850673,0.44714674,0.09158085,0.10101655
0.06546253,-0.11508559,-0.017341167,-0.0051534027
-0.17842185,0.3641643,-0.087630525,-0.06415844
0.113487974,0.08308457,-0.11209218,0.05771248
-0.23302945,0.32530966,-0.07762083,0.032522246
0.06754931,0.083071426,-0.11953776,-0.06836414
-0.083313674,0.5292163,0.027403414,0.037052467
-0.03621941,0.23282012,0.10230708,0.0047765374
-0.21253853,0.43122286,-0.037509516,-0.012126803
-0.16589758,0.1529502,-0.09674817,0.13783589
-0.15886676,0.37826055,-0.0050934404,-0.08110732
-0.057312876,0.03530983,-0.07045314,0.008495644
-0.012137175,0.41110682,0.07044095,0.09636621
0.07074967,-0.10398344,0.03632848,-0.11091404
-0.023819566,0.4148163,0.09035291,0.004465714
0.094806656,0.038141005,0.025499165,0.07070942
0.10696003,0.42789313,-0.1349287,0.109280616
0.039201654,0.17486551,0.110883415,-0.10824472
-0.011014387,0.3929413,-0.11424878,0.13608319
0.0048365444,0.39326993,0.0733317,-0.10777336
-0.041452006,0.16810745,0.118813336,0.14186338
-0.05687873,0.5659192,0.14769164,-0.031953923
0.0525579,-0.058688104,-0.10489868,0.09859203
0.0061250925,0.7034383,-0.12320586,-0.0131394565
-0.08843194,-0.19665618,-0.076061636,0.0034293681
0.13835096,0.75108033,-0.09985341,0.12352955
-0.070459336,-0.28490853,0.0067275465,0.06689669
0.12965764,0.7360443,0.08651076,0.09221013
-0.15550607,-0.014620841,0.13631177,0.13111934
0.21176952,0.6909548,0.03712088,-0.09963913
-0.11308187,0.12326433,0.1385893,-0.096431874
0.1494671,0.75874865,0.035678685,0.12441334
-0.18413997,0.029635578,-0.12998572,-0.006155953
0.27922857,0.7065785,-0.030749775,0.04976906
-0.31496292,0.28026596,-0.04832103,-0.073604435
0.28477722,0.6048325,-0.028416023,0.030278265
-0.30740893,0.24479169,0.084477216,0.084062815
0.19907664,0.44753432,-0.06373599,0.0020656586
-0.27058682,0.23564312,-0.022375062,-0.043192558
0.061997548,0.6624162,-0.019884467,-0.057252236
-0.29476097,0.20001185,0.028617352,0.1341337
0.16036335,0.47230682,-0.14101593,-0.0569416
-0.20830917,0.19814642,-0.052464813,0.091388896
0.13187732,0.5511445,-0.02969177,-0.011357352
-0.29257625,0.17523389,0.06259869,-0.051090434
0.20852937,0.6985928,-0.1084209,-0.032012217
-0.29127207,0.11958112,0.12770072,-0.10230705
0.24631979,0.6631961,-0.083897516,-0.08438303
-0.4155513,0.23457861,-0.07656727,-0.105728924
0.19116208,0.48586413,-0.025566816,-0.03468529
-0.32386702,0.18307194,-0.13717683,-0.08805886
0.28698415,0.4882619,-0.0529138,-0.056686863
-0.25140035,0.13633442,0.14451516,0.043755844
0.3783483,0.378401,-0.087695345,-0.14695227
-0.3913985,0.0060583204,0.06162688,0.007383257
0.23349892,0.4747558,0.042199835,-0.030360065
-0.33080277,-0.10922602,0.005752772,-0.048207097
0.30875087,0.50097346,-0.055320457,0.13475224
-0.21499115,-0.17829213,-0.028807715,-0.12705597
0.36202353,0.48988667,-0.09693384,0.096172795
-0.18953638,0.07253748,-0.02974207,-0.046810538
0.51103175,0.36603877,0.02148062,-0.070927195
-0.055082902,0.25525635,0.11857763,0.036557972
0.51199675,0.19882062,-0.07647407,0.10536829
-0.13279822,0.07806376,-0.0314319,-0.13539182
0.4860802,0.3072609,0.10259274,-0.03151322
-0.077518016,0.24715543,0.061045602,-0.098995194
0.39480805,0.11321146,-0.11926641,0.13041556
-0.04895538,0.34194744,-0.12355285,0.1370967
0.34691522,-0.10545009,0.009795129,0.081531554
-0.06410074,0.39869577,0.024079144,-0.013376787
0.4010274,-0.08918803,0.0031052679,0.043077573
0.039356917,0.58623445,0.07246803,0.015424937
