A,B,C,D,E,F,G,H,I,J,K,L,M,N
0.62192947,-0.0047602206,0.7772347,0.11048803,-0.13608687,0.5621689,0.41331917,0.56790686,0.394898,-0.11822259,-0.07236186,0.6497953,0.6093017,-0.059758924
0.65063226,-0.08128765,0.797436,0.005022809,0.080798924,0.52257234,0.3449362,0.4573553,0.34546572,0.058684826,0.059888333,0.64862573,0.5753379,0.12712747
0.5081578,0.1409246,0.6708201,0.028745845,0.07549566,0.6475166,0.5738894,0.47740942,0.56760055,-0.048598483,0.034239262,0.85412,0.58549625,-0.08042407
0.84371734,-0.0619765,0.61323375,0.009955138,0.14441544,0.71239173,0.42762846,0.43026584,0.60607696,0.14489427,-0.101654455,0.9203705,0.735807,-0.09885289
0.69903404,-0.045098267,0.8256376,-0.0070277154,0.13176298,0.74459636,0.4550192,0.44061124,0.53072083,-0.13341686,0.07593872,0.89251685,0.6324837,-0.104458705
0.61330056,0.11806014,0.59985137,-0.05122059,0.021216437,0.6367836,0.5689295,0.5375435,0.42693514,-0.08282599,0.03789653,0.945034,0.6305176,-0.14636663
0.66177034,0.13091868,0.56374127,0.11694428,0.008244559,0.65867746,0.41986275,0.43019795,0.5365484,-0.07615398,0.068225786,0.7592056,0.87894964,0.07101908
0.66353035,0.04302904,0.5589945,0.043971583,-0.074399635,0.63442624,0.36895388,0.53707397,0.4060343,-0.043792985,0.100046575,0.7332159,0.674598,0.07672912
0.6661966,0.103768885,0.721911,-0.027805462,-0.14768042,0.55438673,0.5120249,0.36745834,0.36171502,-0.13691504,-0.11952816,0.9476,0.75822306,-0.058818325
0.8369951,-0.13860716,0.5698986,-0.062808126,-0.10940838,0.4808429,0.5408373,0.4385874,0.48936534,0.02054061,-0.012775868,0.7287052,0.8020144,-0.023680925
0.65691644,-0.10005531,0.6655808,-0.068520576,-0.01978673,0.5123583,0.47862396,0.34686613,0.44840878,-0.11724465,-0.09663479,0.8438769,0.91878366,-0.04863002
0.74625635,-0.11848006,0.65380526,-0.1080195,0.1454513,0.63531065,0.60974085,0.5761934,0.47808003,0.116532594,0.068995,0.65316266,0.80664074,-0.09475286
0.6658784,-0.09136543,0.6611779,0.11910018,-0.108903766,0.5726188,0.53742397,0.33986408,0.44815028,-0.13040471,-0.12771294,0.81361324,0.76221734,-0.04283025
0.62998885,0.06885426,0.63719076,0.077649385,-0.026950479,0.4797609,0.4071632,0.6551939,0.57534325,-0.0073125362,-0.023411319,0.7943247,0.65882576,0.014667273
0.72703916,-0.030240707,0.7554091,-0.13303421,-0.009966567,0.67857313,0.49278036,0.5271313,0.42475092,-0.06827626,-0.1347941,0.8645787,0.76169384,0.14725026
0.8449391,-0.0772878,0.7974627,0.120198995,-0.013155431,0.7510271,0.63021874,0.31827593,0.5490196,-0.09853202,0.08526446,0.697274,0.7808576,0.1474193
0.72441614,-0.047422133,0.6236171,-0.010856494,0.06953955,0.66836613,0.5660499,0.39069337,0.39428434,0.011113003,-0.053678587,0.84392506,0.889842,-0.028259777
0.79607856,0.064170495,0.5563276,0.007331535,0.022887677,0.48033202,0.5929866,0.59695625,0.565578,0.10961124,-0.14104645,0.7475238,0.808578,-0.05133067
0.5346378,-0.06692818,0.7890769,0.058976814,0.04306589,0.7408387,0.43622643,0.35876903,0.4556089,0.02716291,0.13579819,0.77166355,0.84759283,-0.14466152
0.77486366,0.087416455,0.68890345,-0.04598283,0.0778683,0.5728715,0.48566777,0.4963346,0.40512845,0.046292514,-0.095860295,0.9145366,0.8001731,-0.030234717
0.6130651,-0.08991271,0.58292556,0.01991281,-0.123646304,0.47766072,0.42960006,0.6108248,0.57786024,-0.01851727,-0.0061431527,0.7177945,0.86221987,-0.14181356
0.6862621,0.13095555,0.61809474,0.014662415,0.002001807,0.6363739,0.5279535,0.5399646,0.4345547,-0.11418477,0.088874534,0.77643913,0.6886537,-0.042124167
0.6981571,-0.008900791,0.8021977,-0.11230418,0.116128266,0.50035197,0.5285716,0.5743773,0.5234384,0.076312155,-0.015884817,0.65453404,0.71105254,0.10354099
0.528722,0.11736047,0.6147195,0.07668924,-0.049006216,0.7024462,0.53251684,0.45761365,0.47099483,-0.09330937,0.14771116,0.65714335,0.8346341,0.01625891
0.6285569,-0.101229295,0.49063498,0.120948166,0.120340794,0.6853049,0.563421,0.45834273,0.4849936,0.1486786,-0.14704907,0.7029431,0.8311591,-0.055022016
0.5621064,-0.06574007,0.79454005,0.10525283,0.13116294,0.7576526,0.6566794,0.5945285,0.45937818,-0.03518565,-0.096662365,0.93655556,0.7342437,0.08775571
0.62143296,-0.08930254,0.6646426,0.0043011904,0.11722264,0.59357876,0.39657223,0.44176623,0.5093814,0.13070673,-0.13881311,0.7008214,0.6976315,0.13488445
0.7925341,0.10796261,0.66529727,-0.006219879,-0.07767663,0.52610564,0.42150244,0.4199671,0.49168098,0.12849906,-0.14025234,0.7943293,0.88418984,-0.039149635
