A,B,C,D,E,F,G,H,I,J,K
0.5175949,0.49539995,0.48005354,0.10450041,-0.05178339,-0.11964182,0.56800187,0.5257909,0.4005387,0.10334304,-0.10325624
0.5918711,0.64772904,0.3907531,-0.034278683,-0.14484571,0.07930359,0.47495896,0.6131402,0.4388782,0.08711119,0.07323611
0.44969973,0.508067,0.4465645,-0.029295824,-0.14409244,0.017577082,0.5496051,0.7423489,0.66252637,-0.05219525,-0.008147314
0.4976683,0.56190044,0.5167458,0.088973984,0.062059343,0.123842984,0.43993813,0.5461197,0.37729165,0.12096238,0.065507114
0.61038375,0.71391207,0.41260612,0.13463795,-0.09547606,-0.11502092,0.546298,0.5933096,0.41673696,0.07929312,0.07172941
0.57293576,0.5813268,0.53068423,-0.053661525,-0.08952862,0.0062142015,0.47237992,0.77910364,0.4030441,-0.07666274,0.01973784
0.46100718,0.6900847,0.46426126,0.009098172,0.1484144,0.029286578,0.3988507,0.7233181,0.3323376,-0.048688784,0.015322626
0.59796643,0.5512763,0.39069748,-0.077760875,-0.080365956,-0.013693377,0.64470136,0.69626224,0.6230999,-0.13891509,-0.086619675
0.34138983,0.49540702,0.5325036,-0.052782767,-0.083960295,0.0064647347,0.49158198,0.6889248,0.39979276,0.011393905,0.06737298
0.50383806,0.48170614,0.4340099,-0.1470703,0.053989515,-0.07662335,0.56363755,0.5680603,0.37337995,-0.10510694,-0.090684816
0.4140999,0.49280125,0.5061721,0.070234016,0.055850223,0.06275171,0.34421188,0.47090876,0.32768738,-0.10741094,-0.042276032
0.52355725,0.7071524,0.5232419,-0.10803035,-0.08153408,0.13383213,0.59081733,0.49265224,0.5340629,-0.0017160028,0.14786044
0.56256723,0.6782926,0.39923486,-0.088213295,-0.10727826,-0.049932487,0.46955907,0.53359187,0.52539384,0.13402784,0.14570558
0.5881158,0.7298142,0.60464686,-0.010328382,0.09863491,0.07709731,0.6665068,0.64098614,0.66334075,-0.1435313,0.123280615
0.42954922,0.61808777,0.59299326,0.048773646,-0.03684075,0.006750077,0.65645915,0.7968862,0.569858,-0.040492415,0.06743142
0.56178975,0.6989508,0.6358175,0.07816355,0.090791,0.019098863,0.4850871,0.7232403,0.4604241,-0.095839195,-0.13002267
0.52864504,0.5206913,0.62003917,0.0887938,-0.09258455,0.033559874,0.56309,0.5978966,0.59935,-0.020632789,-0.04046558
0.6174922,0.65894663,0.42678362,0.058044136,0.10894287,-0.0031771362,0.5550691,0.58031094,0.3626684,-0.02063194,0.0690874
0.40325868,0.5482019,0.46157366,0.058535993,-0.14644435,-0.13034238,0.36757994,0.7117889,0.5507404,-0.12743904,-0.0079726875
0.4886523,0.4311236,0.44064337,0.09583928,0.041223362,-0.12949748,0.35397214,0.65751743,0.60708874,0.13945532,0.124861896
0.64339805,0.6438832,0.5041544,-0.058831967,0.018433198,-0.13580677,0.38244903,0.5600419,0.51640624,0.08189939,0.122838676
0.36320943,0.5570859,0.4183688,0.12939033,-0.0060947835,0.14814278,0.40786082,0.61931527,0.403435,0.14631906,-0.11774665
0.572506,0.60921025,0.5151603,-0.11969398,0.08284378,-0.017484888,0.45106193,0.56762874,0.46472868,0.08163084,0.024083942
0.4199865,0.66544074,0.6378224,0.08902457,0.0898249,-0.1374279,0.58336663,0.6088447,0.39433637,-0.047562487,0.05701098
0.43865094,0.5108846,0.47168928,0.12456888,0.11628863,0.14683291,0.49694067,0.5646938,0.45404485,0.010903344,0.1377886
0.37935,0.7103821,0.46590623,0.12688693,0.048279643,-0.050587498,0.6136107,0.6257334,0.5097709,-0.012513936,-0.08613601
0.54197985,0.71908605,0.5076239,-0.027447455,-0.06841738,0.02391082,0.46919608,0.72328997,0.46563488,-0.02235587,-0.033806853
0.51634383,0.66770625,0.44701874,-0.03717356,0.026366934,0.13204935,0.38454944,0.752609,0.60185516,-0.054633275,-0.08506268
0.5682967,0.6494028,0.6165788,-0.00272806,0.023405239,-0.1392758,0.54818,0.7672207,0.33964798,-0.047970273,0.014976308
0.37234598,0.64590853,0.3977371,0.028977215,-0.07267966,-0.14998046,0.54096943,0.749109,0.50348854,0.14041409,-0.050624266
0.41749737,0.79445934,0.53512,-0.020878509,0.024950996,-0.0127290785,0.43473223,0.5604316,0.474251,0.12004426,0.05625473
0.5254513,0.5774344,0.46311396,0.07974589,-0.13767265,0.13248405,0.5114802,0.6022978,0.6652464,-0.11366784,0.10104287
0.44047332,0.652005,0.5138688,-0.046003126,-0.120001644,0.097509444,0.45852995,0.7886714,0.42548966,0.12062168,0.024142623
0.41544956,0.500275,0.5829447,0.12346521,-0.04007399,0.11726478,0.5576468,0.66778183,0.48226184,0.084743336,-0.0027596205
0.4763896,0.51637864,0.6024737,-0.12888326,-0.00062818825,-0.13735373,0.4013504,0.47724634,0.52175236,-0.14531267,-0.038401812
0.6496616,0.6715589,0.50356495,-0.01383172,0.10814282,-0.12418212,0.4747711,0.59260243,0.39041138,0.034559906,-0.04019013
0.5242949,0.6343023,0.6195383,-0.077225775,0.13710347,0.10062653,0.4192421,0.6879062,0.51338625,-0.12673849,0.11748412
0.463055,0.717251,0.51288986,-0.02744256,-0.015425861,-0.07710577,0.40108633,0.609657,0.49202487,0.11463353,0.068883404
0.53112394,0.77199614,0.53041434,-0.14742309,-0.033679947,-0.10426299,0.59954697,0.7031784,0.5487501,0.10374224,-0.13932058
0.5667715,0.5522466,0.42793247,-0.024300039,0.112656385,0.08023529,0.48712587,0.5688943,0.6262534,-0.036452614,-0.036445446
