A,B,C,D,E,F,G,H,I,J,K,L
0.042406082,-0.06296811,-0.0009778365,-0.07478673,-0.07262984,-0.06339131,-0.12106444,-0.08433041,-0.25520304,-0.3395862,0.07214213,-0.5148723
-0.12686092,0.1367906,0.1362367,-0.23007023,0.16925266,0.106912196,0.03909193,-0.7641219,-0.31209445,-0.22622699,-0.06314552,-0.3077897
0.12483364,0.052161515,0.039083205,-0.25900775,-0.15795887,-0.14324498,0.03237334,-0.099093825,-0.8013953,-0.7893426,0.05227402,-0.15411825
-0.10247387,-0.11606571,0.036165923,-0.5945042,0.0146834105,0.066791296,0.13595852,-0.20831534,0.06034548,-0.09410264,0.10190829,-0.41602048
0.11121827,-0.13057609,0.13962193,0.061787758,0.0014040992,0.10020226,-0.11521476,-0.21028757,-0.4185368,-0.28319004,-0.2567929,-0.62783796
0.14016637,-0.08152822,-0.03682861,-0.31155175,0.25272366,0.117669046,-0.109320514,-0.69488204,-0.31830266,-0.080430046,-0.16942443,0.088396676
-0.07701552,0.028533101,-0.010913029,-0.28695375,0.16120838,0.044420034,0.06315303,-0.092416085,-0.70507866,-0.75478554,-0.20063747,-0.2553652
-0.14990732,-0.13231505,-0.16412777,-0.8663183,-0.06194126,-0.023755789,0.023785442,-0.2937805,0.21378447,-0.092654765,-0.117192574,-0.44879872
-0.1221487,-0.08509943,0.09695572,-0.46486214,-0.036488414,-0.07761267,-0.044731632,-0.36289287,-0.13807185,-0.14601687,-0.06858963,-0.6048223
0.1034987,-0.13408685,-0.066941634,-0.117431775,-0.19972217,-0.018664211,-0.018639207,-0.7342038,-0.3624556,-0.47056887,-0.1215526,0.20130064
0.06576276,0.05280246,-0.0046442747,-0.71489066,0.16692185,-0.03333979,0.1456221,-0.529688,-0.7582042,-0.5818477,-0.00941062,-0.22716036
-0.030621745,0.0768023,-0.12522689,-0.41719347,0.028528027,0.054129317,-0.0281552,-0.12560757,-0.60892415,-0.514126,0.034835745,-0.24888298
0.07264207,-0.055768095,-0.10318412,-0.6907097,-0.079818964,-0.12723626,-0.016190976,-0.49426967,-0.008812945,-0.1027091,0.067654006,-0.65919083
0.07030289,0.031619594,-0.0055366457,-0.24399461,-0.07735843,0.015559867,0.05023901,-0.24627447,-0.36225975,-0.32342467,-0.14272167,-0.4878762
-0.061032325,-0.118135124,-0.22251365,-0.55626416,0.07298203,0.09495889,-0.05824072,-0.5513309,-0.40955067,-0.23813184,0.023385648,-0.14803132
-0.06530148,0.05213076,0.022149917,-0.42594188,7.607415e-05,0.037437975,-0.13211368,-0.21846476,-0.54826874,-0.5521914,-0.03848455,-0.29154122
-0.05577357,0.04536967,-0.22294046,-0.5938091,-0.1399672,-0.1295169,-0.07112139,-0.48266548,-0.04703206,-0.10517633,0.033274353,-0.42062974
0.06768319,-0.057060495,-0.08678712,-0.21294314,-0.090809375,0.1456823,-0.14975926,-0.49623597,-0.4820534,-0.4614752,0.08548763,-0.4892568
0.07347639,-0.09106265,-0.32975748,-0.5559355,0.03469196,0.090339825,-0.14628643,-0.42970282,-0.7137711,-0.45068246,-0.036037747,-0.020114016
-0.05850941,-0.13153282,0.06282443,-0.5574832,0.19013089,0.066454604,0.024694532,-0.16920713,-0.39413312,-0.36032504,-0.08884589,-0.34228227
-0.10017188,-0.06304785,-0.4260449,-0.26465017,-0.009083621,-0.085731395,0.015090823,-0.62536776,-0.22407174,-0.28260836,-0.2655152,-0.48554915
0.08191608,-0.14083268,0.038808517,-0.78292805,0.014737748,-0.073479176,0.06450006,-0.66942006,-0.3527866,-0.65057534,0.057981096,-0.45660913
-0.14089204,0.026760936,-0.29951733,-0.3737514,0.22892627,0.07234691,0.012640417,-0.17613459,-0.6062731,-0.6303848,-0.21527597,-0.3360383
-0.03316024,-0.0039692223,-0.06434946,-0.7784132,-0.061650902,0.010917306,-0.103990376,-0.6600586,-0.06593011,-0.24432543,-0.110080905,-0.40216652
0.005356893,0.039245546,-0.4315068,-0.47505844,0.09878527,-0.045528196,-0.12530094,-0.31036085,-0.35233277,-0.69309735,-0.14258377,-0.5178382
-0.13787681,-0.056865893,-0.16715506,-0.9012996,-0.11345583,0.06572087,0.11682364,-0.72109115,-0.40885484,-0.2176387,-0.062372863,-0.02624847
-0.12513162,0.0031245798,-0.4593876,-0.52399504,-0.27478206,0.037479043,0.06327641,-0.30921432,-0.7043536,-0.7035666,0.05719894,-0.3551646
0.022218585,-0.07785543,-0.21308444,-0.8126872,-0.17760608,-0.049169272,-0.0032104254,-0.628886,-0.47977766,-0.27531883,0.010445465,-0.2669756
-0.014499605,0.035275355,-0.46489647,-0.46149272,0.11201294,-0.110324666,-0.06331237,-0.5270229,-0.69133943,-0.5102366,-0.12689689,-0.50180197
-0.008676693,0.0016136318,-0.13743663,-0.9496929,-0.08958611,0.07208875,-0.104170725,-0.61371386,-0.48842636,-0.56829643,-0.09458159,-0.47813025
0.14515701,-0.03548067,-0.42247665,-0.6813456,0.11718463,0.06733845,-0.13577704,-0.45548522,-0.58130354,-0.43248832,0.119314805,-0.55606335
0.073212385,-0.108438246,-0.23214476,-0.72457844,0.014316559,-0.012235016,0.071049616,-0.7377167,-0.41341054,-0.40094966,0.107359156,-0.4031887
0.10137373,-0.13005,-0.46844575,-0.37106943,0.20071188,-0.13320747,-0.019864649,-0.6947836,-0.45171273,-0.63882756,0.032379128,-0.40290666
-0.14012939,0.021056876,-0.19163729,-0.9641334,0.2498784,-0.009397477,-0.122792,-0.65432376,-0.70976704,-0.60486704,0.006310925,-0.30032676
0.055003032,-0.001989901,-0.29448768,-0.5271478,-0.16500062,-0.07270655,-0.07802017,-0.3372035,-0.37765306,-0.6160092,0.069189265,-0.44417706
0.12631255,-0.01339224,-0.24791598,-0.80525374,-0.027939104,-0.1452659,0.121498376,-0.66919196,-0.022919096,-0.19459113,0.052051608,-0.63781774
0.12530822,-0.12403105,-0.40516067,-0.43524167,0.09441223,-0.097121134,0.0017900169,-0.3941136,-0.5988156,-0.5040034,0.09560472,-0.48166537
0.14521119,-0.031833403,-0.18655577,-0.5572891,0.17715114,0.060204744,0.014300615,-0.7705288,-0.48691022,-0.49602982,-0.104225844,-0.17086299
