A,B,C,D,E,F,G,H,I,J,K,L,M
0.093073964,0.0626927,0.031419903,-0.015908375,-0.00398764,0.79423606,0.13171494,0.6406281,0.5797173,0.010121107,0.45883018,0.6582768,0.1280697
0.11611301,0.09406543,-0.13090932,0.08369896,0.058256105,0.6835862,-0.12951839,0.5518187,0.6491932,-0.049424782,0.6230508,0.56908,-0.054825388
0.04651995,0.0181811,-0.1485705,0.013391301,-0.11148557,0.79231334,0.035496145,0.6025306,0.6594972,-0.036269225,0.58768034,0.5711998,0.107287675
0.11906272,-0.05990029,0.11284563,0.06189215,-0.12763877,0.7419396,-0.06397843,0.36696815,0.5773568,-0.07173361,0.5585409,0.57392824,-0.085249975
-0.060076244,0.027689308,0.14178687,-0.12236347,-0.1339134,0.65787655,0.033174276,0.3634835,0.4510324,-0.111872435,0.36997986,0.47167173,-0.05227842
0.10777745,0.003682062,0.03680405,-0.10933262,-0.09666326,0.675784,-0.04937137,0.387242,0.5156875,0.06904076,0.611194,0.6568128,-0.087663755
0.065484166,-0.112494886,-0.033569507,0.043009445,0.011875749,0.7678947,0.14025092,0.45915467,0.62176716,-0.017208323,0.60512376,0.46005487,0.13542572
0.015742406,-0.116520345,-0.1189946,-0.041006953,0.02251169,0.7696386,-0.087263614,0.37782896,0.5626022,-0.14009334,0.42163354,0.62079895,0.10641295
0.10112411,0.08353172,0.09207876,0.10553315,-0.12199742,0.7698877,-0.06842278,0.60063845,0.5475362,0.013331145,0.43436617,0.53099287,-0.09396277
-0.009845972,0.06324856,0.12847418,-0.039758652,0.12854978,0.79343677,-0.13478206,0.6085005,0.58295536,-0.12871799,0.63070345,0.5427649,-0.058355123
-0.03535427,0.030422762,0.048617095,-0.005349204,-0.028762974,0.84617794,0.03234066,0.45675722,0.6843631,-0.036147974,0.62487876,0.5859008,-0.07478373
-0.14815867,0.081382304,-0.016888648,0.13852224,0.033680335,0.81589854,0.13561869,0.59269804,0.5024116,0.031912,0.51047915,0.50702286,0.0032211393
0.06873946,-0.13186282,-0.07782169,0.09777628,-0.076652884,0.73368573,-0.015145034,0.6517922,0.7527137,0.01644066,0.506892,0.6376451,0.012669414
0.016618192,-0.088410795,0.017162994,-0.116434604,-0.08180071,0.818717,-0.11237362,0.44267243,0.67839986,-0.053841792,0.4949144,0.5692544,-0.111766756
0.13896722,0.06664851,0.13321236,0.036952972,-0.017896771,0.75557864,-0.108471364,0.37439463,0.6910916,-0.05953975,0.63926166,0.4500242,-0.039125226
0.080798015,0.00732629,-0.059591644,-0.14718977,-0.11905996,0.8118738,0.017907053,0.6131282,0.46702364,-0.09877702,0.4713031,0.48205405,-0.077012554
-0.051953964,0.09289166,-0.1255104,-0.0650896,0.07393046,0.7865019,-0.015300244,0.3531199,0.6091494,0.12883258,0.45251936,0.6255553,-0.010422498
-0.06163025,0.1033757,0.06826308,-0.021555841,-0.00830473,0.679026,0.026574403,0.64415395,0.51416755,0.033452585,0.4783588,0.61872196,-0.06554414
-0.05241652,-0.094335586,0.14945966,-0.00063347816,-0.11484309,0.622109,0.08089252,0.5289333,0.5569083,0.13622609,0.42105573,0.5750531,0.045833558
-0.05353421,0.14904574,0.098075435,-0.100857764,0.13781866,0.8485396,0.048709825,0.5309088,0.65909934,-0.099838346,0.34723663,0.44830322,0.043367192
-0.07770474,-0.060040466,-0.057103604,0.051214114,-0.050160818,0.8288487,0.08168663,0.4031317,0.680328,-0.10681769,0.47073644,0.34947348,0.043914124
0.13981497,-0.08975749,0.05834499,-0.04694406,0.109196484,0.7396021,-0.13848692,0.325182,0.7362064,0.117345124,0.549472,0.5788145,-0.061799817
-0.058499373,-0.038717978,0.11455968,0.08536585,0.04607898,0.7296117,-0.09818517,0.49898028,0.64119375,0.090296894,0.48732087,0.61807823,-0.04180289
-0.14574212,0.025062382,0.13320637,-0.010435194,0.09169908,0.68165386,0.08401303,0.4273442,0.65793955,0.039006785,0.53419894,0.36416715,0.047433972
0.10511613,-0.04701916,-0.06137672,-0.09127599,0.045947775,0.88375044,0.11745554,0.61385095,0.71017534,0.12852243,0.5929488,0.5624676,0.06531435
0.14600119,0.05335772,0.11635801,-0.13051528,0.07125966,0.8401322,-0.14789635,0.38350976,0.51589507,-0.1049613,0.53185266,0.48488656,0.026085705
0.06646724,0.14027992,0.14600629,-0.0478748,-0.12234504,0.82400787,-0.11705091,0.523167,0.6916969,-0.08365148,0.44329333,0.51278967,-0.03638152
-0.003108576,-0.12514123,-0.11652419,-0.0119547695,-0.0021429807,0.634585,0.123001695,0.5724274,0.668735,-0.05878453,0.3861894,0.63078237,0.0036350787
-0.100122124,-0.1200207,-0.136442,0.07363115,-0.030252725,0.6065997,-0.072891034,0.39436162,0.74208415,-0.10586943,0.53135204,0.50890696,0.043853372
0.07528028,0.13025591,0.0562647,-0.13459446,0.053565517,0.62880737,-0.13336784,0.49661648,0.7000009,-0.046947062,0.51160645,0.35520995,0.14896408
-0.00049972534,-0.14851132,0.001801163,0.07487348,0.074972644,0.88932955,0.13358125,0.4775772,0.49468678,0.020780861,0.41921145,0.5284008,-0.07709661
0.107519805,0.05503854,0.08411248,0.045018077,0.08922741,0.79852355,0.097437605,0.42682916,0.6423144,0.09139414,0.50661623,0.5552211,-0.11192408
-0.0006503463,-0.033806957,0.098756135,0.09981465,0.11261496,0.6829971,0.030893877,0.53107125,0.5330495,0.08165549,0.5261168,0.597435,-0.077460915
-0.005699426,-0.07617375,0.08653416,0.13084719,-0.028595746,0.7482418,-0.08568129,0.48560384,0.5361937,-0.11924306,0.6556736,0.52389604,-0.032802306
0.12450397,-0.10318689,-0.057919443,-0.14615686,-0.1252485,0.59974396,0.021541998,0.51329505,0.5936549,0.0031562746,0.5494207,0.36900097,0.06955068
-0.12528357,0.13828525,-0.009796783,0.03103134,-0.10928318,0.67572564,-0.09175723,0.36147863,0.56219494,0.057016984,0.48099616,0.40340382,-0.12776732
-0.1032262,0.049556628,-0.13512167,-0.0085424185,-0.11974517,0.75919557,0.08230534,0.38001317,0.4660039,-0.025653653,0.36372936,0.45191458,0.12115666
-0.09221567,0.1410338,0.07653406,0.11949369,-0.03674575,0.5885736,-0.14228931,0.62827575,0.71930933,-0.105887465,0.40683982,0.48687032,0.1454156
-0.13838713,-0.062451378,-0.14502198,-0.011933118,-0.10693263,0.66199887,-0.044681028,0.4161057,0.50831497,0.043009043,0.3684717,0.5390022,0.12661779
-0.01273644,0.05465491,0.10610762,-0.07985253,-0.014516383,0.67401767,-0.05954685,0.45894513,0.67204386,0.08405292,0.40964147,0.6454451,-0.13700888
-0.101813346,-0.07525195,0.045846537,0.14356902,0.14631692,0.7673006,-0.08655578,0.61704814,0.65153354,0.10851684,0.36151624,0.37352324,-0.07079503
-0.071856275,0.07907586,0.1396814,-0.060769044,0.097393766,0.6373406,0.008418277,0.6270091,0.72330403,-0.114793584,0.4050639,0.6465571,-0.005925253
0.038985148,-0.14741077,0.099462345,-0.1268841,0.052175105,0.7518401,0.124040216,0.33965105,0.60769874,-0.07138251,0.45948383,0.54752463,0.06026067
-0.007181555,-0.05172866,0.10798743,0.08595525,0.031778842,0.7260033,0.04507287,0.5485701,0.65553343,-0.1442307,0.46125507,0.5268916,-0.13956119
-0.1353175,0.08881904,0.1290105,0.14684463,-0.07108015,0.8371561,-0.06865901,0.31520373,0.4838953,-0.073550805,0.62709045,0.5789965,0.06480773
-0.13634016,0.088302985,0.10093868,-0.0848465,0.064064845,0.7535665,-0.07176088,0.6223885,0.6140934,-0.05104001,0.5014853,0.48512912,-0.084273756
0.121104,0.119784474,0.14281479,-0.1399242,0.034279525,0.69966644,-0.09395786,0.35146368,0.57873106,-0.12239954,0.539042,0.57772744,-0.07112941
0.07398847,0.038949832,-0.12761658,-0.051673435,0.11099392,0.7372632,0.13639063,0.43102401,0.56695986,0.12136516,0.6387338,0.5443726,0.081114024
-0.1257782,-0.038367055,-0.016167924,0.08582373,-0.07062983,0.7605914,-0.094531834,0.60068583,0.6838746,0.12982562,0.5843277,0.42471656,-0.0512752
0.118723005,-0.0833318,-0.071251795,-0.02301246,-0.027582638,0.8759995,0.12700665,0.6334026,0.6949115,-0.14952606,0.39104542,0.37163684,0.08387394
0.013699174,0.04742329,-0.031068407,-0.094597444,0.061327174,0.84392035,-0.018100947,0.43299875,0.5474763,0.030487448,0.58389646,0.5076061,-0.093548946
0.03602396,0.0143868625,0.13416278,-0.03641378,-0.067847446,0.8588274,0.08463122,0.486907,0.6280997,-0.046757646,0.34226534,0.4499004,0.0608629
