A,B,C,D,E,F,G,H,I,J
0.12528524,0.014464736,1.0606129,1.0519679,0.101456866,0.030424416,1.0778036,-0.10354583,0.0012639165,0.07630487
0.085394755,-0.051890805,0.9877177,1.12897,0.17775536,-0.13323702,1.033432,0.0333405,-0.057799354,0.09507041
-0.069769084,0.0878994,0.98328793,0.99596196,0.17788078,-0.032223366,1.1773744,0.007525742,0.14207321,-0.14160466
0.06944208,-0.05226537,1.1963205,0.9458447,0.37831002,0.06922667,1.0060086,0.021735117,0.030953288,0.082842514
0.006510526,-0.018272579,1.1272141,1.015904,0.16016687,-0.08892836,1.173381,-0.0027337968,0.063482985,0.09303707
0.019196719,0.021403387,1.0898497,1.0504465,0.32751328,0.060290605,1.1304153,-0.0070520937,-0.14523874,-0.057211593
-0.060183443,0.1478329,1.1725546,1.0335118,0.25218505,-0.110070795,1.0721642,0.020995855,0.08362168,0.032111913
-0.050555207,-0.1456435,0.93731076,1.1492536,0.26609248,0.12965381,1.1174635,0.067510396,0.12319103,0.12966657
0.019648239,0.043214023,1.0339193,0.82554555,0.35268366,-0.12774003,0.83462673,0.016790971,-0.05248881,-0.120882496
-0.12205214,-0.034773484,1.0399692,0.9790375,0.16835624,0.08707556,0.9102061,-0.052754276,0.07021728,-0.09138149
-0.07028371,0.033580214,0.8376627,0.93616396,0.31611708,0.08215721,0.85400534,0.14521402,-0.07664187,-0.06505439
-0.0653784,-0.09405005,0.8044296,0.80043656,0.17729658,-0.0124569535,0.80850106,-0.042132623,0.034240454,0.11961576
-0.099454924,0.0070305467,0.83317363,0.8684485,0.25791973,0.03613402,0.74157524,0.10805845,-0.039323725,0.009245276
-0.033812605,-0.12184353,0.7830353,1.0645019,0.1314131,0.063567966,0.7906579,0.10933378,-0.06466624,0.038029745
-0.05660364,0.028348371,0.83497584,0.71188754,0.14818834,-0.14853117,1.000271,-0.10218787,-0.036780417,-0.052831545
0.11511877,0.07118651,1.0906903,0.9964206,0.1680964,0.08007865,0.8899441,0.106934875,-0.0803155,-0.03920061
-0.10569732,-0.08849892,1.0121835,0.9726331,0.39162743,-2.861023e-05,1.1639549,-0.05070518,0.10231602,-0.042008743
-0.108402684,0.13657263,1.0574526,1.0582049,0.3430049,0.12948385,0.90326166,0.047108576,-0.039266877,0.0720087
0.105454475,0.017051667,1.0623287,1.1187893,0.23461175,0.049781352,0.94388616,-0.0031096637,-0.13716704,0.09775159
-0.07336724,-0.057073027,0.92777085,1.1854115,0.41535416,-0.09592279,1.1683983,0.025755316,0.024102509,-0.06747743
0.13736111,0.110643744,1.1765938,0.99692607,0.24191332,0.031580076,0.81371397,0.09622809,-0.11209914,0.12507892
-0.13184217,0.080172986,0.76261175,1.3006754,0.44863927,-0.09798518,1.1716095,0.14313191,-0.095923916,-0.021653354
0.14158735,0.009516582,1.0087794,0.82235867,0.21806516,0.14448085,0.6599344,-0.102412805,-0.07003447,0.083512545
-0.056515098,-0.1411701,0.7466809,0.9982423,0.14193839,-0.06505561,0.95378155,-0.038866013,-0.11058757,-0.010246292
-0.1319473,0.087033525,1.1171682,0.6411824,0.21762492,-0.10794966,0.82670814,-0.14030676,-0.14174771,0.041652724
0.13939443,0.019170284,0.8689514,1.2581204,0.34894058,0.08162987,0.85078967,-0.04284157,0.017361552,-0.090423815
0.086799935,-0.052832887,0.9797887,0.8123858,-0.01282692,0.044346377,0.9827908,-0.039736144,0.08983751,0.12352756
