A,B,C,D,E,F,G,H,I,J,K,L
-0.15370941,0.10016742,-0.114455044,-0.15717855,-0.14097407,-0.079362296,0.017979056,0.118991196,-0.2769426,-0.03743493,-0.064268306,-0.09133963
0.0607953,0.04688178,0.0012182295,-0.21832606,-0.20079428,-0.098005235,-0.08565969,0.03176281,-0.22582772,-0.14104204,-0.0021428019,0.10616216
0.23368013,0.017118394,-0.03364057,-0.31946376,-0.05955433,0.055346414,-0.049887568,0.11009309,-0.0025837123,-0.2424461,0.034453124,-0.04611536
0.19146289,0.06850815,0.11711913,-0.2013864,0.08567272,-0.011522353,0.104913086,0.074576765,0.16916141,-0.23814979,0.04638858,-0.03471689
0.15779248,0.100747645,-0.011115938,-0.14974627,-0.09891584,0.14705482,0.065870315,-0.079862565,0.07332802,0.0020892993,-0.13651036,0.087170795
0.115162365,-0.040786564,0.04173024,-0.22071087,0.16879176,0.033068433,0.101311326,0.054911137,0.1576728,0.030958287,0.0682586,0.13232356
0.046811946,0.096685275,0.14484698,0.10938357,0.038441993,-0.033547945,0.10561514,-0.030462079,0.044358827,-0.1642608,0.13536447,0.118064314
0.08115329,-0.0010226518,-0.05228897,-0.049569942,0.062017735,-0.14159976,-0.09072411,-0.012818098,0.25278407,0.23437864,-0.047884546,0.1114133
0.0043318346,-0.13218153,-0.049313523,-0.11431675,-0.21114984,-0.10557233,0.053940013,-0.124817334,-0.14695194,0.1858853,-0.073949166,-0.09528172
-0.10290748,-0.14890261,0.13336724,0.08820346,-0.24464121,-0.032663442,-0.13766158,0.103373915,-0.17108935,-0.05071008,-0.040559076,0.1362198
-0.20397706,-0.1389629,0.02781254,-0.16362205,0.0728576,-0.0095612705,0.054190442,-0.076302,0.03137763,-0.08796348,-0.10708328,0.10223752
-0.24394006,0.018057093,-0.14142992,-0.061359573,-0.12945642,0.04606615,-0.0624993,-0.06650666,-0.12757944,-0.2816546,-0.11596002,0.07017277
-0.05065283,0.060452163,-0.057069868,-0.12278888,0.040886413,0.105069846,0.10558757,-0.095665604,0.047032647,0.01920645,-0.087445885,-0.053243548
0.02040297,0.11089465,-0.11470583,-0.22021595,0.07003182,-0.031154916,-0.028771825,0.12801042,-0.041576426,-0.072317496,-0.07758126,-0.08596954
0.0024338588,0.10907233,0.09337179,0.230338,-0.021089863,0.032847956,-0.13576865,0.07048789,-0.0005016774,-0.016748901,0.09966938,0.04176016
0.046654947,-0.01748015,-0.10091962,-0.029685609,-0.09900085,0.08823788,0.07655732,0.07951145,0.18204167,-0.034766942,-0.11286794,0.050862953
0.22628815,-0.13165003,0.085061505,-0.16784252,0.16631564,0.114935994,0.11386922,0.0846964,0.10615137,-0.12897585,-0.023546845,0.10050988
-0.14059609,0.11435646,0.09571183,0.041167766,0.077614315,-0.06269404,-0.029707238,-0.11175144,0.23363198,-0.066998884,-0.08548515,0.11514509
-0.1848084,-0.024113163,0.05998856,-0.14729173,-0.040472455,-0.11510754,0.020700604,-0.1367588,-0.042956598,0.0882684,0.09305887,0.14570552
0.0062958,-0.07145954,0.028473288,-0.25031942,0.010759011,-0.017194062,0.010517448,-0.114949666,-0.0801267,0.13326511,-0.094239295,-0.12985808
-0.1146608,0.01203838,0.08013369,0.19306245,0.01736234,0.13911834,0.036221355,0.10566521,0.16054118,0.097996935,-0.053376622,-0.004901111
-0.1580993,-0.06758833,-0.01876837,0.11118931,0.19470413,0.03094101,0.1205959,-0.13788617,0.2979459,0.00053255353,-0.07366666,0.021759078
0.08036273,0.10720077,0.14590329,0.25281754,0.048512664,0.06792618,-0.004102096,0.122641,-0.023247574,-0.04746434,0.11937642,-0.07517648
-0.11292462,-0.10496604,-0.045773365,0.013930552,0.20183164,0.050476104,0.110117644,0.011394039,0.3285321,0.04853426,-0.14526024,0.07944189
0.10510731,0.06489013,-0.074836224,0.008414775,0.019691523,-0.12988609,-0.0016110837,0.057946667,-0.019155527,0.14490482,-0.12452957,-0.12552053
-0.23614895,-0.116239324,-0.021847382,-0.015165098,-0.034831032,-0.07663842,0.0472081,-0.12548327,-0.098186,0.1789975,-0.11799918,-0.08512363
0.08045905,-0.03403151,0.077578574,0.106139764,-0.04666675,-0.046498418,-0.1254974,0.032944113,-0.14495344,0.036906563,0.0934037,-0.14625478
-0.009132512,-0.116450384,0.024465784,0.21372432,0.07009378,-0.10074227,-0.123937145,-0.048157938,0.13766715,-0.12779728,-0.10268344,0.045975044
-0.117655635,0.001682654,0.063283294,0.07046532,-0.17169969,0.084876195,0.11477217,0.08026098,-0.070837535,0.07676768,0.06402676,-0.056932375
-0.12682292,-0.13988778,-0.006662965,-0.34276778,-0.051021256,-0.042315,-0.09678575,0.11616945,0.21500523,0.1607285,-0.12144174,-0.021442443
-0.039387353,0.08371784,0.13226828,-0.11576372,-0.018001083,0.03710243,0.11261037,0.13853207,0.06343005,-0.11687662,0.029729217,-0.030563109
-0.26387376,0.02365397,-0.1397295,0.07009562,0.03675365,0.04804632,0.095192045,0.056048587,0.23254173,0.05802838,0.122440994,0.003101021
0.16779187,0.03457713,-0.024337575,-0.1859581,0.1979188,0.0010660142,0.063817576,-0.10264622,-0.08470543,-0.02455008,0.0947071,0.10155016
-0.0022327155,-0.043518484,0.052951768,0.2966979,0.1467249,0.1268835,-0.08210004,0.0062813163,-0.08796463,0.14155596,0.14589545,-0.119744584
-0.003105875,-0.0139828175,-0.1345087,0.22600545,0.25569212,-0.14122027,-0.14054021,0.14407083,0.17398551,0.1570077,0.11863953,0.05950068
0.05213296,-0.07056148,-0.041864507,0.41685155,-0.16459979,-0.032029204,-0.13730046,0.044855967,-0.17151308,0.21894598,-0.045702033,0.068915516
0.11917799,-0.096736304,-0.013169318,-0.113051765,0.06946778,-0.049984485,0.13143483,-0.13463888,0.0716149,0.11255136,-0.084310986,0.0169335
-0.14820817,0.021860361,-0.128476,0.35645115,-0.05583914,-0.047257558,0.065577835,-0.03136611,-0.13598058,-0.105073825,-0.115219295,-0.092612386
-0.100324765,-0.025167935,-0.11581289,0.065993324,0.00687762,0.11343652,0.14969313,0.14579603,-0.29675868,-0.060609438,0.06130126,-0.03198556
-0.062094547,-0.1499741,-0.0050135255,-0.15923163,-0.03372988,-0.04775267,-0.09501904,0.024866134,-0.05294681,-0.052527297,0.0061104,0.022890076
-0.0065797903,0.110427886,0.024497718,-0.19638154,-0.1647979,0.06850727,-0.04192082,-0.11902296,0.07748201,0.119961284,0.029909492,-0.09933701
-0.287292,0.10596049,0.1133914,-0.14507063,0.20517486,0.09000644,0.03471896,-0.007310778,0.09837639,-0.02595162,-0.0023943335,-0.05965823
0.12034479,0.043105796,-0.09241961,0.31150815,-0.050028086,-0.11660486,0.11439636,0.05688241,0.09647028,-0.18121852,0.07406445,-0.14888337
-0.011380747,-0.14853379,0.0009872466,-0.11503938,-0.15746875,0.13489491,0.13518372,-0.09132321,-0.19882697,0.3493672,-0.026646212,-0.12543651
-0.08594705,0.14111471,0.026731089,-0.24599437,0.056984507,0.12100473,0.09967367,0.14065665,0.17936584,0.07379919,0.025723517,-0.12130235
-0.14572562,-0.114229366,-0.110475704,0.28048396,0.18348595,0.122377396,-0.015570566,-0.14935063,0.14555494,-0.09910075,-0.018543288,-0.036011197
0.17849633,-0.07433589,0.10146424,0.25605935,0.019144341,0.074277416,0.08233225,0.13637152,0.1606746,0.07698479,0.07368037,-0.14989379
-0.06663014,-0.102483384,-0.14696419,-0.16190217,0.031342067,-0.04021188,0.02417165,0.10988161,0.204171,0.15074167,0.12162024,0.11552194
-0.086514935,-0.1043161,0.051570937,0.0605347,0.09673008,0.0968716,0.1272851,-0.14784932,-0.097535804,0.10042893,0.12307048,-0.09422891
