A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
0.62529963,8.478458,-0.054992653,1.3277574,-0.13024844,0.0570599,0.074173585,-0.77681017,-0.29039845,0.008492425,-0.051244847,4.8205585,0.10316101,-0.27174467,-0.6825769
-0.16247231,6.5611534,0.12568834,-0.098948635,-0.70537275,-0.14652854,0.08181578,-0.2857769,-0.66202456,0.21620467,-0.4435023,4.5174837,0.10480124,0.62017345,-3.9013138
-0.30040136,-4.5795794,-0.033146724,0.45284638,-0.0412521,-0.05924067,-0.1399707,-0.021950841,0.73043305,0.35201198,0.25656104,-2.9175713,-0.12644842,-0.59822243,-0.90659803
-0.7864695,5.558417,-0.05222878,0.9656672,-0.034181744,-0.131185,0.04658936,-0.66252077,-0.56443,-0.30246276,0.7232623,-4.063646,-0.14636865,-0.015876219,1.3730693
-0.09956138,12.148431,-0.14861475,0.94267535,-0.6504889,-0.09623852,-0.07732414,0.42449397,0.5439191,-0.78709215,0.025859877,2.9936275,0.024769679,-0.20065534,-0.19691694
-0.548861,3.1707425,-0.022986367,-0.21915609,0.32520884,0.014613628,-0.05902174,-0.30829695,0.6475171,-0.63497144,1.0225466,3.6689048,0.11620879,-0.16925153,0.97712785
-0.17432198,-2.4307156,0.10209274,-1.1257874,-0.9861428,-0.028822124,0.085978,0.6513512,-0.5983067,-0.7653301,0.3693999,1.6631775,-0.11307918,0.8963733,2.9584641
0.8214395,-4.2738376,-0.12505683,-0.23875606,0.5233285,-0.026713945,0.028865501,-0.92165166,1.2153665,0.55485547,-0.700938,-1.4065492,-0.13980581,0.28444815,-1.6374822
0.88927895,-5.611032,0.025502726,-0.80966914,0.99611807,0.07018928,-0.015612215,0.7541602,-0.8363583,0.7455074,-0.1909469,-2.9746666,0.04982865,-0.5882662,0.58393896
-0.34181273,0.40258121,0.12160501,-0.006293431,0.8692804,-0.051272355,-0.020186037,0.17511293,-1.0530446,-0.038861305,1.0772139,-0.948296,-0.070702694,-0.9821696,-2.212162
-0.83674407,0.9654712,-0.07119475,0.75742,-1.1520902,-0.06887525,-0.035009302,-0.9494841,0.5117287,0.897312,-0.21361935,0.97176445,-0.05634272,-0.6508824,-0.17655265
-0.10512595,-0.18070722,-0.04425752,0.78434753,-0.52072334,0.025493965,-0.06882942,-0.13016483,0.67853546,-0.13117184,-0.4719417,-0.97589725,0.097228006,0.30293787,-1.4636782
-0.052035715,1.4836521,0.052927896,-1.220582,-0.4513042,-0.14851579,0.06415041,0.7190288,-0.33217537,0.2391356,-0.9922721,-0.50725996,-0.06063261,0.68358064,-0.75406194
-0.76985836,-0.12565255,-0.14190927,0.18101282,-0.87979805,0.076487094,0.08242138,0.39321363,-0.09411373,0.7351483,0.86445105,1.63938,0.014002845,0.15181279,-0.89482164
0.24461217,-2.0859227,0.02825065,0.8148751,-0.60078543,-0.11640005,0.102274776,-0.7566159,-1.1707491,-0.7850982,-0.48925954,0.28540605,0.05065529,0.63121045,0.03961137
