A,B,C,D,E,F,G,H,I,J,K
0.013865709,0.0058493465,0.7130472,-0.066066,-0.06113021,0.93330055,0.7756975,-0.143589,0.64972913,-0.08339396,0.8593471
0.06329769,0.11730775,0.6959204,-0.14614472,0.13279673,1.1104457,0.86056125,0.02829589,0.73772645,0.13714603,0.8701996
-0.04917272,0.041916266,0.63919425,-0.103149354,-0.13863254,0.99250865,0.77067935,0.011042118,0.59864044,0.14978945,0.62321776
0.016014993,0.042826757,0.64120317,-0.03332661,0.14585286,1.0749464,0.94710374,0.08041774,0.590843,-0.0921994,0.7394265
-0.087628774,0.14249873,0.80958873,-0.11607993,0.13017729,1.1301944,0.9457729,-0.14900346,0.57744735,0.10030976,0.7082687
-0.04067699,-0.03190908,0.7099921,0.131194,0.13556358,0.9556091,0.8054062,-0.054698057,0.51785815,-0.06689516,0.5437744
-0.056960627,0.03084284,0.76021564,0.053556338,-0.12689288,1.0766902,0.9040263,-0.063456096,0.52129906,-0.1227258,0.75752074
-0.023861095,0.0879686,0.8250433,0.03486809,0.0075716227,0.94230276,0.928332,0.063303545,0.43684027,0.10200566,0.8522104
0.14631972,0.1464867,0.75317585,0.01854363,0.0042295456,1.0271329,1.0174528,-0.11178108,0.4244139,0.08564757,0.7401865
-0.07211253,-0.024626195,0.7561296,-0.010390282,-0.13543516,1.0316327,1.0372843,-0.060031705,0.49370492,0.0740625,0.6525517
-0.00781253,0.060760155,0.7310114,-0.045667507,-0.034344777,0.9518713,1.0272532,-0.07622622,0.61562884,-0.013228565,1.1068914
0.10475564,-0.021624774,0.80456203,-0.120521024,-0.037220284,0.99777955,0.9072763,-0.045152687,0.524054,0.072879866,0.77639323
-0.10659836,-0.080303535,0.30697542,-0.062049955,0.05387713,1.0334,0.9290589,0.061979055,0.57540727,0.14298078,0.848945
-0.14475587,-0.08073124,0.7530898,0.056809694,-0.0861306,0.8648255,0.98690146,0.099367365,0.5679302,0.07601443,0.72269833
0.12540823,-0.14692934,0.52467287,0.08518542,-0.061897933,1.1144425,0.7011518,-0.08529813,0.46645793,-0.14931431,0.9733614
-0.13314179,0.14183515,0.7944933,-0.039261065,-0.048648886,0.8649566,0.8866432,-0.06681842,0.6705527,0.109961,1.0338562
-0.064942166,0.13324088,0.42180586,-0.017086133,-0.13366078,1.053947,0.7701204,-0.069151446,0.42272693,0.11637023,0.72626317
-0.019948512,-0.038593195,0.6244613,-0.021266863,0.06975429,1.1031092,0.88850117,0.018397868,0.66149783,-0.11692102,0.7703336
0.119108886,-0.14956816,0.8787632,-0.08253002,0.13761947,1.1146003,0.86250407,0.113679916,0.51665294,-0.04238563,0.9000577
0.11138743,-0.05082847,0.7872088,-0.07859493,-0.10893401,1.1208931,0.9422707,0.0014173985,0.3284418,0.011781096,0.93822616
-0.10713492,0.001054734,0.53181326,-0.090417914,0.0593542,1.0419364,1.0716935,-0.05110161,0.5334723,-0.09625569,0.9134433
0.13519189,0.03636244,0.63477725,-0.0018749684,0.12820914,1.068399,0.8748382,0.019044012,0.40226868,0.033630818,0.8057543
-0.11401259,0.068018034,0.70813984,-0.00058349967,0.034279436,1.0706924,0.77429634,-0.11854427,0.5218691,-0.090687424,0.99962676
0.06719582,-0.081565246,0.7442894,-0.13940895,0.11133915,0.9763013,0.88356394,-0.11686181,0.35201597,-0.085910425,0.65975094
0.03521195,-0.10878475,0.40598035,0.12407598,-0.09617454,0.8898915,1.0179706,-0.08516357,0.48494536,-0.07500002,0.96848065
-0.043796204,-0.03227447,0.7191313,-0.040227078,0.055831954,0.9402591,0.85038865,-0.03424006,0.4229024,-0.060458243,0.90959704
-0.03808669,0.12939605,0.6166138,-0.023089096,-0.123953,1.0125511,0.84095764,0.08723228,0.5134138,0.12421787,0.7843025
0.0032408237,0.083765104,0.6770493,0.11576229,0.100476116,1.0319176,0.77364385,0.13729379,0.6689397,0.085240304,0.78839993
-0.041083507,0.02549845,0.6748989,-0.058311373,0.07747029,1.0838633,0.84741443,-0.052207164,0.39393407,0.029237077,0.78800905
0.069232464,0.14670956,0.7389868,-0.1382498,-0.047284395,0.9267061,1.0501667,-0.044136107,0.4622877,0.12783375,0.8999406
0.1290273,-0.057157844,0.74979675,0.022597581,0.1492714,1.0146408,0.9528354,0.011330485,0.41790283,0.013578951,0.58661157
-0.014825836,0.042200714,0.67601013,-0.119093,-0.13632782,1.006361,0.9489348,0.08586784,0.6489189,0.083161175,1.0013096
-0.012564957,0.03590791,0.86567044,-0.03289783,0.118285865,0.86772835,0.7049632,0.025809497,0.5607749,0.099498495,0.8835632
0.14250538,0.063255966,0.6739382,-0.036083438,0.030378014,1.0174575,0.95752,-0.14076836,0.6092828,0.00068226457,0.87159914
-0.075551555,-0.02084428,0.77799207,0.01850608,-0.088787064,0.8772232,0.8674338,-0.10032655,0.5184811,-0.13125628,0.8322874
0.12678576,0.046866402,0.5342475,0.117565185,-0.0024849623,1.0246215,0.7214009,-0.010213137,0.5891177,0.12480363,1.0455153
0.08823553,0.12633988,0.6893017,-0.08800666,-0.1425741,1.0314137,0.7548241,-0.04877975,0.68914413,-0.07051465,0.923849
0.047956392,-0.037706457,0.39933455,0.09333041,-0.015457049,0.87520075,0.81978303,-0.0063456446,0.4879278,0.0079779625,0.76954263
0.0032124221,-0.12342892,0.71434605,0.097982526,-0.07066232,0.8903733,0.85614365,0.09878808,0.6091825,-0.096530795,0.90668607
-0.0062179267,-0.09990744,0.59742516,-0.023700282,0.020939395,0.94239455,0.88176155,0.09771243,0.66479146,0.12332955,0.8926275
-4.775822e-05,0.13643017,0.6952242,0.0049294233,0.119075954,1.056086,0.8540034,0.08533484,0.6771711,0.0052716285,1.0326517
0.115470976,0.0721149,0.64346564,0.06979303,-0.011763394,1.0555786,0.69105786,0.074381575,0.4584124,-0.13699013,0.6290686
-0.09453146,0.12049413,0.590808,-0.13440737,0.028851897,1.0574889,0.925115,-0.1422589,0.4148641,-0.09112546,0.8504585
0.02172169,-0.027506523,0.75925195,-0.017139941,-0.12878151,0.8515777,0.9718988,-0.1402126,0.51786345,0.063198626,0.67292655
0.1194776,0.098217994,0.7428622,0.0681764,-0.1252116,0.8813604,0.9841218,0.040482298,0.4857369,-0.09229632,0.84659517
-0.048357047,-0.021976143,0.74707526,0.1226832,-0.101958655,1.0374936,0.9593382,0.017976418,0.60525537,-0.13039863,0.97548604
-0.036455356,0.13308004,0.58501256,0.055043623,0.08318405,0.97271836,0.88440776,-0.0357986,0.61467344,-0.090896904,1.009599
0.028715268,-0.05855266,0.6495086,0.09793042,-0.023715377,0.8647653,0.7169896,-0.13975021,0.44626552,-0.09816301,0.66961414
0.122856885,-0.057490133,0.5846398,-0.08848606,-0.14231746,1.0941292,0.8501366,0.023859471,0.46676427,0.048453376,0.9563853
-0.14614426,-0.0776364,0.74540216,-0.01306355,-0.026495807,0.91792995,1.0106037,0.031489044,0.5206595,0.009398639,0.9223077
-0.07783501,-0.09597199,0.44227102,-0.045340978,-0.13530938,1.0039158,0.89921784,0.145302,0.47223225,-0.0025728494,0.9704082
-0.013155445,0.013618469,0.6419812,0.06657176,0.13067895,0.84931993,0.9888907,-0.05164361,0.50549895,0.046259895,0.83783734
0.09110288,0.07919447,0.62807333,-0.0447494,-0.104533255,1.0701542,0.9562792,0.035868168,0.5045379,-0.09009996,0.6415957
0.06645794,0.11176902,0.63308746,-0.03651125,-0.11273894,1.0581326,1.0137143,0.09809883,0.7354317,0.004596621,0.79390013
-0.001435399,-0.13858329,0.87631047,0.054342628,0.039535537,1.1044135,0.6297985,0.077552944,0.550115,-0.02627553,0.9507114
-0.022782266,0.07418612,0.5642283,-0.038086563,0.09735066,0.91012543,0.9690085,0.03756015,0.6176629,0.115478426,0.7883638
-0.1485482,-0.1193508,0.5019567,-0.10984422,-0.119529486,0.89638233,0.76907855,-0.04572299,0.5753834,0.06582764,0.63312936
-0.04530578,-0.120973535,0.8350133,-0.07966088,0.07941766,0.9972496,0.7047372,0.13102326,0.46402198,0.08005658,0.83514255
-0.0532507,0.12960774,0.88692313,0.064817265,-0.06486535,1.0938917,0.7629001,-0.016928062,0.5482501,0.11634958,0.7816689
-0.05485513,-0.13739505,0.7310823,0.058759242,0.02238223,0.8888154,0.7297708,0.048863575,0.6241815,-0.055761963,0.7299802
