A,B,C,D
0.785853,0.10605016,-1.8396165,0.9170593
-0.951604,-0.04283756,0.17027238,-1.0420228
-0.7151673,-0.005148381,-1.5933927,-0.1927775
0.34726948,0.12746587,1.3184527,-0.365331
-0.2499423,-0.034875207,0.07536097,0.094772756
0.511647,0.07001425,-1.6631087,0.17744727
-0.031840518,-0.09615167,0.8154212,0.46052048
1.1185293,0.013696551,-1.136065,-0.12717718
0.019533735,-0.1321787,-0.47432896,0.05683302
-0.3870117,0.016703114,-1.1322823,0.3398016
0.6371787,-0.011199653,-0.2942794,0.3161385
0.8112962,0.0683018,1.3104419,0.51073253
-0.32089663,0.10811797,0.751337,-0.49670717
0.9489498,-0.13522239,-1.5271322,0.89714295
0.98427284,0.14169306,2.3087533,-0.8005291
-0.38638222,-0.10191125,-1.6525689,-0.21247557
0.49304882,0.14457375,-1.1687334,0.7213654
-0.5122727,0.12138602,1.1207099,0.90248674
-0.82849103,-0.10273413,-0.0074702203,-0.3436932
0.04673156,-0.04281669,-1.2577987,-0.5225251
0.7167666,-0.088666074,-0.07869919,0.06504668
-0.010378793,0.024290383,-0.59418,0.09592238
-0.55444634,0.024518728,-0.023034662,-0.055409502
1.0841863,0.0912817,1.1105089,-1.0696611
0.22492748,0.0010977685,-0.68357456,0.043091178
-0.36622682,0.013317168,-1.352049,0.11791158
0.70439243,-0.10046677,0.016509145,1.010486
0.72177637,0.0029857308,1.5213106,0.5231339
-0.52861875,0.025417656,1.0160085,-0.7065269
0.49397126,-0.09184614,0.7114456,0.6625022
-0.3104968,-0.13318151,0.021290004,0.1037654
-0.91174453,0.06930494,0.7194505,0.27360618
-0.2127446,-0.0017427355,0.24300373,-0.52463216
0.4825048,0.1406894,0.31516245,-0.77338624
1.0388905,-0.09997833,-0.22700562,-0.55909675
-0.8573545,-0.079760425,-1.9012,0.94099784
-1.0148492,0.008929729,-1.4786725,-0.36393273
-0.8767849,-0.07021934,1.8904414,-0.15229815
0.36307758,0.03966008,-1.2090158,1.0829545
-0.30636966,0.0411876,0.79098046,1.730132
-0.9065595,0.044083342,1.4812554,0.08059567
0.65217376,-0.09074389,1.8640709,-0.2981217
0.30834556,0.12775764,0.3146375,-0.3339671
-0.788009,0.044098213,-1.534993,-0.8655196
-0.8332954,-0.12267067,-0.13677391,0.13598397
0.5917607,0.14968425,0.14940378,-0.55218375
0.85016775,-0.06284781,0.9860902,0.8361776
-0.12234002,0.12383753,2.2243116,0.20930311
0.29716074,-0.082088776,-0.5604884,-0.7541
0.37634414,0.059267536,0.80113757,-0.39882427
0.6700818,0.13466537,-1.7010477,-0.62999165
0.55587703,-0.08895768,0.13198023,0.6533927
-0.4109525,-0.11903301,0.03322345,0.28435296
0.7641258,-0.099175125,-0.5104201,0.12965448
0.5789976,0.11706659,-0.5243887,0.2703234
0.27996033,-0.09029484,1.2618346,0.6326783
0.37599254,-0.034542404,0.21413818,0.41037074
-0.23428741,0.0207856,0.40327358,-0.06561585
-0.37520084,-0.06391243,-0.8820768,0.26989138
-0.52123356,0.1030519,-0.06647595,0.61997646
-0.03472039,-0.064367995,-0.8467388,-0.0023244172
0.65132695,0.14578745,-0.3719247,-0.08721519
-0.6650189,0.0031186938,-0.91486305,-0.6963138
-0.29494095,-0.13817163,1.3425844,-0.15133859
0.83690965,-0.023471996,1.2680647,1.2309308
