A,B,C,D,E,F,G,H
-0.07293805,0.029405147,-0.0694452,0.007868126,-0.061181083,-0.07656627,-0.023437947,0.08428304
-0.16747993,-0.06819386,0.11639148,0.10368146,-0.08675668,-0.09825799,-0.041507043,-0.09234208
0.1045374,-0.13521834,-0.061160624,-0.102553084,0.03796497,-0.016307056,-0.20463368,0.0595309
0.025834903,-0.049350753,0.0852489,-0.058369607,0.106972516,-0.18762834,0.020995557,-0.09190695
0.057553552,0.01958631,-0.055084385,-0.0715228,0.048138574,0.079576716,-0.07148147,0.07543911
-0.055517487,-0.104227915,-0.10795972,0.067767814,0.058435455,-0.104118295,-0.11651728,0.037998915
0.03518781,0.047042295,0.10814178,-0.077664554,-0.013135195,-0.25755066,-0.13635105,-0.055199593
-0.003758192,0.08983503,0.060089782,0.084799945,-0.12681663,0.14055769,-0.16735658,0.1250009
-0.024854116,-0.112642005,0.0823876,0.005314812,-0.04359752,0.108510196,-0.17330134,0.0050833225
-0.029707804,0.10322684,-0.0057124496,-0.09197734,0.1438697,0.03881695,-0.33075392,0.06984687
-0.0277199,-0.070696056,-0.120244116,0.03753539,-0.11984751,-0.082992405,-0.3588043,-0.06500144
-0.10820109,0.14053985,-0.00026211143,-0.09748279,-0.023616701,0.018963963,-0.5017667,-0.1007511
0.10584742,0.01181525,0.07858764,0.08932207,0.066383615,0.109369814,-0.6229416,-0.14127345
0.0075253323,0.1277912,0.0570817,-0.02602464,0.11234337,-0.056259826,-0.63618755,0.12579891
0.14362647,0.12581742,0.11664069,0.0133394,-0.1205054,0.16957837,-0.49136183,0.11263338
0.1342503,0.09762125,0.146263,0.092456475,-0.09925565,0.006181866,-0.4922617,0.05753866
0.16240685,0.1387625,0.053467974,0.23804419,-0.06716186,0.14910012,-0.4914465,0.0177861
0.13495515,0.11065096,0.06616658,0.022931233,0.1229561,0.15459551,-0.19655064,-0.07971635
0.1367724,0.004160449,-0.14001322,0.15043001,0.05875106,0.010048345,-0.0698155,-0.049896866
-0.19431314,0.040566728,-0.12816194,-0.06440851,-0.026018217,-0.07750799,-0.021484233,-0.09699413
-0.120651096,-0.04542239,-0.12928666,-0.027018845,-0.10772225,0.021374494,-0.18412422,-0.012689352
0.00695844,0.03735353,-0.0050388575,-0.055042565,0.12894237,-0.2336761,-0.44009852,-0.06286514
-0.14764193,-0.02098757,-0.11563535,-0.0045691133,0.041198924,-0.038094297,-0.33315244,-0.012155354
0.007598147,0.023894101,-0.1176741,-0.043572947,-0.062021434,-0.14811596,-0.35939765,-0.148822
-0.13725735,0.12370527,0.115632355,0.15702626,0.007495001,0.015403643,-0.31862944,0.097193345
0.2265096,0.013269499,-0.09502429,0.07896999,0.102951646,0.15319388,-0.5650345,0.028129116
-0.15028751,0.11113477,-0.08939257,0.032932624,0.0073057115,-0.04127577,-0.40369225,-0.0827653
-0.17387357,-0.12792017,-0.093390875,0.09017375,0.100260615,-0.04368204,-0.5086462,-0.08731916
-0.11725687,-0.038830303,-0.13995405,-0.18023986,-0.06664428,-0.015027918,-0.76866996,-0.12813143
-0.12448913,0.017863527,0.08328685,0.06308798,-0.12713635,0.0031126887,-0.95810425,-0.088718265
-0.03152135,0.106949985,-0.10150738,0.06614083,-0.037500307,0.047986224,-1.1114211,0.0052927732
-0.13410208,0.13631704,-0.09175815,0.050314084,0.049200714,-0.09843677,-1.21274,0.024655163
-0.20074743,-0.0930872,-0.071828865,0.06928374,0.13143736,-0.11979587,-1.292272,-0.0771718
0.004895605,0.038543954,0.1450029,-0.2294797,0.12860152,-0.007954128,-1.6082468,-0.14691406
0.10142587,0.029907256,0.13995484,-0.07199685,-0.042243592,0.108016096,-1.516634,0.08687171
0.22882313,-0.12110791,0.05028622,-0.010047898,0.07632205,0.10243175,-1.4356117,0.005510241
0.11808334,-0.09493663,0.05697663,-0.24660608,0.020272419,0.10076788,-1.0919619,-0.09357029
0.1675433,-0.14603533,-0.14959621,0.04915423,0.005276978,0.05320096,-0.8800471,-0.026711456
-0.024275899,0.042956203,-0.13583757,-0.15819485,-0.014121145,-0.016082883,-0.5786735,0.12921625
-0.22004391,0.11016619,-0.02793698,-0.069694325,-0.10397689,-0.12008561,-0.6636481,0.016368747
-0.036772117,-0.06843419,-0.12815762,0.037369303,-0.03812313,0.11286406,-0.74055743,0.10524872
0.012631565,-0.13089252,0.04435952,-0.07037712,0.015389562,-0.24832648,-0.76286745,-0.068163
0.11446026,0.027352035,-0.122260615,-0.21730724,-0.13837379,0.11316739,-0.6920405,-0.13866743
-0.15691411,0.10044652,0.095843285,0.15519944,0.13220993,-0.20267469,-0.66530395,0.034827158
