A,B,C,D,E,F,G,H,I,J,K,L,M,N
-0.13553384,0.08202408,0.116953194,0.044541232,0.11626357,0.14660543,-0.10143198,-0.0074371994,0.035994157,-0.022051841,-0.0499906,0.1566231,-0.13987431,-0.1785163
-0.095038466,-0.100590706,-0.052091345,-0.10178645,-0.08936184,-0.04040502,-0.044156544,-0.00028465688,-0.010105476,0.040485978,0.010029763,0.0733091,-0.016119301,0.28302258
-0.13961862,0.0014876276,-0.14877093,-0.0077795014,0.11311981,-0.071258284,-0.041615926,-0.0046182275,0.14110926,0.06504926,-0.061124116,-0.08157619,-0.09998968,0.018744797
-0.020489365,-0.10279754,0.07064508,-0.24287573,0.070964426,-0.119500734,-0.026170403,0.013116613,-0.12861083,-0.031715892,-0.07949898,0.111086905,-0.04517772,-0.004204072
0.12017071,0.14327005,0.11775634,-0.12307519,0.025105178,-0.11931476,-0.13492642,-0.00082977116,-0.038422108,-0.08235305,0.023264527,0.107781515,0.0060744286,-0.06172926
0.12534681,-0.07786859,0.063866794,0.21560149,0.08711672,0.006109044,0.07457578,0.13424978,-0.030937545,-0.021807075,-0.08657417,0.08695923,-0.0632309,-0.22933722
0.01661013,0.10776654,0.0070288926,0.12897255,-0.14858705,0.061377674,-0.0841966,0.024014086,0.017608225,-0.12006167,-0.07754145,0.1215643,0.047235504,0.08349946
-0.11580934,0.07349749,0.12924305,-0.06894715,-0.11963624,-0.16566432,-0.055688255,0.040445462,-0.14665352,-0.06305182,-0.036865517,-0.064524755,-0.09695977,0.18243536
0.011962667,0.07109074,-0.09907846,-0.25072426,0.10648522,-0.064287744,-0.11725463,0.056567952,0.018027723,0.062280715,0.070509076,0.027773589,0.096095055,-0.30144167
0.06604609,-0.014681041,-0.018109739,-0.11728293,-0.09806244,0.030880556,-0.032759912,0.088844195,-0.07010263,-0.044104084,0.07793228,0.2426782,-0.08423315,0.028098963
-0.05834821,0.05666855,-0.06030464,0.010383509,0.10537705,0.08722677,0.063041985,0.11553648,-0.09201282,-0.026110664,-0.054678045,-0.20137706,0.06522772,0.16509952
-0.11272493,0.13743556,0.08848202,-0.19690026,0.106678575,0.13562186,0.0009409934,0.052456737,0.04400693,-0.03596717,0.13398746,0.1134084,0.12189981,0.17118508
0.10691458,-0.07011704,-0.028003871,-0.19484201,-0.12897265,0.05888994,-0.04298099,0.08679992,0.109628916,-0.11155857,-0.11544539,0.074018545,0.08752312,0.2646458
0.07451096,-0.03251472,-0.07902956,0.19592266,-0.035960846,-0.1663945,0.0103558,0.08245148,-0.015230715,0.09166165,0.00071524084,-0.25161302,0.14042592,0.18503381
0.03458549,0.036671907,-0.08137556,0.17268111,-0.06484625,-0.08735712,-0.018416226,-0.05890367,-0.045216143,0.09894566,0.08238725,-0.16750523,0.13537383,-0.06516904
-0.13508746,0.13023403,-0.0037999004,-0.061950743,0.01979807,0.11056298,0.0032813996,-0.05335404,-0.08352193,0.0070679635,-0.06105405,-0.18334882,0.0874974,0.008978069
-0.022271097,0.09359054,0.12509787,-0.21898033,0.13972211,0.12585463,0.06569183,-0.00745371,0.105103076,-0.08398417,0.05321449,0.06371996,0.10015726,0.10257274
-0.026147552,0.039190307,-0.074312,-0.15267462,-0.09175122,0.049513876,0.038679317,-0.14249808,-0.053789757,0.006778732,-0.074944854,0.04816404,0.09608522,0.13912192
-0.11566492,0.09567033,0.14018959,0.063670345,-0.004224494,0.0884659,0.07656214,-0.12013058,-0.08016306,-0.03163342,-0.04246384,-0.03844312,-0.013942391,0.1585682
0.09587923,-0.08133575,-0.0755648,-0.14445615,0.048328355,0.20209283,0.1060448,-0.11169693,0.0024442673,0.05369836,-0.11315988,-0.10555369,0.09221342,-0.03538046
-0.058242634,0.026460528,-0.03777489,0.21998614,0.045027673,0.16583836,0.09846385,-0.033915214,0.08132397,-0.14982413,0.08148773,-0.03569857,-0.1481468,0.3134971
0.018306956,0.07975404,-0.121464826,0.013244569,0.04282835,0.22030564,-0.01734601,-0.08513285,-0.0096176565,0.10890913,-0.04478156,0.0027918369,0.03318128,0.08146507
0.006117955,0.04971935,-0.011731252,-0.12107465,-0.049986206,0.0048639625,-0.0042840242,0.080776796,-0.1470433,0.0697881,0.053883135,0.1702312,-0.101858675,0.17041144
0.027904361,0.13995147,-0.08901753,0.14871837,-0.007313326,-0.021261603,-0.11630772,0.13887247,-0.0128223,-0.08092311,-0.11175072,0.042598747,-0.06315514,-0.08600442
