A,B,C
-0.07746549,-0.08024676,0.8902819
0.09518938,-0.007628888,0.79599935
0.008805662,0.10918227,1.0712962
0.0032529086,0.14821827,1.1249996
0.105303854,0.147923,1.0313481
0.056257054,-0.008210257,1.1717674
0.011470497,-0.10901065,1.2466179
-0.09614225,-0.14938428,0.9476211
0.043472543,-0.0080922395,0.9298072
-0.018697217,0.0025488138,1.0721079
0.1266585,0.010184377,0.98698705
0.12172359,0.10565385,1.1474829
0.015603498,0.07064395,1.2805109
0.13530773,0.02222307,1.109181
0.057168305,-0.021781504,1.1326953
-0.13446549,-0.026406169,1.1731088
0.08752395,-0.029956788,1.0188214
-0.10958734,0.024111897,0.9680113
0.109606564,-0.027971618,0.9194046
0.048626915,0.10648394,1.114754
-0.04539918,0.09254271,1.14889
0.024823993,-0.046348646,1.1558702
0.023035541,0.061312586,0.99809027
0.0060312897,-0.13784413,1.0485172
-0.13489781,0.028055206,0.939517
-0.08033451,0.13364035,0.90592784
0.027161092,-0.009283766,1.0794598
0.059485808,0.0019474924,0.9973487
0.096989974,0.03772892,1.0628096
-0.03423146,-0.10196062,1.0878986
0.05337663,-0.064751476,1.0343828
0.09682317,0.10150567,0.99041545
0.040539443,-0.045630276,1.0439156
0.09577103,-0.1240399,1.1144342
-0.03576327,-0.14035821,1.1492836
0.1336388,-0.111545116,1.024189
-0.07788634,-0.039071076,0.8763385
-0.047484778,0.03552869,1.0203869
0.027693018,-0.1198928,0.8907634
-0.03881602,0.14760828,0.9054046
-0.04664485,-0.001416102,1.1243583
-0.0766779,-0.12553985,0.88845575
0.07227336,0.11118072,0.9781789
-0.10805158,-0.023432568,1.1059163
0.07486476,-0.00082682073,0.8482131
-0.09875284,0.071009964,1.0002838
0.1284425,0.066324756,0.95573294
-0.09832855,-0.013878375,1.0138571
0.022727191,-0.10495743,0.8701725
-0.040027253,0.14593339,0.80983555
-0.09805606,0.07881056,0.9003931
-0.12171674,-0.029899195,0.90209186
0.02925995,0.06927508,0.91386926
0.033864394,0.08391854,1.0837842
0.13817358,-0.14127156,1.1424669
-0.096360296,-0.058846883,0.97769797
-0.012308642,-0.1256496,1.0532495
-0.05207459,-0.016716674,0.99974275
0.03695789,0.085699365,0.8407936
-0.10937738,0.077896416,1.0147237
0.13250679,0.14647764,0.984534
-0.01580529,-0.09417173,0.9963179
-0.14320515,-0.080981724,0.9697651
-0.122103885,0.053112432,0.8772124
-0.020906284,0.032352954,1.0198947
0.0114482045,-0.14940561,0.97613716
-0.092013985,0.012081772,1.0108771
0.10537559,0.067691,0.88340724
-0.09382954,0.13265789,0.93574005
0.14601344,0.12848872,1.1130933
-0.033408076,-0.03349983,1.0340183
-0.14013986,-0.067115955,0.9912362
0.14603874,-0.0487374,0.7570313
-0.048353955,-0.0052843094,0.9582652
-0.02677188,0.05418907,1.0407426
-0.1263894,-0.06625033,0.9001756
0.041476443,-0.04521107,0.90891993
-0.052986667,0.08325301,1.051784
0.116595,-0.011932701,1.0275283
-0.047484808,-0.14920905,0.9582344
-0.11079319,0.03344214,0.7884124
0.1462718,-0.12376559,0.9698211
-0.11626479,-0.06836257,1.0449604
-0.039890245,-0.084106065,0.934753
0.07559723,0.1211195,1.0352151
-0.1336631,0.035129324,1.127827
-0.038287498,-0.102625966,1.0693585
0.08814131,-0.11328312,0.9093994
-0.043371946,0.068970904,0.8550075
-0.11153092,-0.11924682,0.8481434
0.091757715,-0.01837261,0.7908827
-0.09214039,0.0217067,0.9856864
-0.06306163,0.13018253,1.0260941
-0.10180588,0.008972719,1.1429322
0.0716224,-0.095871344,1.1042937
0.032162905,0.14889595,0.9698733
0.04116249,0.12599161,1.1753958
0.01349774,0.08826037,1.2578672
-0.008908942,-0.05915013,1.2990296
-0.0019199997,0.037100315,1.0898856
-0.1091398,0.1268653,0.9187058
-0.10421987,0.024015427,0.9702487
-0.071238026,0.10385147,0.83116215
0.046592847,-0.09131254,1.046257
-0.14749543,0.047126785,1.0736735
0.13214898,-0.14886533,0.90395516
0.03437826,-0.04482197,0.80654776
-0.11120473,-0.11613864,0.9959176
-0.0074677765,-0.14614747,0.741375
-0.04692872,0.025709182,0.72376376
-0.0017252564,-0.090308964,0.7685483
-0.099251285,0.11285266,0.7737682
-0.011776701,0.10419747,0.8430061
-0.04004436,0.07560243,1.1049502
0.0006405264,0.032696784,0.9535395
0.11701065,-0.067636125,1.1022084
-0.13370584,-0.06488173,0.9576502
0.08630164,-0.029197812,0.79252535
-0.09510677,0.054762587,0.8777795
0.060089886,0.06968689,0.9635081
-0.073631704,0.14163849,0.92561334
0.045725152,0.13261127,0.922627
-0.024015456,0.08990225,0.9993633
-0.1443758,0.092636004,1.0509143
-0.0063642412,0.13675657,0.9657087
-0.0061433017,-0.026881993,1.1319777
0.12276247,-0.07242741,0.94421023
-0.010217249,-0.14198706,0.98924404
0.0009507388,-0.067508005,0.76601535
0.10728848,0.052357137,0.8988737
0.093943074,-0.11851423,0.9147863
0.046182618,0.12289891,1.0415696
0.06796469,-0.06100007,0.96017444
0.023646712,-0.044336952,1.1240343
0.004870057,0.07494378,1.1290661
-0.112277165,0.055954263,0.998195
0.053715333,-0.018720627,1.0595919
-0.12946315,0.09878518,0.97127837
0.14404202,0.07183106,0.93592036
-0.14528692,0.026729539,0.92398363
-0.04967741,0.07741986,0.8183085
0.14527768,0.020832643,0.94654554
-0.05851558,-0.11996803,0.9442962
0.004429728,0.028420165,1.0171041
-0.13130486,-0.01893133,0.9557061
0.13404316,0.103156686,0.84431523
-0.12457343,-0.016149104,1.149318
-0.13379455,-0.13172835,1.1030492
0.075794905,0.075237215,0.9723938
0.07346603,0.03982939,1.1464394
0.10506916,-0.020562515,1.2601981
-0.11376424,-0.014501378,1.1557845
0.077137485,0.03925717,1.1089793
-0.12506734,-0.10593374,1.1068792
-0.07649025,0.07444042,0.9630353
0.06172377,-0.09918829,0.8769995
0.14316615,-0.012111813,0.9149671
0.023871318,0.0986975,1.0620637
0.14433584,-0.0786528,1.1374716
0.06161432,-0.023302063,1.2328588
-0.021192878,-0.04267654,1.1505625
0.14440292,-0.03520836,0.9932577
0.003938943,-0.094492584,0.9778046
0.13727286,-0.12623885,0.92876977
0.031173185,-0.08961665,1.0808268
0.03938295,0.013380215,1.0337081
0.09240818,0.05571215,1.1538746
-0.116788834,-0.008269042,1.2751877
-0.1339748,0.08291733,0.97797567
-0.08830308,-0.07558154,1.0657444
-0.12019909,-0.04886082,1.0755947
0.06550148,-0.09722601,1.0322365
-0.09078623,-0.06464076,0.99640894
0.113089114,0.0019779205,0.7850033
-0.023935378,0.057055756,0.87658465
-0.027278982,0.12597963,0.99181247
0.1374946,-0.05913447,1.0184355
-0.018311113,-0.14067492,1.12093
0.10451567,0.06332496,1.042383
-0.08018185,-0.061541587,1.0480499
-0.033161923,0.091797814,0.9266237
0.056330547,-0.1325117,0.9316233
0.1455805,-0.12086138,0.79037774
-0.14497785,-0.068236314,0.9917658
-0.075037286,0.06657101,0.9739562
-0.06431238,0.07463981,1.0424445
0.13773137,0.12815231,1.1406705
0.0529048,-0.116874635,1.1011188
-0.11985979,0.0036078542,1.1454966
0.053061485,-0.06246958,0.88071036
-0.08110798,0.00029170513,0.9504983
0.10517469,-0.14636947,0.9930259
-0.013220683,0.05763434,0.8447218
0.007987112,-0.10012333,0.93157554
-0.07897432,0.031222403,0.8363278
-0.11617075,0.10253918,0.75226194
0.13182765,-0.13306658,0.82194215
-0.03322714,0.11332676,0.8165065
-0.00034323335,-0.12463811,1.069307
-0.068571605,0.04418792,0.8400949
0.08501141,-0.06713988,0.8203843
0.0650257,0.11490941,0.77727187
0.117434025,-0.09663257,1.0556589
0.080782026,0.1065861,1.0251447
0.045986116,-0.056042098,1.1784453
-0.12814128,-0.07194391,1.1445657
0.03215471,-0.03025584,0.91796166
-0.09541848,0.10800478,1.0393347
-0.12473077,-0.015932083,1.1076359
-0.027981363,0.055758297,1.1213584
-0.006899953,0.0790934,1.0206462
-0.029364772,0.051494822,1.0169423
0.0991749,-0.050123177,0.91534704
0.05486618,-0.12609404,0.96638453
0.13637316,0.07192317,1.0242639
0.08047366,0.028752625,1.113951
-0.08194993,-0.016426563,1.1047795
0.12655675,-0.014607221,0.9537744
0.052028477,0.024977952,0.9659287
0.09203358,0.11598462,0.9874309
0.13451627,-0.031291388,1.1024089
0.0433919,-0.13752745,0.98887956
0.099989906,-0.05517392,1.0336788
0.14710593,-0.12469377,1.0415833
0.030629024,0.14236283,0.9562264
0.022787526,0.059458196,1.1280494
0.1449883,-0.028110087,1.202297
-0.019468278,-0.03747595,1.0747999
0.1025857,-0.05747059,1.0387009
-0.06784902,-0.057779633,1.0125995
-0.0007068664,-0.003107369,0.9948579
-0.10430358,0.08963925,1.0473814
0.06252538,0.04588464,0.9944568
0.036002517,0.089048415,1.0494608
0.022565797,-0.0003271997,1.1514968
-0.09041103,-0.11901838,1.1283511
-0.023281395,0.06136614,0.9804534
0.062431112,0.13676739,0.9303471
0.06002167,0.025761992,1.1366664
-0.037531666,0.08799051,1.1616251
-0.1307258,0.051147595,1.0705714
0.1187703,0.09559028,0.9656173
-0.01121816,0.04399486,1.1042535
-0.0577429,0.09132919,1.1548398
-0.03632357,0.03913808,1.0710086
0.0057112575,0.0075555444,0.95671165
0.0625397,-0.14249723,1.0406919
-0.093165874,-0.11804883,0.89689803
0.14561626,-0.12598656,0.89863944
0.13587555,-0.0025075376,0.98679537
0.03276819,0.13828072,1.1267059
-0.10850103,0.14591762,1.0677338
-0.083301365,0.011514932,1.122829
0.008940697,0.067554116,1.128612
0.04471065,0.09512085,1.0495137
0.109755546,-0.13371786,0.9989579
-0.0954894,0.13883257,1.0574365
-0.058850117,-0.030258,0.9657284
-0.08909337,0.08965397,0.93971086
0.086516544,-0.11855239,0.9249405
-0.06411243,-0.0067227185,0.94931346
-0.02857729,0.13893342,1.0821855
0.057494894,0.058248326,1.1208577
-0.0044106394,-0.14116615,1.0538951
0.06728947,0.13412628,1.0794716
0.116482764,-0.05182804,1.2815408
0.060172692,-0.07634404,1.0428786
-0.121862546,0.01683399,1.0409
-0.0391021,0.14057726,1.0174646
0.028609008,0.11604476,0.9130949
0.028658539,-0.096673004,0.9395483
0.016956985,0.019965768,0.83557063
-0.12430428,0.14332217,0.8423009
-0.039213322,0.019748643,1.0349597
0.098760426,-0.1492533,1.1478051
-0.0073883235,-0.06445184,1.095259
-0.046644762,-0.05050662,1.1018071
-0.06465721,-0.1309762,1.1418694
0.12389007,-0.07115098,0.92982686
0.12570527,-0.12726094,0.94366246
-0.13746563,-0.13256389,1.1125649
0.0307924,-0.04120288,1.0303383
-0.069518514,0.13171694,0.867103
-0.06653386,0.08373751,0.84648085
0.13930151,0.11851737,0.9646131
0.029387563,0.11101061,1.1735597
0.039180726,-0.048160873,1.1023057
0.07314147,-0.092427105,0.98565423
-0.057493567,0.03042911,0.89113814
-0.039227203,0.0106707215,1.0505742
0.009462178,0.102503896,0.8968886
0.103628635,0.121969074,0.9185642
-0.07656133,-0.031339787,1.0076457
0.03900735,0.01321362,1.0898079
0.11538902,-0.023229867,0.9342135
-0.12783691,0.10983911,0.87356985
0.14345995,0.06599942,0.89838594
0.045700073,0.012729824,1.1099358
0.124047875,-0.09429644,1.1957535
0.045528993,-0.06859458,0.9657688
-0.07991567,0.053340018,0.8307835
-0.116718814,-0.018514827,0.7741366
-0.03736414,0.032924905,0.75257665
0.1445834,-0.12020456,0.9063704
0.106600165,0.1251938,1.1031832
-0.0046948344,-0.01663123,1.1953756
