A,B,C,D,E,F,G,H,I,J,K,L,M
0.016762763,0.009603858,0.016707063,0.092369705,-0.0559183,0.058138862,0.04891272,0.1017482,0.758888,0.6976967,0.19414048,0.097259894,0.5685313
0.1370829,0.02456075,0.04337579,-0.08727696,-0.054217868,-0.0104174465,0.3508591,-0.009648547,0.63386947,0.78108853,-0.045788035,0.0143677145,0.34424227
-0.043376528,-0.039290033,0.13409132,-0.08383545,-0.14066818,0.08697985,0.24859321,0.10213676,0.8060911,0.46365228,0.3019498,-0.12770629,0.44253498
0.019984484,-0.14033693,0.053116605,-0.040056452,0.12676531,0.073587134,0.43339837,-0.051885925,0.99918294,0.75321513,0.20132469,-0.099947736,0.29387403
-0.07825946,-0.023296848,0.1150347,0.0680473,0.121551394,-0.023118109,0.07495108,-0.08034116,0.5482298,0.5228443,0.4335422,-0.013644904,0.45454156
0.016939059,0.14794433,0.0102520585,-0.050120495,0.13550058,-0.032474935,0.1957986,0.0033733994,0.92181957,0.53365755,0.21829844,-0.05172254,0.31822085
-0.025704756,0.14150041,0.020683154,0.10331687,-0.06705326,0.009480208,0.1735966,0.032285735,0.58199114,0.64052874,0.41414526,0.039960444,0.65620613
-0.0069589913,0.07886177,-0.0800001,0.02854535,0.14124936,-0.09637891,0.08727313,-0.11835833,0.7593659,0.7490045,0.42346781,-0.14487281,0.5958127
-0.044959925,0.049194768,-0.118508086,0.024172172,0.028718084,0.13844433,0.07955041,-0.05181869,0.9044849,0.68864024,0.37153077,-0.028860234,0.58656377
0.017557755,0.13830858,0.12564304,0.04701838,-0.13618574,0.09887271,0.033941373,0.08401017,1.0054792,0.76653445,0.16283566,0.012171611,0.54433495
-0.12989011,0.068962276,0.0065989345,0.072164,-0.14719841,0.11718717,0.32909596,0.0036845803,0.9771174,0.5906944,0.3492852,0.016998962,0.72026175
-0.12248748,-0.013808876,-0.06129411,0.05349295,-0.12702914,-0.0894736,0.1554535,0.010935351,0.82103693,0.92591065,0.39927542,0.019534335,0.2848642
-0.0016511381,0.05037412,-0.019288838,-0.04816752,0.13576716,-0.08405396,0.3018149,0.13709009,0.7044948,0.6631742,-0.00824853,-0.019043162,0.61746216
-0.103413105,-0.10564251,-0.09456116,0.010085255,0.021161735,0.030438751,0.46555924,0.103593975,0.8420617,0.7374575,0.36034775,0.06411548,0.5528407
-0.13410334,0.10572189,0.046370536,0.055350512,-0.026523061,0.038527966,-0.09029327,0.032440007,0.8123276,0.8591682,0.2041792,0.035375148,0.02130448
-0.12502575,0.09573689,-0.025330625,0.123009264,-0.015096918,-0.05637426,0.41162556,-0.10928638,0.97861254,0.01709266,0.26132601,-0.10965999,0.62638235
-0.13975716,0.075745314,-0.101083025,0.02713941,0.020363837,0.0052282363,0.39754444,-0.02681771,0.8180026,0.72859794,0.23594381,0.0033784807,0.57236534
-0.080048405,-0.09898317,0.04054892,-0.03816004,0.0915259,-0.02732177,0.27718547,-0.11843602,-0.013651356,0.75984126,0.33699572,-0.07970962,0.3653693
0.049196824,0.019202232,-0.0137759,0.14234158,0.015422717,-0.06580979,0.24865544,0.08598304,0.8345939,0.6189926,0.20207521,-0.014331698,0.45931587
0.029376775,0.14828297,0.065798685,-0.08915513,0.01829186,0.054068208,0.14455232,-0.12152301,0.9141636,0.7659219,0.0909421,0.13489589,0.4322503
-0.09133884,0.12518004,-0.14183187,-0.034637623,-0.12687607,0.054147497,0.18409517,0.07843892,0.68633103,0.60039634,0.36448467,0.089498445,0.41176528
0.0026121289,-0.14854905,0.022061631,-5.748868e-05,-0.14424352,-0.14044619,0.1840087,-0.1134364,0.93266904,0.6757024,0.24108997,-0.014732242,0.16671635
-0.043573238,0.08578758,-0.062464535,-0.09154019,-0.049920097,-0.10985845,0.43579245,0.09667298,0.71429896,0.46697658,0.39425844,-0.08581587,0.5839591
0.053925052,0.0488628,0.078929946,0.028493315,-0.054003865,-0.09835909,0.19259134,0.1438525,0.67233324,0.7958687,0.42378798,-0.12555146,0.476153
-0.084418416,0.020561531,0.068660975,0.11485505,-0.020282492,0.007143423,0.33103997,0.075720966,0.72104347,0.63566566,0.13478304,-0.010447592,0.6860734
-0.07574618,0.02286458,0.033786178,-0.08810492,0.14276966,-0.0040118396,0.17597163,0.034381524,0.974907,0.85577995,0.2723415,0.079940096,0.6398433
-0.13931702,-0.11889507,0.13896698,-0.11951584,-0.104378656,0.07706872,0.20535672,0.11923295,0.8759788,0.71484184,0.26166034,0.14105335,0.4644546
-0.039754473,0.14855352,0.070361,0.10195777,0.020824924,-0.08135441,0.20128357,-0.0532735,1.0697478,0.5460909,0.37665153,-0.062023617,0.57739985
