A,B,C,D,E,F,G,H,I,J
0.021652058,0.027368374,-0.0047715306,-0.067588285,0.083502725,-0.08707983,0.061452292,0.10552439,-0.09421185,0.019396596
-0.08621119,-0.4649881,-0.118822545,0.003752172,0.067463085,0.11078386,-0.37040037,0.04168552,-0.09873006,0.04133957
-0.12797388,-0.04527958,-0.13876925,0.13964945,-0.011929408,-0.079350635,0.18810095,-0.09264788,0.031293765,-0.21363513
0.09097214,-0.41494882,0.14779061,-0.03769318,0.07057169,-0.0007628985,-0.70871025,-0.045910105,0.011338972,0.0019924194
0.011592895,-0.10445726,0.008616626,-0.124660715,-0.03239222,-0.20043765,-0.04335268,0.053937927,-0.002016537,0.104608096
-0.05475478,-0.37735546,-0.07467331,-0.123486295,-0.1401681,0.12439011,-0.17101467,0.064371735,0.0137373805,-0.045588885
0.049329624,0.043478943,0.07336213,0.049695935,-0.003770858,0.12776798,-0.052854598,-0.06040673,0.1619773,0.04055787
-0.085039794,-0.30074963,0.08236985,0.24811284,0.03402804,0.008876987,-0.19018918,0.124596566,-0.119854316,0.18992116
0.08760923,0.093299165,0.110052586,-0.0059353635,-0.0003668964,0.09127989,0.19824722,-0.09611271,-0.15392983,0.10520974
-0.08983439,-0.34552902,-0.079063535,0.044470094,-0.14858963,0.25501376,-0.32638574,0.06262761,-0.1412101,0.14092502
0.02471301,0.22472078,-0.061957926,0.15307851,-0.036028042,-0.0053078905,0.2750365,-0.12688698,-0.10454272,-0.22182858
-0.11436023,-0.46063474,-0.028003924,0.32763514,-0.021934941,0.28360277,-0.6313958,0.09172025,-0.072911374,-0.046787646
0.054247513,0.37386072,-0.09433614,0.042403243,0.047816545,-0.24621496,0.22198063,0.13060483,-0.17261149,0.010106586
-0.13199174,-0.52876914,-0.03932306,0.21566285,0.012037218,0.047295697,-0.4635847,0.115508735,-0.14121918,-0.00018189847
-0.11162439,0.25648883,-0.038924985,-0.3457879,0.025757879,0.04259082,0.44184735,0.11892372,0.007316366,-0.16660795
0.09928203,-0.600608,-0.1357108,-0.09949165,0.04450564,-0.003630653,-0.54294604,-0.0133986175,-0.07865889,-0.10671948
0.0094367415,0.12771131,0.06788911,-0.10773445,0.016822115,-0.09971081,0.2647196,0.027737007,0.054192483,-0.20817652
0.015160441,-0.398071,-0.11307268,-0.0021190569,0.09684311,-0.03819751,-0.8193302,0.05447431,-0.071976334,0.20223202
0.10268289,0.13540104,-0.12818214,-0.25663933,0.10827112,-0.22269449,0.365661,-0.038062103,0.009253625,-0.14786291
0.12625876,-0.32090104,-0.14262372,0.029333133,0.04864578,0.28845653,-0.505785,0.086146876,0.02428151,-0.12443569
0.11229488,0.24209167,0.03117603,-0.28301793,0.14964688,-0.22910678,0.08407583,0.08293265,0.00014225394,-0.26449013
-0.018007576,-0.12616566,-0.024030343,0.05525881,0.04828219,-0.2486102,-0.47041816,-0.10546856,0.08096378,-0.08869497
0.08204283,0.38667583,-0.10658209,-0.44856963,-0.09847315,-0.33034232,0.2971238,0.032597333,-0.046858422,-0.07276893
0.012939125,-0.23921385,0.038651586,-0.10395679,0.12248707,-0.029347457,-0.25283742,0.06484459,0.0038262308,-0.07362621
