A,B,C,D,E,F,G,H,I
-0.0872219,0.14823106,0.13870233,-0.13060512,-0.038799033,-0.1426095,-0.01200515,0.005609596,0.26354724
0.02134049,0.20186089,-0.016259208,0.055045947,0.09645639,-0.04419642,-0.018679515,0.39752355,0.39449254
-0.022001892,0.31671026,0.039233997,-0.07952251,-0.0152345,-0.024450958,0.041869685,0.33590856,0.09270623
-0.054977097,0.21619883,0.060679257,-0.010480285,-0.011975005,0.0956424,0.020635277,0.27547565,0.27228612
-0.07478065,0.014838688,-0.11346038,-0.06474057,0.006285146,0.024186537,-0.10364324,0.35910535,0.10993136
-0.04707449,0.080791734,-0.05424977,0.011602014,-0.14647931,0.04574558,-0.027915522,0.26593798,0.2564671
-0.020496547,0.32937345,0.1323671,0.11293283,0.0247249,0.04143946,0.06768732,0.17591101,0.21158105
0.13685745,0.066636875,0.02168554,0.015810668,0.026234746,0.00913991,-0.14902486,0.2542664,0.31077448
-0.020981848,0.039822467,0.03947735,0.0054396093,-0.03914012,-0.100966915,0.014000922,0.28118291,0.1835966
0.015215918,0.2934383,-0.043046705,0.02835074,0.007803634,-0.01794383,0.13508525,0.22377443,0.21491864
-0.13898966,0.2322646,-0.12944171,0.06310357,0.035361454,-0.10493845,0.030068532,0.24003172,0.26230353
0.021368891,0.053640157,0.064869225,0.04452087,0.12868196,0.048724487,-0.09881829,0.27196988,0.3480546
0.1088126,0.26738116,-0.09131107,0.06387392,-0.055947058,0.044071347,0.027645797,0.20504253,0.25946242
0.02685903,0.27022392,-0.012763724,-0.02476409,-0.120523944,-0.0007265806,0.061735302,0.20816873,0.3294879
0.06262888,0.27310857,-0.07438597,0.04161863,-0.14637828,0.012409151,-0.008967772,0.36981192,0.018032
0.116921276,0.41041735,0.116384864,-0.0069265068,0.085665375,0.08524513,-0.11368826,-0.003027454,0.07595588
0.12531802,0.43179432,-0.013919622,0.08024226,-0.13268383,-0.007327676,-0.11076097,0.20321701,0.026824214
-0.047372036,0.36853182,-0.018374205,-0.0035795867,0.12940884,0.121617526,-0.057000466,0.24633345,0.24071474
0.09993008,0.22180422,0.06531787,-0.027529746,0.06260541,0.0916902,0.07471858,0.14699316,-0.0019256584
-0.10479012,0.11708924,0.05983962,0.09250425,0.010137424,0.06307015,0.14548263,0.552459,0.22586349
0.005416885,0.11693053,-0.13338687,-0.035859153,0.06499833,-0.018906295,-0.06365873,0.48525915,0.2880615
-0.110364765,0.19544393,-0.07019688,0.10199842,-0.004831001,-0.057011537,0.020227104,0.2422637,0.11351938
0.058023214,0.08753393,0.0027998835,0.09591982,0.13688907,-0.11494611,0.020603672,0.1384123,0.25976405
-0.0745956,0.50450087,0.11455852,-0.037424132,0.06094569,0.009201616,-0.06691441,0.4415336,0.42036676
-0.041323654,0.29710996,-0.07592077,-0.12033014,0.01960501,-0.043647878,0.12814915,0.38488728,0.20419066
-0.14173505,0.01428625,-0.13012663,0.13607365,-0.023108914,0.1113866,-0.07829806,0.24071719,0.24980366
-0.07306871,0.05316411,0.068105385,0.0686277,-0.13146916,-0.11313315,-0.086042196,0.13266326,0.49026036
-0.015248954,0.2687755,0.13160038,0.14054725,0.09134182,0.045535207,-0.00027617812,0.57699966,0.13555881
-0.030644402,0.39175904,-0.04205627,-0.011075363,0.14640954,-0.0038679242,0.03912364,0.090247504,0.36260962
0.014275014,0.5001153,0.008295089,-0.14526697,0.048461348,0.007743001,-0.032281086,0.17564718,0.12874478
-0.00883463,0.25718936,0.11061835,-0.068312824,-0.017782837,0.015136063,-0.14063947,0.043980926,0.4934374
-0.120902814,0.16866235,0.04660979,-0.0103075355,0.07087532,-0.07898741,-0.11321984,0.39632243,0.30356264
-0.13963266,0.15377544,0.1104683,-0.032095782,-0.07532062,-0.13674419,-0.06994262,0.38439918,0.008179307
-0.13390289,0.36573273,0.104893744,0.022588417,0.07590255,-0.08807337,0.015856788,0.43572396,0.22710434
0.063187405,0.24994901,-0.11373933,0.073549226,0.020611167,0.12841645,-0.06458345,0.27740505,0.097692095
-0.0863117,0.20329475,0.11370531,0.12402484,0.068461746,-0.009773463,0.08042784,0.3221873,0.121668965
-0.013648093,0.2435265,-0.066202015,-0.01733853,-0.038030542,0.08592819,0.13571498,0.32882905,0.27492893
0.09639363,0.30835506,-0.1171554,0.033680484,0.0078577995,-0.14839526,0.053849116,0.33526427,0.025041059
0.009668738,0.17068467,-0.018775076,0.008447811,0.015670195,-0.09260236,0.09976147,0.21418901,0.042313337
-0.12607157,0.23665781,0.06823164,-0.01968418,-0.054226182,0.064028546,0.013807684,0.025565632,-0.04561752
-0.14037053,0.10356191,0.07840808,0.025930882,-0.031135783,0.0628531,0.08629784,0.33485222,0.029309928
0.11072412,0.084216386,-0.07964564,-0.05197324,-0.07234335,0.08681844,0.05709973,0.2781456,0.24515626
-0.044688337,0.29865938,-0.015288144,0.016882867,0.07895127,0.06404935,-0.08749109,0.34288213,0.102341324
