A,B,C,D,E
0.509967,0.73621285,0.5254028,-0.049174227,0.07306193
0.49915743,0.48962247,0.35555297,-0.044361107,0.08509183
0.50602376,0.48964104,0.36930138,0.032152995,-0.11505547
0.68743014,0.46912205,0.4395554,-0.1451604,-0.09945637
0.73358905,0.51440006,0.48466524,0.06739135,0.023092404
0.690566,0.5066232,0.47612095,0.026774064,0.025370762
0.48978302,0.73113763,0.6631197,0.08117916,0.121049255
0.6548581,0.74741346,0.40636498,0.002821952,-0.13491248
0.7272159,0.6859202,0.38251692,0.026112527,0.13789853
0.626238,0.7389688,0.58068615,0.02592206,-0.0029283166
0.7293922,0.49588668,0.36115098,-0.06343026,-0.14768043
0.7224134,0.7133393,0.6304605,-0.012419909,-0.018892795
0.564325,0.7299392,0.5838747,-0.10467774,0.08666021
0.73995674,0.587496,0.44775188,0.1303879,-0.015742779
0.5622059,0.55608654,0.5625221,-0.14873728,0.036596
0.6929141,0.5701585,0.4648577,-0.14195676,-0.032913566
0.56530136,0.64730626,0.5941242,0.014554396,-0.017361611
0.60672945,0.7694781,0.39442885,0.10099968,0.045447305
0.6244329,0.74025667,0.6081936,-0.056234106,0.08922432
0.5985482,0.48359734,0.6683725,0.12690258,0.14130944
0.7691246,0.6142421,0.4809075,0.070642725,0.10584706
0.7864323,0.5396706,0.6797106,0.13471425,-0.07512342
0.5704029,0.55934083,0.6459811,0.089442074,0.09546912
0.70442396,0.69289213,0.5378279,-0.1036063,0.00036899745
0.5144768,0.5621286,0.5204145,-0.105849825,-0.11131601
0.69831824,0.6463629,0.5204344,-0.099603906,0.09917764
0.50632334,0.6548067,0.60162145,0.057819575,0.12992737
0.46404478,0.5057979,0.33711395,0.042433232,-0.0011892021
0.59251136,0.5676096,0.49172848,-0.08454459,0.1208235
0.7045828,0.66408557,0.5267248,-0.10078197,-0.08391699
0.69103086,0.56263083,0.5277698,-0.10977706,-0.08559652
0.52386636,0.6680465,0.6113806,0.004496634,-0.119669154
0.6460408,0.5318423,0.59178525,0.093483746,0.048184067
0.7152238,0.6824226,0.61470264,-0.04773642,0.099854946
0.69582534,0.5345249,0.6087244,0.0096732825,-0.02473317
0.58689684,0.63016635,0.51209664,0.11311278,-0.023215562
0.5222117,0.5499415,0.42583996,-0.14780416,0.13846046
0.53774977,0.60624075,0.5945468,-0.07263685,-0.05763735
0.5929871,0.63427746,0.5537309,-0.028630726,0.07201962
0.76689,0.6259585,0.38983113,-0.005382836,0.08122797
0.5263516,0.5676532,0.60998034,0.091029614,-0.027241908
0.771626,0.46875355,0.63164043,0.027365878,0.09342195
0.54606354,0.5727206,0.3823942,-0.06316261,-0.06344816
0.565859,0.76862764,0.55624497,-0.06460621,0.069530696
0.6608016,0.7316184,0.5257929,0.14658773,-0.13075003
0.7086059,0.47394854,0.4753722,-0.029717214,-0.12983435
0.652001,0.6304244,0.67608476,0.10213837,-0.034017563
0.79302573,0.730461,0.47553247,0.0047577173,-0.13279727
0.65971595,0.59215117,0.5038785,0.018296808,0.026689261
0.7192579,0.6594062,0.5343836,-0.055726096,-0.10946916
0.80224466,0.53029406,0.55210245,0.05009541,-0.04704298
0.75702095,0.5268808,0.5833768,0.038101673,-0.016168624
0.58505064,0.50268626,0.60255384,-0.063952595,-0.12961182
0.66653556,0.5669184,0.56878906,-0.11035842,-0.022044688
0.51837134,0.532123,0.46469787,-0.07589398,0.010291278
0.6912324,0.7293383,0.35055643,-0.012863994,-0.053958826
0.6644508,0.7557653,0.3683703,0.093154654,0.085495025
0.693804,0.50620943,0.5607963,-0.12443419,-0.11112562
0.6790841,0.48295647,0.42336935,0.14548239,0.14292565
0.5152046,0.6628938,0.36282974,0.03186077,-0.12796609
0.5350567,0.6537479,0.5261456,-0.13620144,0.060436055
0.75842124,0.56913024,0.36180025,0.10030347,0.05920516
0.7067132,0.60873985,0.36718687,0.023020506,0.027988404
0.82999897,0.55077416,0.38548827,0.12433007,-0.12217034
0.7905204,0.7384378,0.47854874,0.09792723,-0.100473106
0.7330847,0.53011173,0.56568766,0.12681362,0.012367487
0.80459416,0.5000353,0.63107085,-0.107924014,0.0947153
0.6587417,0.6019986,0.5896159,-0.1306596,0.14361462
0.50526905,0.66516984,0.44320858,-0.104921386,-0.12366138
0.6232275,0.78413606,0.3452139,-0.0249587,0.045352355
0.68466824,0.7593771,0.35997057,-0.07946506,0.13916436
0.7447735,0.5477174,0.55434895,-0.030782841,-0.08818799
0.56511027,0.52456653,0.36095223,-0.07779125,0.11565775
0.76316,0.5360306,0.4534379,-0.07056792,-0.0947898
0.68933845,0.5466484,0.56501657,0.00088635087,-0.004380852
0.58125514,0.6881566,0.51495755,0.049644426,-0.03756892
0.75964415,0.63969326,0.6369493,0.05117759,-0.052561857
0.74739325,0.768172,0.61521375,-0.037372276,0.11275327
0.698426,0.49653506,0.43444914,-0.012256339,-0.06707004
0.66522133,0.6335138,0.4059468,-0.13589813,0.02761066
0.8294581,0.584919,0.5894559,-0.12344167,0.03250186
0.4986226,0.5034353,0.561838,0.11172128,-0.122504234
0.6718808,0.57936954,0.43630108,0.015734494,0.034682512
0.80927193,0.53778714,0.67123294,-0.05235921,-0.034930803
0.6188093,0.58858705,0.5025122,-0.046121158,0.008000433
0.56260765,0.5595309,0.6181504,0.14202943,-0.14988099
0.4968884,0.76317286,0.37850398,0.12327936,-0.079178296
0.5578213,0.52416235,0.66939795,0.13566166,0.079101786
0.59847623,0.51215994,0.655165,0.123497516,-0.08808409
0.77557504,0.536139,0.43944684,-0.11868831,0.10976282
0.69455373,0.72664297,0.5314025,0.104683965,-0.030163176
0.5157306,0.60617065,0.41542786,0.12201369,-0.029751763
0.58258927,0.77857345,0.37658405,0.0064403415,0.09200844
0.71340317,0.53952724,0.617559,-0.13452673,0.10079983
0.5712388,0.5998524,0.39977446,0.036852717,-0.11685477
0.6624454,0.768481,0.32638475,0.08024804,-0.11424154
0.5419068,0.6661257,0.593499,0.13688225,0.05153589
0.5841439,0.48833096,0.6187918,0.05425112,0.021227092
0.65604895,0.6971561,0.47189185,0.13950092,-0.14604919
0.5878253,0.7406643,0.48626232,0.008029252,0.0020751655
0.6619998,0.5594073,0.66681343,0.08654094,-0.027111374
0.75821537,0.64027053,0.629961,0.0071758926,-0.036782905
0.6614899,0.5320567,0.55623776,-0.028611124,0.092887685
0.66389966,0.5332745,0.50204134,0.02607964,-0.014737904
0.7033794,0.6413175,0.57987237,0.12626657,-0.03901214
0.4920833,0.6160632,0.5238354,-0.14946952,0.084416255
0.75916034,0.77315205,0.41500306,-0.12994789,-0.07730034
0.5323447,0.67520356,0.5448506,0.05614613,0.14810246
0.5617369,0.73522174,0.5176774,0.0017895848,0.14334556
0.56393075,0.5911529,0.39517978,-0.04186832,0.07856549
0.5755905,0.77737886,0.5407783,0.05773428,0.055011764
0.6706034,0.5811974,0.50472236,0.05270216,0.11079669
0.7617563,0.72334015,0.6378702,-0.004003629,0.046455756
0.7250569,0.5668728,0.57575244,0.017946929,0.1414707
0.59411895,0.69064623,0.5094067,0.071013585,0.11150026
0.7571782,0.6756538,0.65237665,0.13071454,-0.063478395
0.764321,0.5229689,0.4229963,0.068678916,0.084952325
0.7351773,0.70025635,0.6561598,-0.1299687,-0.13473532
0.71768314,0.541691,0.44597155,0.028499156,-0.045747884
0.7196194,0.63869333,0.36429554,-0.14080182,0.11605364
0.6367199,0.6094111,0.5748367,0.13615313,0.010062903
0.70140314,0.5964817,0.5121732,0.0061201453,-0.047051974
0.74056995,0.81250656,0.6147735,-0.005222738,-0.0800182
0.57684684,0.69638807,0.40718377,-0.025857158,0.02283886
0.7627803,0.73586345,0.6406921,0.030339882,-0.12419873
0.5581015,0.53102535,0.5581646,-0.14274365,0.10425642
0.80637515,0.6923895,0.5064335,0.0865604,0.027171046
0.57134444,0.5098992,0.33585775,-0.14675021,-0.14074738
0.6341808,0.5726457,0.5216067,0.074261874,-0.031504713
