A,B,C,D,E,F,G,H,I,J
0.5300689,0.45150092,0.34277245,0.35035244,0.51201326,0.7032751,0.31964052,0.5422763,0.5041575,0.4450884
0.6431354,0.54784244,0.47171044,0.50601405,0.682845,0.47619814,0.4555717,0.292593,0.6093601,0.71903557
0.65588045,0.65673226,0.23123334,0.44073692,0.45211583,0.46863294,0.7222116,0.1196191,0.18808593,0.4370778
0.36676532,0.5070482,0.5716477,0.7727539,0.43791604,0.530764,0.76987237,0.51794964,0.55536693,0.5156341
0.6651269,0.7014155,0.2225195,0.50665426,0.55325127,0.650587,0.14262088,0.44695228,0.64585346,0.6124003
0.5919001,0.34264547,0.5639028,0.3109797,0.4573799,0.5247858,0.18334241,0.61126596,0.5504136,0.5104733
0.6576866,0.5424706,0.5520083,0.5154299,0.39281198,0.39309463,0.5532582,0.39566976,0.33783755,0.6117926
0.34427318,0.59498364,0.45347014,0.29386982,0.50542104,0.44820875,0.3208572,0.27466273,0.47200522,0.49145976
0.31909817,0.5636705,0.7329608,0.48424876,0.59483296,0.52029455,0.36597332,0.49205273,0.56843257,0.7104825
0.9093367,0.8305541,0.4636379,0.3544494,0.58713263,0.4334808,0.55236787,0.3227545,0.37280285,0.29093206
0.40486807,0.38416132,0.7232011,0.3866806,0.69627255,0.3417767,0.6885849,0.5928619,0.5388217,0.35150728
0.560849,0.65588087,0.5263795,0.7764735,0.7972564,0.58165747,0.65483224,0.36613226,0.6384108,0.43683898
0.53344107,0.32168996,0.5613227,0.607687,0.49116874,0.40576252,0.6918735,0.48238784,0.537029,0.6965898
0.63079405,0.23075657,0.4691213,0.53402764,0.8066183,0.48291695,0.5758265,0.30894014,0.64156353,0.57387775
0.7458407,0.46352604,0.6515269,0.5637443,0.3694232,0.53670084,0.32316998,0.41968328,0.31739035,0.47118142
0.4498598,0.52145094,0.2809866,0.43784484,0.8102702,0.55385214,0.4337578,0.59224087,0.63066864,0.5618947
0.5480423,0.265798,0.7043261,0.6211994,0.6259854,0.51538604,0.4258929,0.43451017,0.47037056,0.5874265
0.7044295,0.59413856,0.27199706,0.52869236,0.39136368,0.35377586,0.80776566,0.2926433,0.7865972,0.50450355
0.5865834,0.449342,0.46119514,0.3118512,0.30325964,0.73638874,0.5340907,0.64558136,0.50614786,0.50171226
0.67338693,0.34213585,0.5137516,0.72012043,0.50045997,0.6113195,0.51555055,0.44028065,0.5639295,0.33548254
0.66417944,0.3948259,0.6878886,0.40695882,0.65120983,0.6922292,0.35592586,0.3289592,0.6458098,0.49607438
0.55966413,0.52565384,0.3941558,0.4003795,0.6206579,0.40999225,0.5918867,0.5032916,0.40916693,0.58418983
0.48347214,0.44125214,0.46745202,0.82887894,0.65115404,0.54333144,0.45131084,0.6353984,0.5043168,0.38167304
0.61498934,0.47768173,0.6729655,0.44621882,0.44923344,0.45962986,0.42639527,0.5365973,0.40399697,0.5365714
0.5193924,0.62707317,0.33201224,0.4930454,0.6392161,0.49677354,0.5433619,0.61471915,0.6079805,0.32017615
0.33352116,0.42570445,0.58569056,0.735827,0.6344714,0.545493,0.44962093,0.52091616,0.61884004,0.43993112
0.62774277,0.53288716,0.6118568,0.64845955,0.6491502,0.8448086,0.62262183,0.69003075,0.5192453,0.6272479
0.66651934,0.8113603,0.45707282,0.5207638,0.5714006,0.19784766,0.39425722,0.36324322,0.4377526,0.37858263
0.53467363,0.29951277,0.50629616,0.48392946,0.40995765,0.6308494,0.52557236,0.52619815,0.3639838,0.71114194
0.56479794,0.39004079,0.33121604,0.6668732,0.6521698,0.34209624,0.62258774,0.7523631,0.62750053,0.49301857
0.48332512,0.21592893,0.68777555,0.5227934,0.40713388,0.34083214,0.38718116,0.3592082,0.5258052,0.67951477
0.39776108,0.51098716,0.41066703,0.4359523,0.5301928,0.8774817,0.7570141,0.58242005,0.49242955,0.511048
0.67350477,0.5137764,0.21934944,0.5469804,0.26518714,0.51043785,0.42345107,0.2474062,0.75581753,0.5778647
0.56633395,0.12918569,0.44420278,0.3705316,0.4547619,0.4668206,0.64540386,0.36270425,0.49416512,0.34926516
0.59268254,0.59293276,0.43786588,0.6544545,0.68104875,0.9341516,0.3998532,0.6889023,0.119538575,0.7325796
0.82499397,0.6316922,0.44847345,0.6189072,0.46571374,0.23114102,0.36304238,0.52215713,0.5885072,0.33028588
