A,B,C,D,E
-0.000489329,1.605864,0.99684703,0.000926777,-0.0028240953
-0.0047849705,1.6173023,0.9975016,0.0039216713,0.001361838
0.00737968,1.6161308,1.0001624,0.0024367117,-0.00613997
-0.0038195448,1.626539,1.0053225,-0.006465729,-0.002441331
0.00329413,1.616434,0.9994391,-0.0035274918,-0.00239657
0.0015484912,1.6059992,1.0100904,5.928197e-05,0.004708143
0.0025202706,1.6053557,1.0120709,-0.004816201,0.006590145
0.006297466,1.6141156,1.0039809,-0.004395601,-0.006766696
0.0056900955,1.6155641,1.0044327,0.0002045653,-0.007070408
0.0022131554,1.6182263,1.0030798,0.002245604,0.0046492103
-0.0038195448,1.6214111,1.005508,0.00016712307,0.0021173873
0.008979233,1.6096469,1.002697,-0.005356601,0.0058347657
0.0018021524,1.6169854,1.0085726,-0.011026204,-0.007918078
0.0047920533,1.6156429,1.0070851,-0.00040888274,-0.004205531
0.004965485,1.6079361,0.9955722,-0.0005100398,-0.0019945407
0.0016512414,1.6116345,0.9971512,-0.0005446191,0.004377894
0.0018490925,1.6116216,1.006714,-0.0039060356,0.004171075
0.010647265,1.610444,0.99884295,-0.0011366238,0.0065466017
0.003983198,1.6046034,0.99639815,0.0051317224,0.009093058
0.0068155136,1.6210653,0.9924072,-0.0035129671,0.010817524
0.01010263,1.6201928,0.99034166,-0.0015020813,-0.0014356009
-0.0041788453,1.6204387,1.0018172,-0.0038466337,-0.0037603467
-0.008728147,1.6197014,1.0034146,-0.008961736,-0.00041900494
-0.0035910623,1.6236663,1.000787,-0.0029029595,-0.0027675107
-0.006271269,1.6192484,1.0018206,-0.0007414004,-4.7948895e-05
0.005134862,1.6126567,0.99779934,0.0020390197,-0.0005363637
0.0027176205,1.6098797,0.99647766,0.005800978,-0.004787234
-0.0018368041,1.6075413,1.0001299,-0.00071600184,-0.007022026
-0.0021553747,1.6145401,0.99828833,-0.0018646749,-0.011582729
-0.0024492615,1.6218754,1.0027575,0.004729814,-0.00058096217
0.004692804,1.6187994,0.9960121,0.0020486312,-0.0017441107
-0.0022265976,1.6101811,0.9913003,0.0042859833,0.0020190235
0.0055250335,1.6190691,0.9943334,-0.00785636,-0.0007642492
0.0029314475,1.6107837,0.9961736,-0.0010816196,0.004928235
-0.0022265976,1.6124543,1.0012319,-0.00076963915,0.0014760847
-0.006136111,1.6073308,1.0009431,0.0027988213,0.0031870997
-0.00409921,1.6147805,1.0025437,0.0029011797,0.0009395645
0.0027697214,1.6144896,1.0095508,-0.0007874188,-0.00493084
-0.0024786696,1.6119831,0.9991753,-0.0028445248,-0.0052500656
-0.003848086,1.6221129,1.0013725,0.0043236194,-0.00036584368
-0.005020399,1.6322315,1.0021039,0.009614678,-0.0023663058
0.007911941,1.6270195,0.9993863,-0.008961736,-0.00010671543
-0.002441511,1.6151528,0.9982925,-0.0024310881,-0.001912939
0.00030242433,1.6177999,1.0023696,-0.0047041825,0.0062061506
0.009442505,1.6210645,0.99604803,-0.0034847315,-0.0033664608
-0.0035930418,1.6205162,0.9993024,0.00053462526,-0.0029052282
-0.00091280567,1.6254185,1.0044866,0.0044574807,0.0075820526
-0.0034803264,1.6153375,0.9994295,-0.0007948498,0.0063558575
-0.00043586193,1.6169599,1.000698,0.00781628,-0.0062412284
0.0028484615,1.6163672,1.001891,0.0022799594,0.0049590026
