A,B,C,D,E,F
-0.00042131572,-0.04810406,-0.0011576882,-0.0017590732,-0.0012278656,-0.038356755
-0.0067345975,-0.058742344,0.0064100632,-0.0022422501,-0.0065482943,-0.03915682
-0.010895169,-0.039340265,0.000915235,-0.011735939,0.005645257,-0.041123673
-0.009152878,-0.031656567,-0.012236465,-0.008647138,-0.0035863488,-0.037018213
0.004201003,-0.03210567,-0.013431735,-0.003073232,-0.0026026967,-0.04538217
-0.00868205,-0.027959585,0.0009300811,0.013593748,-0.0016731812,-0.036084704
-0.0073697707,-0.021072648,0.0011088678,0.0032680803,-0.0029777177,-0.03998559
-0.0059285983,-0.03221877,-0.0023025267,-0.0049665803,-0.0036748573,-0.028105337
0.0016048388,-0.034949142,0.0003944526,-0.011544357,0.0034174754,-0.04281761
-0.008337374,-0.020218201,-0.0071159713,0.0010945135,0.0056681684,-0.018751299
-0.0011358783,-0.0319793,-0.0017371941,-0.002225041,0.003828473,-0.046904646
0.005362798,-0.05009798,0.003331936,0.0012282102,-0.00019361505,-0.025104169
0.004748766,-0.015604466,-0.0034610364,0.0024645333,-0.002851662,-0.038432658
-0.0002646386,-0.048980992,-0.0076934113,-0.0031412719,-0.007868683,-0.03213447
-0.00023912545,-0.011002328,0.00045030168,-0.0018346744,0.005994159,-0.03461637
-0.013598486,-0.022256259,-0.0062990095,0.003090805,0.0009591141,-0.03421346
-0.004979062,-0.029878806,0.009262705,-0.013419914,-0.002341815,-0.040694006
-0.008701577,-0.03596045,0.0043681823,-0.010496803,-0.0014290378,-0.025884457
0.00037787925,-0.014445141,-0.003991372,0.0049056243,-0.0021574742,-0.031553194
-0.006181127,-0.0509038,-0.004843893,0.0055743214,-0.0012008153,-0.03258259
-0.0072010355,-0.02916757,-0.0038223213,0.0022050734,-0.00023923768,-0.023675155
-0.0059435456,-0.03680467,0.0064862967,-0.0022628875,0.0030026855,-0.029979523
-0.0021468655,-0.025392342,0.012257064,-0.00095474423,-0.0076072263,-0.032247
0.007830473,-0.03784817,0.0005473546,-0.00013347185,0.011568776,-0.033989005
0.0020568296,-0.010210518,-0.01252023,0.0050774785,-0.009207383,-0.026723012
0.015786361,-0.02916167,0.013078205,0.00082516845,-0.0036810606,-0.037053823
-0.01150775,-0.03636796,-0.013223804,-0.002609558,0.003401634,-0.026511507
-0.004328275,-0.030753644,0.0044535594,0.0076969583,0.001651317,-0.042958416
-0.001407519,-0.03404326,0.0065189623,0.00075527246,0.0058502653,-0.03544105
0.010134643,-0.010701463,0.003704471,0.0017047555,-0.000938541,-0.04836381
0.0050937505,-0.056603834,0.014096332,0.00047767055,0.0068386206,-0.040696476
-0.0034057319,-0.028389294,-0.0022389563,0.008247437,0.0013292339,-0.038753577
0.0070559597,-0.02859778,0.009175602,-0.0050584725,0.0048877923,-0.04074488
0.00075443415,-0.03788537,0.004514508,-0.0117295,-0.0017804856,-0.03965466
0.006394699,-0.033557,-0.00021633506,0.008438669,-0.0066707735,-0.041147426
-0.0027171667,-0.04357819,-0.0019089523,-0.006358888,0.00078241626,-0.04592285
-0.01145614,-0.04159331,-0.00513829,-0.010165686,0.0023266661,-0.043830886
0.0021924854,-0.036900397,0.0073413607,0.0063504693,0.00043302157,-0.04524672
-0.0022382757,-0.05174556,-0.000606932,-0.022114152,0.00057518843,-0.034254536
0.0002533649,-0.046097293,0.0048966594,0.0007751325,-0.0023493718,-0.048173875
0.006892379,-0.054763332,0.0024611123,-0.0003690686,0.004877282,-0.024202652
-0.0016824068,-0.031169534,-0.0016462619,-0.00018130231,-0.004200349,-0.05107338
0.010875106,-0.045925975,-0.0017081411,-0.014599813,0.003870585,-0.020760264
-0.0063893665,-0.02770609,-0.0032819882,-0.0015667684,0.00014090828,-0.050043233
0.0078001013,-0.059204765,-0.00090821227,-0.0032308968,0.006152296,-0.014292629
-0.0022820188,-0.0045810062,0.0007771532,0.0034782048,0.012509914,-0.042918906
0.010147773,-0.052878052,0.00838169,-0.008633071,-0.0010168063,-0.008936927
0.021134373,-0.024198223,0.015324946,-0.011843311,-3.477157e-05,-0.046548396
-0.0004335062,-0.040108163,-0.002874537,0.0018230777,-0.0022212828,-0.017083198
0.0031505309,-0.0059218146,0.0015505874,-0.01106631,-0.00042112757,-0.054279856
-0.006129344,-0.050582234,-0.0026483661,0.0028312122,0.0003839737,-0.019288883
0.002291075,-0.00090334564,0.0016894381,0.0036718752,0.0019275298,-0.06753064
0.0022143873,-0.06449185,-0.001224254,0.00087444927,-0.0021495125,-0.021028131
0.004611724,-0.0016543139,0.0065084314,-0.01656559,0.004174459,-0.06710631
-0.0028299154,-0.072588414,-0.0069267787,-0.00404556,-0.0052677495,-0.020035058
0.0038078376,-0.015872154,0.0053273863,-0.0051027434,0.003872539,-0.065442964
-0.007819824,-0.07216401,-0.010940947,0.00038877348,-0.0011985127,-0.022468094
0.0014581643,-0.02813787,0.0036405348,-0.0002460837,-0.0015487231,-0.056499742
-0.0023216372,-0.07074825,-0.0069767106,0.008598687,-0.01016223,-0.024980698
0.0027291456,-0.026911978,-0.0031795492,-0.0024870855,-0.0029906768,-0.053843014
-0.017003203,-0.058127478,-0.016354196,-0.0032235384,0.00084177795,-0.028598923
0.0006727183,-0.020681798,-0.007947179,0.008965236,0.00076602225,-0.062122118
0.005125374,-0.045309402,0.00096276664,0.013278035,-0.0010752064,-0.03211943
-0.0041662483,-0.025218192,0.0024366584,0.0033674776,0.0053715473,-0.064282276
0.0050725928,-0.067523286,-0.009735535,-0.0085742455,-0.0066422727,-0.035508096
0.004047962,-0.04446936,0.0067210826,0.004444979,0.008874127,-0.05495558
-0.0076916763,-0.06736003,-0.003490011,0.011916028,0.0022416832,-0.028470688
0.0068837237,-0.04566113,0.012176348,-0.013375078,0.007123793,-0.050269254
0.009377077,-0.062279806,0.00040410203,-0.008179257,-0.0012008153,-0.030381624
0.010145381,-0.015304552,0.00066830683,-0.0039623356,0.001850017,-0.045051306
0.003748419,-0.047813717,-0.002504297,0.020131344,-0.0066909962,-0.0074296165
-0.008342864,-0.02561629,0.00024947338,-0.01283841,0.0048877923,-0.054022435
-0.0077764625,-0.033712715,-0.00607965,-0.0026942666,0.0065500415,-0.00073941797
0.0050317585,-0.009049412,-0.0005022045,-0.006732531,0.0013816998,-0.048705563
-0.0021526674,-0.07253408,0.009825087,-0.008293589,-0.0062315115,-0.0023511164
0.0065203076,1.678802e-05,-0.0017165072,0.003638647,-0.00187158,-0.036680058
-0.010304015,-0.045696884,-0.0035499157,0.001511906,-0.009097444,-0.0047440734
-0.005101888,0.007905599,-0.0070880926,-0.0005357018,-0.0050038104,-0.020499557
-0.004765832,-0.033868305,-0.011754521,-0.007339064,-0.01459815,-0.0070169326
-0.0077807144,-0.013389146,0.0058546416,-0.008639694,0.00015781842,-0.020469237
-0.0102357315,-0.010734789,-0.0128479805,0.006545553,0.006679816,-0.015813507
0.0017040421,-0.011218421,0.008258886,0.000489217,0.0023692898,-0.03107827
0.011965441,-0.017705806,0.00951238,-0.0031611505,0.012427008,-0.01318196
0.011231232,-0.016659234,0.003683721,-0.0015222796,-0.0013416852,-0.02530898
0.014791178,-0.020912822,0.013539787,-0.005456394,-0.0005405739,-0.018391093
-0.0024238653,-0.005920209,-0.00021807884,-0.003411599,-0.0059426418,-0.019528832
0.008121715,-0.01554499,0.0075523276,0.011670606,0.00044620456,-0.028721213
-0.010846673,-0.02189359,-0.004872833,0.0010031346,-0.0010168063,-0.031718124
-0.001433316,-0.033701178,0.007025193,-0.0057602623,-0.006353945,-0.031105936
-0.006022183,-0.013418671,0.0066724573,0.003353016,-0.0005022798,-0.02423909
-0.013538834,-0.032575235,-0.013925772,-0.0041296724,0.0028950784,-0.0321651
-0.007447216,-0.03498038,-0.006581294,0.007225834,-0.0020624367,-0.025616154
0.0010909811,-0.015140681,0.012098999,0.0018531267,-0.0014290378,-0.039874032
-0.0013837058,-0.04081461,0.0016464521,0.00034200182,-0.011834469,-0.025035368
0.0018504201,-0.033719867,-0.00034162984,0.008480143,-0.0042152097,-0.050296497
-0.012962098,-0.041669272,-0.0037019989,-0.0065898187,-0.004845047,-0.019399628
-0.0007843368,-0.026923357,-0.0028135856,-0.013564895,-0.008853505,-0.050997503
-0.0022279993,-0.017762493,-0.0094221365,-0.0073951776,0.0003732486,-0.02178286
-0.010496347,-0.023603119,-0.008201214,0.0030179305,-0.0016643689,-0.049479116
0.0025809815,-0.043810233,0.0034551667,-0.0027669373,-0.0011959871,-0.021233495
-0.0025962885,-0.025655799,0.007486239,0.000745188,0.0016241954,-0.043739393
-0.0054318365,-0.03538122,-0.006131504,0.004457751,-0.008496358,-0.024930947
-0.0014627655,-0.02406365,0.008216958,-0.0016407093,-0.0011649147,-0.0569273
-0.008686152,-0.053255767,-0.011827668,0.0002955408,-0.0062315115,-0.017404176
0.001974045,-0.02990307,0.0024303333,-0.00043533614,0.010075519,-0.068439
-0.016755782,-0.051818587,-0.0035499157,0.007698051,-0.004360052,-0.016394673
0.007915503,-0.03122098,0.013510251,-0.022370568,0.00054046174,-0.08097583
-0.00046453788,-0.08758889,-0.010965141,-0.0037476853,-0.003440131,-0.017923431
0.0052269585,-0.021215659,-0.004647848,-0.0018372559,-0.009127157,-0.084616125
-0.008529836,-0.08830427,-0.0010180587,0.00075130095,0.00030562695,-0.016078167
-0.006825432,-0.0021119975,-0.012316401,-0.0051406627,0.00044800754,-0.075566605
0.00026169786,-0.08883016,0.0039180694,-0.004138735,0.006152296,-0.025122534
0.007914255,-0.021048855,-0.004993902,-0.0055318377,-0.00034429412,-0.078897275
0.011109236,-0.085715845,0.0017037936,0.0021039473,0.01163258,-0.023429584
-0.0050519025,-0.02035635,0.0026464618,0.006051438,-0.007212436,-0.08593994
0.011912171,-0.07644637,0.0077361614,0.000510681,0.004865033,-0.028189063
-0.01181531,-0.034248054,-0.013939219,-0.0147348335,0.006774349,-0.09251313
