A,B,C,D,E,F,G,H
0.5602078,0.13933992,0.7398958,0.11512402,0.752271,0.08640523,0.77013916,0.7906604
0.723318,-0.036400743,0.7918122,-0.14714858,0.50064695,0.042606264,0.8399381,0.5651042
0.72015995,-0.002554953,0.5995706,-0.10410219,0.7586719,0.0045876503,0.545293,0.6088714
0.5443673,0.057211578,0.71372485,-0.031567685,0.73854154,-0.12758726,0.72294474,0.7440626
0.79492486,-0.02898367,0.73516583,-0.033828095,0.6374831,-0.05228062,0.73860204,0.7608178
0.82746875,-0.07267204,0.54047734,-0.074540526,0.73535097,0.025601476,0.7850245,0.62922835
0.617477,-0.07751921,0.6080598,0.13896999,0.5510192,0.09891245,0.52057654,0.621985
0.7083461,-0.13981864,0.58231086,-0.1465858,0.60613084,-0.046358302,0.7208625,0.50511515
0.70850116,-0.005036235,0.518486,0.03185685,0.6230318,-0.14375634,0.63655156,0.74669087
0.5919652,0.034867376,0.61058974,-0.04874967,0.60336995,0.10139084,0.69606525,0.64349675
0.5395057,0.0009712875,0.7060537,-0.12021837,0.57188165,0.06825665,0.61911565,0.6233312
0.61978143,-0.00054366887,0.77605927,-0.06508461,0.5832866,-0.09943005,0.4848041,0.59358585
0.7491725,0.11552042,0.62610424,0.09426369,0.7481631,0.044330448,0.49649608,0.6257577
0.7844933,0.07587938,0.62991637,0.032877445,0.50402284,0.061892584,0.62837034,0.7432875
0.6132661,0.12269157,0.55681264,0.05027269,0.5462507,0.13329273,0.58848625,0.66834337
0.8186804,-0.12777567,0.6877614,-0.0134964585,0.5451711,0.025980875,0.7033144,0.55125505
0.6617854,0.07566135,0.56906253,-0.07235123,0.76003265,-0.01227501,0.5921818,0.537871
0.6703874,-0.14080183,0.55131125,-0.066579334,0.49957368,-0.026540928,0.7338813,0.5815651
0.6830637,0.013634458,0.5088476,0.09211928,0.5713099,0.13768664,0.73196274,0.7494321
0.63110906,0.050955415,0.6418035,-0.037301466,0.70555305,-0.002488047,0.6243101,0.63201535
0.6378843,-0.018064171,0.7877056,-0.023744076,0.71792215,-0.13911885,0.5725099,0.61243725
0.7063688,-0.13864678,0.7393169,-0.039328374,0.64191294,-0.005283579,0.58163255,0.6238561
