A,B,C,D,E,F,G
0.00011041973,0.7026649,0.0037180828,-0.00237728,0.69105077,-0.0024645112,0.009841358
-0.0005381097,0.68716073,-0.004530523,0.0032363087,0.6938133,0.002674845,0.0036518525
0.0007332151,0.69988966,-0.0046299896,-0.0027700337,0.68529,-0.00405465,-0.0027749476
0.007602411,0.68971366,-0.0045617465,0.0020018518,0.6975676,0.0024787497,0.00040977888
0.0036117516,0.697635,-0.0041518463,0.003750171,0.68598413,0.006618537,-0.005613837
-0.0012306795,0.68970263,-0.003880445,-0.0019203547,0.6960917,-0.007178775,0.0067524826
0.0009868882,0.6871208,0.0032682153,0.0015986861,0.69337434,-0.000112853064,-0.0014375586
-4.6028465e-05,0.7006568,0.004145418,0.0015451987,0.69499934,0.0028424712,-0.007828459
-0.0059447726,0.68430173,0.003800606,-0.0037245178,0.6968939,0.001385494,0.002514604
-0.009766256,0.6873861,-0.001409495,-0.0007554603,0.7004608,0.0069553712,-0.00095467194
0.007352663,0.69537693,-0.008361524,-0.0023198691,0.6931505,-0.0035906096,0.003277615
0.004207805,0.7000539,-0.007291299,0.0026840824,0.6889023,-0.002079319,0.0071208565
-0.009709893,0.7014194,-0.0022761687,-0.0018706014,0.6947333,-0.0063744728,0.00093605136
-0.0045231143,0.7001734,-0.0045605632,-0.0057891957,0.69888324,-0.007178775,0.0005617417
-0.007121495,0.69054824,-0.002366749,-0.005951403,0.6868148,-0.0020206529,-0.0024569824
0.003461625,0.6929869,-0.005119914,0.0010601755,0.6980707,0.00818737,-0.00126755
0.0075884997,0.6968243,0.0023627372,-0.0034809317,0.69295216,-0.00022620364,-0.015083234
0.0036801824,0.6994774,0.0034137343,0.0017776085,0.6970362,-0.0017890313,0.008265214
-0.0025895499,0.6924453,-0.004787255,0.0017776085,0.6843692,-0.00046309584,-0.00051232276
0.00092154206,0.70031583,0.0006799105,0.0039025447,0.6987949,0.00017992302,0.0013503737
-0.008018148,0.69302666,0.00059096655,0.0005249384,0.6929295,0.0016733266,0.0015891592
-0.0057530287,0.6959572,-0.0038611954,-0.0032406785,0.69769573,0.001377119,0.008206061
0.0048749284,0.69503206,-0.0038848834,0.0022672834,0.68984085,0.004561012,-0.0012554761
-0.0092329085,0.6969188,0.0016062009,-0.0019147178,0.69252115,-0.0012146359,-0.009004182
0.005064115,0.689101,-0.0034700444,-0.005086229,0.69569427,-0.0044238614,-0.00046099274
0.0061006146,0.68890315,-0.0098014865,-0.012595633,0.6936521,-0.0010379271,-0.0032157637
0.003855646,0.69484824,-0.004659628,-0.0017802179,0.6996516,-0.002043049,0.008825417
0.001758792,0.68725383,0.0026348962,0.0055618733,0.69591564,-0.0011717067,-0.0012822396
0.009306022,0.7056821,-0.0035746498,-0.000450932,0.69917345,4.705366e-05,-0.004820033
0.0030720588,0.68700796,0.007777792,-0.0078352615,0.6977089,0.0012638432,-0.0022408029
0.0035418712,0.68086654,0.007218853,0.0045790705,0.6889417,-0.008082517,0.0044731954
0.006486378,0.68838096,-0.00070992304,0.002539503,0.68713796,0.004615137,0.00093605136
0.007875096,0.6912715,0.0016122854,0.004200915,0.6813084,-0.0014110125,0.0030599579
-0.0036493256,0.6890392,-0.0021860944,0.0029129232,0.6968491,0.008953461,-0.0020537172
-0.0026406236,0.70265204,0.004324188,0.0005022582,0.6968491,-0.0012117715,0.00639833
-0.0035574376,0.6892153,-0.0007657302,-0.0077218185,0.7019111,0.004219686,0.0035492766
-0.0030767322,0.68621767,0.00299651,-0.005139617,0.7025194,-0.011576529,0.009009339
