A,B,C,D,E,F,G,H,I
0.9204027,-0.14583965,-0.0414465,0.04764454,-0.2901567,0.020916283,-0.14459807,1.0818174,1.1355546
1.1475062,-0.13623801,-0.10549064,-0.12667643,-0.55063695,0.060010806,-0.10566874,1.0484596,0.9078673
0.89614564,-0.01689282,-0.14169058,-0.10683952,-0.30199274,-0.031771824,-0.105728,1.1462756,1.1382581
1.0413904,-0.12554577,-0.047444507,0.09241927,-0.50560176,0.0013564826,0.01568839,1.0203704,0.9749322
1.070399,0.012299657,-0.036956422,-0.09605953,-0.5021926,0.11267388,-0.12868084,1.0537643,0.8737076
0.96498775,0.11391559,-0.086598694,-0.095646076,-0.59096885,-0.078915924,0.028785303,0.8509062,0.92681867
0.9843912,0.01017721,-0.12692486,-0.01775536,-0.45700973,-0.05479476,0.074954405,1.0379821,0.92671055
1.0032835,0.1422657,-0.109211385,0.1029934,-0.5614215,-0.011043742,0.046442628,1.0921621,1.078591
1.0345235,-0.078832954,-0.016400903,0.063555464,-0.22528002,-0.027282141,-0.10710925,0.9769919,0.99221826
0.89353055,0.12778932,0.12935135,-0.0432164,-0.6392473,0.12374111,-0.052860335,0.99863535,1.0232553
1.0012219,-0.03902697,-0.020077586,-0.063459046,-0.6338599,0.05753854,-0.1077411,1.0896757,0.9784697
0.88212764,0.05374579,0.086066544,-0.029369526,-0.38403922,0.13782838,0.037446946,1.0046514,0.8523979
0.99599046,-0.09958242,-0.09175378,0.059772328,-0.19375035,0.04897988,-0.104535505,1.0900002,0.9220427
1.0210705,-0.13602631,0.06971462,0.034792483,-0.54807186,-0.10892287,-0.08723989,1.112287,0.9193443
1.1442628,0.14892459,-0.1337707,0.11029568,-0.33473304,-0.018572494,-0.09319118,1.0852828,1.0768504
1.076875,0.0056474507,-0.10883917,-0.037239037,-0.0825851,0.10779697,-0.039660774,0.886276,1.130072
0.98744786,-0.07667009,0.054536358,0.13828698,-0.41656843,-0.10954523,-0.06704858,1.0306523,1.0163913
0.8750732,0.036375523,-0.11653425,0.07978997,-0.3596735,-0.03581316,0.08314425,0.87235075,1.1231787
1.1118788,0.03742373,0.13424578,-0.124118224,-0.15585953,-0.14306545,-0.08955249,0.88098645,0.8521923
1.1309642,0.018048212,-0.08885622,0.021535784,-0.49678952,-0.1319742,-0.14244974,0.9410365,1.0191034
0.9647524,0.12931424,-0.0949791,-0.12893227,-0.35209402,0.06773771,-0.026406728,1.1036365,1.0273225
0.9682698,0.1358912,0.09661423,-0.06883357,-0.5073894,-0.010653943,0.06794472,1.0599148,1.0196651
1.1208737,0.119549245,0.1185227,-0.12460167,-0.47443116,0.12373342,-0.14954415,0.92004776,0.9103234
1.0049087,0.020100594,0.069159135,0.14905357,-0.15342894,0.0070697516,0.14001516,0.85843515,0.8244554
1.1377687,0.12795606,-0.025676608,-0.10999924,-0.5993018,-0.11132904,0.032044336,0.94260323,0.86313987
