A,B,C,D,E,F,G
-0.001544333,0.6926098,-0.0041518463,-0.007383157,0.6967925,-0.007445136,-0.006400396
0.001758792,0.68727577,-0.003866771,0.003902545,0.6982363,0.0014341496,-0.0037514283
-0.004592651,0.6879527,-0.0034700444,0.005269295,0.67985463,0.0021594032,0.0040008854
0.0034415862,0.68795294,-0.003880445,0.00041890467,0.690457,-0.006152251,0.004144923
-0.0008360898,0.68862563,-0.0011731806,-0.004826684,0.68747056,0.0074240915,-0.004315503
0.009073925,0.6798777,0.005516832,0.0012519964,0.7017963,-0.0028221621,0.0005952897
0.0027603765,0.6959445,0.009650251,0.0014407169,0.69723535,0.0014861465,-0.0027843113
0.0036074084,0.69996125,0.0010357694,0.0022860998,0.6942328,-0.0017400808,0.004206383
-0.007863948,0.6947801,0.008346621,5.7823007e-05,0.6865857,-0.0068203406,-0.0124957105
0.0041725375,0.6971873,-3.685933e-05,7.487263e-05,0.69704896,-0.007879442,0.0010589616
-0.000761824,0.6961884,0.0010745192,0.008387218,0.6882862,0.0003976456,-0.00051212375
-0.0034127685,0.69181025,0.0073221484,-0.0033520868,0.7077688,-0.00059454393,0.0073338724
0.004105494,0.68309766,0.00075245276,-0.006530952,0.69040287,0.0054016816,-6.742645e-05
-0.0066161375,0.69432855,0.007181914,0.006497496,0.69747716,0.00032131426,-0.0025028344
0.0020006904,0.69363457,0.0025183102,-0.002396248,0.69601345,0.008349384,-0.002420822
-0.005945879,0.69158226,-0.0033664599,-0.0029973101,0.6903622,0.00033173797,-0.0016712261
-0.0036649269,0.6857491,-0.003048234,-0.007861886,0.6902631,0.0018893961,0.0071208565
-0.00065539376,0.6848381,-0.008717953,-0.0022783594,0.6864669,-0.0039191796,-1.6019663e-05
0.0037031397,0.696541,-0.0028018744,0.007362279,0.6911193,-0.0023259514,-0.0048091304
0.008223401,0.6906153,-0.0069032866,0.0015688898,0.7004946,-0.006123796,-0.0009157443
0.003480184,0.70299065,-0.0047046286,-0.004905762,0.7019706,-0.0026965055,-0.0007561087
0.00035029356,0.68806285,-0.00060084503,-0.003514572,0.7013986,-0.0017890313,0.0006782723
-0.005058504,0.6959643,0.0066325795,-0.003770653,0.6952742,0.0028205642,-0.0029617806
0.00543637,0.69188976,-0.0036257629,-0.0066510295,0.69853145,0.0023020285,-0.005194632
0.001956129,0.6859784,0.0037378748,-0.0067599127,0.6972003,0.0044671507,-0.0019401798
0.00017279788,0.68068415,-0.002036264,0.0014800371,0.69033873,0.010266799,-0.0066692806
-0.0032140114,0.7025002,-0.0098014865,-0.007914118,0.68779415,0.0024130275,-0.0032157637
0.0030444094,0.68609995,0.0016122854,0.0039938777,0.6854647,0.0018918116,0.0064884424
-0.006308358,0.6963939,0.005017575,-0.0029731067,0.69946694,-0.005469449,0.0012316058
-0.001885369,0.69396925,9.338975e-05,-0.00048692457,0.6985397,-0.0032853913,-0.00061117153
-0.00638535,0.68941104,0.006695382,-0.0019147178,0.6908469,0.0010574415,0.0039177476
-0.002019261,0.69391966,-0.004238881,0.004856962,0.6838166,0.0006521507,-0.0006585053
0.001415976,0.70732063,0.0005863488,0.0058802655,0.6904335,-0.003238365,-0.0036241896
-0.003350321,0.69674134,0.0023532112,0.0050741076,0.6909368,-0.0040451316,-0.0027749476
0.0037585958,0.69145226,0.0112959705,-0.002476094,0.69677866,-0.001035641,-0.007213035
0.009480936,0.6921079,-0.0061779288,-0.0015317997,0.701707,-0.0014881013,-0.0027224212
0.00546854,0.69559526,0.0066713565,0.005926297,0.69446045,0.0018462621,0.0026581532
0.0033840637,0.69246995,0.0063426145,0.0039108326,0.69674915,-0.009501859,0.0076999757
0.001875075,0.6930986,-0.005337204,-0.0029949485,0.69318557,0.0042014695,0.004372167
-0.0033487102,0.7000142,0.0010930075,-0.004339402,0.69064015,-0.008108492,0.0039256
0.0015763061,0.703581,-0.010241762,0.00056929677,0.7008246,-0.0072250436,0.0004591921
0.006486378,0.6956996,0.0048030145,-0.00228711,0.6878865,-3.489001e-05,0.0049608033
-0.0041803718,0.6824181,0.0018108543,-0.0035326036,0.6935854,-0.010143867,0.0028830802
-0.0045954105,0.6902314,-0.006126858,0.0033480737,0.6963725,0.003714851,0.004627632
0.0026240307,0.6904077,-0.004787255,-0.001062406,0.69074005,-0.0065328944,-0.005613837
0.0030720588,0.6961848,-0.003725512,0.0070270873,0.6862329,0.0019777827,0.0020333652
-0.0034254836,0.6902472,-0.010228993,0.004343033,0.69320077,-0.005648075,-0.012305035
-0.0016412897,0.6906442,-0.0016214498,-0.0034252976,0.70637643,-0.004917696,-0.006955611
0.0085571185,0.68716836,0.00011973512,-0.0042997105,0.69697994,-0.007035536,0.0010760336
0.0031599817,0.69793504,-0.007268068,0.0020680893,0.68837905,0.0011965454,-0.00048974634
0.00546198,0.69958746,0.0037041414,0.006913725,0.6971565,0.013803714,-0.0015634907
0.0075489613,0.69431406,0.006813043,0.0025716405,0.6972954,0.004540258,-0.0025304058
-0.00015298111,0.691353,0.003796688,0.0005191448,0.6951593,-0.00024615612,-0.0037139617
0.0036117516,0.68405676,-0.009851956,-0.0016178472,0.7003186,0.0016236119,0.0064517017
0.0012770693,0.69934094,0.0053113014,0.0018554706,0.68946356,-0.0002794869,0.00978923
-0.009105838,0.6940228,0.0037390944,-0.007059751,0.68683946,-0.0014557804,0.0082569625
-0.0049469313,0.6973685,-0.0078118136,-0.006433,0.70218337,-0.004377105,0.010890533
-0.0039449767,0.6958203,0.004324188,-0.0021280753,0.68762505,0.0026845722,-0.010073105
0.002428624,0.68662477,-0.001055446,0.0016317118,0.68907845,-0.003665887,0.009462273
0.005999925,0.6896346,-0.004530523,0.0015451987,0.70227754,0.00064883544,-0.006504854
0.0016551465,0.6872923,-0.010717832,-0.003739715,0.68812466,0.0053862236,0.011112248
-0.0014657147,0.68541527,-0.0028685178,-0.010507585,0.6993611,0.0013010765,-0.0006873951
-0.0061474037,0.69220537,-0.005498503,0.0038467066,0.6889023,-0.007106034,0.0020176822
-0.0050832867,0.6959049,-0.010516667,-0.005539601,0.68720657,0.0020335768,-0.0059099137
0.0010559896,0.6866769,-0.0135743795,0.0038127988,0.68982375,-0.002744572,0.0071614073
0.0015534889,0.6993506,0.007109042,-0.007691435,0.6840967,0.0026251131,0.006852133
0.0013891921,0.68474907,0.012870675,0.0011246039,0.6973485,0.00094881,0.0027177443
-0.009990742,0.69224733,-0.0021879552,-0.0005548403,0.70389396,-0.0064570974,0.0051592956
0.011311302,0.68408686,0.011603261,0.0034299844,0.6884289,0.0028609147,0.00026319828
-0.004990997,0.6956516,0.00084221986,0.0019326969,0.69114286,0.00022884701,0.0016166656
-0.0061325757,0.6984313,3.3527376e-05,-0.00055035105,0.6966658,-0.0016666913,0.0045210025
0.0027515404,0.69606996,-0.009664365,0.0019168042,0.6997107,-0.003939112,-0.0010857906
-0.009867293,0.69298285,0.0069140643,0.006545574,0.69386756,0.0017623551,-0.0026234419
0.0021252036,0.70106834,0.009066991,-0.0063210726,0.6924678,0.0035095003,0.00475042
-0.00033176635,0.6891804,-0.00063574075,0.00029161925,0.68638736,-0.0058788494,-0.004732279
0.005443335,0.6934609,-0.000298979,0.0026715805,0.6864937,0.008414149,0.0010783656
-0.00021273832,0.69498235,-0.0057271817,0.001984439,0.6936657,-0.0043765376,-0.0052429526
-0.0010846355,0.6933923,-0.0149510335,-0.0038988031,0.69769573,-0.0013573433,-0.009296858
0.0038728171,0.68482465,0.009547236,-2.8372772e-06,0.6951491,0.0064370856,0.000343455
0.0066188294,0.6974502,-0.0022677234,-0.001108406,0.69057137,-0.007150599,0.00532921
9.8871096e-05,0.69711447,0.0043267105,-0.015095353,0.69371235,-0.0015958024,0.00038571618
-0.0007933378,0.6833522,-0.0049117785,0.002556254,0.6991797,0.0040477244,0.005335821
-0.008032387,0.69179,-0.0010919592,0.0022672834,0.6997428,0.003073224,0.0066317418
-0.00014199445,0.704024,-0.0034979635,0.00029970132,0.70133924,0.004661728,-0.0047595366
0.0076962644,0.69602364,-0.0010926273,0.003085992,0.69268525,-0.0011665807,-0.0013357865
0.0015340756,0.69043064,0.0024872655,-0.00044208835,0.6968053,-0.0009910285,-0.0012102762
-0.0048664194,0.68677825,-0.0031470864,-0.006296001,0.70251745,-0.006107505,0.007947688
-0.003823386,0.6926409,-0.0037616715,-0.0015346974,0.6960898,-0.0016236564,0.0063144565
0.005686718,0.6893363,-0.0076826285,-0.005275882,0.6848056,0.004164897,0.0054731774
0.0007997956,0.69828385,0.007786624,-0.0027435326,0.6934996,0.0038337975,-0.00026141282
0.0021688333,0.69016564,0.010492786,-0.0014414382,0.6911636,0.011180895,-0.0014421176
0.005401903,0.6992791,0.0025600472,-0.00037147984,0.70030653,0.0023597016,0.0031239912
0.0051351,0.7018488,0.007927817,-0.0050795297,0.68587106,-0.0011717067,0.0033001434
0.0009215421,0.6993715,0.0012349124,-0.00018140509,0.69031936,0.0015217917,0.0052398513
-0.000239355,0.6991811,-0.0069855154,0.00040947265,0.69316506,-0.0023270936,-0.0028461092
0.01184777,0.6883268,-0.0035636653,0.0044709677,0.6912699,-0.001781303,0.000883343
0.0018354576,0.69181186,0.0045589204,0.0006959229,0.69999284,-0.0027081424,0.0033929565
-0.0016024316,0.7000407,0.0012104581,-0.0031230417,0.70734584,0.0032687047,-0.0032337399
-0.0038217898,0.69422466,-0.0028136575,-0.0071854847,0.6929295,0.0018252908,0.002378759
-0.010357367,0.68409586,-0.0055323252,-0.0014735961,0.6848344,0.0019766286,0.0035815004
-0.0029716177,0.67797786,0.0034543793,-0.0008384104,0.7000117,0.0020953477,0.0022953965
-0.0026406236,0.6946648,0.004321773,-0.0058594155,0.69033915,0.00455068,0.00059051823
