A,B,C,D,E,F,G,H
0.0037765922,-0.00878315,0.009841363,-0.0068989275,0.0010155767,0.00018498581,0.004199315,0.0006466969
-0.008564388,-0.0016221307,0.004818138,0.0006183183,-0.0026440956,-0.0065523502,-0.0023078714,0.0017395925
-0.009368978,-0.0022395025,0.010259818,-0.0024237386,-0.0012668994,0.0057070428,-0.00044563774,-0.006310474
-0.004927787,-0.0046833847,0.0033988752,0.0044538784,0.0005732123,0.011622183,0.0031578704,-0.003533993
-0.0021496953,0.00017373287,0.0006763078,-0.0010234404,-0.0033174024,0.0117351655,0.0060149524,-0.004961646
-0.0046718447,-0.0063000293,3.0149939e-05,-0.0014703803,-0.0043186233,0.0031140943,-0.0004572071,-0.0008509122
0.0019763075,-0.000848013,-0.0068512945,0.010326915,-0.007973505,-0.006859333,0.008691578,0.0015479507
0.0011331418,-0.010278477,0.0035842312,-0.003382737,0.0012329571,-0.0015255365,0.012085015,-0.0025790879
-0.0033753205,0.004444965,0.0094054155,0.00713593,0.0024786573,-0.0055845543,-0.009433934,-0.00083614036
-0.007806072,0.016487535,-0.0061834324,-0.004893845,-0.0027313253,-0.0006126622,0.006945546,-0.009010772
0.0067030266,0.009290878,-0.0043380936,-0.0022262568,0.0028821304,0.009079755,-0.011196598,0.0013631274
0.006211471,-0.0014031478,-0.010740586,-0.0057097636,0.012231432,-0.003904544,0.002425828,0.000567371
-0.0029196371,-0.012230368,-0.002843406,0.0088851955,-0.0065112924,0.00540771,-0.01236384,0.007127863
-0.00285021,-0.0055234106,-0.00093252,0.005797293,0.00020317794,-0.0025801389,0.019022536,0.0075869034
-0.001029449,-0.004606186,0.017682467,-0.0036361606,-0.0040960354,-0.00016403547,0.010886784,-0.0039473767
0.0033945465,0.0057826275,0.010369615,0.00042761423,-0.0017889324,-0.001704428,-0.0067752395,-0.006553309
-0.0036186397,-0.0010387166,-0.008083045,0.008764995,-0.00010492937,0.020070596,-0.0021082421,0.0050503807
-0.0056407484,-0.007095866,-0.0019391477,0.0021549715,0.0022188716,0.023910234,0.014501719,0.007816487
-0.0021358833,-0.009521382,0.0049921433,-0.0017206043,0.00292309,-0.011845246,-0.0019906801,-0.0029259506
0.00032548906,0.013922319,0.0015427927,0.0036333057,0.010737777,0.0006502676,-0.0007372069,-0.013438937
-0.008990216,0.0009703528,-0.00404037,-0.0018526202,0.007938664,0.01179057,0.000263941,-0.0012556349
0.0049679815,-0.0024334958,-0.016046515,-0.0033121365,0.0031286215,0.004534467,0.0016028436,-0.00033453753
0.00021563678,-0.002572647,-0.0028163088,-0.0015218515,0.001957063,0.001488585,-0.0037747181,0.0041299765
-0.007601903,-0.006556092,0.0026063262,-0.0069793146,-0.0025402175,-0.018974133,0.0036713933,0.00027527075
0.002433461,0.00037571904,-0.00019110041,-0.0050142966,-0.0034127005,-0.011983531,-0.0058065485,0.006362405
0.004670933,-0.0046016225,-0.0025205943,0.0016776909,-0.0033268775,0.01229696,-0.005958283,0.002239679
-0.0051734317,-0.008929011,0.0067287497,0.0027866396,0.001506267,-0.0046786373,0.0065498715,-0.0017172354
-0.0010313268,-0.012168897,0.0055378685,0.004112235,0.0059802146,-0.0039859237,0.008105869,0.0011200174
-0.006898818,0.0034308452,0.002354859,0.0012507072,0.00092945277,0.0063759857,0.0013050325,0.003114597
-0.007536919,0.0020121383,-0.0034454037,-0.0026116397,-0.0045389114,0.0053990292,0.0042874245,-0.0037572598
-0.0070017497,0.006282717,0.0020394614,-0.0048280903,-0.00091698143,-0.00040412927,-0.007817837,0.0046986444
-0.006856713,-0.00096773345,-0.009946806,0.0039472473,-0.0013455442,-0.0029137172,-0.009125694,-0.0068646227
-0.002137976,0.0072189597,0.005880099,0.0022784376,-0.001629133,0.010597755,0.017150754,0.0035835402
-0.0014835591,-0.00024079019,-0.0056698276,-0.0007696594,-0.0015370655,-0.008485825,0.00715557,0.0050915275
0.001997005,-0.0016861185,0.0071942583,-0.009743689,0.00022934313,0.0177623,0.0069521116,-0.00400499
0.0024118833,0.0019738316,0.0065127006,0.007261818,0.007022285,-0.0103939185,-0.0049787043,0.0018882726
0.0018297093,-0.0024652376,-0.004281495,-0.0042604525,0.007892524,0.011758792,0.006277411,-0.0074909935
0.0008982985,-0.0063968473,0.0025412233,-0.0077201966,-0.0031410481,0.00725644,-0.005287866,0.0015080376
0.0043429523,-0.0004909616,-0.0050843456,0.0055470904,0.0037465496,-0.008809546,-0.0044182064,-0.0016372746
0.004095677,-0.013423436,0.002546798,-0.0063827676,-0.0019639225,-0.0029492232,0.0021898916,-0.001531435
0.008097053,-0.0054737492,-0.00541283,0.004261445,-0.0052986615,-0.001687598,-0.0043436955,-0.0013930617
0.005009219,0.0011642426,0.008256062,0.0035759683,-0.0015042882,0.0013449719,0.0069250604,-0.0076828757
-0.007226161,3.826944e-05,-0.0011333653,0.0006261236,0.0025260623,-0.000710974,-3.478746e-05,0.0071520773
-0.00022961714,0.0060069226,-0.009336712,0.01012975,0.0048168795,0.00488826,0.0011395393,0.006709035
-0.0028648914,0.009932192,0.0052482104,-0.001089267,-0.0035702025,0.0008914659,0.016116362,0.008151591
0.0005080137,-0.0118006915,0.011857051,0.0035177884,0.009825192,-0.005214514,-0.0023949752,0.0058766822
-0.0018567914,0.013945645,0.00097387144,-0.0032510029,0.0026473408,0.009957036,0.008872831,-0.0025122976
0.002439124,-0.0063000545,0.010163806,0.002950968,-0.0018625589,0.011897901,-0.0015042633,-0.0103967525
-0.00096415647,0.00031657936,0.0044946466,-0.00056327874,-0.0037491599,-0.000491263,-0.0031274755,0.0021488464
0.005584104,-0.008319093,-0.015826736,-0.0026555457,-0.0012626208,0.0039010476,-0.0056448523,-0.0057512675
0.0015856769,0.0011158328,0.005973373,-0.01363315,-0.0009899522,0.005729587,0.0020211702,-0.0055858716
0.0054287296,-0.0047280495,-0.0017329301,0.008041853,-5.7109108e-05,-0.0084176175,-0.002099122,-0.0015512225
0.0016212043,0.007207328,-0.013808625,-0.0060586133,-0.004681433,0.002425508,0.011419268,0.007756869
0.0036033234,-0.015506462,-0.003985111,0.004965199,-0.0019114381,-0.006327967,-0.009047163,-0.009019076
-0.0014598442,0.008658607,0.012521943,-0.00675299,0.0024439143,-0.019460019,0.015346173,0.0044195903
-0.0071197054,-0.012262039,-0.008823655,0.0055169985,-0.00084487244,-0.0056388644,-0.011882878,0.0010449969
-0.0048909746,0.0026396755,0.00023352681,0.0071004312,-0.0002243519,0.006259017,0.0046679946,0.004852147
0.0041234363,-0.004082179,0.0089169815,0.0019098506,0.0013372829,0.00031813886,0.010246493,-0.009449388
-0.0055368682,0.00280605,0.00072808564,-0.0009856353,-0.002091574,0.0042923703,0.0026943667,0.002158432
0.004179419,0.0034354604,-0.009613127,-0.0060313027,-0.008896906,0.0076467264,-7.060013e-05,0.003062714
-0.010469671,-0.0034377384,-0.0003939746,-0.00983205,-0.0021981644,0.0033056354,-0.000118379015,-0.01091192
0.004072698,-0.0050928392,-0.0023222854,-0.004621099,0.0001929681,-0.008869936,-0.009578296,-0.0047308956
-0.006673961,-0.0045786104,-0.020415412,0.0032736673,-0.0044964207,0.0028719306,0.0012329328,-0.0018606756
-0.011458538,-0.0002490729,0.0006415993,0.0015524159,0.003222601,-0.0012697829,0.009006789,-0.002625125
-0.0032619226,-0.0092681805,-0.0035417057,0.0005013014,0.0035940562,-0.012985813,-0.004584123,0.0075816107
-0.002359974,-0.0031010439,0.0023521096,0.0013051067,0.006675437,0.0034912124,-0.0022464334,0.0052684704
0.006364957,-0.0019734185,0.009899605,-0.0028897526,-0.005299699,-0.00784272,-0.006393835,0.00935421
0.005286824,-0.0033208646,0.005097621,0.00010127016,0.003605344,0.002363147,0.0017150508,-0.01238265
-0.004254305,0.0043684104,0.013866225,0.0029718268,-0.011753124,0.011414192,0.002784513,-0.0019677046
0.0057883062,-0.010002031,-0.009950031,-0.0045487746,-0.00092747726,0.007097166,0.0011475296,-0.0004071645
-0.0017142892,0.0009743551,-0.007211501,0.009626976,0.009736748,0.012340921,0.0032009305,0.004734825
-0.00046248254,-0.0017730261,-0.0030172272,-0.010425082,-0.0016394032,-0.012481309,0.010891107,0.0004954106
-0.007840552,-0.0010647371,0.019642688,-0.001803492,0.0028913906,-0.005936584,-0.02063365,-0.0051296907
0.003555035,0.014363967,0.0009001959,0.005895172,-0.009403875,-0.0063782865,-0.007418571,-0.0001447084
0.0026980669,-0.012673084,-0.009483863,0.005962472,-0.0038540594,0.00880641,0.0016674805,-0.0013761651
-0.0037886507,0.0058194688,0.0063046995,-0.00069613964,0.011928981,0.005638964,0.0036909156,0.0012108234
-0.0007636512,0.008601865,0.0027436465,0.0033909022,-0.0045298175,-0.0026977547,0.00663851,-0.0013116722
-0.0041253255,0.014499316,-0.004633489,-0.0070431475,-0.0014760137,0.0026922012,-0.00030853483,0.00522661
0.0029129747,-0.0089338245,-0.0023423573,-0.003483253,0.0059955404,-6.5256376e-05,-0.0004940252,-0.0063439147
0.004541901,0.0009666898,0.007298071,-0.011372869,0.0043892227,-0.0032406822,0.0007232209,0.0084901685
0.0025407257,-0.016589228,-0.002015111,-0.006542011,0.0075553274,0.001938995,-0.010720141,0.0009021554
0.0021326633,-0.010192698,0.009480055,0.0018945526,0.005568498,0.003935728,-0.0042323843,-0.008758747
0.0026566049,-0.0148800835,-0.0049366485,-7.843183e-06,0.0050377036,0.0047144247,-0.00046712148,-0.0038000536
-0.00044186096,-0.0036216942,-0.005153134,-0.0008094229,-0.0029073826,0.012754582,-0.0011810099,-0.00041956242
-0.0012762499,-0.0006236023,-0.0029743682,-0.004985179,-0.002808864,-0.009828695,0.0019878694,-0.0015629038
0.004148383,-0.003929183,-0.0026475596,0.0007662345,0.0028933357,0.0027372348,-0.0043421835,0.0019194399
0.0025874819,-0.0023820652,-0.0032692552,-0.0037762348,0.009718048,-0.00914588,0.006548971,-0.0035313466
-0.00975754,-0.0032387488,0.0051317173,-0.0022222232,0.0026250302,0.0042842347,0.00412465,-5.407112e-05
-0.003373686,0.0055804295,-0.012145264,-0.0067266678,0.0034692117,-0.0048643434,-0.009037895,0.0030628222
0.005944319,-0.0075853006,0.015326412,0.0056500286,-0.006364847,0.008802422,-0.0052035395,0.004877156
-0.010298359,-0.001194331,-0.0042678677,-0.0015157391,0.0039770626,-0.011144342,0.0016715522,-0.0057552797
-0.0011381647,-0.004644704,0.008067034,0.0050271056,0.0022586505,0.015640134,0.0012779906,-0.0038645144
