A,B,C,D,E,F,G,H,I
1.0728693,0.120557964,0.05420378,-0.08052464,-0.5789547,-0.10550874,0.14934763,1.0624143,0.8762031
1.0041839,-0.07655234,0.019539341,0.015785888,-0.40996286,-0.12792888,-0.09670453,1.1424603,0.8521923
1.0803739,0.06927152,-0.026791409,-0.007572785,-0.628302,0.0852319,0.030838624,0.96416265,1.0630254
0.92347085,-0.1417041,0.0976391,-0.08049476,-0.32879552,-0.08724613,-0.114566825,0.9893755,0.9246499
0.9458612,-0.037582025,0.04043533,-0.12300588,-0.22466564,-0.1250368,-0.052601732,1.0396632,1.0638633
1.0757077,-0.08659666,-0.07911818,0.09403925,-0.54202884,0.12373343,0.09080538,1.0787472,0.87913847
1.0390286,-0.047217287,0.09960614,-0.1112757,-0.3112934,0.037476286,-0.07304405,0.85232085,0.9016818
1.1074623,0.08563033,0.1312198,-0.058065683,-0.4012248,0.11031249,0.08780703,1.0783412,0.87073284
1.0470148,0.145143,-0.0430101,-0.044352636,-0.23685828,-0.004425928,-0.11597557,1.0160588,0.85850155
1.1042542,0.1400797,-0.037218727,-0.04062038,-0.4729678,0.0055829287,-0.07802355,0.97838557,1.0500299
1.016685,0.02160734,0.11185497,-0.114070654,-0.20995891,-0.07553775,0.036463544,0.9100088,0.8779228
0.9826807,0.02014178,-0.12955424,0.111193836,-0.2674397,0.09917568,-0.10529521,0.9066404,1.0805153
1.1438375,-0.09933852,0.0627839,0.14263651,-0.45060882,-0.077039555,0.028785303,1.0693477,1.0348002
0.9754695,-0.04650169,-0.071030244,-0.01785636,-0.25317684,-0.1499112,-0.06345064,1.1062812,0.8996031
1.0147517,0.08653124,0.06844121,0.10779771,-0.5003004,-0.11854765,-0.055598333,1.0811355,1.0775347
1.0575672,0.0739858,0.018824756,-0.04517813,-0.44398242,0.061858892,-0.12814903,0.9805029,0.9410717
0.98537815,0.044854656,0.14875194,0.07997964,-0.20883366,-0.077828966,0.07106994,0.96976817,1.1107907
0.994578,-0.11102493,0.07169241,-0.09580082,-0.43336546,-0.09872368,0.08702704,0.906569,1.1180459
0.84454894,-0.014193982,-0.1467297,-0.1281216,-0.28130835,0.118175715,-0.08227603,1.0158674,0.9535234
0.97617686,0.12270814,-0.1048318,0.0891809,-0.54124725,0.05566947,-0.10497379,1.1290424,1.0649549
0.90266234,-0.12801062,-0.007904828,-0.111833796,-0.7199312,-0.06691364,0.041351527,1.038934,0.9122808
1.082053,-0.1227945,-0.045749657,0.14590499,-0.30071086,-0.00077170134,-0.03503505,0.9780743,0.89295274
1.0385884,0.012393564,-0.09987527,0.03363867,-0.5498675,0.13078102,-0.010965556,1.0856656,0.9970638
0.9587055,0.12754214,0.121836215,0.031091645,-0.29474854,0.07655907,-0.021592572,1.045858,1.0211544
1.125578,0.13928068,-0.093012616,0.059330538,-0.4000229,-0.004394904,-0.004726261,1.0262827,0.86673427
0.84864837,0.11089465,0.06065227,0.09519732,-0.42406607,0.027800098,0.007923126,0.94602156,1.1273044
1.0027717,0.09019785,0.046334445,-0.028817616,-0.23696008,0.023785114,0.108846635,1.1171223,1.0272635
0.9272457,-0.13663927,-0.1157932,-0.032172225,-0.3198627,-0.06755856,0.108264506,0.901916,1.0487149
0.89917564,0.0019928962,0.06358017,0.10202685,-0.5002002,0.019779876,-0.07859,1.0662673,0.97317445
1.1048524,-0.019192249,-0.098188095,0.14598387,-0.41494524,0.12302929,0.101898104,0.858145,1.0163093
1.0715231,-0.025801547,-0.12692486,-0.11089483,-0.23288168,-0.12840891,-0.002070427,0.8924535,0.8995852
1.0825412,0.12467733,-0.1428869,0.12763524,-0.36049733,-0.01219058,0.050755784,0.89085597,1.1297226
0.9817492,-0.13018142,0.14906546,0.059772328,-0.4615418,-0.03437666,-0.013511702,1.0258558,0.9387518
0.8514041,0.06560074,0.00019407272,0.046597227,-0.46527192,-0.027979754,-0.03469103,1.0469894,0.87956965
1.120651,0.12527466,0.103179336,-0.021481335,-0.44177467,-0.13586068,0.09654997,1.0988173,1.0641783
1.0613073,-0.01689282,-0.12666485,0.13636354,-0.47581774,-0.070521265,-0.023305893,0.90315616,0.82199156
0.9772429,0.00228177,0.050140113,0.016033694,-0.34353846,0.11263776,-0.12086378,1.0430183,1.0755653
1.1498513,-0.015087575,0.0027539134,-0.08972229,-0.63719,0.0034240335,-0.117109954,1.1041766,0.95723027
1.1221147,0.057254598,-0.011579558,-0.14091077,-0.26874083,-0.13227321,-0.025129743,1.0290713,0.85078776
1.1068758,0.0761178,0.0110832155,0.07690932,-0.50935286,0.024446905,0.062047362,0.9824652,1.011015
1.0099459,0.014872551,-0.09575546,0.010160312,-0.29964942,0.0727229,0.020383283,1.0612434,0.86776286
0.88010645,-0.09634182,-0.13369295,-0.14305672,-0.22609177,0.073360965,-0.13890345,0.9591486,0.9770368
1.0968419,0.06585842,-0.116986446,-0.13809729,-0.37417442,-0.09684583,0.034296617,1.0554477,0.9481704
0.9107506,0.08358498,0.09106152,-0.118622914,-0.36127853,0.09331505,-0.107373744,0.98125803,0.982904
0.9226671,0.037685305,-0.08885622,0.034792483,-0.32615876,-0.14722624,0.0633122,1.1339296,1.0658883
0.9455092,-0.09781337,0.1341458,-0.09148225,-0.36135757,-0.13494872,-0.120697,1.1418233,0.9103234
1.140058,0.056355074,-0.1458928,-0.028698586,-0.65598774,0.07959291,-0.08246361,1.0405627,0.93949234
0.9378692,0.06089376,-0.10100886,0.035716385,-0.38494337,-0.10986878,0.040171087,1.1035265,0.92455536
0.958784,0.07294625,0.04327035,0.086505964,-0.2858776,-0.030118011,0.020570323,1.101373,1.078591
1.1358877,0.058058172,0.06971462,-0.044929467,-0.5890553,0.0067498684,0.11461258,0.9226917,0.8856932
1.1320348,-0.13283066,0.048784688,-0.089273885,-0.36498028,0.010512307,0.0045155585,1.0929866,0.8586074
0.855261,-0.01739575,0.026223883,-0.14419982,-0.56548005,-0.11453131,-0.10396763,1.0345942,0.924932
1.0820844,0.044661656,0.103913695,0.14905357,-0.30826515,0.0070830137,-0.018059418,1.1402577,0.90295905
1.1377687,0.11031994,0.01676783,-0.029280998,-0.2669656,0.11191988,-0.13880557,1.0141112,0.84585434
1.0665246,-0.14274563,-0.1402574,-0.036615282,-0.4961862,0.013452426,0.116095394,1.120741,1.0837163
1.0012219,-0.10375157,-0.06039738,-0.0048025995,-0.41472134,-0.085312724,-0.05121766,1.1000209,1.0046694
0.90394497,-0.13227268,0.024332732,-0.0009725541,-0.31821156,0.06689672,0.015039697,0.8852612,1.0864711
1.0126077,-0.08622482,0.041232884,0.013858259,-0.42359358,-0.10509983,-0.1136408,0.9877819,1.0756898
1.0895793,0.057350874,0.070166156,-0.078907356,-0.2660143,0.023601294,-0.050538346,0.98338264,0.99067706
1.1378666,0.021958262,0.12218988,-0.061789677,-0.62251306,-0.08715916,-0.118978076,0.96481776,1.0923207
0.8593857,0.022453636,-0.07505678,-0.12017774,-0.4578474,-0.045836985,-0.1393885,1.070418,1.0485915
0.9018247,-0.090785936,-0.11441176,-0.040713824,-0.5864892,0.016079247,0.015010804,1.1157564,1.0180848
0.8492932,-0.007327631,0.11780223,-0.14017612,-0.6260512,-0.014161766,0.08813909,1.1392053,1.106838
0.8667438,0.13762245,0.03874539,-0.018981352,-0.47946262,-0.1065018,-0.074130036,0.86422443,0.9108928
0.88205457,-0.042493545,-0.056863673,0.014851242,-0.2983648,0.118373156,-0.054691084,0.9744913,1.0768667
1.0566555,-0.11969668,-0.008724526,-0.08087417,-0.4704753,-0.13497712,0.09635629,0.9082925,1.0205103
0.8924644,0.12232724,-0.12324102,0.123769164,-0.19014946,-0.009826735,0.065230176,1.092556,0.95247155
1.0722522,0.11547041,0.12198141,-0.01129967,-0.45927423,0.016496658,-0.039988555,0.9960802,0.9385909
1.09033,0.05004628,0.08299771,-0.06330375,-0.29338124,0.093222335,-0.037423596,0.9910281,1.1130906
0.90313464,-0.121274315,-0.14980875,-0.07161452,-0.5033458,-0.044923067,-0.024215072,0.9946116,1.0975082
0.9725868,0.0442923,0.091271356,-0.1318763,-0.21194911,-0.028440557,-0.06002319,0.90454584,0.9695285
1.1308435,-0.12220504,-0.033356026,0.022024274,-0.4692716,0.12374112,0.09424968,0.9129658,1.0810927
1.1403728,0.041052178,0.14273393,-0.09775032,-0.48482725,-0.10289058,-0.11688195,0.8649727,1.046448
0.8870214,-0.14409155,0.020557508,0.13828698,-0.21331722,0.004480019,-0.042367443,0.95786643,1.1123053
0.94831717,0.10239306,-0.061489165,-0.11361777,-0.33855614,0.042815253,0.0555723,1.0911719,0.9968265
1.1006855,0.021575838,-0.13480738,-0.041819863,-0.67629707,-0.12767392,-0.11676225,1.0357779,1.1225282
1.0049087,0.017719388,-0.10140585,0.019264445,-0.66195273,-0.032010846,0.08103411,0.84527147,1.0387554
1.1105247,-0.11835922,-0.069194436,0.0007929206,-0.2039607,0.0039645433,-0.11049199,0.85716337,0.9711529
0.84401214,0.005640745,-0.009142995,-0.13422345,-0.25795156,0.09147993,-0.08116937,1.0358557,0.980614
0.8725436,0.054048106,0.06676936,0.021535784,-0.40923643,0.12213734,0.09237836,1.0928456,0.9318293
1.0172737,-0.10817909,-0.14150316,-0.0899169,-0.43524092,-0.14498982,0.095868275,1.1396165,0.92573375
1.1165619,0.02536814,-0.13670075,-0.05849959,-0.47488686,-0.11424635,0.005665958,0.9451225,1.0547029
0.9966078,0.12401125,-0.00924924,-0.016539827,-0.3776788,0.042532757,-0.08112037,1.0163906,1.1352623
1.0426899,-0.09076592,-0.12982583,-0.08435036,-0.4249783,0.13026282,-0.12503704,0.93232965,0.959664
0.93559223,-0.010762185,0.012217462,0.122017115,-0.53936243,0.03016898,0.007919729,1.105579,0.94880295
1.0010669,0.09302443,-0.050187744,0.052675202,-0.62252104,0.021987587,-0.13503408,0.91892433,0.9715224
1.123791,0.032526717,-0.12552622,-0.08548236,-0.2539041,-0.031040117,-0.01534842,1.0570345,1.0106974
0.88672686,0.11220744,-0.02521114,0.067945674,-0.5097357,-0.027562164,0.00044867396,0.9629061,1.0986555
0.930099,-0.13056795,-0.14098516,-0.0154901445,-0.41572395,-0.110765204,-0.008786708,1.1005785,1.1355546
1.0601271,-0.0065141767,0.04717739,-0.03287836,-0.5169426,-0.061668724,0.045176774,1.02682,1.1056069
0.8923739,-0.13937204,-0.024404332,0.0859599,-0.6100784,0.09929785,0.102319896,0.8918753,0.86214453
0.9779651,0.056025624,0.029525787,-0.09980182,-0.50595456,-0.0798189,-0.13742296,0.92116165,1.0271797
1.1202867,0.114834845,-0.1458713,-0.025024906,-0.47929958,-0.05479476,-0.11970283,1.0365646,0.9884112
0.99195486,0.07898015,0.023997933,-0.13470183,-0.41092184,-0.12516832,0.03899075,0.85987175,1.0180744
0.9598866,-0.14754689,0.14424723,-0.016560763,-0.2273694,0.1160973,0.067733735,1.0230982,1.1259065
0.8587425,-0.0020405203,0.055207804,-0.078903295,-0.3944748,-0.03278956,-0.06702905,1.0689733,1.0982784
1.1266332,-0.08298297,-0.08548043,0.04490581,-0.34873337,-0.043352477,-0.0491061,1.0480268,1.0697902
1.0142494,0.12771368,0.06142071,-0.08174776,-0.45356697,0.00090512633,0.051597565,1.1239746,1.0125419
1.0530815,0.13183978,0.039023563,-0.066179074,-0.72375965,0.09481059,0.14411604,0.9767381,0.8690695
0.94715047,-0.08183379,-0.13674597,-0.098169,-0.37463117,-0.050032638,-0.12207871,1.0928832,1.1357042
0.91882,0.011852697,-0.0042705834,-0.02151239,-0.372645,0.03801304,0.07328953,0.8951031,0.87446153
1.02497,0.020100594,0.08116639,-0.10359069,-0.2835739,0.047411516,0.012252048,0.8840349,0.9453324
1.0098959,0.061451793,0.1476771,0.046974614,-0.3995309,0.011760652,0.06224969,1.0567429,0.9384682
0.8951895,0.056727156,-0.08098292,0.10564804,-0.37476668,0.026160046,-0.010064483,0.89148456,0.92749393
1.1308419,-0.050818883,-0.12595698,0.045273602,-0.13614094,-0.101928934,0.10866043,0.9025091,1.0191034
0.9016625,0.11226258,-0.0694228,-0.10751036,-0.37390193,-0.045640558,-0.109521106,0.8910991,0.8954671
0.8592022,-0.05980125,0.0039180666,-0.040907122,-0.19264415,-0.10740878,0.051583856,1.1455915,0.9524332
1.0613768,0.121439666,0.14442214,-0.13781002,-0.49755657,-0.0072439313,0.0070376545,0.855169,0.86313987
0.9786783,-0.035664283,0.06295878,-0.05318538,-0.0688276,-0.0558042,-0.03649807,0.92666996,0.9159196
1.0970374,-0.0028756708,0.061634168,-0.04021529,-0.39856532,0.020645335,0.04074508,0.9587977,0.86820686
0.9846932,0.10474962,0.02861172,0.10641447,-0.3363077,-0.11636162,-0.10737668,0.9769919,1.129687
0.9146839,0.0689536,-0.0045565665,0.1104092,-0.39379027,-0.015661001,0.12622431,0.8588535,0.93202734
0.96385366,0.10052925,-0.124934405,-0.009784818,-0.16300823,-0.029538184,0.0152260065,1.0398067,1.0510973
1.0022178,-0.13059098,0.020718396,0.003623113,-0.6597569,0.066451594,0.12090543,0.93905884,1.0163913
0.8632288,0.07599659,-0.09551735,-0.13175511,-0.18306679,0.11921668,0.067196235,1.0208702,1.0847498
1.1208737,-0.09119922,-0.13983402,0.08517669,-0.37281874,0.122094095,0.01572974,0.88737404,1.0775214
1.0000248,-0.14763947,0.023360252,-0.1071426,-0.31767982,-0.12591407,0.03569439,1.0177763,0.87996393
0.85240453,0.11044532,0.12004796,0.070666865,-0.58537906,-0.053097583,0.12734544,0.9664513,1.1390564
0.98170936,-0.13195547,0.08505112,0.059372813,-0.44596082,0.030412242,-0.07892779,0.91227627,0.86582065
1.0020314,0.09165296,-0.09277582,-0.08838516,-0.16940771,-0.01999262,0.071563974,1.1276561,0.95820796
0.85553306,0.039103806,-0.016952798,-0.123171605,-0.58441055,0.0150952935,0.12527755,1.0896757,1.0392028
1.0799083,0.12550527,0.10037863,-0.019391894,-0.37398872,0.14584193,-0.04219701,1.1175936,1.047248
1.0617899,0.001999408,-0.06753397,0.004033223,-0.5173546,0.0019186735,0.014212877,0.86165106,1.0014997
1.0013303,-0.07921098,0.14183211,0.057520583,-0.3510574,-0.14290018,-0.0033130795,1.0413021,0.8958933
1.0355407,0.114488244,0.016607687,0.073053345,-0.602046,0.004191935,0.027055204,1.0603895,1.0841554
1.0289199,-0.078725554,-0.09992728,-0.035415106,-0.51970124,0.057663873,0.10954705,0.91392803,1.0292921
0.8949391,0.0043500066,0.0882857,-0.053703442,-0.3064287,0.11707118,0.09323484,0.8505102,1.0736353
0.97314054,0.040882513,-0.005786717,0.1029934,-0.37907088,-0.012635022,0.117685914,0.9320388,1.003978
1.076875,0.04608211,0.07217698,-0.11045927,-0.26294407,-0.1376211,0.11611888,1.0426652,0.9409516
0.9049082,-0.061336845,0.08318357,-0.05873841,-0.6456966,-0.011366487,-0.11539228,1.0996431,0.8658729
0.9839046,-0.07964629,0.1011813,-0.12845309,-0.5205084,-0.037988268,-0.111239634,1.033118,0.9140524
1.0355595,0.030189887,-0.13020761,-0.13459614,-0.28962484,0.015702724,-0.13426135,1.1074326,0.96739304
0.9737335,0.09511803,-0.06277752,0.071731076,-0.41842428,0.078202665,0.060055166,1.0225652,1.0857072
1.1210997,-0.016514808,-0.00031781197,0.053644285,-0.30301565,-0.015957385,0.009662017,1.0769026,1.0155625
0.97035134,0.05846837,-0.06374041,0.052845165,-0.5788065,0.08890307,0.01568839,0.87437266,0.96628094
0.9210339,-0.104867384,0.08617072,0.017079785,-0.41341004,0.12078506,-0.06602757,0.98492235,0.8860246
