A,B,C,D,E
0.70009613,2.501436,0.003233602,0.0014026673,0.0067726253
0.7013124,2.500207,-0.00049639394,-0.0015992029,0.008730218
0.7023248,2.5776844,-0.008383075,0.002152777,-0.0013988614
0.69745046,2.5804417,-0.0013855079,0.0019048202,0.0014854353
0.6989579,2.6420107,0.008713635,0.0006200396,8.053523e-05
0.6937625,2.6579697,-0.0010645767,-0.0074961013,-0.003591809
0.695254,2.708076,0.0033285597,-0.0020886266,0.0041935267
0.68928397,2.72528,-0.0031359964,0.0063273823,-0.008638976
0.69689065,2.786696,-0.004517819,0.0047227857,0.008272939
0.6845302,2.7939835,-0.0012146647,0.0037267453,-0.006176072
0.6953403,2.8549328,0.007801552,-0.0005900409,-0.012020186
0.6949538,2.8498857,-0.004191974,-0.005258105,-0.009516373
0.69222754,2.912914,-0.0015643074,-0.00145399,0.00022561604
0.68924445,2.90537,-0.0031505637,-0.0024291025,-0.0020825164
0.699016,2.962023,-0.0031657296,-0.0072259377,-0.00087791786
0.69529706,2.9453173,-0.009729359,0.002078341,-0.0066492087
0.69830346,3.014384,-0.0050713103,-0.0012140718,0.0026668226
0.68396574,2.9821382,0.0073830876,-0.0013133623,0.0017742899
0.69069546,3.0578191,-5.0525487e-06,0.00373274,0.001982915
0.70553106,3.0370207,0.0033526653,-0.0008464887,0.001033017
0.6923248,3.1054337,-0.0025302342,-0.0042858794,0.0002037673
0.69792277,3.0814784,-0.0044594393,-0.0048230267,0.0030060764
0.6988036,3.1475174,-0.00359987,0.0010629628,-2.1033424e-05
0.69273674,3.119795,0.00244005,-0.0021190785,0.0016798953
0.6916625,3.1831481,0.0042174477,0.001811308,0.001333227
0.6923882,3.1697652,0.009492127,0.005502209,-0.0012291594
0.695937,3.2318132,-0.010343413,0.0031865973,-0.0016655577
0.699181,3.2314463,0.007820403,0.0028940442,0.0045719817
0.6929404,3.2666712,-0.009371599,0.0030430728,0.0072099217
0.70689523,3.283512,0.011245253,-0.0020531074,-0.0036894525
0.6856588,3.2908168,0.0054132626,0.0006795837,-0.0024186473
0.6965519,3.3292017,0.0003275853,0.0023189492,0.00257802
0.70252335,3.339821,-0.0058980575,0.0014839505,0.0017991917
0.69359165,3.3616889,0.005563571,-0.0058438377,-0.0040902835
0.686763,3.3652148,0.002007752,0.0016351552,-0.0056425934
0.6862905,3.402883,0.0060817213,0.00041026657,-0.0064551258
0.6961789,3.4032032,0.00061647786,-0.0034597158,-0.0009876386
0.69461143,3.434105,0.0030612678,0.0014656539,-0.0027272631
0.6798984,3.4360495,0.0026429119,-0.00081934873,0.0052358387
0.69232696,3.469993,0.0023245066,0.0029865291,0.0071490584
0.69366425,3.470901,-0.0024005428,0.004208003,0.0001950182
0.699881,3.509863,-0.004705648,0.0020198643,-0.0027239402
0.6893498,3.5028503,0.001925426,-0.0055413526,-0.0006790503
0.6913304,3.522011,0.0013638762,-0.0057497737,-0.0020984593
0.69324636,3.522994,-0.0036961592,0.005358884,-0.004470265
0.6948212,3.5624766,-0.00066703506,0.0038022911,-0.0003891995
0.6903532,3.5593753,-0.0109455325,-0.008651388,0.008249572
0.69912416,3.5850267,-0.0010706672,0.004890879,0.00935779
0.6902976,3.5909512,-0.010172023,-0.00071545865,-0.0048655397
0.69810265,3.6137478,0.004092652,0.0068218475,0.005510845
0.6796813,3.619904,-6.936937e-05,-0.0037081372,0.0012898629
0.70280886,3.644464,-0.007199103,-0.0052889953,-0.00045286512
0.68450934,3.6535702,-0.0022763943,0.0014864202,-0.00014554609
0.6894323,3.6617758,-0.0005784037,0.0019304864,-0.008584634
0.69184804,3.6791556,-0.0004440014,-0.013229702,-0.0025710678
0.69754714,3.667591,0.0029969711,-0.0031353806,-0.01106642
0.69535387,3.69585,0.0029083323,-0.005195515,0.00028012219
0.6884504,3.6932602,-0.006468591,-0.00068788824,0.0045216484
0.69495094,3.7212098,0.0022584475,-0.00041180005,0.0048181335
0.6890128,3.704493,-0.002769877,0.0048371833,0.0037865245
0.69768304,3.7529745,-0.009406742,-0.0013416506,0.0013515265
0.6824178,3.7196047,0.0024513435,-0.0026437843,0.007291962
0.69526947,3.7637389,0.0049922643,0.0062286095,-0.0036217032
0.70559126,3.757521,-0.003286929,0.0124806035,-0.00089040643
0.69303805,3.807809,-0.006603227,-0.0039838376,-0.002081688
0.68832487,3.77794,0.0040034996,0.009816667,-0.0076605277
0.6863448,3.8340414,-0.005607179,0.0022164038,-0.008154916
0.69019485,3.8039167,0.00353135,0.0019264714,0.0016089997
0.6855106,3.8562624,-0.0058425674,0.0041117845,0.001295294
0.6933695,3.8280385,0.0035076134,0.0014627088,0.0014704479
0.6988179,3.8627925,-0.0046791956,-0.0020238275,0.0017752968
0.6975363,3.848334,-0.002038813,-0.0051293476,-0.0024858273
0.6957766,3.8697395,0.002375186,0.0043717907,-0.0077301254
0.6983295,3.864357,0.006346435,-0.001600743,-0.002783438
0.6884422,3.8853948,-0.0045592505,-0.005893412,-0.008074001
0.6996871,3.8825183,-0.0009983658,-0.00836158,-0.009096642
0.68160635,3.9077144,0.005965987,-0.0010532093,-0.009742803
0.6965362,3.9075422,-0.0006244278,-0.005296254,0.0029496108
0.6959488,3.9334083,0.00041380452,-0.00057506614,0.0033285336
0.69180804,3.923182,-0.0006981847,-0.007964227,0.0037188253
0.701957,3.9390059,-0.004250053,-0.00080437644,0.00497876
0.69420135,3.9446275,0.00024556534,-0.0024102277,-0.0027532086
0.6985905,3.9501684,-0.00585427,-0.0040170173,0.0033115563
0.6891043,3.9521625,-0.0068106214,-0.0027320203,-0.0016576118
0.6872927,3.9654355,0.005286317,-0.0013177687,-0.00315998
0.6897931,3.9603107,-0.0019028959,0.0026902577,-0.0027982725
0.69945353,3.990597,0.0004277421,-0.0112166125,-0.000193522
0.6956554,3.9622848,0.008005206,0.0057572,-0.0014924818
0.69997007,4.020436,-0.00020809013,0.0043048197,0.0021813852
0.6894083,4.0024385,0.0046402374,0.0054527204,-0.008686683
0.6995218,4.0526805,0.0065476643,0.0020973973,-0.006295448
0.6867528,4.028513,-0.003837318,0.0008353377,0.007435302
0.69747126,4.068994,-0.0024959077,-0.0032580826,-0.003375287
0.69839746,4.0323467,0.0019083966,0.003047478,-0.011706401
0.681137,4.088493,-0.0021066375,0.002740282,-0.0036893615
0.68474233,4.0519533,-0.0025718117,0.00066635845,-0.0056755072
0.69088763,4.10057,-0.007149577,0.0055421526,0.002159423
0.6921769,4.0781302,0.007349737,0.005155165,0.0015220317
0.69050103,4.106904,0.0014845859,0.0057985876,-0.0061996966
0.700332,4.1088448,-0.004781659,-0.0049662334,0.01042109
0.68332005,4.1120605,0.00039746866,-0.0036387187,0.002405076
0.68412155,4.1186767,-0.008008553,0.0012444032,-0.008833869
0.69570166,4.124642,-0.0072742268,-0.0004566714,0.00046835936
0.6894278,4.130176,0.00026737613,0.00020819019,0.0019093199
0.69924927,4.135883,0.0023552494,0.0028439444,-0.00089418114
0.6913109,4.1475143,-0.003235467,-0.012980891,0.0005484703
0.69177866,4.1416516,0.0017268903,0.0026236265,-0.0041758213
0.68475056,4.1630516,-0.0032078857,-0.0041738204,-0.0016076274
0.69100034,4.154692,0.0009440821,-0.00038634348,0.0065970924
0.6992497,4.160013,-0.002493591,-0.003199055,-0.001335844
0.6960944,4.1630793,0.013252179,0.0010388773,-0.011162993
0.69401985,4.1757236,-0.0032390447,-0.003921211,-0.0043530734
0.6980127,4.180076,-0.009812219,0.0005466463,-0.002439476
0.68867105,4.185483,-0.0027747722,-0.009389498,0.0018424592
0.68231326,4.179032,0.008465333,0.0018221535,-0.0003629288
0.70102954,4.2052927,0.006704706,0.0049566985,-0.011835364
0.697939,4.204863,-0.0014043652,-0.009902716,-0.00030249587
0.6916628,4.2145433,0.00023291701,-0.009440396,0.002776851
0.6895935,4.2108946,-0.007916212,0.004657627,0.006690316
0.69326425,4.240391,0.0028564944,-0.0021246558,-0.0020122062
0.6897504,4.2194343,0.0046926853,0.0017807166,-0.004480802
0.69403154,4.258783,-0.005192898,-0.0055091283,-0.00029979405
0.6984106,4.2315555,-0.008130194,-0.0010640449,0.00077064504
0.68786156,4.2685547,-0.006032553,0.008632925,-0.005855631
0.6891387,4.2423944,-0.0027572017,-0.0046488517,-0.0007319984
0.68395114,4.280032,0.0021483675,-0.00079887203,0.0018619471
0.6864151,4.2471204,0.0077789864,0.008524287,0.002890441
0.69406736,4.3029537,0.0039834934,-0.00065831287,0.0022456544
0.6941465,4.266525,-0.0091354465,3.8576916e-05,0.0014930693
0.69364434,4.322408,-0.007648335,0.0046172817,-0.0053016446
0.6838051,4.279177,0.00026070935,-0.0019481196,-0.0025437155
0.68666065,4.332806,-0.00090460165,-0.0023448188,-0.0009918011
0.69405067,4.2885075,0.0036214197,0.0001755581,0.0044445926
0.6923566,4.3420224,-0.00081451726,0.008312434,0.0057602883
0.68576306,4.3092103,-0.0035021347,0.006129527,-0.004033629
0.69619626,4.3569217,-0.0019897423,0.0068668425,0.0014290141
0.6850338,4.326736,0.003050159,-0.0053339917,0.003996669
0.7013349,4.3608627,0.00481028,-0.003376541,-0.0014622326
0.68475837,4.3374815,0.002620758,2.165424e-05,0.0033305162
0.6886108,4.3752117,-0.000863559,0.0067130346,-0.0045695403
0.69336295,4.3558173,0.0039496045,0.0013471147,0.002624712
0.68877065,4.385005,0.0073245126,-0.01052051,0.0047373534
0.6934378,4.366204,0.009920756,0.0044585965,-0.002651725
0.6988688,4.40889,0.0044323415,0.009409494,0.007954152
0.6878725,4.4000363,-0.0045124213,-0.003787307,0.0014584193
0.69940996,4.4104323,0.0041461308,0.003162193,0.0030765908
0.6856354,4.40766,0.005332072,-0.00036327823,0.011266311
0.6948701,4.4257517,0.0012004587,-0.0003647597,0.004589483
0.70533586,4.4229264,-0.00149806,8.883274e-06,0.008422374
0.69658095,4.434463,-0.002100937,0.0061697313,0.0056648427
0.6983717,4.4329724,-0.003177624,-0.0003406052,0.0042363266
0.69020367,4.4522443,-0.00075374387,-0.0011986555,0.006396181
0.68970454,4.4391065,-0.01114191,-0.0052988105,0.00134869
0.6914531,4.4566364,-0.005098335,-0.003574307,-0.0065701785
0.6906521,4.4372334,-0.00020283402,0.0031405222,0.0038304706
0.6803004,4.4700813,0.011168361,-0.0043398095,0.0002798837
0.6980553,4.442366,0.008292611,-0.0014712929,-0.011556599
0.6992653,4.4916286,-0.004640388,0.0008225981,-0.004156247
0.6995888,4.4620657,-0.0048653213,-0.0004955188,-0.004303171
0.6850824,4.499363,-0.0008982453,-0.0034663458,2.0747953e-05
0.6843535,4.466447,-0.0011007607,-0.0051148427,0.0049597914
0.6957602,4.5081544,0.00017471757,0.00069651846,-0.012137121
0.6953656,4.4767838,-0.005688233,0.005474958,0.0047121346
0.6783697,4.523298,-0.0036816674,0.015490308,-0.009837471
0.69477963,4.489276,-0.0016391657,-0.009794249,-0.00801908
0.68597955,4.520159,0.0076592723,-0.0064037046,0.005443674
0.68757284,4.498373,0.0044014924,0.009712715,-0.003247667
0.70610553,4.5510545,-0.0057455683,0.003688775,0.0006132043
0.7023468,4.5159044,0.0035158359,-0.0017422754,-0.004353258
0.68975717,4.5551767,-0.0014570991,-0.00058723363,0.006394266
0.6973958,4.526757,0.0016471697,-0.00042582257,-0.008649036
0.6975777,4.5658875,-0.0013380651,-0.0017547758,-0.0017307631
0.68934464,4.541283,-0.00096589146,0.0009177621,-0.004007834
0.68970734,4.5795803,0.0017422456,-0.00056627725,-0.0015457689
0.6863432,4.5534573,0.004427868,-0.0027958464,-0.0025058254
0.6858868,4.586559,0.00039282918,0.0014475663,0.0030847385
0.6842606,4.568948,-0.0051626717,0.0075389473,-0.0014913598
0.69907546,4.6041703,0.0035516368,0.0021603692,0.013968558
0.6927866,4.5833907,-0.0064790505,0.0047740988,0.002823435
0.6925709,4.6208444,-0.004218811,-0.0017695978,0.0040685884
0.7006648,4.590402,-0.0022480409,0.0063053425,-0.0010986393
0.6913699,4.6319118,0.00095975853,-0.008428555,0.0013114432
0.6906634,4.5940895,0.0015380374,-0.0018678667,0.005715944
0.69892293,4.640852,0.003548738,-0.0026658187,0.0004041019
0.69352853,4.6039577,-0.000593158,0.0027496584,0.0018777972
0.6991,4.649577,0.004206537,0.0022219562,-0.00046287657
0.67921233,4.614546,-0.0039142976,-0.004271439,0.0021345695
0.6910525,4.656433,-0.0030923262,0.0069578425,0.010918443
0.69914347,4.6315985,0.008451597,0.009672028,0.008728851
0.6896814,4.6697383,-0.0036014332,-0.0023111827,0.010202464
0.6971967,4.6449223,-0.00449021,0.0018324653,-0.0008973607
0.70672995,4.6715155,0.009296185,-0.0042972434,-0.0045106467
0.68868625,4.6431613,-0.0034775382,-0.0013242,0.0039631287
0.69090444,4.6811767,0.0040228767,-0.0037485503,0.0028232767
0.69137794,4.6408157,-0.0069293794,-0.006459256,0.0058444715
0.69253236,4.682067,-0.0039044844,-0.0002616203,0.0011112711
0.69731885,4.6433077,-0.0027632052,-0.0012486352,0.007994715
0.69161147,4.6882496,0.0037061933,0.0012050116,-0.007113202
0.6920533,4.6544323,-0.0050151935,0.002113726,-0.0018942368
0.6896021,4.7024364,0.0017187916,-0.0042728377,-0.0057997196
0.69159526,4.646836,0.00066661916,-0.002563733,-0.0024907752
0.69707984,4.7146077,0.0005608476,-0.0016983266,-0.0011187337
0.7015159,4.654976,-0.006696339,-0.0007276189,-0.0006045244
0.6862947,4.7232523,-0.0032912944,0.005442565,0.0005801784
0.68343055,4.659556,-0.0008083783,0.008180701,0.009053408
0.69329125,4.7329006,-0.0038220373,-0.00039156742,0.0052413605
0.70001775,4.670477,-0.008430355,-0.001801723,0.0020632008
0.69278955,4.7385817,0.0080193365,0.006869315,-0.0010684569
0.6887689,4.672113,0.00019869709,-0.0061860415,0.0054069674
0.7017492,4.7532945,-0.0046630614,0.0038400104,0.00824727
0.697548,4.6808934,-0.004713239,-0.0025961031,-0.0061254036
0.69822025,4.7501135,-0.001817501,0.0073745754,0.0016006909
0.6866827,4.693523,-0.00346062,-0.0015663198,-0.0049056737
0.6892265,4.758478,0.0030917872,0.0037023502,0.001435273
0.6951178,4.6983604,-0.0034144158,0.0065694656,0.0020356886
0.69752556,4.7709565,-0.0024795735,0.00033853974,-0.000876599
0.69401497,4.7105856,0.007949777,0.004434584,0.000652423
0.68596244,4.785551,0.00524935,-0.00032292478,0.0024760151
0.69388646,4.719231,0.012780287,0.010689965,0.0040889834
0.6984083,4.8094277,-0.0046889805,0.0011816826,-0.00030110704
0.6997378,4.740458,-0.0021421446,-0.0023277518,0.006990674
0.69487274,4.805592,0.01311338,0.0038706833,0.009850776
0.69176775,4.7554274,0.0060650245,-0.0026597055,0.004748426
0.7005942,4.8185277,-0.0053492887,-0.008033658,0.002083855
0.7002586,4.767725,0.0077003636,0.006047947,-0.007515707
