A,B,C,D,E,F
0.72685987,0.7744883,0.0069936453,3.6072783e-05,1.000544,0.0027309456
0.71986955,0.72827417,0.0076309945,0.0043617575,0.99949276,0.008109916
0.7456328,0.7257751,-0.0062985667,-0.00015071356,1.0067691,-0.00050528627
0.7559534,0.7130402,0.002978317,-0.001732004,0.99940336,0.0060713105
0.7566799,0.736658,-0.007207667,-0.0062101847,1.0005575,-0.0025658032
0.7418064,0.7413604,-0.0044033523,0.0054659047,0.9997022,0.0032324814
0.7293758,0.75750387,0.009842069,-0.002928812,1.0028951,-0.0026498865
0.73238504,0.74184483,-0.0014030992,-0.0025373113,1.004761,0.004939029
0.73304844,0.7328562,0.0045901327,-0.008416389,1.0015291,0.006821722
0.7381641,0.718957,-0.0011653018,-0.0018562137,0.9984529,0.0058324262
0.75644886,0.74009776,-0.011045468,0.002332513,1.0062637,0.004278588
0.73325616,0.7448288,0.007054666,0.0037296768,1.0065374,0.0029893825
0.7424207,0.7572806,-0.00095714285,0.006511674,1.002755,-0.0023828808
0.72274756,0.73303336,0.0002011643,-0.013742184,1.0016301,-0.010262111
0.73648137,0.7358281,-0.0072964584,0.0047538253,1.000422,-0.0038490673
0.74723995,0.7310542,-0.01224813,0.001464604,0.9980636,-0.00013376438
0.7479921,0.74791926,-0.0026506889,0.0054620304,0.99102515,0.004027672
0.7379931,0.7356031,0.010202386,0.006796058,1.0017656,-0.005323476
0.74431944,0.75017864,-9.9782745e-05,-0.0035606818,0.9973707,0.0037936273
0.7297943,0.73626804,-0.005974129,-0.009876382,0.9948688,0.0012386828
0.7442881,0.7314604,0.0021070295,-0.0063832602,1.0005314,-0.0072779115
0.74257374,0.731657,0.00084388285,0.0029288947,1.0018982,0.012736283
0.7485957,0.74401295,-0.0004683173,0.006422937,1.0010244,-0.001882307
0.7349113,0.7484752,0.009922624,0.0014798733,0.9986888,-0.0060360455
0.72679883,0.7359721,0.009367943,0.009708261,0.99610204,-0.011362723
0.7364229,0.730811,-0.0015797915,0.0010699453,1.0028133,-0.0070142816
0.7438429,0.73809975,-0.007893195,0.00038147336,0.9980428,0.0062854295
0.7288029,0.74657816,0.0006966735,0.0034053766,1.0009354,0.008185882
0.7337388,0.7378676,0.0019562235,0.0063161156,1.0036157,-0.0023888915
0.7342643,0.73971844,0.0043862555,-0.0011493467,0.9985054,-2.9127688e-05
0.7354098,0.7354901,-0.0034693517,-0.0017035223,0.9971993,0.0041921707
0.73259217,0.73736423,0.0076709655,-0.0029888889,1.0019621,0.0005192131
0.7456733,0.7357197,-0.0012542766,-0.005619199,1.0002126,-0.0045620278
0.73246557,0.7438565,-0.0045694364,-0.006112312,0.99998975,-0.00761314
0.7399934,0.7353166,-0.009685659,0.0068659154,0.99253297,-0.0041797287
0.7461357,0.7443271,0.000111838635,0.005839338,0.9955146,0.0016802519
0.74250996,0.73537827,-0.0045031435,0.0074972557,0.9928877,-0.00037552384
0.7438534,0.7395874,0.0033556777,-0.0063139754,1.0028967,-6.058009e-05
0.7384163,0.72737265,0.0055316216,0.008214109,0.99664605,0.00027523196
0.75240564,0.7332989,-0.002421253,0.0075145205,1.0023204,-0.0057642553
0.7388674,0.7428836,-0.0033470467,0.0014496135,1.0062292,0.0062849266
0.74463195,0.75081915,-0.00050112006,-0.0026544612,0.99980104,-0.0025345043
0.7267159,0.73428935,0.008456224,-0.0037640797,1.0008444,-0.005575282
0.74172,0.74156857,0.0007080082,-0.0032967723,1.0044959,-0.0053436398
0.7425455,0.7254851,-0.0023396777,0.0010854866,1.0032651,0.000113703696
0.74980086,0.7473941,-0.0018570228,0.008447995,0.9965757,0.004942361
0.722274,0.7435022,0.0018792446,-0.002423529,1.0037022,-0.0029939173
0.7329974,0.75391656,-0.0011824676,-0.0029811831,1.020156,-0.009975255
0.7256574,0.7240312,-0.0020535742,-0.004365292,1.0072973,-0.00020412402
0.74761754,0.7350671,0.0056428453,-0.0023461424,1.0032923,0.00038446824
0.74168944,0.72967803,-0.0014054202,0.0022201724,1.0033475,-0.006904979
0.74580497,0.7390423,0.00037677,-0.001330429,0.9919128,0.0071272496
0.73752826,0.7397283,-0.0013838408,-0.003371113,1.0028415,0.01142209
0.74173826,0.7498144,-0.004132457,-0.0016860747,0.9968288,-0.0052662375
0.73105067,0.7443344,-0.0026713961,0.003940927,1.0054536,-0.0062580877
0.74184126,0.7375359,-0.0022200746,0.010693005,1.0044327,-0.00667991
0.73414016,0.73022807,0.007612544,0.0040044123,1.0006427,0.015044332
0.7432962,0.7303319,0.00016443926,0.0009739994,0.99495226,0.0020058185
0.74226767,0.7433713,-0.0015736345,0.0001280452,1.0039607,-0.0015726342
0.7316047,0.74668133,-0.00431369,0.0026619104,0.99493736,-0.00088043447
0.73063415,0.7436141,-0.00036329863,-0.0010099615,0.98595285,0.0074212938
0.72538,0.7409726,-0.0010048334,-0.0013083208,0.99540657,0.004651289
0.7455501,0.7381303,-0.0056044147,-0.009028536,1.002196,-0.007829834
0.73649395,0.73930705,0.0022319877,0.0029319108,1.0064162,-0.005728989
0.7360083,0.7382372,-0.00910472,-0.004578497,0.9999043,-0.0005640515
0.741207,0.741719,0.0056066373,0.001695878,0.9992706,0.00600485
0.74451095,0.73251563,-0.0039350083,0.001013997,0.9972241,-0.0068693655
0.74349064,0.74794376,0.0057552573,0.00079183734,0.99773467,-0.0029114778
0.73073447,0.72951126,0.005668953,0.0028148796,0.9913234,-0.0019757869
0.74025583,0.74970853,0.004705924,0.0018037128,0.98912853,0.008840969
0.74042386,0.7308178,0.0021441435,-0.0009015887,0.99565566,-0.008872975
0.74240947,0.74310786,0.003524407,0.0038295942,1.0079739,-0.008589994
0.734997,0.731183,-0.005611177,-0.0019674785,0.9987183,0.007170179
0.7475365,0.73688364,0.0017946647,0.0049124495,0.9935429,0.0005493604
0.74047875,0.7408764,-0.0074026547,6.224582e-05,1.0025926,-0.0030421184
0.7375175,0.74844915,0.006872044,0.008697479,1.0050296,-0.0052933726
0.73234683,0.74159384,0.0034003225,-0.008420578,0.9931208,0.004826657
0.74043036,0.735693,-0.0020972227,0.004165548,1.0044059,0.0027171853
0.7359458,0.7278925,0.0004095771,-0.0024187656,0.99453115,-0.006423004
0.7452753,0.7299425,0.0002145398,-0.0009641773,1.0013229,0.003586895
0.74559504,0.7445032,-0.0034421473,-0.010165659,1.0039617,0.0022814884
0.7336151,0.7550655,-0.00021404722,0.007920809,0.9968778,-0.007500413
0.7203168,0.7484404,-0.0007289813,-0.004440216,0.9997034,-0.00045473635
0.7436816,0.7406949,-0.0053175865,-0.0008894483,1.000699,0.0035513858
0.7413464,0.7350509,-0.0036333953,0.0026058971,1.0046575,3.8119108e-06
0.7404708,0.7380834,-0.0050470624,0.0026755068,0.9997217,0.0019929514
0.74394834,0.73618007,0.0028497905,-0.0065397047,1.0057695,-0.003437478
0.7426091,0.74398917,0.0039040607,-0.0027610897,1.0039957,-0.00045910614
0.7309935,0.7403208,0.00036371753,-0.00043582497,0.9950121,0.0034005886
0.73654574,0.7450003,0.0044323355,-0.00234947,0.9979437,0.0052258745
0.72606474,0.7451591,-0.0031953265,0.010022819,1.008343,-0.0054670516
0.7325263,0.73660934,-0.0043415823,0.0013615228,0.99968904,0.0041621225
0.7357106,0.7287056,0.00074503495,-0.006632709,1.0021725,-0.0001427392
0.74585104,0.73211855,0.00063896243,0.0032695893,0.9981433,-0.00019981031
0.7427064,0.75290376,0.0052396515,-0.002830351,1.0031765,-0.0011505389
0.73180234,0.75001615,-0.0056945104,-0.005012445,1.0076897,-0.0003639763
0.7226939,0.7499614,-0.0040958957,0.0017803612,0.99255115,-0.003698149
0.7353161,0.7318563,-0.005217225,8.115047e-06,0.9988115,0.0034549655
0.74349344,0.73416674,-0.00136013,-0.0024383531,1.004406,0.0007040739
0.7479433,0.7305884,0.0001912347,0.009270058,0.9955876,0.004182264
