A,B,C,D,E,F,G,H,I,J,K,L,M
0.06803361,0.45613447,0.15966386,0.07263865,0.46487397,0.11193277,0.31529412,0.104537815,0.7294118,0.42991596,0.07616807,0.07996639,0.06766366
0.06783193,0.39966387,0.15966386,0.06998319,0.3717647,0.10689076,0.38789916,0.10151261,0.6322689,0.34487393,0.075092435,0.08215126,0.067651965
0.067428574,0.34991595,0.15966386,0.0685042,0.30218488,0.07294118,0.44470587,0.07731092,0.57411766,0.25478992,0.07495798,0.084403366,0.06770336
0.06749579,0.37512606,0.15966386,0.06910924,0.33310923,0.07596639,0.4057143,0.08168067,0.6010084,0.29546216,0.074655466,0.085210085,0.0677004
0.067798324,0.40605044,0.15966386,0.06991597,0.36974788,0.08571429,0.37210083,0.0897479,0.6322689,0.3529412,0.074487396,0.085243694,0.06768652
0.06759664,0.36806723,0.15966386,0.06910924,0.33344537,0.08033613,0.39495796,0.08672269,0.5963025,0.31361344,0.07458824,0.08494118,0.067685716
0.067428574,0.3394958,0.15966386,0.0685042,0.30319327,0.07226891,0.43462184,0.075294115,0.58117646,0.27294117,0.07438655,0.08568067,0.06768763
0.06759664,0.39260507,0.15966386,0.06944537,0.34957984,0.08302521,0.3667227,0.08672269,0.6477311,0.33210084,0.07310925,0.093815126,0.067754924
0.06759664,0.37714288,0.15966386,0.06957983,0.3559664,0.08302521,0.35999998,0.08672269,0.6517647,0.31193277,0.07314286,0.09364706,0.06775536
0.06756302,0.36705884,0.15966386,0.068974786,0.32705882,0.083697475,0.3784874,0.088067226,0.6252101,0.31058824,0.072974786,0.09472269,0.06775852
0.06739496,0.33815128,0.15966386,0.06803361,0.27394956,0.074285716,0.46117646,0.07865547,0.5798319,0.2497479,0.07280672,0.094184875,0.06773116
0.06746219,0.34521008,0.15966386,0.06826891,0.2887395,0.078319326,0.4420168,0.08268908,0.58890754,0.2742857,0.07287394,0.0932437,0.06772232
0.06756302,0.36336136,0.15966386,0.068974786,0.32806724,0.08840337,0.41579834,0.088067226,0.6127731,0.2947899,0.073378146,0.08957983,0.06769109
0.067630254,0.3620168,0.15966386,0.06921008,0.33882353,0.09176471,0.4070588,0.090756305,0.60974795,0.3102521,0.074084036,0.085983194,0.06767045
0.06746219,0.3307563,0.15966386,0.06816807,0.28168064,0.08436975,0.50890756,0.085378155,0.5418487,0.24504203,0.074487396,0.08245378,0.067614555
0.06752941,0.33815128,0.15966386,0.06836975,0.29411763,0.08773109,0.49411765,0.08773109,0.542521,0.24470589,0.0749916,0.08047059,0.06759607
0.06749579,0.3277311,0.15966386,0.06823529,0.2867227,0.08470588,0.52067226,0.085042015,0.5260504,0.23226891,0.07576471,0.07784874,0.06756498
0.06749579,0.32705882,0.15966386,0.06836975,0.29445377,0.083697475,0.51462185,0.083697475,0.5290756,0.23159663,0.07616807,0.07697479,0.067560606
0.06739496,0.31394958,0.15966386,0.067999996,0.26991597,0.080672264,0.5616807,0.08336134,0.50521004,0.2184874,0.07593277,0.07690756,0.06754538
0.038947806,0.45042858,0.090410806,0.03400957,0.20501986,-0.039244145,0.77047056,0.09636828,0.60247195,0.26387686,0.107215635,0.008841879,0.048198443
0.038947806,0.45042858,0.090410806,0.03400957,0.20501986,-0.039244145,0.77047056,0.09636828,0.60247195,0.26387686,0.107215635,0.008841879,0.048198443
0.038631704,0.45082533,0.0901576,0.033981282,0.20291549,-0.040126577,0.7780033,0.09629145,0.6044062,0.26372227,0.10722363,0.007926068,0.048172794
0.038628235,0.4508263,0.09015676,0.033981238,0.202848,-0.040134072,0.778246,0.09629189,0.60444504,0.2637228,0.10722363,0.007913526,0.04817275
0.03862819,0.4508263,0.09015676,0.033981252,0.20284584,-0.04013416,0.77825373,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
0.038628206,0.4508263,0.09015676,0.033981252,0.20284575,-0.04013416,0.77825403,0.09629189,0.6044458,0.2637228,0.10722363,0.007913349,0.04817275
