A,B,C,D,E,F,G
0.5243407,0.40092835,0.5078276,0.38537169,0.37001196,0.36144593,0.5982699
0.5121035,0.39810112,0.4868275,0.382868,0.37516,0.36188197,0.5992545
0.53470707,0.3867923,0.5053239,0.37587735,0.38330403,0.36273998,0.6071735
0.5337647,0.39056194,0.50383294,0.37537098,0.38416204,0.36444193,0.60420567
0.5139883,0.41977635,0.48433787,0.39686334,0.385864,0.36831,0.6091567
0.45274633,0.3943315,0.41336238,0.3773683,0.385864,0.36915395,0.61509246
0.4508615,0.39904353,0.4213517,0.382868,0.385864,0.36701596,0.61114
0.45745832,0.40940994,0.4183557,0.38136297,0.390154,0.366594,0.61114
0.4282439,0.38584992,0.400858,0.3698713,0.38029397,0.36529994,0.6210282
0.4536887,0.40658274,0.41485336,0.3848653,0.38330403,0.36615795,0.61607707
0.4282439,0.40281314,0.40386805,0.37787467,0.38073,0.36701596,0.61607707
0.4423799,0.40092835,0.40935367,0.37887335,0.378592,0.366594,0.61509246
0.4357831,0.39810112,0.40386805,0.38186932,0.38500598,0.36701596,0.60420567
0.45651594,0.39621633,0.4168507,0.37836698,0.395288,0.367452,0.5953021
0.44614953,0.38867712,0.41185737,0.37487867,0.385864,0.36444193,0.58838177
0.4404951,0.38584992,0.40935367,0.37337366,0.38416204,0.36230394,0.5863985
0.43201348,0.3849075,0.400858,0.3728673,0.38115197,0.36188197,0.5903509
0.4244743,0.3764259,0.3988607,0.37137634,0.377734,0.36188197,0.5913496
0.41600674,0.3896195,0.40436035,0.3728673,0.372164,0.36058792,0.5943175
0.47749776,0.37242573,0.4140245,0.3813342,0.36932364,0.35104558,0.5322006
0.47749776,0.37242573,0.4140245,0.3813342,0.36932364,0.35104558,0.5322006
0.4779249,0.3722136,0.41402808,0.38135192,0.36930123,0.3510318,0.52844274
0.47792792,0.3722109,0.41402805,0.38135198,0.36930105,0.35103178,0.5282038
0.47792795,0.37221086,0.41402805,0.38135198,0.36930105,0.35103178,0.5281884
0.47792795,0.37221086,0.41402805,0.38135198,0.36930105,0.35103178,0.52818745
0.47792795,0.37221086,0.41402805,0.38135198,0.36930105,0.35103178,0.5281874
0.47792795,0.37221086,0.41402805,0.38135198,0.36930105,0.35103178,0.5281874
