A,B,C,D,E,F,G
0.39948046,0.34857824,0.3510653,0.3510653,0.41187444,0.35968715,0.68701464
0.43927377,0.3643159,0.3869069,0.3643159,0.41228896,0.35925883,0.6918783
0.4078122,0.36524168,0.36481336,0.37118304,0.4135601,0.35842982,0.6977091
0.3744991,0.36616743,0.31865036,0.3697184,0.41566032,0.35842982,0.6947937
0.40966368,0.36616743,0.35154888,0.37560448,0.42197472,0.35968715,0.68604743
0.36616743,0.37264764,0.3029403,0.37560448,0.42491782,0.35968715,0.6947937
0.41429242,0.36524168,0.35941085,0.370202,0.4228176,0.35884434,0.6986763
0.4318816,0.3643159,0.37462348,0.3643159,0.4194462,0.35715863,0.6977091
0.33933455,0.3735734,0.28772762,0.37560448,0.41691765,0.3567441,0.6899301
0.36616743,0.3680189,0.32307184,0.3765855,0.4097742,0.3542156,0.67826843
0.3800536,0.36153868,0.32895792,0.36677536,0.41103157,0.35463008,0.6840992
0.40503493,0.34950396,0.35941085,0.3530273,0.4114461,0.35547295,0.6840992
0.4059607,0.34580097,0.35400835,0.3530273,0.41271728,0.35547295,0.6714704
0.40133196,0.34487525,0.3525299,0.3525299,0.41228896,0.35463008,0.6811839
0.39670324,0.34765247,0.35056788,0.35154888,0.4139746,0.35547295,0.68604743
0.41521817,0.34857824,0.36627793,0.3525299,0.41271728,0.35463008,0.68799573
0.34857824,0.36339015,0.2916517,0.36529693,0.4135601,0.3559013,0.7006245
0.32729986,0.36339015,0.27740628,0.36873737,0.4160748,0.3567441,0.69674194
0.32359686,0.36524168,0.27152017,0.37118304,0.41271728,0.3567441,0.6840992
0.19625632,0.40657747,0.25323525,0.47959957,0.53461254,0.42934287,0.80787534
0.19625632,0.40657747,0.25323525,0.47959957,0.53461254,0.42934287,0.80787534
0.1936925,0.40739557,0.25293684,0.4804278,0.5359943,0.43025303,0.81049216
0.19364329,0.40741205,0.252932,0.48043135,0.5360102,0.43026465,0.8105455
0.19364235,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.5614447,0.37264764,0.51260126,0.3697184,0.41313177,0.3559013,0.6529969
0.54663277,0.3643159,0.5012988,0.36481336,0.4097742,0.35463008,0.6510487
0.50498796,0.34672672,0.45662808,0.34320337,0.41060326,0.35505846,0.6666068
0.5271921,0.35690993,0.47872162,0.36087546,0.4097742,0.35463008,0.6588278
0.52996933,0.36061293,0.47774065,0.3623539,0.4093459,0.35505846,0.6666068
0.51794845,0.35783568,0.47233814,0.35597035,0.4089314,0.35547295,0.6695222
0.5345981,0.36524168,0.47822422,0.3569514,0.41187444,0.35715863,0.6714704
0.52811784,0.3643159,0.48706716,0.36087546,0.4072457,0.3563158,0.6549452
0.54385555,0.36894464,0.49443173,0.36627793,0.41018873,0.3567441,0.66077596
0.53644955,0.3717219,0.49148867,0.3677564,0.4089314,0.3567441,0.6617431
0.51794845,0.36153868,0.47430015,0.35793242,0.40808854,0.3563158,0.65591234
0.53737533,0.36709315,0.4900102,0.3643159,0.40514547,0.35547295,0.6549452
0.52442867,0.35968715,0.47872162,0.35449195,0.4072457,0.3559013,0.6588278
0.51794845,0.36061293,0.47872162,0.3633349,0.40471715,0.35505846,0.6714704
0.52442867,0.35968715,0.47774065,0.3633349,0.4059745,0.3559013,0.66563964
0.50498796,0.3522812,0.46545723,0.35941085,0.40766022,0.3563158,0.6627242
0.52257717,0.36061293,0.47822422,0.35597035,0.4072457,0.35758698,0.66563964
0.52811784,0.36339015,0.47920525,0.3628375,0.4093459,0.3580015,0.6597949
0.51424545,0.35135546,0.47528118,0.35842982,0.4089314,0.3563158,0.65687954
0.20004843,0.40631852,0.25702563,0.47947633,0.5345705,0.42933753,0.80726475
0.20004843,0.40631852,0.25702563,0.47947633,0.5345705,0.42933753,0.80726475
0.19376533,0.40739045,0.25299832,0.48042727,0.5359938,0.43025297,0.8104797
0.19364467,0.40741193,0.252933,0.48043135,0.5360102,0.43026465,0.8105452
0.19364236,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.1936423,0.40741235,0.25293192,0.48043135,0.5360104,0.4302648,0.8105466
0.30415618,0.36987042,0.24696714,0.37364247,0.41650313,0.36010167,0.5985713
0.2939868,0.36709315,0.24108106,0.37266144,0.4139746,0.35884434,0.60148674
0.41521817,0.34857824,0.36579433,0.35007048,0.41271728,0.35968715,0.609252
0.3800536,0.35598418,0.33534145,0.35793242,0.41018873,0.35884434,0.6131484
0.22364385,0.37727636,0.18068644,0.37118304,0.40681738,0.35842982,0.610233
0.28195208,0.35598418,0.23469755,0.35597035,0.40640286,0.35884434,0.60342115
0.33192858,0.34765247,0.28919226,0.35056788,0.40345982,0.35842982,0.6160638
0.19588527,0.37912786,0.15466881,0.3805234,0.40218863,0.35715863,0.61509657
0.15053749,0.39022303,0.103103325,0.39033353,0.4017741,0.3567441,0.6160638
0.24401028,0.35505846,0.20179899,0.3633349,0.4009313,0.3563158,0.61216736
0.21716364,0.3680189,0.17578135,0.37413988,0.40261695,0.35758698,0.617031
0.16626137,0.3837566,0.12913477,0.39279297,0.4009313,0.3563158,0.6228618
0.20512892,0.38468233,0.16153592,0.38935253,0.40640286,0.35884434,0.62577724
0.31156218,0.35598418,0.2739796,0.3643159,0.40514547,0.35842982,0.6228618
0.35783568,0.35598418,0.30982122,0.35056788,0.40345982,0.35842982,0.6218946
0.33192858,0.3522812,0.28673282,0.35498938,0.40218863,0.3580015,0.6189792
0.23197557,0.37635064,0.1836295,0.37266144,0.40681738,0.36010167,0.6267582
0.3217454,0.35505846,0.2798657,0.35989442,0.40430266,0.35968715,0.6228618
