A,B,C,D,E,F,G,H,I,J,K,L
0.11167513,0.17766498,0.09137056,0.16243654,0.1395939,0.071065985,0.22588833,0.09898477,0.3401015,0.1413198,0.16345176,0.08350254
0.11167513,0.17766498,0.09137056,0.16243654,0.1395939,0.071065985,0.22588833,0.08629441,0.08629441,0.1413198,0.16345176,0.08350254
0.11167513,0.17766498,0.09137056,0.16243654,0.1395939,0.071065985,0.22588833,0.10152284,0.39086294,0.1413198,0.16345176,0.08350254
0.11167513,0.17766498,0.09137056,0.16243654,0.1395939,0.071065985,0.22588833,0.09898477,0.39086294,0.1413198,0.16345176,0.08350254
0.11167513,0.17766498,0.09137056,0.16243654,0.1395939,0.071065985,0.22588833,0.09390863,0.41624367,0.14134519,0.16347715,0.08350254
0.11167513,0.17766498,0.09137056,0.16243654,0.1395939,0.071065985,0.22588833,0.09390863,0.46700507,0.14134519,0.16347715,0.08350254
0.11167513,0.17766498,0.09137056,0.16243654,0.1395939,0.071065985,0.22588833,0.09390863,0.39086294,0.14134519,0.16347715,0.08350254
0.11167513,0.19035533,0.09898477,0.17005076,0.1395939,0.071065985,0.20050761,0.08629441,0.08629441,0.14134519,0.16347715,0.08705584
0.11167513,0.20304568,0.10659899,0.1751269,0.13451776,0.068527915,0.17258883,0.09390863,0.46700507,0.14137056,0.16350253,0.08984771
0.11167513,0.21319798,0.11167513,0.18020305,0.13451776,0.068527915,0.15989847,0.11167513,0.7461929,0.14137056,0.1635279,0.092639595
0.11167513,0.21827412,0.1142132,0.18274112,0.13451776,0.068527915,0.15482233,0.11928934,0.7461929,0.14137056,0.16350253,0.09390863
0.11167513,0.22335026,0.11675127,0.18274112,0.13451776,0.068527915,0.1497462,0.1142132,0.7208122,0.1413198,0.16345176,0.09543147
0.11167513,0.22588833,0.11928934,0.18527919,0.13451776,0.068527915,0.14720812,0.10913706,0.7461929,0.14126904,0.16337563,0.09593908
0.11167513,0.22588833,0.11928934,0.18527919,0.13197969,0.065989845,0.14467004,0.10406091,0.84771574,0.14124365,0.16335025,0.09568527
0.11167513,0.22588833,0.11928934,0.18527919,0.13451776,0.068527915,0.14720812,0.10152284,0.84771574,0.14124365,0.16335025,0.09593908
0.11167513,0.22335026,0.11675127,0.18274112,0.13451776,0.068527915,0.1497462,0.10152284,0.92385787,0.14126904,0.16337563,0.09543147
0.11167513,0.21319798,0.11167513,0.18020305,0.13451776,0.068527915,0.15989847,0.08629441,0.08629441,0.14126904,0.16337563,0.092639595
0.11167513,0.21319798,0.11167513,0.17766498,0.13197969,0.065989845,0.1573604,0.09898477,0.84771574,0.14129442,0.16340102,0.09213197
0.11167513,0.20304568,0.10659899,0.1751269,0.13451776,0.068527915,0.17258883,0.09390863,0.64467007,0.14134519,0.16347715,0.08984771
0.12218723,0.2082814,0.094836816,0.19245775,0.095309995,0.011409768,0.21311572,0.06812901,0.135754,0.18980403,0.22982332,0.070185184
0.12218723,0.2082814,0.094836816,0.19245775,0.095309995,0.011409768,0.21311572,0.06812901,0.135754,0.18980403,0.22982332,0.070185184
0.12221384,0.20828493,0.09484297,0.19254036,0.095086366,0.011436869,0.21318272,0.068144195,0.1324939,0.1899017,0.22975895,0.07016378
0.122213915,0.20828496,0.094842955,0.19254076,0.09508508,0.011436869,0.21318282,0.068144195,0.13247317,0.1899019,0.22975901,0.07016375
0.122213915,0.20828493,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247304,0.1899019,0.22975901,0.07016375
0.122213915,0.20828496,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247305,0.1899019,0.22975901,0.07016375
0.122213915,0.20828493,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247304,0.1899019,0.22975901,0.07016375
0.122213915,0.20828496,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247305,0.1899019,0.22975901,0.07016375
0.122213915,0.20828493,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247304,0.1899019,0.22975901,0.07016375
0.122213915,0.20828496,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247305,0.1899019,0.22975901,0.07016375
0.122213915,0.20828493,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247304,0.1899019,0.22975901,0.07016375
0.122213915,0.20828496,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247305,0.1899019,0.22975901,0.07016375
0.122213915,0.20828493,0.094842955,0.19254078,0.09508508,0.011436869,0.21318282,0.068144195,0.13247304,0.1899019,0.22975901,0.07016375
