A,B,C,D,E
4.0,1.0,1.0,2.0,0.0
3.0,0.0,0.0,2.0,1.0
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,2.0,0.0
2.0,1.0,0.0,0.0,1.0
29.0,1.0,4.0,19.0,5.0
87.0,5.0,10.0,39.0,33.0
191.0,26.0,16.0,95.0,54.0
232.0,24.0,22.999998,108.99999,76.0
318.0,26.0,33.0,163.0,96.0
331.0,33.0,26.0,138.0,134.0
274.0,22.999998,18.000002,126.0,107.0
259.0,16.0,16.0,129.0,98.0
276.0,19.0,20.0,123.00001,114.0
295.0,22.999998,21.0,122.0,129.0
246.00002,25.0,10.0,100.0,111.0
219.0,18.000002,14.0,67.0,120.0
80.306625,13.763483,3.3991146,32.476192,35.01421
80.306625,13.763483,3.3991146,32.476192,35.01421
80.59875,13.776229,3.3639452,32.36864,34.76254
80.5983,13.776162,3.3638277,32.368313,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
53.000004,7.0,8.0,21.0,17.0
25.0,2.0,8.0,10.0,5.0
28.0,6.0,2.0,12.0,8.0
9.000001,0.0,1.0,5.0,3.0
3.0,0.0,0.0,3.0,0.0
1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0
12.0,1.0,0.0,2.0,9.000001
45.0,5.0,6.0,10.0,24.0
97.0,15.0,13.0,22.0,47.0
102.0,9.000001,7.0,20.0,66.0
77.0,19.0,13.0,18.000002,27.0
100.0,18.000002,22.0,33.0,27.0
179.0,0.0,113.0,36.000004,30.0
391.0,174.0,155.0,34.0,28.0
115.0,0.0,53.000004,34.0,28.0
80.53532,13.8175535,3.5432131,32.373337,34.741776
80.53532,13.8175535,3.5432131,32.373337,34.741776
80.5984,13.776061,3.3643644,32.368336,34.761734
80.5983,13.776178,3.3638277,32.368313,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
2.0,0.0,0.0,2.0,0.0
8.0,0.0,1.0,1.0,6.0
25.0,1.0,3.0,3.0,18.000002
77.0,8.0,6.0,12.0,51.0
170.0,24.0,11.0,31.0,104.0
152.0,22.999998,13.0,25.0,91.0
141.0,15.0,12.0,49.0,65.0
128.0,11.0,10.0,48.0,59.0
101.0,15.0,15.0,38.0,33.0
106.00001,16.0,12.0,29.0,49.0
103.0,14.0,10.0,39.0,40.0
112.0,16.0,7.0,54.0,35.0
135.0,13.0,9.000001,68.0,45.0
161.00002,14.0,21.0,89.00001,37.0
275.0,18.000002,20.0,168.0,69.0
260.0,24.0,26.0,146.0,64.0
185.0,25.0,17.0,74.0,69.0
112.0,15.0,12.0,48.0,37.0
41.0,7.0,6.0,15.0,13.0
80.66082,13.796522,3.3722806,32.314804,34.697357
80.66082,13.796522,3.3722806,32.314804,34.697357
80.5982,13.776095,3.3638613,32.368153,34.7616
80.5983,13.776162,3.3638446,32.368305,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
288.00003,66.0,29.0,95.0,98.0
153.0,0.0,15.0,59.0,79.0
125.0,12.0,10.0,40.0,63.0
98.0,11.0,10.0,33.0,44.0
60.0,12.0,12.0,21.0,15.0
47.0,9.000001,6.0,13.0,19.0
37.0,9.000001,8.0,11.0,9.000001
7.0,1.0,2.0,2.0,2.0
8.0,1.0,1.0,1.0,5.0
4.0,1.0,1.0,2.0,0.0
1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
7.0,1.0,3.0,2.0,1.0
10.0,0.0,1.0,6.0,3.0
73.0,4.0,12.0,40.0,17.0
168.0,21.0,15.0,95.0,37.0
80.41799,13.754494,3.4024687,32.564552,34.768433
80.41799,13.754494,3.4024687,32.564552,34.768433
80.59858,13.776229,3.3639283,32.368923,34.761818
80.5983,13.776162,3.3638277,32.368313,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
80.5983,13.776162,3.3638277,32.36832,34.761803
95.0,10.0,9.000001,42.0,34.0
45.0,8.0,1.0,13.0,22.999998
12.0,2.0,2.0,7.0,1.0
5.0,4.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
6.0,1.0,0.0,0.0,5.0
24.0,2.0,3.0,7.0,12.0
67.0,8.0,5.0,11.0,43.0
145.0,21.0,12.0,26.0,86.0
152.0,24.0,14.0,36.000004,78.0
84.0,11.0,11.0,19.0,43.0
68.0,13.0,11.0,19.0,25.0
94.0,13.0,17.0,29.0,35.0
98.0,22.999998,15.0,31.0,29.0
123.00001,16.0,18.000002,52.0,37.0
99.0,12.0,10.0,36.000004,41.0
80.57027,13.781512,3.3856976,32.379498,34.780266
80.57027,13.781512,3.3856976,32.379498,34.780266
80.59834,13.776162,3.363895,32.368347,34.761852
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
80.5983,13.776162,3.3638446,32.36832,34.761803
214.0,31.0,20.0,103.0,60.0
233.0,27.0,30.0,97.0,79.0
174.0,0.0,14.0,82.0,78.0
220.0,26.0,19.0,96.0,79.0
177.0,18.000002,8.0,63.0,88.0
215.0,18.000002,15.0,79.0,103.0
141.0,0.0,12.0,55.0,74.0
119.0,12.0,12.0,50.0,45.0
50.0,0.0,2.0,16.0,32.0
27.0,2.0,1.0,7.0,17.0
5.0,1.0,1.0,3.0,0.0
8.0,1.0,0.0,4.0,3.0
5.0,1.0,0.0,1.0,3.0
0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,1.0
18.000002,0.0,3.0,11.0,4.0
80.699,13.8175535,3.362788,32.302494,34.670715
80.699,13.8175535,3.362788,32.302494,34.670715
80.598145,13.776061,3.3638277,32.36811,34.76153
80.59829,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
80.5983,13.776178,3.3638277,32.36832,34.761803
253.0,15.0,20.0,157.0,61.0
202.0,20.0,21.0,98.0,63.0
170.0,10.0,19.0,72.00001,69.0
100.0,19.0,12.0,35.0,34.0
22.0,4.0,1.0,8.0,9.000001
8.0,0.0,0.0,3.0,5.0
5.0,2.0,0.0,2.0,1.0
3.0,0.0,0.0,3.0,0.0
2.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
5.0,0.0,1.0,2.0,2.0
18.000002,3.0,0.0,7.0,8.0
81.0,6.0,10.0,21.0,44.0
124.0,17.0,11.0,29.0,67.0
129.0,18.000002,8.0,36.000004,67.0
125.0,17.0,14.0,38.0,56.0
125.0,24.0,17.0,36.000004,48.0
138.0,0.0,24.0,68.0,45.999996
80.48439,13.8175535,3.432657,32.47934,34.795074
80.48439,13.8175535,3.432657,32.47934,34.795074
80.59847,13.776061,3.364029,32.368656,34.7619
80.5983,13.776178,3.3638446,32.368313,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
80.5983,13.776178,3.3638446,32.36832,34.761803
