A,B,C,D,E,F,G,H,I,J
0.47445905,0.35964927,0.7219673,0.36328283,0.34813625,0.38741535,0.43878642,0.6340993,0.7355275,0.46321756
0.4662325,0.8523534,0.48955923,0.50724316,0.7156267,0.43096587,0.4164326,0.65722454,0.44120434,0.7387879
0.66381216,0.63559324,0.5797619,0.41902444,0.24687137,0.5609405,0.63983846,0.4297629,0.8685031,0.6161649
0.3997075,0.44672024,0.53100014,0.7889038,0.40249476,0.6385808,0.54823065,0.4662369,0.28287187,0.6273916
0.26102415,0.20865807,0.22890183,0.5357412,0.5927849,0.33116245,0.19521178,0.6223547,0.65370333,0.48452863
0.5664684,0.59018767,0.24155337,0.44696033,0.5667212,0.12524436,0.3648536,0.36131683,0.6000294,0.4004974
0.15748192,0.6036627,0.2915343,0.5220067,0.38905507,0.23988529,0.44556218,0.33134258,0.77233845,0.62193006
0.18706167,0.5233023,0.2901582,0.18297152,0.44590196,0.3457442,0.66155857,0.4220401,0.52005076,0.47742298
0.12679984,0.69926256,0.41733402,0.4333814,0.23597878,0.3630873,0.803792,0.3569229,0.33796644,0.65332884
0.30341116,0.6291458,0.31735763,0.22542904,0.4395832,0.45940748,0.51515216,0.366476,0.42135584,0.46917638
0.47998908,0.48794174,0.6154469,0.5782207,0.3834422,0.53789014,0.459488,0.121341154,0.660843,0.41038683
0.34995845,0.44375834,0.27893826,0.6430084,0.5213084,0.52485585,0.48224247,0.43882278,0.6119235,0.8092079
0.4546764,0.69112504,0.32780504,0.5497517,0.6312082,0.5009011,0.39427623,0.35334402,0.64654964,0.4856985
0.44499484,0.3561432,0.4569089,0.44344902,0.54952186,0.7143418,0.61468685,0.41818514,0.49134278,0.3819436
0.4659303,0.51631093,0.40674898,0.51974237,0.5121731,0.37128207,0.5218762,0.47381085,0.62138146,0.48215464
0.46883017,0.5264406,0.41749918,0.4408279,0.6053276,0.69072205,0.571932,0.46429473,0.60984236,0.536869
0.64924484,0.46754622,0.52582514,0.39897475,0.7196145,0.38928407,0.45564815,0.58194304,0.5517089,0.5065437
0.6884342,0.7005239,0.47196367,0.3430279,0.43887419,0.33061922,0.32114577,0.6647317,0.8118575,0.43279368
0.4280499,0.7639711,0.36889243,0.38217178,0.596144,0.47871062,0.6259206,0.7019514,0.45214424,0.55029273
0.4639517,0.46048063,0.33852968,0.30730867,0.39901274,0.34682345,0.3771274,0.4747093,0.45917955,0.42986956
0.4639517,0.46048063,0.33852968,0.30730867,0.39901274,0.34682345,0.3771274,0.4747093,0.45917955,0.42986956
0.46425992,0.4581992,0.3382756,0.30701903,0.39777797,0.34644496,0.37503576,0.47295406,0.45920768,0.42885587
0.46426252,0.4581818,0.33827347,0.30701786,0.39777267,0.34644413,0.37501875,0.47294104,0.4592078,0.4288477
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
0.46426255,0.45818168,0.33827347,0.30701786,0.3977726,0.34644413,0.37501863,0.47294095,0.4592078,0.42884764
