A,B,C,D,E
-0.8683095,2.2380996,0.7858199,-0.2283997,-0.63044953
-0.78664005,1.5239998,-1.5538002,-3.1490002,-0.36094034
1.8354003,-2.0902002,-1.5974002,-0.119289935,0.49064037
0.60809046,-0.7986295,-0.2408001,-1.5630002,-0.4723401
-0.79971033,-1.3615001,-0.48741993,-1.3777002,0.17834026
0.041925024,1.8231002,-0.74810994,0.39922947,-1.4152002
0.20649034,0.86185974,-0.14342953,1.1781001,-2.0932
0.9245305,1.7396003,0.45042968,-1.5011002,-3.0259998
2.5394998,0.5202704,-1.9340998,1.3448001,-3.9709003
5.176901,0.9605797,1.1927,2.2448995,-2.5562003
4.0624003,2.1545997,2.9431999,1.0997002,-1.4171003
-0.4850803,3.7740002,2.7285001,2.9560997,-1.7995998
-1.8783002,2.6661,-0.45823002,1.3800997,2.6879
0.65405047,1.1720003,0.7815904,3.3709998,-0.27982965
1.2426996,-3.0138001,-0.89634955,1.2907997,-0.7982897
1.4004995,-3.1,-0.2359504,-0.7097103,0.9547398
-1.0907003,-1.8923002,-2.5106,0.53196967,-0.16963045
1.5064994,0.09393316,-0.74004036,2.3572,1.8446995
1.7310001,-1.5227998,3.7955003,2.2919004,1.9455003
-1.3977311,-1.2655777,-6.2014804,-4.552057,-6.78686
-1.3977311,-1.2655777,-6.2014804,-4.552057,-6.78686
-1.465318,-1.2624755,-6.4178834,-4.6165137,-7.2115993
-1.4668901,-1.2624377,-6.421524,-4.6171317,-7.227258
-1.4669268,-1.2624377,-6.4215856,-4.6171374,-7.2278214
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.227842
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
2.5441995,0.43640047,0.67457,-1.5178002,1.0080994
0.30718967,0.71265036,0.15728028,-1.2212999,1.9338
-1.1229001,-1.3566003,-0.30714053,-2.2335002,-1.9807998
-1.1982999,-0.16539991,2.1340995,3.1025002,0.55243963
-0.84028995,2.2028,1.9353004,0.7520305,1.6127
-0.08809369,2.4770005,1.5722995,0.73243964,-2.5003002
-0.9144195,1.4795003,1.6373994,0.38990003,-1.7421001
-1.4820001,5.4514,4.1721,1.1529002,1.3653003
-0.36927956,5.0546,0.2565601,-0.72050023,0.7167698
0.7742295,-0.7117598,-7.0533,-0.9365797,0.2807698
2.8226001,0.94443953,-0.4749904,0.043988526,-0.28123948
-0.33664003,1.0649002,-0.0052485033,2.4534001,1.6326997
1.0957998,-0.5840699,-1.8953,-1.5815998,-1.8393003
3.4769998,-2.3546,3.8007996,-0.21379988,1.9149998
1.6848998,1.6165994,2.9343,4.6142,2.6637
-1.0597996,1.0439998,-2.8706,3.2101,0.47085
-1.8875002,-3.2272,0.91460025,-0.46100006,0.5051895
-0.2576101,-2.6163,0.8131599,1.1069003,0.47136992
0.045257043,-0.85318005,-3.2835002,-1.4304003,-1.5885
-1.4324697,-1.2575006,-6.3673534,-4.5864472,-6.9661202
-1.4324697,-1.2575006,-6.3673534,-4.5864472,-6.9661202
-1.4661264,-1.2623779,-6.4206734,-4.616843,-7.2183843
-1.4669085,-1.2624366,-6.4215703,-4.617135,-7.2275023
-1.4669268,-1.2624377,-6.421586,-4.6171374,-7.22783
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.227842
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
0.6364196,0.1909704,-1.8720002,-0.55222005,5.9063005
2.6870997,-1.6042999,-2.1234999,-1.5895,3.2096996
1.6374998,0.7163297,-0.8495503,-1.0315999,-5.4746
-2.9511,-2.4293,-3.3323,-1.6149,-5.5821996
-3.1657002,-1.4029001,-0.86404985,-0.5569802,-1.9611999
-0.88876003,-0.38478976,-2.4316003,1.4355994,-1.2340999
-0.93563044,0.34941965,0.55139005,3.3455002,-0.72445035
-1.3197998,0.12385011,0.46759024,4.8485003,2.0911996
-0.78970027,3.1898997,0.8874404,0.9458203,3.4267004
0.94261986,0.89998966,0.16711992,0.88276976,1.6455003
0.12853046,0.9522502,-0.74508965,-1.574,-3.9613998
0.49966022,-0.98149014,2.4338999,-1.8534001,-5.7683997
-0.5798405,0.31974003,0.41991946,-1.9686998,-0.23529996
0.4193704,-0.3558695,-0.5001105,-1.2993002,1.9926004
-1.3548,-0.97684973,0.83935,-1.6758999,1.2589995
-1.3371,-1.0924995,1.1704998,-0.01343346,-3.4387999
1.0159005,0.35206026,1.6960996,-1.65,-0.85931015
4.4671,1.9234997,-0.11835042,3.3687003,3.5222006
6.0933,2.9490001,6.3787003,6.2007,2.4855003
-1.3040377,-1.2053782,-6.1314955,-4.511445,-6.7593555
-1.3040377,-1.2053782,-6.1314955,-4.511445,-6.7593555
-1.4631385,-1.2617489,-6.416706,-4.6161237,-7.21048
-1.4668394,-1.2624291,-6.421504,-4.617128,-7.227218
-1.4669251,-1.2624377,-6.421584,-4.6171374,-7.22782
-1.4669273,-1.2624377,-6.421586,-4.617138,-7.2278414
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.7786002,0.23028043,-0.25532982,0.09106713,2.2708998
-0.6445003,-0.77415985,1.1959996,1.6071999,5.0465
-0.3248998,-1.4717,0.67337054,0.3778696,-2.354
3.7779999,0.9804704,-0.38914004,-0.75864965,-1.7637
-0.096277565,-2.2316,-1.3995001,-1.8261,1.9853001
-1.4714998,-1.2699,-1.3727,-0.018807402,4.2909
-0.84771013,-0.5393903,-1.1142001,2.2878006,3.3467999
-1.0948002,-1.9985002,0.34951997,3.549,-1.0812004
0.5176805,0.083781786,-1.9383001,-0.0517004,-5.0544996
-0.65197015,1.6850002,0.9999296,3.8099005,2.7516
2.2162004,5.3119006,0.69615966,-0.098162,4.6863008
-0.11019997,2.0485997,-0.35469052,-0.41500983,0.25416005
-0.096351996,-1.5527,0.29458973,1.8521996,1.7573994
0.67434025,-2.3686,3.9350004,1.4788003,2.0948994
5.3866,0.66977966,3.2760003,1.4106002,0.8309903
5.6926007,0.3649903,-1.6306001,-1.5711998,-5.4684
-0.8547204,-3.3896,-4.4326997,-2.2592,-7.5892
-2.2256,-2.0510004,-3.7056,-0.9115297,0.7697703
-0.22200964,-1.6816002,-1.588,-2.6027002,0.7397703
-1.4384176,-1.2674869,-6.3301077,-4.5983944,-6.8489075
-1.4384176,-1.2674869,-6.3301077,-4.5983944,-6.8489075
-1.4662645,-1.2624981,-6.4200473,-4.616958,-7.2141223
-1.4669117,-1.2624377,-6.4215603,-4.617136,-7.227349
-1.4669268,-1.2624377,-6.4215856,-4.6171374,-7.2278247
-1.4669279,-1.2624377,-6.4215865,-4.617138,-7.227842
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
-1.4669279,-1.2624377,-6.421586,-4.617138,-7.2278423
