A,B,C,D,E,F,G,H,I,J
-0.71739984,-0.45538995,0.09825686,0.09198825,5.4452996,-0.77410996,-4.8177,-3.9221997,-2.2984002,1.3164
-0.96867985,-1.8816001,1.9985001,1.6862004,2.0345995,2.1240995,-3.4609,0.62397987,1.3932997,0.5972499
-0.66144985,-1.3936998,3.3422995,1.9863001,-1.1665,-2.8754003,-4.5205,-0.6446201,0.20557979,-0.51377004
0.8665297,0.77304965,-0.23498,0.91396,-0.31228986,-0.6319499,1.0745003,1.6575001,0.61276,-0.60073984
3.5730002,1.3772999,-1.6935999,0.21796012,1.1094998,2.6372998,3.2995005,0.8113304,1.3370003,-1.1605997
-2.3297,0.97458035,-2.3206,4.6035,1.3349003,2.3470998,-0.24447984,0.71337974,1.1735997,-0.06415311
-0.8432599,-1.6572998,0.26634982,4.2383,0.5236595,-2.1808002,-0.7397002,-0.80716985,-0.110899895,-4.2816
-0.20970988,1.6392002,3.9383001,3.4666998,2.6268997,-4.2146,-4.1928,-0.5915898,3.2087002,-3.4093003
-0.0881099,6.1296,0.024533952,0.45158044,3.0388002,-1.5305998,-1.0079001,0.020881169,2.8347998,-1.2129
-1.0990998,1.0991997,1.9836997,1.6093999,3.0756996,-0.80211985,1.1338998,1.4640001,4.2436,-0.79302984
0.33237043,-3.6383998,1.5611005,0.73911965,1.8982997,-1.252,0.18341963,-0.2965002,-0.54708016,-0.7419098
1.1693996,-0.17050987,0.4716703,-1.5661001,0.4503902,-1.0444001,-2.9958,-2.1943,-4.455,-2.9710002
-0.13550997,-1.5834998,-1.9162998,-4.3409,-0.9126898,0.5292798,-3.3425002,-0.02834619,-3.0307002,-1.8211002
1.4335,-1.8705999,-4.0199,-6.8359003,-2.8085,-2.4587998,-0.8929999,-1.6138,-1.914,-2.8254
2.7507002,-0.95103,-5.8977,-7.3726,-3.4031003,1.6272004,-0.16870016,0.18995966,-2.0200999,-1.2936
-2.6022003,-1.8232999,-3.5940003,-6.7358,-3.2876003,1.8911997,-0.9401299,2.3697999,-0.08467398,-0.3489701
-2.1376998,4.5381994,-2.8336,-3.01,-2.4150999,0.8952903,-2.8733,1.2717001,-0.29958987,-0.43771982
-0.14561982,3.4644995,-1.3676997,-2.1976998,-2.7858002,0.52547014,1.2964003,-3.5846,-2.4008,0.044138692
3.2884996,4.2230997,-1.1777,-3.1267002,2.1209004,-1.7584001,-0.05152707,-3.1047,-1.3820999,-0.58158004
-3.5730822,-3.050279,-1.1730266,-1.2686999,-1.641772,-2.4078133,-2.3614552,-2.6169746,-2.0661185,-2.4672217
-3.5730822,-3.050279,-1.1730266,-1.2686999,-1.641772,-2.4078133,-2.3614552,-2.6169746,-2.0661185,-2.4672217
-3.6724331,-3.1005414,-1.1729674,-1.2646301,-1.6712477,-2.4103534,-2.3960524,-2.612348,-2.067723,-2.4787672
-3.6737542,-3.1007838,-1.1729666,-1.2646252,-1.6715665,-2.4103625,-2.3965366,-2.612307,-2.067727,-2.478834
-3.6737714,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729666,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
-3.6737723,-3.1007848,-1.1729661,-1.2646252,-1.6715696,-2.410363,-2.3965435,-2.6123066,-2.067727,-2.4788344
3.4292,4.1714,-0.044253968,-2.3574002,-3.1076,2.9713,1.9003998,5.3740997,1.9966003,3.5103996
4.3828998,2.9409,0.2458001,-3.3377,0.32022995,4.6217,2.5514996,4.3302,2.2117996,2.0596
-0.24612002,-2.0367002,-1.5875998,-4.6264997,0.75145036,-2.0502,-0.24584006,-4.0802,-0.43193,-1.8831002
-4.7429996,-6.5264,-2.5424001,-3.4275002,-3.7838001,2.0612998,-0.33890983,-5.9879,0.96886,-1.3134999
