A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
0.3139454,-0.08499596,-0.23865154,-0.014738078,0.022128055,-0.1466478,0.5615062,0.51962155,0.41670448,-0.5757723,-0.017106403,0.02190002,0.2988395,0.633583,1.3376485,0.15599492,0.23104152,0.7784027,0.04833224,0.62143254,-0.5116839,-0.36583,-0.2991309,0.24352594,0.8364796
0.5655372,1.1716522,0.81843257,0.39092225,0.6492186,0.8507452,0.6826409,0.36673984,0.31997308,0.5857353,0.9232942,0.29727378,0.33642384,1.5874196,1.467014,0.5166302,-0.091813646,0.41098386,0.54133147,0.27717444,0.9847629,-0.28847793,0.50358015,-0.14907357,0.2593088
0.17541374,1.034257,0.016256621,-0.10809206,0.503415,0.6855156,0.47987536,0.74674183,0.6199225,0.40203846,1.2906986,1.0424286,0.11641751,0.1266252,1.0594217,1.2827803,0.79204524,1.6273724,0.7312247,0.9216513,2.2384233,0.7327887,1.0393744,1.3217795,1.0931474
0.5531426,0.4804284,-0.38277277,0.0589062,0.6704007,0.53352624,0.6765953,0.31648612,0.71110564,-0.22312365,0.36120418,0.78527427,0.9054824,1.0475459,1.1774178,0.8475545,0.6796944,0.84089303,0.46798345,1.7378199,1.6708281,0.5127051,0.5761848,0.46463117,0.7824409
-0.094052695,-0.3944043,-0.7885821,-0.92229456,-0.43693,-0.18652326,-0.21549438,-0.17714512,0.082738474,0.43112808,-0.83999753,-0.6083722,-0.57110745,-0.26124308,-0.20517538,-0.14679682,0.03853934,0.2710678,-0.33099642,-0.4449902,-0.7371451,-0.829016,-0.83507955,-0.9822873,-1.4092661
-0.098223746,-0.07875106,-0.6018005,-0.03719496,-0.39036074,0.37781656,-0.6878251,-0.14022154,0.0917952,0.24061176,-0.29116404,-0.14351995,-0.36919305,-0.77924347,-0.23314458,0.15835607,0.36672726,-0.8657151,-0.5070029,-1.034825,-1.7703898,0.06811017,-0.17339963,-0.8538645,-0.029434612
0.69008344,-0.6109039,-0.1509158,-0.16399455,0.4061287,0.42865562,-0.10591227,-0.13847807,0.91332173,-0.16132458,-1.3323611,0.24194945,-0.27266097,-0.68617135,0.21284907,-0.009513041,-0.6877173,0.30445057,-0.216534,-0.60398746,-0.29543027,-0.6032244,-0.2702693,-0.72067636,0.10508403
0.37838754,0.6422645,-0.2561563,0.10013192,-0.19721214,-0.019941568,0.3316908,0.18593384,-0.32087672,-0.37563905,-0.79480183,-0.20658848,0.06959329,0.081524685,-0.00890076,-0.070829116,-0.53103805,0.69715965,-0.07226196,-1.2453849,-1.449129,-0.8019733,-0.2745804,-0.008155609,-0.050864443
-0.11813813,0.5804654,0.14180113,0.33173388,-0.08763721,0.36213607,0.6071274,0.046096787,0.50002676,0.53332335,0.7087607,0.26791304,0.39888906,0.059583124,0.3078729,0.43231854,0.14470275,1.118592,1.1639439,-0.033036478,0.6402463,0.5972555,0.10148037,0.5611992,0.50897217
-0.7788269,-1.0255976,-1.2746074,-0.32165062,-0.78001374,-1.6154324,-0.72773284,-1.0897812,-0.6687618,-1.2849139,-1.2285786,-0.9075388,-0.7176185,-0.4441786,-0.44363815,-0.5995327,-0.94498664,-1.1092987,-0.7659313,0.10756548,-1.6371171,-0.9391619,-0.8653398,-0.17011736,-0.8815195
