A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
-0.01573818,0.29708183,-0.051389456,0.51680446,0.10918689,-0.18494202,0.15907988,-0.20959821,0.22885408,0.011584036,0.8476952,0.04039481,0.12041892,0.09682443,0.46357083,-0.33177406,0.78179705,0.47568005,0.35532016,1.1462772,0.4356481,0.241023,0.41938066,0.5130351,0.040275436
-0.23372445,-0.8519072,-0.2009255,0.11029019,-0.23709586,-0.4798306,-0.502839,0.44270748,0.05638914,-0.09643512,-0.5904235,0.41712886,-0.26613995,-0.053339235,-0.19850002,-0.24144037,-0.05935497,0.12767904,0.7465274,-0.53808516,0.00028147237,1.3036954,0.45300078,-0.3308498,0.48866472
0.15678824,0.93239117,0.5633387,-0.24568538,0.6101207,0.8966585,-0.13859771,0.034046274,0.22168078,-0.29708862,-0.5629313,0.28044543,0.65129215,-0.58156633,0.15660737,0.44287208,0.76706517,0.14060763,-0.013862558,0.2799625,0.45977437,-0.06422037,0.044534925,0.6603971,1.5936608
1.0740105,1.4590772,0.565189,1.2674799,0.5376751,1.6076257,0.9494653,1.7135684,1.3422823,0.827984,0.75557816,1.6194655,0.7262971,1.5472115,1.8327022,1.7440777,0.64209306,1.7429798,1.5851345,2.3411565,2.3348768,1.7462264,1.9504756,2.4489875,3.1745782
0.61216456,1.2827255,0.036061168,0.1617676,0.15554748,0.29615396,0.3352418,0.17709814,0.1767798,0.06104835,1.0905999,0.35886884,0.14472242,0.87273306,0.4667849,0.655624,0.99579513,0.5591859,0.5530743,0.28070226,0.9673696,1.3484915,1.1482722,0.59634566,0.7862736
0.19541484,0.22654074,0.27707943,-0.29227206,-0.798603,0.27329743,-0.29418567,-1.0346528,-0.8385283,-0.19935012,-0.21657255,-0.2465427,0.45367,-0.63025105,-0.4948428,-0.37703133,0.25018948,-0.44120762,-0.012446346,-0.09585453,-0.19785613,-0.34593618,0.26463377,0.26127502,-0.92858523
-0.5635607,-0.34942695,-0.17099695,-0.25973716,0.33364832,-0.4287529,0.5585402,1.0656471,0.08616214,0.09025704,-0.37104997,0.002198694,0.75019723,0.901656,0.42459515,0.36387894,0.73194206,0.29612866,0.3292152,0.090492174,-0.66207516,0.14055698,-0.32806623,0.07477638,0.36074084
0.66664255,1.4989429,0.49404922,0.55867404,0.45000738,0.43268004,-0.020234607,1.0640247,0.3060168,-0.23243304,0.8828762,0.3033906,-0.05538849,-0.6783118,0.023020443,0.75137836,1.7138723,0.7050539,0.49173227,-0.22113228,-0.047652684,0.47572708,-0.679974,-0.43156725,-0.9560738
0.19316843,-0.6276086,0.36725938,0.15374602,0.0617447,0.98213583,-0.35742864,-0.46143067,0.43754905,-0.28994066,0.68094397,0.26132023,0.6256936,-0.07961783,0.07735016,-0.2340482,-0.0044374247,0.7626646,-0.2641721,0.3376745,0.2569649,-0.8921815,-0.87757266,-0.08366751,0.0051848567
1.6356859,1.183218,0.40160477,0.8761822,0.48592997,1.788134,0.43513444,0.8136609,0.92765963,0.2731202,1.0027949,0.72217506,0.5125793,0.8944754,0.31206873,1.342351,0.8401403,1.370659,0.8066522,0.35562944,1.3270513,1.8505015,0.71618825,0.58195204,0.28055394
1.0859805,0.29544857,0.469554,0.51422167,-0.23276404,0.1886087,0.23365256,0.045934856,-0.11276225,-0.04660183,0.27332819,0.26523244,0.4454983,0.8479665,0.4890771,0.17371225,-0.034548655,0.44041586,-0.22981586,-0.60588425,0.54211724,0.835094,0.09477517,-0.3763169,-0.21099271
0.21603763,1.000628,-0.10024786,0.48970655,-0.09387581,0.051342867,0.20863643,0.45089546,0.7543862,-0.37959063,0.27019915,0.5540203,0.83604175,0.15801817,0.16602166,0.6014082,0.9230402,-0.1827969,-0.46069998,0.454086,0.13207418,-0.29005098,-0.77431583,0.30687234,-0.6176806
0.0022475289,0.38179952,-0.2089543,0.026388241,0.1515828,0.117291674,-0.08347398,0.9203814,0.09554206,0.15576634,0.72867554,-0.020722955,0.60928506,-0.9739673,0.16755363,0.21938734,0.27171302,-0.6938648,-0.5965116,-0.022238646,-0.063755535,-0.87797236,-0.48866788,-0.10955362,-0.30068251
-0.307608,-0.021296313,-0.23888287,-0.07426408,0.07428803,-0.49872243,-0.58648056,0.33418187,-0.46188828,-0.031444926,-0.96734565,-0.8926988,0.30423343,0.042187233,0.04185443,-0.65054286,0.1592933,-0.87471855,-0.04290304,-0.3655859,-1.4792745,-1.7349831,-0.7761354,-1.0775642,0.12792502
0.12348466,0.9889094,0.05714518,0.4808222,0.06515591,0.7821371,0.49574578,1.0751717,0.42936832,0.7221714,1.3309779,0.31658325,1.3585117,0.7401933,0.69828576,0.92117906,1.3194438,0.9310762,0.37899783,0.93970734,1.5341293,1.7374597,1.3393468,1.9911298,1.384519
-0.54599464,1.3181524,0.5259185,0.079667106,0.65406847,0.31867048,0.023324303,0.47858664,-0.5823839,-0.31726104,0.19294778,0.024536133,0.51863486,0.6439886,0.5941408,-0.044312015,0.7379361,-0.07492425,-0.09613126,0.64593476,0.16843809,-0.01070276,-0.17654061,-0.45534623,0.043780696
-1.0280384,0.6794753,0.09813573,0.6138448,0.42357326,0.047200948,0.4265793,1.0629467,0.23732603,-0.22277097,-0.073880635,0.31226227,-0.27754563,0.12820175,0.148877,0.0007083255,-0.17099513,-0.07141719,0.30704778,-0.29243666,0.42706043,0.17119816,-0.4104561,-0.19098127,-0.3193736
0.4511342,-0.1877238,0.41068083,0.6716147,0.42638215,0.57578975,0.57339144,0.246554,0.53066814,0.19375627,0.31313404,0.3887594,0.41256732,-0.19224012,1.1589525,0.4813847,-0.01824142,0.21391422,0.5792064,1.2114192,0.851857,0.28650817,0.57016474,0.66759574,0.8761967
0.32328448,0.39190292,0.6925323,0.0042316723,0.5735416,0.6353647,0.6874697,0.22988504,0.1672769,0.30978253,1.1157553,0.46716473,0.88924104,-0.023092352,0.8664062,0.8407371,2.5614307,1.1024867,1.167741,1.571184,1.0096534,1.8642856,1.344715,1.8922265,1.7634453
-0.8971898,-0.3547373,-0.51263314,-0.1834824,-0.21304378,-0.2873922,-0.5489573,-0.87028724,-0.7087233,-0.40973443,-0.6747288,-0.22646071,-0.6606282,-1.0039067,-0.34029123,-0.98706406,-0.5904597,-0.23966783,-0.2996805,-0.2589594,-0.14943543,-0.8543182,-0.5265059,-0.71586406,-0.7887004
-0.8971898,-0.3547373,-0.51263314,-0.1834824,-0.21304378,-0.2873922,-0.5489573,-0.87028724,-0.7087233,-0.40973443,-0.6747288,-0.22646071,-0.6606282,-1.0039067,-0.34029123,-0.98706406,-0.5904597,-0.23966783,-0.2996805,-0.2589594,-0.14943543,-0.8543182,-0.5265059,-0.71586406,-0.7887004
-1.0293353,-0.41441354,-0.6516172,-0.20590122,-0.29760954,-0.3831393,-0.6242028,-0.9691652,-0.7972429,-0.45700842,-0.86869013,-0.29498148,-0.8589051,-1.1085364,-0.4814928,-1.1572664,-0.98420453,-0.4066307,-0.423703,-0.4944286,-0.25767162,-1.1102998,-0.7361052,-0.97628427,-1.0510143
-1.0436438,-0.41918308,-0.66762424,-0.2085781,-0.30670187,-0.3930763,-0.6287752,-0.9780441,-0.8061634,-0.46011576,-0.8896204,-0.30174965,-0.8842232,-1.1196978,-0.49800983,-1.1731015,-1.0332329,-0.4273783,-0.43418443,-0.5247225,-0.26777864,-1.1344044,-0.75950074,-1.0022861,-1.077906
-1.0451939,-0.41956472,-0.6694691,-0.20889825,-0.30767855,-0.39410725,-0.6290519,-0.97883993,-0.8070623,-0.46031833,-0.8918813,-0.30241886,-0.88745356,-1.1208898,-0.4999397,-1.1745738,-1.0393392,-0.4299557,-0.4350707,-0.52862024,-0.2687228,-1.1366743,-0.7621107,-1.0048834,-1.0806643
-1.0453603,-0.41959366,-0.66968256,-0.20893623,-0.30778527,-0.39421397,-0.62907,-0.9789123,-0.80715275,-0.460331,-0.89212364,-0.30248398,-0.8878696,-1.1210146,-0.5001658,-1.1747112,-1.0400988,-0.43027765,-0.43514666,-0.5291213,-0.2688114,-1.1368877,-0.7624019,-1.0051439,-1.0809464
-1.0453802,-0.41959727,-0.66970783,-0.20893984,-0.30779612,-0.39422482,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.892149,-0.30249122,-0.8879202,-1.1210308,-0.5001947,-1.1747239,-1.0401928,-0.43031743,-0.43515208,-0.52918637,-0.26882046,-1.1369094,-0.7624345,-1.0051692,-1.0809754
-1.045382,-0.41959545,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747258,-1.0402037,-0.43032286,-0.43515208,-0.5291936,-0.26882046,-1.1369094,-0.7624399,-1.005171,-1.0809772
-1.045382,-0.41959727,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747239,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.080979
-1.045382,-0.41959545,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747258,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.0809772
-1.045382,-0.41959727,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747239,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.080979
-1.045382,-0.41959545,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747258,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.0809772
-1.045382,-0.41959727,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747239,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.080979
-1.045382,-0.41959545,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747258,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.0809772
-1.045382,-0.41959727,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747239,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.080979
-1.045382,-0.41959545,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747258,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.0809772
-1.045382,-0.41959727,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747239,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.080979
-1.045382,-0.41959545,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747258,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.0809772
-1.045382,-0.41959727,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747239,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.080979
-1.045382,-0.41959545,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747258,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.0809772
-1.045382,-0.41959727,-0.66970783,-0.20893984,-0.30779794,-0.39422664,-0.62907183,-0.97891587,-0.8071618,-0.4603328,-0.8921562,-0.30249122,-0.8879275,-1.1210308,-0.50019836,-1.1747239,-1.0402055,-0.43032286,-0.43515208,-0.5291954,-0.26882046,-1.1369094,-0.7624399,-1.0051728,-1.080979
0.35993415,-0.19381368,0.35745624,1.2483602,-0.31521723,0.20226619,0.9574977,0.90805334,0.53775823,-0.16050829,0.22977652,0.8028485,0.5932184,0.39419997,0.622787,0.5678821,1.1524647,0.35732058,0.5872985,-0.27665573,0.85629916,-0.4047388,0.8102678,0.5690144,1.1019875
-0.30259973,-0.028375564,0.032805506,-0.24410638,0.103352025,-0.6756042,0.24382107,-0.27522686,0.596427,0.54312646,-0.76256466,0.08241814,0.5308056,-0.44612727,0.39841604,0.12169767,-0.10775396,-0.039734196,-0.12983999,-0.7777831,-0.0012703919,-0.4584807,0.06516857,-0.33082992,1.3279212
0.4032471,0.6781151,0.43946266,0.7581863,0.7823613,0.2008102,0.95256543,0.59247684,0.5168515,0.28721538,-0.7153088,0.21177453,0.4201132,0.35508323,0.4078846,-0.5918922,0.0067457645,-0.56455547,0.1938684,0.5859239,-0.95616424,-1.1362582,-0.33445996,-0.26203242,0.74081373
