A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
-0.4265839,-0.28350842,-0.48012722,-0.45866472,-1.0534736,-0.06630697,-0.37759358,-0.6534451,-0.11964782,-0.5391571,-0.27812758,-0.60473794,-0.27163222,-0.2892817,-0.6193825,-0.7306441,-0.28962573,0.6211554,-0.07161615,0.29826853,-0.22040932,-0.32364354,-0.8090741,-0.14639619,0.31452218
-0.9663156,0.01684984,-0.9282896,-0.043025788,-0.6644075,-0.41571286,0.83970076,-0.80109686,-0.39977458,-0.20249644,-0.045279905,-0.5405243,-0.7879234,-0.12267422,-0.39277035,-0.48632514,-0.033728007,-1.0604653,-0.44788688,-0.14850159,-1.4344604,-1.1207871,-1.0163631,-0.9246808,-0.42275834
-0.54989016,-0.9291496,0.11968806,-0.31976423,0.0026173724,0.031265076,-0.25360644,0.053589426,-0.41207367,-0.012799491,-0.796198,-0.7739633,-0.45749107,-0.56597716,-0.1149622,0.07749775,-0.18539885,-1.0374457,0.30028972,-0.33852103,-0.241078,-0.31771258,0.32730147,0.10428016,-0.5033027
-0.789717,-0.21398383,-0.37290797,-0.23698728,0.17968374,-0.35147417,0.9423975,-0.29885182,0.06689373,-0.29539898,-0.59737355,0.07417212,-0.21739906,-0.23868234,-0.074409604,0.21122882,0.5582337,-0.34985256,0.33481997,-0.23945999,-0.2939261,-0.30991098,0.5794919,0.102067254,-0.026958495
-0.8831893,-0.26345432,-0.511305,-0.15909845,0.35495472,-0.6362758,-0.6341077,0.2734643,-0.57619774,-0.37878156,-0.79755443,-0.04133072,-0.94446254,-0.4564339,-0.47675502,-0.769765,0.08803189,-1.5754089,-0.07111623,-0.6505979,-1.4186225,-0.4120952,-1.2894444,-0.19923891,-0.98700583
-0.74718446,-1.1794102,-0.42539948,-0.535061,-0.9069651,-1.2706088,-1.0223962,-0.24063364,-0.4238173,-0.6789804,-0.28490606,-0.35054418,-0.2244033,-0.5618183,-0.37622643,-1.5810407,-0.33882207,-1.6269221,-0.23442677,-1.5488989,-1.1861619,-0.99545074,-0.35820425,-1.457842,0.4455315
-0.32169938,-0.06765442,-0.09032101,0.088521056,0.6221033,-1.2959003,0.16148955,-0.36890143,-0.049836516,-0.16084188,-0.59318423,-0.57623357,0.13232939,-0.5512555,0.52168584,0.14778925,-0.55713093,1.3555547,0.5739211,1.0154663,0.74184376,0.3160112,1.5520211,0.83652025,1.1811743
-0.23906758,-0.39261624,0.34952012,-0.63135725,1.0062885,-0.14314581,0.09060853,-0.10615179,0.17663942,0.16658191,-0.2687169,0.032926098,-0.18439005,-0.03970016,0.6106302,-0.22825214,0.6742848,-0.10671084,0.64797544,-0.26520136,0.68140197,0.67673963,0.61366737,-0.2618381,0.5685868
0.76953644,0.492798,0.516864,0.48768592,0.7702388,1.8572712,0.32995695,0.9150452,0.89559853,0.45967793,0.881866,0.35216662,1.425762,1.2135794,0.070355535,1.3403977,-0.07468734,0.60742104,1.2116102,0.8796029,1.6686134,1.6144538,2.4171538,0.88640827,0.52289885
-0.6167467,-0.49188876,-0.05396309,-0.30331707,0.41430715,-0.7900736,-1.0248097,-0.7767424,-0.3651852,0.15308589,0.061416116,0.36837548,-0.29712272,-0.12184819,-1.2966565,-0.2581971,-0.55186117,0.0068407045,-1.7122399,-0.21325636,-0.5218606,-0.9093052,-1.9209625,-0.4476396,-0.60637385
0.4735556,0.9094834,0.6030687,-0.21167059,-1.3434358,0.5128718,-0.42308086,-0.8524416,-0.13060662,0.08601788,0.023287866,0.1833534,-0.018789563,-0.42301637,0.107066445,0.37397316,-1.3092442,0.24187262,-0.7782296,0.9634693,0.53250843,0.41676015,-0.20054515,0.7297185,0.40856433
-0.23766817,-0.6558712,0.23748982,-0.19950768,0.24442956,-0.33657333,-0.4984343,-0.6419183,0.009770338,-0.003852908,-0.842006,0.04845943,-0.41287103,-0.1861783,-0.28262147,-0.28973323,0.09487128,0.16233529,-0.5165801,-0.60595995,-1.4147629,-1.0532926,-0.72561264,-0.8010521,-0.03655372
-1.2259636,-0.54946727,-0.52238744,-0.2358835,0.03880866,-1.9146427,-0.59128666,0.25139797,-0.5995524,-0.33205613,-0.9559553,-0.31083557,-0.050227135,-0.41182998,0.18753372,-1.1904837,-0.66926336,0.3932944,-0.66424084,-0.83185893,-0.750571,-1.078896,-0.35235214,0.36158627,-0.3423251
