A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
0.36602035,-0.0976404,0.16925585,-0.1473568,0.044047795,0.042898983,-0.14452173,0.5858892,-0.32975847,-0.14737843,-0.26238784,0.04949429,0.6341267,0.044626713,-0.47596976,-0.19667101,-0.5979099,0.6055633,-0.14993396,-0.1515174,0.20895034,0.19250445,0.08269987,0.013192145,-0.78576887
0.08668014,-0.4020165,0.05284695,-0.30152506,0.29004717,0.23445868,-0.4344177,-0.32345712,-0.19648525,-0.25855726,-0.7883515,-0.20954962,-0.65999997,-0.021378664,0.60994214,-0.75352997,-0.6540413,-0.6047992,0.35740876,0.51137143,0.17564195,0.18457457,0.6967614,0.39298412,0.5579191
1.0039924,1.0738627,0.5054416,1.1415417,0.23198432,1.0022485,1.7180729,0.44726148,0.6741765,0.7831605,0.57100695,1.4075254,1.0775923,0.90691495,1.8142902,1.4682989,1.0018427,0.9522219,1.5981599,0.2553303,2.181824,1.4128745,1.4416885,1.5177284,1.7468383
0.05331766,-0.27505544,0.5110738,0.29132584,0.52302545,-0.27539632,1.110154,-0.0039047971,0.9129079,0.639631,0.6614494,0.46010044,0.08846738,0.4196016,-0.09184764,0.06982847,0.43276337,-0.5916158,0.84917307,1.1517241,-0.5511603,0.011603284,-0.7693122,0.5118818,0.52898055
0.47105473,0.40520445,0.053757705,-0.4281849,0.46052605,-0.13997337,0.3404038,0.23740916,-0.51878965,0.30456156,0.7914132,0.118536726,-0.43507057,0.123283476,1.2160883,0.18550336,-0.37174514,-0.19181606,0.45318952,-0.16068807,-0.115280196,0.34566996,1.6207087,0.505126,-0.1840575
0.45995978,-0.0467752,0.38803178,0.41719395,0.18571076,0.007754668,0.71794504,0.4295568,-0.14103922,0.45015246,-0.21504301,0.48347527,-0.1113414,0.42849994,-0.62855095,-0.25751305,0.8904835,0.9214167,0.2070675,-0.071493626,0.009785381,0.5340519,0.1087168,0.29225644,0.2531553
0.01587211,-0.39036784,0.0003694387,-0.3233958,0.041207325,-0.14783472,-0.9654418,-0.055538286,-0.02047332,0.230574,-1.0726223,-0.5758985,-0.077661514,0.25842506,-0.049716666,-1.1133124,-0.98409516,0.10119451,0.014018137,-0.17468305,-0.9755918,-0.41571566,-1.4723986,-0.8907365,-0.27708977
0.11903088,0.6388771,0.13790965,0.4135744,0.3485501,-0.39028487,0.116022676,0.73427373,-0.43731588,0.11484501,0.41205946,0.30338207,0.15330411,0.7940228,-0.30343854,0.455415,0.3219308,0.30794305,0.10105744,0.10823527,0.7453561,0.21344459,0.879641,0.76709515,1.2495553
-0.18286,-0.01298349,0.38772517,0.26911965,0.006384027,0.46339178,0.13064706,0.40830824,0.133318,0.26232237,0.0784599,0.38180616,-0.39534363,0.06208976,0.0800686,-0.008287241,0.07148406,0.66110855,-0.48962027,-0.2841504,-0.53898317,-0.1271723,0.95418227,-0.16739881,-0.13791199
0.057213165,0.12880571,-0.19968642,0.17554638,0.6059799,-0.07175153,-0.3888385,0.03156234,0.34643823,0.2590761,0.027338604,-0.2211658,-0.37282723,-0.254164,-0.28160205,0.34103683,-1.2512817,-0.16051315,-0.3854191,-0.03487948,-0.5168744,-0.6197193,-0.7962453,-0.7750328,-0.15907036
0.029095188,-0.42114595,0.7181308,0.18514267,0.082395084,0.4428015,0.2650456,0.35758913,1.3479692,0.0192933,0.7097248,0.25579917,0.5456086,-0.3893705,0.70710075,0.009146951,0.6188495,0.12519877,0.12779036,0.84510267,-0.2581154,0.0018464846,0.43997005,0.70627475,0.04206217
-0.9378559,-0.057449967,0.15133291,-0.13644758,-0.3271903,-1.2118001,-1.1008286,-0.1981697,-0.28423876,-0.57960826,-0.5873289,-1.0674337,-0.5375404,-0.48993048,-0.18615314,-0.15342188,-0.4642111,-0.68931186,-0.79940313,-0.58619636,-0.83874595,-1.1044122,-0.9821384,-0.7476434,-0.8956582
-0.20937648,0.01210465,-0.41438112,-0.41558582,-0.12391883,-1.3288239,-0.23322023,-0.24002476,0.04478181,-0.47366673,0.7575746,-0.07040613,0.04914622,-0.124070324,0.5476664,-0.458137,-1.0153296,-0.7392663,-0.14091298,-0.16408582,-0.5777525,-1.1644012,0.37396467,-0.21227106,-0.8780707
0.37536958,-0.2638775,-0.17319156,0.27257693,-0.021643775,1.053662,0.59893733,0.3309572,1.1400466,0.30310613,0.17985487,0.8069249,0.34192234,0.6993584,0.6275224,0.12134474,1.0747554,0.7349085,0.90233773,1.0349202,0.74690163,0.871666,0.4499162,0.7549794,0.92477655
-0.16907965,-0.22140206,-0.3090798,0.4399448,0.13042884,-1.0668205,0.09323577,-0.10379386,-0.23782812,-0.19825627,-1.4663534,-0.21419176,-0.009573119,-0.18490875,0.33563182,-0.99333614,-0.66380346,-0.94306976,-0.9782645,-1.2073996,-1.0830338,-1.196155,-0.7127606,-0.2129654,-1.296724
-0.4788391,-0.14311321,-0.70152134,-0.35093665,-0.32100978,-0.8757172,-0.36838168,0.536052,-0.33275762,0.16062984,-0.8668062,-0.6817192,-0.05219825,0.0058339676,0.65364933,-0.47682822,-0.10570735,-0.79587734,-0.18912347,-0.4193641,0.38364932,0.26438373,-0.88312227,-0.31360114,0.1747853
0.17394309,0.08431398,0.36451447,0.70828384,0.08389377,0.17230192,-0.09543115,0.3771911,0.18748719,0.6809594,0.454791,0.25179908,0.5820027,0.011819701,-0.29081422,0.39978862,0.9392819,-0.022366969,0.9171479,0.30627665,0.26185885,0.27045602,-0.19522463,-0.26766843,0.29209954
-0.14756599,0.43778965,0.37458146,-0.11477883,0.36850554,-0.46813366,0.27165174,-0.11103662,0.5763308,0.3719484,0.05165846,-0.061067738,0.6258199,-0.21309707,0.2730945,-0.71632606,0.33097884,0.11100902,0.28286394,-0.11753634,-0.42074195,-0.7910873,0.44999194,0.5264088,0.9350329
0.079982035,0.07743914,0.21825807,0.2710764,0.07099351,0.43272007,0.8975928,1.0593988,-0.28569594,0.44423527,0.9141703,1.285854,0.60816574,0.67015475,0.118572794,1.2271057,1.9037695,1.6063188,0.98728323,0.32396153,1.6311923,2.094543,0.93423396,1.0361484,1.7803956
-1.8297157,-1.1754222,-0.45672128,-1.58126,-1.00167,-1.6642216,-0.6191927,-0.5456957,-1.2663715,-0.85420895,-1.423923,-0.40020037,-1.1698982,-1.288015,-1.4446864,-1.7859237,0.102502026,-0.8013635,-0.51171285,-1.3991649,-1.5717521,-1.0155153,-1.6976237,-1.3670233,-1.1510681
-1.8297157,-1.1754222,-0.45672128,-1.58126,-1.00167,-1.6642216,-0.6191927,-0.5456957,-1.2663715,-0.85420895,-1.423923,-0.40020037,-1.1698982,-1.288015,-1.4446864,-1.7859237,0.102502026,-0.8013635,-0.51171285,-1.3991649,-1.5717521,-1.0155153,-1.6976237,-1.3670233,-1.1510681
-2.0912647,-1.3322939,-0.56713,-1.9043651,-1.1222665,-1.8879282,-0.81464255,-0.8201936,-1.4090804,-1.0591071,-1.6798289,-0.7209141,-1.4072462,-1.5557029,-1.7357979,-2.1233485,-0.16509397,-1.1652975,-0.7261334,-1.6060054,-1.9753138,-1.4377575,-1.9703146,-1.7111679,-1.5038458
-2.126932,-1.3517913,-0.58518463,-1.9605397,-1.135827,-1.9117558,-0.8398281,-0.8670984,-1.4298528,-1.0914398,-1.7076457,-0.78190404,-1.4389297,-1.5921133,-1.7898878,-2.161014,-0.20460449,-1.2202747,-0.7565742,-1.6308303,-2.0262115,-1.495034,-1.998557,-1.7604479,-1.5463014
-2.131796,-1.3542151,-0.5881387,-1.9703056,-1.1373508,-1.9142915,-0.8430725,-0.875113,-1.4328755,-1.0965419,-1.7106683,-0.79348415,-1.4431571,-1.597062,-1.7999403,-2.1652162,-0.21043514,-1.2285814,-0.7608719,-1.6338078,-2.03263,-1.5028034,-2.0014822,-1.7675012,-1.5514107
-2.1324577,-1.3545145,-0.5886238,-1.9720062,-1.1375222,-1.914562,-0.8434927,-0.8764837,-1.4333119,-1.097348,-1.7109965,-0.7956826,-1.4437233,-1.5977347,-1.8018105,-2.165685,-0.21129718,-1.2298367,-0.7614797,-1.6341685,-2.0334399,-1.5038549,-2.0017834,-1.768513,-1.5520257
-2.132548,-1.3545524,-0.58870316,-1.9722984,-1.137542,-1.9145908,-0.84354323,-0.8767181,-1.4333768,-1.097476,-1.7110326,-0.7960974,-1.4438009,-1.5978285,-1.802155,-2.165741,-0.21142343,-1.2300278,-0.76156265,-1.6342136,-2.0335426,-1.5040009,-2.0018141,-1.7686609,-1.5520978
-2.1325605,-1.3545578,-0.588714,-1.9723471,-1.1375456,-1.9145962,-0.84355044,-0.8767596,-1.4333841,-1.0974922,-1.7110398,-0.79617494,-1.4438081,-1.5978394,-1.8022199,-2.1657445,-0.21144147,-1.2300566,-0.76157886,-1.634219,-2.0335553,-1.5040171,-2.0018196,-1.7686789,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.972358,-1.1375456,-1.914598,-0.84355223,-0.876765,-1.4333876,-1.0974959,-1.7110398,-0.79619116,-1.4438118,-1.5978411,-1.8022307,-2.1657481,-0.21144508,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040207,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.9145962,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961948,-1.4438118,-1.5978411,-1.8022362,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.914598,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.9145962,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.914598,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.9145962,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.914598,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.9145962,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.914598,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.9145962,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.914598,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.9145962,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
-2.1325643,-1.3545578,-0.5887158,-1.9723598,-1.1375456,-1.914598,-0.84355223,-0.8767668,-1.4333876,-1.0974977,-1.7110398,-0.7961966,-1.4438118,-1.5978411,-1.802238,-2.1657481,-0.21144688,-1.2300566,-0.7615807,-1.6342208,-2.033557,-1.5040226,-2.0018213,-1.7686807,-1.5521104
0.3168522,0.2953602,0.06580131,0.1324307,0.57362556,0.6957821,0.7831587,-0.08330098,0.5158152,-0.3898791,0.44724527,-0.3018172,0.15536729,-0.26860803,0.7900894,-0.2284789,0.65800834,1.4732242,0.003808665,0.5099178,0.45599934,0.10453995,-0.11847234,0.61046696,0.18455833
-0.38794577,0.11696589,-0.05597112,0.3649419,0.20162822,-1.2853242,0.67175263,-0.09567462,-1.5809354,0.5551075,-0.3590523,0.037429042,-0.55065167,0.52882725,1.2866998,0.28544652,0.5075661,-0.19685496,0.49539983,-0.2307639,0.38096577,0.6507151,0.6011412,-0.5131755,-0.41129896
0.8825428,-0.6061482,0.2121515,-0.38967168,-0.07281197,0.43187967,0.39420146,0.115010925,0.06329087,0.22137989,1.0162705,0.9208829,0.21061675,0.48460245,-0.56740236,0.4772569,0.5297903,-0.03630062,1.022525,1.7329516,1.4252986,1.8495156,1.0993277,0.22877593,0.33399424
-0.06097937,0.5544077,-0.12944828,0.50313497,-0.20177303,-0.25087267,-1.066303,0.013487915,0.14390801,0.5465987,-0.49578455,0.36425114,0.13286895,0.36767957,-0.15590526,-0.033620656,0.43695104,0.57030356,-0.42968178,-1.1676708,0.47806665,-0.19483146,0.19438727,0.552478,0.38431662
-0.29268804,-0.058824215,-0.26185942,-0.2136381,-0.35693502,0.71115136,-1.100733,-0.8531413,0.72034186,-0.02123078,-0.10543502,-0.39277187,-0.2577926,0.27311796,-0.4915085,-0.079115115,-0.17399591,-0.6164064,-0.62958795,-1.2760975,-0.26119936,-0.6777876,-1.2285994,-0.02322362,-0.50200653
-0.35704863,-0.14699069,0.33771664,-0.33201098,-0.13361792,-0.33594257,-0.75718564,-0.52608293,-0.23189647,-0.77567667,-0.39664933,-1.0149418,-0.81080294,-0.9847498,-1.0261594,-1.1726251,-1.1767279,-0.88970315,-1.4236002,-0.99022335,-0.7926527,-2.1631584,-0.88296175,-1.2106981,-1.5825404
-0.30795264,-0.56678736,0.38044095,0.51901096,0.26562452,-1.4963217,0.2590797,-0.112959124,-0.36832035,-1.1445485,-0.789475,-0.19785048,-0.4784189,-0.36952868,0.4630473,-0.9900232,-1.1569673,-1.0276797,-0.8702202,-0.19167358,-0.7566229,-1.1980522,0.55836093,-0.52278435,-0.33992645
