A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
0.39723086,0.091990106,0.21602866,0.41262677,0.4210211,0.17203832,0.19676664,0.37454113,0.33582225,0.75649804,-0.39207515,0.45603982,0.8816678,-0.06563296,0.41695833,-0.06253358,-0.11142738,-0.083330855,1.314023,0.1569437,0.023430174,-0.38355455,-0.028797543,-0.69703805,0.90199417
-0.4228471,-0.81408226,-0.6019818,-0.4613098,0.1007723,-0.43295348,0.116451435,-0.2986263,0.095582,-0.75648564,-1.4519676,-0.22968031,-0.2016776,-0.1479056,0.12407361,-1.2738467,-1.9107292,-2.0948215,-0.87039983,-0.943239,-2.3226912,-1.379114,-1.2246697,-0.45796686,-0.59924686
-2.8897436,-1.2178106,-1.0928087,-0.44597882,-0.8334453,-2.1210651,-1.9100039,-1.5391275,-0.6397536,-1.1485237,-2.5897527,-1.9076856,-1.7566274,-0.4648602,-0.5688952,-2.3255796,-2.3021808,-1.031346,-1.1392093,-0.21000698,-1.9149308,-1.1336293,-1.7877656,-0.9369789,-0.063911885
-0.18634845,0.12386434,-0.22336428,-0.44257274,-0.2826477,0.22433098,-0.30198187,0.32317215,0.007309039,0.5023719,-0.010657657,0.2529561,-0.11603496,0.6031723,0.347767,-0.15742025,-0.3633508,1.1877204,0.24481255,-0.2917005,0.89864045,1.0033538,1.0315424,0.43447042,0.37552795
-0.3782524,0.059181355,-0.03034182,-0.24448448,0.11007045,-0.08185152,-0.054657023,-0.0031599572,0.0845339,0.53419924,-0.99667,-0.12477387,-0.13586347,-0.08486792,0.18905607,-0.4006174,-0.44145966,-0.6484004,0.0029666515,-0.62906265,-0.71621346,-0.7884122,-1.2114766,-0.056010075,-0.156244
0.35746205,0.78703547,-0.28488475,-0.48864496,-0.21425556,0.26299572,0.17230171,0.12285226,0.27631155,-0.5814155,0.39833677,0.2310403,0.22368331,0.24042685,-0.3728402,0.08056676,0.7342413,-1.1052694,0.29228833,0.23138848,0.92225564,0.7527871,0.01591263,0.5339322,-0.30289835
0.8994757,0.42742193,0.79563004,0.28877583,0.5139053,1.3889928,0.8335786,0.90871793,0.38117108,-0.75528055,0.5241307,0.8069001,1.2952012,-0.16906549,0.66255856,0.85791725,1.2891703,0.41420895,0.663825,-0.01544204,1.9292926,0.51199114,-0.07517828,0.9121042,0.8159384
0.58136654,0.2887109,-0.28173125,-0.06898672,-0.40173772,0.035560716,-0.6658746,0.031766765,-0.09935998,0.21207777,0.21673405,-0.05240555,-0.05355835,-0.34481943,-0.1285606,0.81302303,-1.2427807,-0.34342128,-0.47110948,-0.66327316,-0.17563951,-0.0594811,-0.12961778,0.5648449,-0.3761254
1.3077701,0.45145568,0.10446703,1.0718362,0.18868443,0.7925108,1.1970619,1.1505818,0.61801255,1.1990138,0.57542396,0.9036377,1.751924,0.17381352,0.62949723,1.3210553,0.6333236,0.88671917,0.49223664,2.3632786,1.8374873,1.65403,1.7765387,1.6528682,1.7390827
0.70326185,0.97695315,0.92357624,0.8948212,0.57179236,0.15493216,0.69305265,0.59273756,0.48229623,-0.037832305,0.24898896,0.4866783,0.86312556,0.26379853,0.48078263,0.53616744,0.20136341,0.4346797,0.50457466,0.72712964,0.52133983,0.59223604,0.010861245,0.089386836,0.4287389
0.9712397,0.9116514,0.58519477,0.91976064,0.30558974,0.9358078,0.38070384,0.95099443,0.39256555,0.7360111,1.0654732,0.40587956,0.8161152,0.06361214,1.7481012,0.9283029,1.1097,0.6873482,-0.16775033,0.9582522,1.3828572,0.67732483,1.8064628,0.43429,1.2785552
0.4065994,0.44964442,0.6493131,-0.17947857,0.042214114,0.19732411,-0.01516241,-0.0932478,0.828437,0.46846443,1.2610304,0.5405676,0.13737679,0.8633367,0.7450152,1.130066,0.9549652,0.1426988,0.17537944,0.65103054,1.9141275,0.9203794,0.9887121,-0.03996832,0.6754504
0.10212895,0.24855597,-0.41063717,0.054332025,-0.0060103815,0.08194506,-0.08591788,0.13070175,-0.47450832,-0.6170187,-0.17668767,-0.16147579,0.15661897,0.08824306,0.32536048,-0.45788568,-0.16850443,-0.2407194,0.04783919,0.581657,0.26486474,-0.24437083,-0.5662649,-0.6981566,0.2040623
-0.3779493,0.117685415,-0.25650677,-0.6278954,-0.24427882,-0.2851337,-0.41320077,-0.49707177,-0.42762968,-1.3207073,-1.6853615,-1.091407,0.021155246,-0.76336455,-1.1908903,-1.1663046,-1.0914304,-0.8108692,-0.9495207,-1.281873,-1.2336053,-1.1150852,-1.9583889,-1.1741991,-1.2827642
