A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
-0.67627317,-0.44795516,0.9481186,0.6264437,-0.10884526,-0.21153873,-0.72473395,0.28493702,-0.04362185,-0.01984199,-0.7155038,-0.9140051,-0.33658302,0.04052851,0.3623153,-1.8714887,-0.16313384,-0.26675716,-0.33454672,-0.40113068,0.007956444,-0.3877126,-0.6257923,0.23758635,-0.33544955
-0.18159406,0.61677027,-0.20584784,0.29988503,-0.03547658,-0.56549394,-0.16700464,0.3262851,0.18495926,-0.13940805,-0.33107054,0.011702907,0.034662835,-0.8220357,-0.49611315,-0.15619235,-0.20027772,0.023178367,-0.65743816,-0.6325392,-0.35132378,0.1055483,0.15398923,-0.22303401,0.10004123
-0.114456855,0.09215727,-0.33214098,-0.042767677,-0.05062642,0.168384,-0.07824825,0.35209227,0.02607246,-0.1150227,0.69382596,-0.12562597,-0.35857165,1.4671813,0.392287,0.0496613,0.5141074,-0.26197273,0.33407176,-0.52463603,-0.25328684,-0.06252716,0.010897391,0.2557979,0.23475714
0.36915046,-0.5971253,-0.5342373,-0.19161886,-0.27823803,-0.5210409,-0.35808688,0.19158,-0.0040884623,0.245528,-0.26812673,-0.71859795,-0.6115381,-0.6945622,-0.5599544,-0.12236425,-0.2269859,-0.8175972,0.26928622,-0.42774516,0.121570334,0.017871328,0.12441037,-0.3132879,0.12207671
-0.90107536,-0.62351817,-1.1495025,-0.21012412,0.11943491,-1.7123226,-0.71071213,-0.15230893,-0.16981405,-0.50223833,-1.1391083,-0.19081154,0.6911643,0.005532686,-0.7248312,-0.7507213,-0.18405205,0.34697804,-0.5718155,0.13169606,-0.8537355,-0.7655486,-0.93032265,-0.43521106,-1.0535271
0.20003162,-0.61334735,0.69488734,-0.5552132,-0.074492775,-0.110292315,0.40315336,-0.6596348,0.49179083,-0.1429599,-0.070605755,0.42644668,-0.13352975,-0.24856006,-0.06902535,0.1902573,0.86441165,0.42953178,0.48793083,0.20608471,0.18457903,0.500174,0.2132731,0.7933856,-0.4496491
0.8569223,-0.24221684,0.70821893,-0.4969475,0.1076531,1.026661,0.9045163,-0.30655184,0.99101645,0.33663428,0.5326307,0.54647946,0.26287454,-0.30146286,0.3291954,-0.09146269,0.82442236,0.85192347,0.11897178,0.0025899375,-0.32138273,0.11702556,-0.00123942,-0.27042434,-0.1420156
-0.00041408086,1.0261781,-0.46709114,-0.4593459,0.6488918,-0.4285795,-0.05376199,1.214478,0.26175725,0.38319924,-0.31447726,-0.072541155,-0.26217094,0.23470849,0.29663596,-0.17839721,-0.19412011,0.65927345,0.2928228,0.5060757,-0.29567647,0.017660487,-0.3608026,0.2714577,0.80369157
-0.7863478,-0.9108984,-1.1558458,-1.4696692,-0.3271457,-2.1472726,-1.8019909,-1.1195201,-0.5471995,-0.6036758,-2.169337,-1.7745781,-1.0075262,-0.6981933,-0.6819568,-2.5959651,-2.4483323,-1.0895699,-1.4986336,-1.098427,-2.8268907,-2.3921173,-1.3702465,-1.1767225,-0.62596714
-1.9266782,-0.25393018,-0.4324431,0.49670503,-0.519729,-1.4784597,-0.89827317,0.024151474,-0.63581175,-0.143241,-1.7071598,-0.44819304,-1.2097217,0.72538525,-0.12446905,-0.89260757,-1.1338391,-1.361775,-0.21510318,-0.70943093,-1.7508018,-1.0548192,-1.3835818,-0.24885198,0.19953245
-0.09135637,0.7456421,-0.691942,0.86896724,0.024980417,0.46895704,-0.16333568,-0.10292373,-0.14184622,-0.7498653,-0.19896762,-0.95598936,0.3339384,-0.09181048,-0.3410413,0.03789211,-0.597183,-0.16794172,-0.20327632,-0.44209307,-0.33509994,-0.1774169,-0.7864145,0.24615511,-0.36886856
0.90124375,0.70093685,0.043883927,0.0048280843,0.44954896,0.510588,0.4604027,0.03853364,0.43967372,0.86178064,-0.013781693,0.056817245,1.4744688,0.7822886,0.45327199,0.6279916,0.96874315,0.09064534,1.0498192,0.9860068,0.12252362,0.7154614,0.4003818,-0.49892795,0.44646564
-2.06826,-2.684262,-0.7845638,-1.0638294,-0.6205123,-3.336817,-2.4765182,-1.7610717,-1.5797782,-0.9888317,-2.576658,-2.3664165,-2.7926373,-1.2074169,-1.6876706,-3.0577552,-2.0312638,-0.8338355,-1.3265829,-0.5728301,-3.2537372,-2.8932352,-2.304534,-1.0932028,-1.6759428
-0.99620026,-0.6636642,0.15946926,-1.532168,-0.6852654,-0.6884244,-0.71131766,-0.7302067,-0.54981786,-0.18984203,-1.6687112,-0.5653083,-0.41648775,-0.74172,-0.01975549,-1.5903418,0.26789686,-0.39534068,-0.87143165,-0.21298037,-1.0782404,-0.071960896,-1.0890491,0.21877475,-0.98323995
-1.0305096,-1.3341209,0.13003637,-0.11307828,-1.1300296,-0.7107446,-1.1913786,-1.6806713,-0.6726745,-1.1170872,-1.3976467,-1.4472896,-0.8013643,-2.043262,-1.0964123,-2.204421,-1.1536995,-1.4600283,-0.8780127,-1.4835198,-1.6519953,-1.3541074,-1.6733731,-1.4018798,-1.0085461
-0.5289465,-0.030259645,-0.34556985,0.5497664,-0.018308444,-0.1398045,0.1804974,0.67855716,0.46940035,-0.19759627,-0.2735383,-0.05339437,-0.4204018,0.3800691,-0.03141476,0.9036369,0.44161272,-0.10144785,0.03594049,-0.21738999,0.7725972,1.1039257,-0.4345461,0.47739425,-0.3457825
1.5074806,1.0861756,0.7324313,-0.2233782,0.25202078,1.4689384,0.548323,0.2711928,0.40366334,0.078002155,0.6080916,0.61551964,-0.53171265,-2.0616844,0.47208902,1.6695354,0.2972198,0.46488622,-0.49239552,-0.42406717,1.7467532,0.7473126,0.2951132,0.46067482,0.46738204
-0.31112725,-0.60822415,-1.0071334,0.8699061,-0.26869616,0.107348554,-0.5398994,-0.24502262,-0.10965619,-0.1230184,1.1977459,0.36132777,0.21747908,-0.124274425,-0.35155988,0.28623813,0.18865347,-0.12843896,0.18737762,-0.44221923,0.7612695,0.57104504,1.1541976,0.70676285,-0.3102154
-0.20365655,-0.61814445,-1.269429,-1.025089,-0.043203775,-0.4449295,-0.5770018,0.30867726,-0.019586097,0.1757634,-1.0301131,-0.19893698,-1.110863,-1.3999642,-0.7010658,-1.0686716,-2.0337741,-0.43732306,0.286321,-0.65227884,-1.017023,-0.4260116,-0.6992601,-0.15858006,-0.4695077
-0.8967811,-0.9263708,-0.5551159,-1.0354886,-0.71020937,-0.17127731,-1.4047792,-0.9240425,-0.6323806,-0.95382506,-1.0879157,-0.6284125,-0.68512124,-1.0054845,-0.95381427,-1.2324798,-1.1739041,-1.0489391,-1.5861412,-1.2733881,-0.6406322,-1.0774548,-0.95231134,-1.4623961,-1.7726859
-0.8967811,-0.9263708,-0.5551159,-1.0354886,-0.71020937,-0.17127731,-1.4047792,-0.9240425,-0.6323806,-0.95382506,-1.0879157,-0.6284125,-0.68512124,-1.0054845,-0.95381427,-1.2324798,-1.1739041,-1.0489391,-1.5861412,-1.2733881,-0.6406322,-1.0774548,-0.95231134,-1.4623961,-1.7726859
-0.971851,-0.9710887,-0.46083263,-1.0365121,-0.7761897,-0.13907467,-1.5073483,-1.0952842,-0.7050573,-1.0446286,-1.0952247,-0.6659943,-0.62372357,-0.9521708,-0.98266506,-1.2476765,-1.0810336,-1.0977224,-1.8024558,-1.3645971,-0.600351,-1.1585993,-0.9774698,-1.6022533,-1.870986
-0.97998184,-0.9775779,-0.44838765,-1.0366131,-0.78271127,-0.13528676,-1.5200583,-1.1190461,-0.71367836,-1.0519305,-1.096151,-0.66928303,-0.6148683,-0.9449644,-0.985961,-1.2490857,-1.0709854,-1.101613,-1.8273529,-1.3779918,-0.5960387,-1.168707,-0.97997105,-1.6172554,-1.8783923
-0.98086125,-0.97851855,-0.44674778,-1.0366238,-0.7833564,-0.13484165,-1.5216333,-1.1223438,-0.7147019,-1.052518,-1.0962664,-0.66957134,-0.61359066,-0.94399124,-0.9863341,-1.2492191,-1.0698987,-1.101923,-1.8302182,-1.3799596,-0.59557736,-1.1699648,-0.9802197,-1.6188647,-1.8789456
-0.98095673,-0.9786555,-0.44652793,-1.0366257,-0.7834213,-0.13478939,-1.5218278,-1.1228015,-0.71482444,-1.0525649,-1.0962808,-0.66959655,-0.61340684,-0.9438597,-0.9863791,-1.2492298,-1.0697817,-1.1019483,-1.8305479,-1.3802497,-0.59552866,-1.1701216,-0.98024493,-1.6190358,-1.8789853
-0.98096573,-0.97867537,-0.44650272,-1.0366238,-0.7834267,-0.13478218,-1.5218513,-1.1228628,-0.7148352,-1.0525684,-1.0962826,-0.6695984,-0.6133816,-0.94384164,-0.9863845,-1.2492316,-1.0697708,-1.10195,-1.8305858,-1.3802912,-0.5955233,-1.1701415,-0.9802467,-1.6190556,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366257,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.94383985,-0.9863845,-1.2492298,-1.0697672,-1.10195,-1.8305894,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366238,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.94383806,-0.9863845,-1.2492316,-1.0697672,-1.10195,-1.8305912,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366257,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.9438363,-0.9863845,-1.2492298,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366238,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.94383806,-0.9863845,-1.2492316,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366257,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.9438363,-0.9863845,-1.2492298,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366238,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.94383806,-0.9863845,-1.2492316,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366257,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.9438363,-0.9863845,-1.2492298,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366238,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.94383806,-0.9863845,-1.2492316,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366257,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.9438363,-0.9863845,-1.2492298,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366238,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.94383806,-0.9863845,-1.2492316,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
-0.98096937,-0.97867715,-0.4464955,-1.0366257,-0.7834285,-0.13478218,-1.5218549,-1.1228737,-0.71483886,-1.0525684,-1.0962826,-0.6695984,-0.6133762,-0.9438363,-0.9863845,-1.2492298,-1.0697672,-1.10195,-1.830593,-1.3802966,-0.5955233,-1.170145,-0.9802467,-1.6190574,-1.8789889
