A,B,C,D,E,F,G,H,I,J,K,L,M
-0.007218659,0.4656307,0.3557902,0.17172626,2.621153,0.16996302,0.39472276,0.20528331,0.6192228,1.2799965,0.03831651,-0.9030756,0.03878212
-0.0065111043,0.46554556,0.36879846,-0.02655977,2.6735866,0.17265642,0.32685596,0.21429917,0.558827,1.3379167,0.03981955,-0.92261094,0.039974418
-0.06132074,0.4767532,0.3765233,0.17214665,2.7250872,0.17285913,0.36245346,0.22089452,0.5412749,1.3121783,0.038213123,-0.9351278,0.041071445
-0.05061188,0.47529694,0.38319921,0.1699058,2.8158562,0.17588682,0.39890045,0.22802956,0.60620844,1.3570057,0.036500514,-0.94321036,0.042115457
-0.042554714,0.4209452,0.39203078,-0.028839365,2.8924897,0.16697621,0.3635336,0.23285845,0.62047696,1.3488659,0.038059033,-0.6700589,0.043110922
-0.024207491,0.43699825,0.4014167,0.16932254,2.7520971,0.16601816,0.34089217,0.23020142,0.5767464,1.2623003,0.039763,-0.692153,0.044067007
-0.008815365,0.43828875,0.40670702,-0.03359723,2.6280231,0.15806036,0.35830626,0.23854366,0.591749,1.3575981,0.04211677,-0.70685863,0.04221123
0.0040307296,0.42818764,0.408205,0.16542687,2.523211,0.17292635,0.37443408,0.2400772,0.64029205,1.3097144,0.04407783,-0.7276436,0.03999865
0.015791968,0.42073673,0.4042492,0.16818921,2.457615,0.17384715,0.35370463,0.2434469,0.64559644,1.2813108,0.041588824,-0.7544642,0.041103218
0.024346918,0.45127955,0.40085447,-0.03413464,2.4711235,0.16453685,0.37503582,0.23219797,0.6988643,1.2870972,0.044059392,-0.7771821,0.042157587
0.020731922,0.46494737,0.39663613,0.1629341,2.43432,0.1584636,0.34082982,0.22803234,0.60940236,1.2225556,0.045536302,-0.79472476,0.040377952
0.028479535,0.43806764,0.3895397,0.1671004,2.4986594,0.16960447,0.32409042,0.23459744,0.59745944,1.1913508,0.04710945,-0.8142012,0.04154263
-0.032000184,0.6068279,0.38802588,-0.034012794,2.5498002,0.16890039,0.22091055,0.225936,0.6225464,1.2807475,0.048086915,-0.82950705,0.04256513
-0.015352527,0.58348984,0.3884799,0.1627188,2.5787165,0.17483725,0.24754658,0.23149404,0.61628485,1.1511259,0.048795067,-0.8414703,0.043555174
-0.0011689903,0.5452046,0.3891919,0.16260965,2.6336687,0.17321691,0.15549794,0.22486545,0.5799683,1.1561534,0.0490273,-0.85142887,0.044495035
-0.0011717286,0.52021235,0.39480442,0.16053319,2.7086632,0.17875858,0.22765222,0.23200154,0.63890016,1.277252,0.05124275,-0.65719604,0.045414608
0.010197157,0.5179092,0.3966287,0.16156371,2.634973,0.17929228,0.23763627,0.23566973,0.62172735,1.3147461,0.052464034,-0.671681,0.04629607
-0.04704232,0.49805945,0.3967824,0.15818667,2.5640724,0.17711315,0.2242283,0.24079746,0.7411077,1.2801934,0.05349342,-0.68328387,0.0471468
0.027830869,0.5143972,0.39529437,0.15709034,2.7346952,0.17950907,0.2564595,0.24421653,0.68159246,1.3474023,0.054588567,-0.691472,0.047960114
0.09152606,0.519816,0.40019524,-0.041308507,2.6540263,0.18130368,0.25082937,0.25013524,0.6914857,1.2903839,0.05498764,-0.69678664,0.04873503
0.08747135,0.5275192,0.40001103,0.15384719,2.5270307,0.17478187,0.2695691,0.24698487,0.68590266,1.1924866,0.055521477,-0.69774455,0.04944178
0.08437338,0.5361144,0.39449486,0.030575633,2.5198874,0.17542571,0.2752947,0.2412174,0.6571101,1.2544916,0.05593242,-0.69545573,0.05018431
0.070555806,0.52867556,0.394796,0.15002891,2.4670336,0.19145818,0.27970415,0.23142391,0.6214465,1.2686659,0.056806065,-0.6945076,0.050854925
0.069933124,0.53938484,0.39129752,0.14674406,2.41393,0.19184244,0.27826986,0.23448229,0.5894351,1.2173005,0.057778645,-0.6907819,0.051507533
0.069632865,0.5143244,0.38854426,0.14475954,2.3820944,0.1886237,0.3395996,0.23402163,0.6292559,1.2455723,0.057261072,-0.68533456,0.05216917
0.0693716,0.5204292,0.3860205,0.14266704,2.362588,0.17269671,0.29370442,0.23122874,0.6709217,1.2451712,0.058110587,-0.4802112,0.052791107
0.06922674,0.49732053,0.38173726,0.1405862,2.2574687,0.16893482,0.28434417,0.23584871,0.6100307,1.1997148,0.058956552,-0.48200944,0.053367008
0.06908365,0.51673716,0.37876576,0.13757592,2.1980221,0.17334904,0.27671126,0.23618557,0.638025,1.1155704,0.05988348,-0.48508182,0.053935036
0.06883571,0.51232076,0.37144905,0.13302402,2.138821,0.1656323,0.2514303,0.23025326,0.6552713,1.2279117,0.060716767,-0.2873475,0.054435235
0.068651386,0.47992188,0.3657872,0.13252917,1.9368862,0.14570017,0.2938948,0.22893973,0.6597355,1.2231895,0.061493434,-0.30038098,0.054951943
0.068637885,0.45556152,0.3562939,0.12841876,1.8374587,0.15246984,0.16208707,0.22549814,0.61437273,1.2024596,0.061155476,-0.31056592,0.055468425
0.06864907,0.41622934,0.3462675,0.12525095,1.7922328,0.1434583,0.15414824,0.2186949,0.6963872,1.1094797,0.06159895,-0.3199953,0.05595278
0.068563074,0.41564482,0.33872756,0.12238731,1.7886231,0.14557773,0.17428154,0.21190569,0.6969788,1.1135126,0.061640684,-0.3264084,0.05641041
0.057412762,0.435354,0.33203056,0.121896386,1.7207139,0.1514644,0.17533891,0.19787511,0.694871,1.128273,0.06262119,-0.3303079,0.056866597
0.05908966,0.5151725,0.3271012,0.118012615,1.6776826,0.1305347,0.22062115,0.19105428,0.72129864,1.1139537,0.063427165,-0.055630684,0.0572499
0.060262747,0.4428011,0.32197165,0.119396366,1.491427,0.13785863,0.19510603,0.18719572,0.7093474,1.0651901,0.06484525,-0.07871557,0.057662927
0.061503418,0.41056293,0.3117553,0.11332435,1.3385415,0.14336751,0.15375516,0.19154853,0.7214689,0.9971759,0.06524076,-0.09567163,0.05804526
0.062357772,0.37479103,0.30043206,0.110360675,1.2051516,0.14560018,0.15049534,0.18218723,0.7325135,0.91067296,0.066059045,-0.11079869,0.058407255
0.063293725,0.3767426,0.29168892,0.10636065,1.1455408,0.1338576,0.16873156,0.17474903,0.674826,0.8670156,0.06285204,-0.12499917,0.058779184
0.064101376,0.44882292,0.28088796,0.1048131,1.0699422,0.13036703,0.24261734,0.17272018,0.7177422,0.7122359,0.06336464,-0.13748576,0.059096772
0.064763114,0.4632875,0.2720726,0.10081165,1.0498232,0.11869902,0.31252235,0.17931715,0.76339865,0.696909,0.063215844,-0.14877689,0.05944438
0.065224685,0.50055856,0.2600121,0.09967437,0.9822446,0.11799668,0.31999224,0.1715758,0.68508947,0.7521926,0.06422948,-0.15665077,0.05977487
0.05381403,0.47713122,0.25171435,0.09644248,1.0395576,0.09891317,0.35924387,0.16517554,0.6855852,0.7675158,0.065160275,0.034225717,0.06008101
0.056097094,0.4573246,0.2470661,0.10017522,0.9573962,0.10471231,0.32778797,0.15687208,0.6803228,0.7288926,0.06554164,0.012625707,0.058332577
0.047208995,0.47937313,0.24138147,0.09948126,0.8136373,0.113960855,0.2755256,0.14924027,0.76852465,0.70143026,0.066345595,-0.009157792,0.05869755
0.050639115,0.41060963,0.23284438,0.09693519,0.73988616,0.11946661,0.27788362,0.13598199,0.7481119,0.725248,0.066555604,-0.028307568,0.059040092
0.053228028,0.3912905,0.22619742,0.094674185,0.7258152,0.11958773,0.3136258,0.1358423,0.67527574,0.70267504,0.0669632,-0.04606305,0.05936069
0.055552915,0.4198954,0.21839468,0.092226304,0.7062396,0.14254004,0.32074082,0.13331266,0.6386003,0.7476093,0.06775516,-0.063427515,0.059688885
0.057624344,0.45425925,0.21210806,0.095388055,0.7191236,0.1354504,0.35871974,0.13364106,0.62425715,0.64897144,0.067524455,-0.07855281,0.060004853
0.059215624,0.4548963,0.2049335,0.090018846,0.747283,0.13597058,0.3592412,0.12872341,0.6047064,0.5919054,0.067362405,-0.091402546,0.057332605
0.060625535,0.44070393,0.20250584,-0.101256184,0.7865415,0.12018467,0.3707264,0.1402981,0.6019107,0.53862196,0.068169415,-0.110317744,0.05774596
0.05033502,0.5032572,0.20359899,0.09757116,0.87471735,0.11918015,0.34097236,0.12614094,0.5890691,0.4367002,0.06863064,-0.12515035,0.058137268
0.053232323,0.47173098,0.20843692,0.102779076,0.85222507,0.15602045,0.32525676,0.13887157,0.6427412,0.4901452,0.06963986,-0.1406306,0.058472402
0.055668507,0.39319047,0.20511606,0.09925212,0.83691394,0.13657601,0.29434752,0.13531134,0.60037225,0.5074482,0.069403954,-0.15139642,0.058834594
0.05803451,0.40132916,0.20832546,0.096584864,0.86322874,0.13179725,0.35989,0.1339427,0.7167553,0.61725307,0.06873755,-0.15970488,0.059166122
0.059585266,0.371594,0.20858677,0.09916027,0.92408186,0.13374303,0.4078406,0.124631405,0.6803363,0.5919648,0.068432145,-0.16836241,0.0595816
