A,B,C,D,E,F,G
0.45008862,0.39498922,0.40564534,0.3982229,0.38859,0.34786287,0.52879465
0.46835685,0.40664104,0.42079136,0.37928122,0.39442635,0.34745997,0.5282928
0.48404798,0.4049617,0.3934552,0.38019204,0.39267948,0.35106778,0.5314045
0.43667302,0.3760662,0.4075454,0.3818813,0.3596703,0.3540764,0.5200142
0.3991856,0.39537534,0.41447407,0.39639217,0.39921176,0.34897894,0.51817423
0.42202005,0.39673057,0.40494466,0.4026627,0.3936136,0.34437707,0.5448399
0.41179425,0.37924522,0.40339792,0.4159991,0.38500667,0.34494552,0.54809034
0.42062885,0.40778223,0.42274365,0.40208897,0.382586,0.3451228,0.5321164
0.47335687,0.38819835,0.44692528,0.39378926,0.38526192,0.34353456,0.52450264
0.5075624,0.39254305,0.4595603,0.3881336,0.3891348,0.3461874,0.5072641
0.58891106,0.40369597,0.44411975,0.39397773,0.38613927,0.34759864,0.5093884
0.43315703,0.39918742,0.48352796,0.38221556,0.38241842,0.35604078,0.49940753
0.46254712,0.39895412,0.45665595,0.39123213,0.3878442,0.36779687,0.50624985
0.5047483,0.3993494,0.46784794,0.3853477,0.38647875,0.36610487,0.527008
0.52045053,0.4069777,0.48929065,0.39679286,0.38125432,0.36466897,0.5350799
0.5176889,0.42240858,0.5137261,0.40607965,0.38643938,0.36515293,0.530015
0.5322982,0.40546885,0.4860662,0.38437983,0.37679076,0.36533147,0.5207114
0.5361762,0.43812004,0.44225013,0.40395734,0.3826548,0.35934845,0.5406479
0.5228549,0.4267574,0.45221633,0.39404202,0.37479886,0.3630668,0.5256379
0.55391645,0.434491,0.46823844,0.4062724,0.3714038,0.36600128,0.53250676
0.5297824,0.43072075,0.4539114,0.39381215,0.372592,0.36467892,0.536532
0.50316364,0.42179525,0.45085773,0.41002783,0.37772778,0.36478248,0.5247929
0.5145708,0.40790942,0.4693101,0.4183113,0.37746224,0.36517683,0.5231783
0.578563,0.42717937,0.50387627,0.42343092,0.3740208,0.3604123,0.5098999
0.5261749,0.43637288,0.5007376,0.38900462,0.387812,0.36366493,0.50298166
0.5266845,0.4383907,0.50377077,0.38953462,0.4010077,0.3643404,0.5013028
0.52303934,0.40800965,0.4838236,0.4001093,0.3925876,0.36679035,0.528117
0.5543895,0.41514912,0.4670694,0.40679476,0.38802704,0.36399975,0.5193535
0.5346108,0.4022956,0.5094239,0.41830254,0.38306922,0.3696866,0.54045326
0.52752256,0.41995278,0.48536104,0.39835635,0.38723478,0.36202288,0.5510569
0.5334506,0.4159598,0.4783583,0.39952627,0.3853401,0.3594572,0.5456739
0.5273023,0.38769144,0.44453868,0.3558494,0.38484272,0.36188084,0.54229254
0.5084965,0.40537015,0.44634026,0.39561135,0.38007146,0.36002663,0.54232186
0.47391477,0.43150792,0.47238177,0.38134658,0.38446555,0.3617136,0.53601515
0.5135919,0.41358328,0.4526643,0.3943418,0.38610438,0.3645638,0.55745333
0.5139055,0.38415912,0.4833092,0.3962815,0.38939837,0.36456743,0.5484564
0.5283621,0.3884912,0.47849151,0.37566957,0.38985282,0.36497578,0.54532826
0.52410007,0.39108658,0.49184892,0.37631017,0.39399073,0.36426887,0.5459538
0.5510884,0.39268455,0.45459196,0.3819641,0.37802145,0.36110398,0.54572994
0.48398793,0.41548765,0.45214295,0.39413476,0.37234834,0.36646324,0.5316199
0.51433605,0.42329416,0.4716805,0.39614972,0.38791668,0.36945993,0.5189359
0.49548703,0.42252338,0.4725334,0.40011466,0.38944805,0.36301452,0.49249706
0.4899418,0.43042016,0.47447008,0.38395837,0.39085343,0.36230376,0.504781
0.4291026,0.39873326,0.43821445,0.3994849,0.3904901,0.36649877,0.5102047
0.469992,0.3872474,0.4505266,0.39234236,0.38898313,0.3614551,0.5089581
0.48036456,0.3872909,0.43766516,0.38670203,0.38762942,0.36060306,0.5335274
0.4982389,0.3957617,0.4430019,0.3781502,0.38431978,0.3715094,0.560858
0.4676484,0.4140603,0.44463548,0.38421005,0.3822674,0.37054822,0.5501546
0.47419554,0.42477003,0.45920253,0.3835328,0.3806615,0.37217465,0.61207527
0.53030133,0.43599904,0.48681572,0.39876685,0.37829784,0.3715436,0.6086573
0.554557,0.4344609,0.47547272,0.4005923,0.3807534,0.3697827,0.5914617
0.53210306,0.42485583,0.4759448,0.3906439,0.384767,0.36196673,0.58605415
0.51424366,0.39526135,0.4374024,0.38957372,0.38818714,0.36668032,0.53671825
0.50693476,0.39172515,0.4254678,0.40066057,0.38812625,0.37019014,0.53897405
0.43502373,0.39887583,0.42388558,0.38107806,0.38553786,0.3730378,0.50960827
0.4547075,0.3941036,0.4168621,0.37317112,0.3859517,0.38147438,0.57227784
0.48222908,0.42160875,0.4508923,0.37682536,0.38958132,0.3795834,0.56442344
0.46426114,0.38710546,0.41369087,0.38010323,0.39999676,0.37580743,0.57369727
0.44004953,0.39912167,0.43673965,0.36973253,0.40154782,0.3669039,0.5483375
0.44228682,0.39278826,0.4311139,0.37989533,0.4040418,0.36369583,0.5571366
0.45589545,0.41052318,0.4343374,0.40098712,0.40912566,0.36443603,0.5126241
0.45282632,0.3992168,0.44807568,0.3899815,0.4188549,0.36728677,0.49579757
0.44381574,0.38010097,0.4519204,0.3884131,0.43409538,0.37045234,0.5191902
0.45642787,0.39381558,0.44271922,0.3731965,0.3906218,0.37045553,0.5269487
0.50818443,0.40696383,0.45131114,0.36670825,0.39378467,0.36582068,0.51699865
0.4911675,0.4176098,0.4248445,0.38050383,0.3935727,0.36128646,0.5290684
0.49313718,0.41677028,0.40246385,0.3938353,0.388878,0.36400133,0.52381474
0.4486793,0.3901759,0.39004022,0.38451967,0.3846861,0.36734912,0.5149935
0.4658103,0.41498214,0.4128983,0.37777895,0.39632583,0.36354962,0.50142384
0.45122582,0.38054872,0.4145879,0.37795344,0.3829371,0.36060825,0.5070761
0.5366132,0.38082108,0.40730408,0.3697616,0.3779238,0.36136788,0.5140871
0.5335518,0.39915854,0.4297711,0.38978896,0.3686201,0.36047506,0.49931586
0.47648185,0.404944,0.4393335,0.39287412,0.37118688,0.35728016,0.49935973
0.46257684,0.42720604,0.4345693,0.39097008,0.36806345,0.35682908,0.4809502
0.4853548,0.42024854,0.4675204,0.4098026,0.36509764,0.3582073,0.47000107
0.5132124,0.42770278,0.46659636,0.42910767,0.4011616,0.35563532,0.44484153
0.5553452,0.40615728,0.438012,0.41747785,0.39661977,0.36047295,0.454184
0.515959,0.42775702,0.44058007,0.4100397,0.3875434,0.35578835,0.47622034
0.5313518,0.41719875,0.42655668,0.41119373,0.37898812,0.35823432,0.48205477
0.46700656,0.43139002,0.45269462,0.39466324,0.37891337,0.3592093,0.46048257
0.51799273,0.43141478,0.5111122,0.41432288,0.3804251,0.36353683,0.47256267
0.5167462,0.41782594,0.5516327,0.42097318,0.38091323,0.37084606,0.49549025
0.5186786,0.4476704,0.446398,0.41752112,0.38039652,0.37273675,0.5672536
0.51716876,0.48459134,0.44766125,0.41858006,0.37580597,0.37294826,0.5662348
0.52143186,0.48638105,0.46382648,0.42183775,0.3917734,0.3726262,0.5582811
0.53551227,0.46919695,0.43195367,0.4181102,0.39202204,0.37324217,0.54632264
0.5223229,0.45581758,0.37803692,0.41256034,0.38627535,0.3721904,0.54471904
0.49837473,0.45850617,0.43078506,0.42506608,0.38125432,0.37405962,0.54028773
0.47767594,0.45949468,0.4397193,0.4297987,0.37568653,0.3760301,0.5279963
0.46178597,0.4703168,0.47660887,0.43448195,0.39984113,0.3733024,0.52558494
0.45759574,0.46532202,0.45789135,0.4110896,0.4006898,0.3722291,0.5373248
0.5690211,0.42946634,0.4742375,0.39377636,0.38903478,0.3731915,0.52121675
0.51495343,0.40780598,0.47044548,0.38217866,0.3919797,0.37295887,0.51199865
0.5245048,0.40551612,0.4469546,0.3797696,0.3847768,0.375104,0.500328
0.47544387,0.4197389,0.48154345,0.3894738,0.38056204,0.3766485,0.46983775
0.51344585,0.4299315,0.48927537,0.40154147,0.3897433,0.37550434,0.49228463
0.4967042,0.43173894,0.48095655,0.38678008,0.386149,0.37731075,0.5091677
0.46476233,0.44193116,0.458558,0.4039603,0.4130323,0.37812486,0.502832
0.47945678,0.4040674,0.44311583,0.40054888,0.41842782,0.3772875,0.5094875
0.48886368,0.41146582,0.42211613,0.388565,0.4181077,0.37154713,0.53370154
0.45777503,0.41108453,0.42968568,0.3675074,0.4235808,0.37484324,0.5321229
0.47688258,0.38624823,0.39083797,0.40392444,0.39863023,0.37176788,0.5367031
0.3810709,0.39325824,0.3606698,0.3905895,0.40015522,0.36985543,0.5147866
