A,B,C,D,E,F,G
0.1861335,0.3695231,0.17074917,0.37326032,0.32081443,0.36131623,0.112429425
0.16142508,0.37584478,0.16825554,0.37263972,0.32129204,0.3646846,0.116044015
0.15453063,0.38674742,0.17337956,0.37203,0.32341757,0.36584994,0.12019044
0.11871816,0.39038518,0.1753415,0.37717178,0.32965812,0.36526003,0.12545325
0.16852114,0.39000466,0.18763155,0.3866737,0.3369638,0.36588553,0.12542316
0.20653719,0.40210027,0.17429252,0.3817008,0.34242982,0.36618516,0.13106726
0.18048815,0.3965278,0.17280935,0.38801408,0.35255808,0.36591062,0.13429429
0.2009112,0.39724913,0.19194321,0.38527173,0.35909972,0.36811048,0.1340071
0.20900923,0.3968147,0.19653168,0.37952694,0.3588079,0.3660302,0.14077722
0.20909368,0.39166075,0.20873508,0.38708714,0.36092055,0.36733314,0.1433319
0.22123328,0.40396437,0.21632788,0.38881022,0.36351448,0.3687267,0.14893828
0.2291403,0.40007415,0.22387317,0.37751207,0.36404812,0.3690367,0.1482978
0.22810704,0.39541066,0.22868691,0.3836224,0.36642182,0.37086093,0.15031844
0.2520719,0.39599746,0.2299431,0.38207707,0.3650085,0.37092435,0.15881622
0.23392616,0.40129274,0.20252872,0.37233335,0.36414847,0.3729854,0.16039756
0.22694355,0.4010719,0.22292231,0.37817714,0.3690558,0.37389114,0.1641295
0.24922447,0.4048146,0.2292987,0.39729497,0.3705719,0.37595144,0.1644631
0.25949794,0.3974788,0.23827223,0.39065805,0.37137935,0.37679166,0.16814896
0.25164747,0.40022248,0.24590644,0.38497487,0.37203678,0.37652066,0.16856918
0.2668571,0.40190408,0.2648852,0.39131674,0.3742259,0.3766528,0.1685
0.27557662,0.41001797,0.27493596,0.395194,0.3736969,0.3767967,0.16913658
0.3003928,0.4138543,0.27785638,0.39339328,0.37178677,0.3738808,0.16897285
0.30075544,0.44039038,0.28187138,0.391287,0.3707339,0.37395102,0.17162658
0.3119552,0.42802426,0.28338644,0.41349873,0.37390125,0.37340188,0.17530894
0.29404318,0.42421174,0.30454788,0.4196259,0.3768543,0.37167916,0.18037948
0.31859148,0.42418057,0.3209693,0.41455576,0.3763933,0.37398127,0.17854768
0.33339718,0.43380085,0.3249322,0.4223767,0.3758187,0.37364277,0.18384585
0.33663625,0.43156296,0.32390642,0.42580345,0.37160698,0.37534273,0.18610245
0.3491492,0.43846998,0.3417618,0.4157584,0.37272146,0.37768868,0.18836388
0.34106538,0.43172932,0.33738473,0.40755147,0.37253475,0.37737486,0.19633406
0.35878906,0.4273277,0.34222224,0.4013699,0.3738324,0.37902963,0.19844916
0.3562939,0.42218095,0.34983745,0.3998623,0.37849295,0.3797313,0.20109989
0.3767929,0.42460495,0.3613433,0.40920588,0.37880698,0.3791608,0.20442347
0.38381815,0.43769774,0.37694594,0.40970677,0.38438728,0.37975177,0.20840335
0.39771202,0.43251958,0.40295848,0.40160587,0.3845512,0.3796323,0.20894907
0.3939507,0.42717037,0.42306718,0.3971843,0.38986412,0.37918693,0.20416449
0.45320565,0.42261025,0.4076623,0.44350582,0.38925615,0.37932426,0.20337187
0.41035724,0.44339386,0.4054572,0.42105427,0.3888317,0.38018513,0.20165408
0.4268104,0.45423034,0.40394437,0.41306236,0.38764897,0.38058448,0.21152094
0.44862798,0.4539019,0.41270924,0.41595438,0.39122394,0.38031495,0.21049072
0.45346066,0.44209826,0.41378298,0.41399878,0.39076677,0.3800468,0.2143358
0.45275557,0.43941858,0.41019866,0.41141835,0.39184657,0.3793399,0.21917325
0.42809033,0.43969488,0.41274306,0.40856838,0.3950403,0.3782734,0.22884159
0.4481011,0.4360217,0.40481398,0.39797294,0.3935221,0.38066235,0.2331182
0.43737483,0.42529413,0.3921837,0.4092822,0.3945986,0.382967,0.23338385
0.42068094,0.4279512,0.41037413,0.4020734,0.39831054,0.38150737,0.24289113
0.4416562,0.42053378,0.41795105,0.40774983,0.4025648,0.3826808,0.24649292
0.45700267,0.42934096,0.4155146,0.39497882,0.40626985,0.3825604,0.25585166
0.44178322,0.43739277,0.41370466,0.40431976,0.40563565,0.38292968,0.2577858
0.452068,0.42885506,0.4152177,0.40048182,0.4087808,0.38177067,0.2587969
0.46613786,0.42411855,0.42274103,0.3984499,0.40756083,0.38213068,0.2580907
0.4607396,0.42180046,0.4217482,0.39418963,0.40753168,0.38255656,0.2598894
